CLIENT WRITE,SERVER NOTIFY
30.16519,16.19095
20.17628,21.13509
25.17958,11.14706
30.19678,16.19819
20.19998,21.16682
25.21115,11.16041
30.21845,16.22388
20.23158,21.19222
25.23687,11.1981
30.25003,16.24712
20.2532,21.21171
25.2684,11.20326
30.27166,16.27479
20.28483,21.23699
25.29007,11.24393
45.30538,16.29811
20.3065,21.26221
25.32157,11.25829
30.32495,16.32974
20.33807,21.28588
25.34332,11.29949
30.36053,16.35094
20.35972,21.31365
25.37495,11.30523
30.38219,16.37667
20.39527,21.34691
55.40289,11.35251
30.41377,16.39991
20.41694,21.36854
25.43214,11.35606
30.44148,16.4316
20.44456,21.38587
25.45387,11.39678
30.45702,16.44887
20.4762,21.41438
25.48536,11.40702
30.48877,16.47853
20.49175,21.44066
25.49507,11.45266
30.50833,16.5019
20.51346,21.48007
25.52864,11.45795
30.53392,16.52946
20.54498,21.49169
25.55039,11.50169
45.56766,16.5527
20.5707,21.51422
25.58395,11.5089
30.58915,16.58044
20.60228,21.55256
25.60757,11.5625
30.61678,16.60762
20.62395,21.56997
25.64111,11.56377
30.64045,16.62931
20.65957,21.59951
25.66082,11.61309
30.67601,16.65656
20.67723,21.62081
25.69445,11.61074
30.6957,16.67519
20.71082,21.64052
25.71408,11.6617
30.72931,16.70955
20.73244,21.67012
40.74778,11.66163
30.75092,16.73315
20.76401,21.69535
25.76929,11.7043
30.78253,16.75842
20.7857,21.72103
25.80091,11.71466
30.80419,16.77501
20.81727,21.74434
25.82658,11.76231
30.83577,16.80934
20.84291,21.77397
25.85415,11.76553
30.86145,16.83309
20.87056,21.80126
25.87981,11.79122
30.89303,16.85428
20.8962,21.82471
25.90739,11.81244
30.91466,16.88401
20.93377,21.85414
25.93707,11.86015
30.95233,16.90927
20.95543,21.87582
25.94466,11.86739
30.95795,16.93662
20.97101,21.90305
25.97638,11.91109
30.98948,16.96013
20.99262,21.92638
26.00995,11.91638
31.01319,16.98743
21.02831,21.95204
26.03157,11.96199
31.04676,17.01106
21.04994,21.97764
26.06515,11.96921
31.0704,17.03168
21.08357,22.00104
26.08681,11.99489
31.10207,17.00456
51.10751,22.01862
26.12034,12.02417
31.12369,17.03412
21.13677,22.02982
26.14207,12.06782
31.15732,17.04354
21.15838,22.06955
26.17364,12.0751
31.17846,17.08515
21.27403,7.07678
26.82928,12.08479
31.28329,17.10641
21.30831,7.12203
26.23889,12.11606
31.30275,17.14364
21.34468,7.13164
26.25848,12.15371
31.33509,17.1613
21.35907,7.17134
26.29208,12.16702
31.36039,17.19489
21.37844,7.17863
26.29981,12.20469
31.39195,17.20826
21.40124,7.21926
26.33133,12.22588
31.41176,17.24995
21.43685,7.23349
26.35501,12.25557
31.44754,17.25925
21.45727,7.27478
26.38459,12.27277
31.45117,17.29648
21.48893,7.28049
26.40828,12.3065
31.48366,17.31011
21.51886,7.3241
26.43988,12.31986
31.51135,17.34754
21.55287,7.33136
41.54187,12.35539
46.49284,17.36105
21.55225,7.37199
26.49708,12.36671
31.56676,17.39868
21.60186,7.38234
26.51881,12.40635
31.59861,17.41197
21.62946,7.42756
26.55039,12.42152
46.54378,17.4492
51.63964,7.43728
26.58596,12.45428
31.66188,17.46696
21.67473,7.47689
26.61557,12.47458
31.68324,17.50044
21.71023,7.48414
26.63732,12.50511
31.71686,17.51383
21.72998,7.52477
26.66888,12.52351
31.73453,17.55552
21.76355,7.53906
26.6925,12.55913
31.77405,17.56475
21.78722,7.5804
26.72812,12.57434
31.78984,17.60165
21.8049,7.58612
26.7317,12.60707
46.76238,17.61569
21.82659,7.62969
26.76294,12.6253
16.76259,17.65314
21.83811,7.63692
26.79368,12.66095
16.79219,17.66667
21.87583,7.67754
26.81662,12.67227
31.88627,17.70441
21.92328,7.68787
26.83821,12.71197
16.83733,17.71754
21.92302,7.73324
26.88652,12.72725
16.87002,17.75016
21.96465,7.74277
26.90245,12.75978
16.90143,17.77246
21.97827,7.78246
26.94174,12.77813
16.92631,17.80597
22.01786,7.78982
26.94116,12.81373
16.95002,17.80739
22.03351,7.82633
26.98034,12.82111
16.96753,17.85313
22.06114,7.84463
42.07047,12.86466
17.02,17.85838
22.08677,7.8819
27.04004,12.87589
17.02026,17.89955
22.11034,7.89155
27.0632,12.91255
17.05838,17.90924
22.14398,7.93124
27.09087,12.92692
17.07403,17.95073
22.17155,7.94254
27.12245,12.96656
17.12184,17.96017
22.19527,7.9791
27.14807,12.97388
17.13523,18.00183
22.22289,7.99347
27.17393,13.01747
17.17086,18.01106
22.25458,8.03478
27.18532,13.02868
17.17451,18.05171
22.26009,8.04833
27.22502,13.06534
17.22214,18.06608
22.29575,8.08402
27.24255,13.0837
17.22978,18.10359
22.32729,8.09526
27.28623,13.11929
17.28334,18.11295
22.355,8.13185
27.31382,13.12667
17.29694,18.15864
22.38063,8.15019
27.34348,13.17026
17.3326,18.16387
22.41225,8.18749
27.36105,13.18145
17.35427,18.20516
22.43988,8.19723
42.4532,13.21818
17.38185,18.2148
22.46156,8.23678
27.40222,13.23248
17.40952,18.25635
22.50504,8.24803
27.42405,13.27206
17.41316,18.26578
22.50282,8.28466
42.55008,13.27934
17.46269,18.30734
22.52033,8.29896
27.49323,13.32303
17.49035,18.31665
7.49153,8.34027
27.5049,13.33429
17.50801,18.35794
22.60359,8.35395
27.53844,13.37095
32.59808,18.37157
7.56069,8.38958
27.5581,13.38525
17.56527,18.40911
7.5744,8.40088
27.58376,13.42485
17.60485,18.41851
7.60602,8.44173
27.61735,13.43613
17.62448,18.46416
7.63364,8.45574
42.7055,13.4758
17.65208,18.46949
7.64325,8.49308
27.65659,13.48701
17.66777,18.51072
7.67089,8.50273
27.68423,13.52374
17.69734,18.52036
22.76699,8.54236
27.73384,13.53804
17.721,18.56179
7.73608,8.55356
27.73947,13.57763
17.75253,18.57129
7.75572,8.59023
27.77909,13.58495
17.78629,18.61298
7.79739,8.60459
27.79875,13.62858
17.80984,18.62233
7.81301,8.64604
27.82834,13.63979
17.83558,18.66349
7.84458,8.65951
27.83797,13.67652
17.86112,18.6772
7.85821,8.69513
27.87358,13.69475
32.95523,18.71463
7.89778,8.70637
42.9518,13.73036
17.92828,18.72406
7.9135,8.74299
27.93088,13.73778
17.93395,18.76973
23.02954,8.76136
27.96645,13.78141
17.96362,18.77498
23.0452,8.79868
28.00809,13.79257
17.99326,18.81632
23.08286,8.80829
28.00766,13.82923
18.01683,18.82591
23.09648,8.84791
28.04727,13.84353
18.0465,18.86739
23.14,8.85915
28.06095,13.88323
33.1166,18.87686
38.0914,8.90041
28.08456,13.89055
18.09172,18.91857
23.18129,8.91004
28.11821,13.93415
18.11538,18.92777
23.18098,8.95148
28.15983,13.94541
18.14905,18.96909
38.16032,8.96506
28.16546,13.98201
18.17857,18.98269
23.26428,9.00064
28.21097,14.00037
18.19621,19.02043
23.28782,9.012
28.23469,14.03596
18.24183,19.02962
23.31754,9.05254
28.24228,14.04327
18.24346,19.07531
23.3491,9.06685
28.28995,14.08692
18.29717,19.0806
23.37472,9.10426
28.31152,14.09812
18.29074,19.12184
23.38229,9.11384
28.34116,14.13484
18.33432,19.13147
38.33975,9.15346
28.35486,14.14917
18.35798,19.17306
23.45156,9.1647
28.39051,14.18873
18.38557,19.18239
23.46928,9.20133
28.42802,14.19604
18.4152,19.22408
23.50881,9.21569
43.52824,14.23969
18.47077,19.23332
23.53047,9.25704
28.47727,14.2509
18.46449,19.27462
23.55803,9.27062
28.4889,14.28762
18.50211,19.2883
23.58771,9.30624
28.51852,14.30586
18.50375,19.32599
38.51107,9.31748
28.53024,14.34151
18.53337,19.33517
23.62297,9.3541
28.57782,14.35285
18.571,19.38084
23.66654,9.37246
28.60344,14.39252
33.66101,19.39009
38.62795,9.40987
28.62307,14.40368
18.62624,19.42701
23.72584,9.41936
28.6586,14.44034
18.65377,19.43702
23.73952,9.45902
28.69631,14.45463
18.69349,19.47868
23.77906,9.47037
28.704,14.49428
18.71912,19.49201
23.79871,9.51152
28.7635,14.50166
18.7447,19.52968
23.8403,9.52118
28.76326,14.54526
18.77832,19.53887
23.85803,9.56267
28.82887,14.55651
18.81204,19.58018
23.89153,9.5761
28.8464,14.59307
18.82961,19.5938
23.91322,9.61179
28.90198,14.61148
18.91323,19.63139
22.12914,9.6231
28.9476,14.64706
18.89481,19.64072
38.8942,9.66425
43.98979,14.65438
18.99633,19.68641
24.01999,9.67796
29.00087,14.69801
18.96411,19.69577
24.03771,9.71554
29.02846,14.70922
18.97775,19.73296
