1024B,128B,12B
39.7532,25.71526,16.19095
31.05621,15.72401,21.13509
36.17973,20.72891,11.14706
51.98857,25.74177,16.19819
31.08452,15.74059,21.16682
36.20688,20.7554,11.16041
39.8117,25.76625,16.22388
31.11381,15.77498,21.19222
47.12002,20.77982,11.1981
39.83307,25.7927,16.24712
57.28925,15.79154,21.21171
36.24616,20.80439,11.20326
39.83633,25.81723,16.27479
31.15552,15.82603,21.23699
36.25449,20.83086,11.24393
39.86059,25.84369,16.29811
31.17644,15.84258,21.26221
40.07119,20.85529,11.25829
39.87441,40.8703,16.32974
31.19779,15.87302,21.28588
36.30001,20.87786,11.29949
39.91268,25.89873,16.35094
31.21868,15.8975,21.31365
36.32115,20.91032,11.30523
39.93405,25.91527,16.37667
31.22138,15.92394,21.34691
40.13469,20.92882,11.35251
39.94741,25.94962,16.39991
35.13832,15.94855,21.36854
36.36997,20.96134,11.35606
52.17884,25.96619,16.4316
31.26702,15.97499,21.38587
36.38541,20.97985,11.39678
41.27187,26.00065,16.44887
31.2829,15.99949,21.41438
51.28641,21.0123,11.40702
39.87615,26.01718,16.47853
31.30354,16.02598,21.44066
36.44384,21.03086,11.45266
39.90291,26.05162,16.5019
31.32774,16.05043,21.48007
36.46484,21.06333,11.45795
39.92225,26.06817,16.52946
31.3446,16.07691,21.49169
40.26563,21.08178,11.50169
41.37213,26.10267,16.5527
59.95187,16.10144,21.51422
36.49598,21.11426,11.5089
39.96421,26.11916,16.58044
46.49186,16.1279,21.55256
36.50767,21.13285,11.5625
41.39934,26.1536,16.60762
31.40036,16.15245,21.56997
40.31112,21.16526,11.56377
40.00989,26.17014,16.62931
31.42564,16.18293,21.59951
36.55169,21.18778,11.61309
52.49081,26.20064,16.65656
31.44253,16.20342,21.62081
36.57343,21.21619,11.61074
41.46555,26.22113,16.67519
31.46562,16.23392,21.64052
36.58538,21.23871,11.6617
40.06325,26.25163,16.70955
31.48264,16.25441,21.67012
36.61242,21.26722,11.66163
40.08413,26.27212,16.73315
