TEST 1,TEST 2,TEST 3,TEST 4,TEST 5,TEST 6,TEST 7,TEST 8,TEST 9
131.53897,197.35281,27.24326,125.41561,185.73513,244.59005,92.63982,34.33876,80.21269
131.24198,183.28161,31.17449,127.51516,192.22233,242.89303,89.60293,33.93658,79.7765
136.12235,183.00499,35.77822,124.6125,186.77739,243.58889,93.13794,33.06247,80.39138
134.00867,185.66373,28.44123,123.96981,185.17627,244.04192,91.14411,35.72182,91.94178
135.50904,181.52874,30.43872,128.4714,191.27132,244.0268,90.93799,33.68579,86.20414
138.4449,179.16695,32.89115,124.75916,189.6132,247.12808,88.65434,35.08756,80.46196
134.59924,185.95422,27.66147,136.71677,191.28429,240.65392,90.6844,33.19076,78.10223
135.95218,184.35172,28.25877,130.3945,186.49711,245.17678,92.01356,33.65342,84.33713
141.23484,180.82185,27.59123,127.69772,186.06424,244.30521,97.98704,32.94386,79.4507
135.56187,184.63655,30.62671,129.29915,187.35958,241.96708,92.09574,31.39253,84.34913
138.47788,185.75615,31.93755,127.14565,184.78454,241.76379,93.31465,35.97899,79.37721
134.77269,179.43985,36.41681,126.68578,184.44558,247.29776,96.74483,38.29272,79.03773
135.48098,180.04874,28.95379,126.04343,187.57275,245.63759,92.608,31.66662,78.1573
138.49648,180.15584,29.50198,128.20375,184.72853,245.77382,88.85146,32.22563,81.03094
133.85435,181.73283,33.33573,137.50627,184.77756,240.40599,91.57572,32.85891,79.11223
132.10394,181.63595,29.30119,126.9235,184.68195,245.94179,92.35062,32.27149,78.00894
139.65112,181.46787,27.02254,125.02738,186.51165,242.82927,93.07616,36.02702,79.86248
140.98825,180.41136,27.51694,133.18633,186.84448,243.01537,89.92137,37.19966,78.77135
134.79002,184.95071,32.31481,127.30076,187.69692,246.87085,94.65372,33.09992,82.2177
135.01305,182.55702,39.17178,127.59141,185.81981,244.73622,93.87343,33.99161,82.36588
132.00875,183.92192,28.26517,128.19353,188.43673,240.5727,93.50968,40.22702,81.12021
134.83105,179.1902,27.52047,129.75099,189.91184,244.25911,90.01577,32.72769,78.26793
136.26832,183.06921,29.37084,125.61366,186.33713,241.40413,89.64101,33.38001,79.73892
134.09885,192.60691,26.93528,129.61533,188.37995,242.81488,98.96788,36.95372,78.47702
132.27672,180.5241,29.43772,127.73052,185.75478,243.32132,93.01223,32.09303,86.88672
140.48177,180.79433,28.94608,127.5226,188.39931,241.3883,89.30764,34.97974,80.06829
133.56015,179.83119,30.96557,131.38132,189.4187,242.31813,94.27989,39.37989,79.80258
132.21197,179.75808,28.46527,129.28313,191.44171,240.15971,90.34749,33.01566,80.938
136.7228,179.75399,42.97535,132.12134,189.97166,252.34356,92.56258,33.73549,83.22408
134.3512,180.19226,32.58373,129.68012,187.63228,244.802,96.45741,31.85063,77.89369
134.2874,178.96223,28.73698,127.64039,189.7262,255.83394,91.99308,32.16003,81.75409
