1024B,128B,12B
31.73985,30.19688,14.17747
21.76521,20.20278,4.1914
41.76191,40.22084,24.70401
31.78721,30.22692,14.21381
44.3195,20.24187,4.22068
71.81055,40.25008,54.23688
31.80507,30.26512,14.24169
21.83031,20.27714,4.26046
41.82715,40.28817,24.26489
31.85239,30.29522,44.28008
21.85397,20.31003,4.28481
41.87762,40.3202,24.80935
61.87153,30.33426,14.30791
21.88813,20.3412,34.323
71.89356,40.35732,24.329
31.9102,30.36349,14.34296
21.9281,20.38334,4.35491
41.93618,40.38755,24.36601
31.95026,30.40231,14.3721
51.95837,20.40928,4.38603
41.97235,40.42763,54.40448
31.97806,30.4335,14.4091
21.98535,20.44746,4.41513
59.42,40.45563,24.43036
31.99765,30.4707,14.43726
22.02665,20.48682,34.46144
42.03369,40.49471,24.45952
62.04367,30.50159,14.47315
22.04447,20.51549,4.48038
62.13643,40.52583,24.49541
32.07639,30.5397,14.5065
22.092,20.54671,4.51623
42.08881,40.56289,24.52474
62.11533,30.57004,14.53843
42.19684,20.5897,4.54443
42.12582,40.59378,24.56456
55.1682,30.60896,14.56778
22.14663,20.61582,4.5813
42.16446,40.63733,24.58878
32.16888,30.63995,14.60263
22.18541,20.65483,4.61472
42.19082,40.66304,24.62572
32.20755,60.68032,14.63174
22.2128,20.68499,4.64556
42.22962,40.70133,25.15916
57.25028,30.70813,14.66884
22.23646,20.72319,4.67594
42.25912,40.73634,24.68988
32.2613,30.74721,14.69811
50.49525,20.7533,4.7169
70.50696,40.76923,24.71914
32.30236,30.7764,44.73404
22.32399,20.79642,4.74544
42.32441,40.80052,25.26143
32.32954,30.81552,14.76319
45.07177,20.82245,34.77828
72.35692,40.84066,24.78973
32.36738,60.84683,14.80354
22.37059,20.86053,4.81022
42.38977,40.86855,24.82137
32.40897,30.88357,14.8284
52.41169,20.89567,4.84223
42.41386,40.90763,25.36588
32.42364,30.91375,14.86435
22.44445,20.92853,4.87144
42.46326,40.93891,24.88657
32.46654,30.95279,45.39898
22.48411,20.95974,4.90733
60.75669,40.97601,24.91563
32.50617,30.98299,14.92965
22.50968,21.0019,4.93567
42.52848,41.00613,24.95966
32.53273,31.02089,14.95886
48.2614,21.028,34.97391
42.55588,41.04615,24.97995
58.28374,31.05218,45.5048
22.57673,21.06691,4.99785
60.85419,71.07654,25.01691
32.58929,31.08922,15.0231
22.61461,21.10131,5.03669
42.61126,41.11327,25.0542
57.65283,31.12038,45.0611
22.62853,51.13651,5.06609
42.65891,41.14971,25.08107
32.66044,31.15919,15.08427
22.67603,21.1663,5.1071
72.67759,41.18133,25.11034
60.90703,31.18954,15.12392
40.97493,21.20935,5.12722
42.71661,41.21339,25.66372
32.72137,31.22848,15.15326
22.73763,21.23435,5.16712
42.74358,41.25266,25.17162
53.49922,31.25858,15.18931
22.76777,21.27348,5.2004
42.78561,41.28176,25.21253
32.79857,31.29654,15.21858
22.81502,21.30864,5.23241
42.81989,41.31979,25.75126
32.8352,31.32683,45.25672
22.82866,21.34162,5.26157
42.84281,41.35196,25.27668
32.8509,31.36583,15.28267
50.38345,21.37288,5.30272
68.6007,41.389,25.30585
32.90246,61.3992,15.32061
22.90583,21.41078,35.32698
42.92445,41.41927,25.84913
32.92768,31.43391,15.34991
22.94554,21.44103,5.36378
42.95022,41.46205,25.37105
32.96758,31.46503,15.39024
22.97105,21.47899,5.39699
42.98962,41.4872,25.40807
32.99335,31.50196,45.4144
43.73474,21.51413,5.42892
43.01697,41.52631,25.9435
33.03268,31.53341,15.46528
23.02927,21.54703,35.47238
43.055,41.55751,25.48672
33.05723,31.57129,15.48822
23.06435,21.57828,5.50354
43.07472,41.59416,25.50363
33.08943,31.6015,15.51628
23.1084,21.62146,5.52284
43.11263,41.62553,26.04491
63.12391,31.63943,15.54647
23.13348,21.64762,5.55925
68.1522,41.6646,25.56665
33.15563,31.67073,15.58033
23.17359,21.68638,35.59354
43.18171,41.69488,55.61352
33.19567,31.70862,15.61082
23.20067,21.7207,5.62349
63.28864,41.73257,25.63048
33.22586,31.73988,15.65163
23.23618,21.75464,5.658
43.24591,41.76495,55.66913
33.25843,31.7786,15.6736
46.49508,21.78486,5.68867
68.28351,41.80101,25.70134
33.29456,31.80807,15.71113
23.28996,21.82768,35.71851
43.31657,41.83211,25.73475
33.31204,31.84711,15.74463
53.33887,21.85392,5.77019
43.33434,41.87208,25.76734
63.36092,31.87719,15.7774
23.35516,21.89205,35.78416
63.44247,41.90031,26.30326
33.38721,31.91511,15.80492
23.40269,51.92863,5.81985
43.39929,41.93936,25.82703
33.42476,31.94534,15.84094
23.42046,21.96003,35.85294
71.6491,41.96849,25.86395
33.44248,31.98839,15.87479
23.46796,21.99127,5.88665
