CLIENT WRITE,SERVER NOTIFY
18.45872,14.17747
68.54787,4.1914
28.55627,24.70401
18.57411,14.21381
8.6074,4.22068
88.61246,54.23688
18.6095,14.24169
38.63266,4.26046
28.69007,24.26489
18.57917,44.28008
8.66446,4.28481
58.67921,24.80935
18.68776,14.30791
8.73293,34.323
28.71127,24.329
18.74178,14.34296
38.75259,4.35491
28.79549,24.36601
18.7749,14.3721
8.78555,4.38603
28.80355,54.40448
18.80937,14.4091
8.8538,4.41513
28.83934,24.43036
18.78511,14.43726
38.44117,34.46144
28.9089,24.45952
18.90216,14.47315
8.47421,4.48038
28.91903,24.49541
18.85357,14.5065
8.96782,4.51623
28.95748,24.52474
18.97094,14.53843
8.99162,4.54443
28.95377,24.56456
19.01503,14.56778
9.02713,4.5813
29.03942,24.58878
19.06153,14.60263
9.08722,4.61472
29.07125,24.62572
49.00859,14.63174
39.09612,4.64556
29.14682,25.15916
19.06012,14.66884
9.14651,4.67594
29.15761,24.68988
19.17063,14.69811
9.20862,4.7169
29.2104,24.71914
19.21066,44.73404
9.23244,4.74544
59.25932,25.26143
19.25525,14.76319
9.27116,34.77828
29.27793,24.78973
19.29727,14.80354
9.25135,4.81022
29.31895,24.82137
19.34236,14.8284
9.35295,4.84223
29.39103,25.36588
19.38328,14.86435
9.31079,4.87144
29.41807,24.88657
19.35247,45.39898
9.45128,4.90733
29.45079,24.91563
19.4634,14.92965
8.94895,4.93567
29.50315,24.95966
19.42084,14.95886
9.51276,34.97391
29.53774,24.97995
19.54952,45.5048
9.58773,4.99785
29.57691,25.01691
19.1068,15.0231
9.59268,5.03669
29.56876,25.0542
19.62226,45.0611
9.16365,5.06609
29.18057,25.08107
19.18653,15.08427
9.61279,5.1071
29.2089,25.11034
19.14288,15.12392
9.22981,5.12722
29.28116,25.66372
19.25411,15.15326
39.2755,5.16712
29.27736,25.17162
19.2869,15.18931
9.32609,5.2004
29.31079,25.21253
19.31095,15.21858
9.33186,5.23241
29.31074,25.75126
19.35513,45.25672
9.36599,5.26157
29.37952,25.27668
19.31257,15.28267
9.43689,5.30272
29.3365,25.30585
19.42392,15.32061
39.44107,35.32698
29.48276,25.84913
19.45645,15.34991
9.46809,5.36378
29.48041,25.37105
19.48013,15.39024
9.45399,5.39699
29.51378,25.40807
49.45067,45.4144
9.52392,5.42892
29.58879,25.9435
49.56131,15.46528
9.56896,35.47238
59.58323,25.48672
19.59244,15.48822
39.55691,5.50354
29.61553,25.50363
19.62773,15.51628
39.63808,5.52284
59.69468,26.04491
19.6605,15.54647
9.6721,5.55925
89.68586,25.56665
19.69485,15.58033
9.65787,35.59354
29.64152,55.61352
19.72375,15.61082
9.73877,5.62349
59.70507,25.63048
49.76493,15.65163
9.7719,5.658
29.78428,55.66913
19.79691,15.6736
9.82346,5.68867
29.82031,25.70134
19.81898,15.71113
