CLIENT WRITE,SERVER NOTIFY
10.248,19.66188
20.2534,59.67348
30.22164,9.67952
10.29316,19.68788
20.29852,29.70516
60.30436,9.71316
10.32072,19.71468
20.3272,29.72328
30.33768,9.73032
10.34364,19.73972
20.23116,29.76072
30.38144,9.76516
10.37672,19.76652
20.38304,59.7762
30.403,9.782
10.419,19.7902
20.43164,29.80852
30.4316,9.81684
10.45132,19.81736
20.39728,29.82572
30.47116,9.83264
10.4732,19.8432
20.48364,29.86436
30.48908,9.86768
10.36388,19.869
20.52056,29.87728
60.46272,9.88564
10.53376,19.894
20.54004,29.91116
30.56788,9.9194
10.56204,19.92388
20.5868,29.9292
30.59512,9.9372
40.54408,19.94576
20.61564,29.96704
30.55608,9.9702
10.63384,19.97248
20.57724,29.98076
60.65204,9.98816
10.65276,19.9964
50.68952,60.01492
30.67488,10.0228
10.6976,20.02328
20.70696,30.03176
30.7204,40.04116
10.72448,20.048
20.72716,30.07048
30.74908,10.078
10.69328,20.07512
20.76672,30.08348
60.71324,10.09052
10.80164,20.10428
20.80552,30.11836
30.62588,10.12532
10.83376,50.12716
20.84012,30.13408
30.84964,40.1448
10.85876,20.15168
20.86212,30.1732
90.8846,10.18064
10.8852,20.17756
20.89456,30.18712
30.86424,10.19416
10.93444,20.20684
20.8752,30.22072
30.94624,10.22776
10.967,20.22948
20.97424,30.23776
30.98356,10.24596
40.99308,50.28836
21.002,30.27264
31.00744,40.2732
11.0156,20.28124
21.02488,30.28964
60.98208,10.29684
11.05188,20.31488
21.04892,30.3244
31.06868,10.32356
11.08592,20.33192
51.03632,30.34052
31.09744,10.34944
11.11328,20.37072
21.11848,60.37644
31.12892,10.37448
11.13612,20.38352
21.14548,30.39304
61.15632,10.4004
11.10952,50.41884
21.2018,30.42704
31.20292,40.42736
11.21432,20.43544
21.22484,30.44384
31.22524,10.452
11.24292,20.47328
50.90348,30.47752
31.266,10.47792
41.20688,20.4874
21.27916,60.4968
61.30016,10.50288
11.298,20.51988
51.30576,30.53048
31.31388,10.52956
11.34056,20.53804
21.3366,30.54644
31.2942,10.5544
11.36088,20.57672
21.38072,30.5812
31.39216,10.58048
11.33984,20.58972
21.4138,30.59796
31.417,10.60644
11.43464,50.62924
21.44532,30.63304
61.39248,40.63344
11.46256,20.6406
81.473,30.64988
31.47744,10.65812
11.48264,20.67936
21.4922,30.68376
31.52532,10.68288
11.46792,20.69332
21.54892,30.7016
31.53544,10.7088
11.55688,20.72608
21.56628,30.7354
31.57568,10.7356
11.58388,20.74408
21.59188,30.75248
31.61064,10.76068
41.55556,20.78176
21.63876,30.78724
31.63356,40.79212
11.64192,20.7958
21.6626,30.80416
31.68804,10.81136
11.68668,20.82956
21.63804,30.83892
31.71168,10.83824
11.71468,20.85104
51.72124,30.855
31.73992,10.86416
11.68356,20.88552
21.35564,30.88984
31.76792,10.88916
11.771,20.89836
21.79328,30.90764
31.7958,10.91508
11.81832,20.9322
51.4088,30.94152
31.84008,10.94068
11.8444,20.95008
21.84856,30.96296
31.80948,10.96656
11.88192,20.98792
21.82208,30.99236
31.89584,40.9938
11.8406,21.002
21.91308,31.0104
31.9246,11.01752
11.86852,21.0346
21.94216,31.04512
31.94844,11.0444
11.97296,21.05268
21.97828,31.06548
61.56076,11.069
12.00636,21.09156
51.95356,61.0972
32.02512,11.09516
12.02932,51.10584
22.03264,31.11384
31.99352,41.1508
12.06184,21.13928
22.06612,31.13976
32.01744,11.14708
12.094,21.15628
22.11072,31.16456
32.04948,11.1856
12.13544,21.19016
22.08144,31.19032
32.15536,11.19852
11.70232,21.20804
22.16724,31.24508
32.18436,11.23256
12.1874,51.234
22.19684,31.24328
32.21132,41.25164
12.2164,21.25884
22.23612,31.28008
32.17852,11.28396
12.26328,21.28548
22.21048,31.29408
32.26768,11.302
12.22916,21.31052
52.29736,31.32776
32.31296,11.33616
42.31744,21.3366
22.33084,31.34584
32.3414,11.35292
12.34412,21.36116
22.34792,61.3892
32.3668,11.38776
12.37208,51.38944
22.38652,31.39664
32.3918,11.40364
42.34392,21.41408
22.41468,31.4314
32.4294,11.4386
12.43868,21.43904
22.44792,31.44832
32.46164,11.45652
12.47792,21.46488
22.47924,31.48608
62.48696,11.49028
12.4928,21.49068
52.50576,31.50448
32.53136,41.50844
12.0328,21.51664
22.55464,31.53384
32.56008,11.54084
12.56724,21.54788
22.57764,31.55184
32.58588,11.55912
12.60352,21.5674
22.61316,31.58848
62.5594,11.59384
12.63056,21.59428
22.63788,31.60264
32.64624,41.61112
12.6588,21.61904
22.68144,31.63748
62.68096,11.64904
12.63952,21.64596
22.71456,31.65432
32.713,11.6614
12.73168,21.67104
82.74572,31.69228
32.68724,11.69648
12.76368,21.69688
22.30036,31.70936
32.25676,11.71416
12.79476,21.7228
22.32832,61.7412
32.33772,11.75152
12.347,21.74848
82.84792,31.75788
32.3658,41.76616
72.3726,21.77352
22.37928,31.79472
62.39216,41.80004
12.39688,21.80036
22.8406,31.8088
32.42656,11.81684
12.83416,21.82532
22.3772,31.8424
62.45596,11.85072
12.45348,21.85204
22.8844,31.86052
32.48496,11.8676
12.893,21.8758
22.49752,31.89828
32.50584,11.90236
43.0206,21.903
22.52272,31.91144
62.46952,11.91932
12.5446,21.9288
22.54668,31.94592
62.54428,11.9532
12.5682,21.95468
22.57468,31.96392
32.57892,11.97104
42.52956,21.97948
22.60476,32.0008
62.62116,12.00488
12.61896,22.00648
22.5656,32.01484
32.63992,12.02296
12.5832,22.03124
22.65652,62.0498
32.67596,12.05672
12.675,22.0582
22.68136,32.06644
32.68972,12.07364
12.69888,22.08196
22.7072,32.10432
32.73364,12.1086
12.73504,22.10892
22.73928,32.11732
32.6904,12.12528
12.76708,22.13484
22.76636,32.15224
62.79664,12.15932
12.71868,22.16068
52.80624,32.16908
32.80528,12.17724
12.81236,22.18556
22.82392,32.20688
32.84508,12.21096
12.84532,22.21148
22.84964,32.22088
32.8002,42.2292
12.87212,22.23724
22.8188,32.25472
32.90512,12.2616
12.84032,22.2644
52.91196,32.27268
32.917,12.27976
12.9242,22.28832
22.93352,32.3094
32.95508,12.31452
72.96,22.31512
22.9618,62.32448
62.97352,12.33156
12.97832,22.33996
22.9296,32.35828
63.01852,42.36672
13.0112,22.36684
23.01776,32.3752
62.96664,12.382
13.03944,22.39164
52.98676,32.413
33.07096,12.4172
73.06984,22.4176
23.07252,32.42592
33.08308,12.43512
13.02996,22.44332
23.10476,62.46204
33.12792,12.46808
13.12272,52.46944
23.13248,32.4788
33.13752,12.48588
13.14576,22.49444
23.1594,32.5156
33.17664,12.51964
43.11812,22.52116
23.18644,32.52952
33.19384,12.53676
13.19984,22.54612
53.26304,32.56328
33.22072,42.57276
13.166,22.57296
53.24052,32.58128
33.2446,42.5896
13.19028,22.59672
23.27808,32.61912
33.28188,12.62332
43.28192,22.62376
23.29444,32.63228
33.29948,12.63912
13.30772,22.64956
23.33508,62.66812
33.33672,12.6784
13.33976,22.67464
23.38004,32.68372
33.385,12.69208
13.39424,22.70056
23.39896,32.726
33.41688,12.72572
13.43164,22.7262
23.3712,32.73572
63.79076,12.74276
13.69756,22.75228
53.7196,62.77072
33.71752,12.78092
13.41656,22.77808
23.73484,32.78736
33.73924,12.79456
13.74956,22.80292
23.76832,32.82512
33.77072,12.82936
13.777,22.82976
53.99888,32.8384
33.80048,12.84536
13.8002,22.85576
23.82892,32.87308
63.83156,12.88024
13.85208,22.885
24.05984,32.88984
63.87708,12.89816
13.8978,22.90652
53.8836,62.92912
33.9042,12.93204
14.11624,22.9324
23.91088,32.9418
