1024B,128B,12B
59.34648,25.17816,19.66188
81.34692,35.2906,59.67348
61.324,45.20404,9.67952
63.57436,25.2104,19.68788
51.33836,35.2136,29.70516
61.34332,72.1946,9.71316
41.35628,25.2416,19.71468
51.38288,65.23656,29.72328
65.5288,45.24728,9.73032
41.36756,25.35624,19.73972
58.04928,35.27156,29.76072
91.39356,45.27196,9.76516
62.40548,55.28336,19.76652
51.40964,35.38928,59.7762
61.41328,45.30752,9.782
41.41464,25.30296,19.7902
51.4182,35.32876,29.80852
61.41468,45.42368,9.81684
41.4372,25.34088,19.81736
51.47228,35.33704,29.82572
61.45748,45.34848,9.83264
41.45704,25.4568,19.8432
51.46048,62.76392,29.86436
91.50656,45.37164,9.86768
41.48004,55.39196,19.869
60.91812,35.48616,29.87728
80.69024,45.29152,9.88564
49.42232,55.29564,19.894
81.51064,35.304,29.91116
61.51612,45.32016,9.9194
41.51352,25.32768,19.92388
51.55768,35.32816,29.9292
64.47488,15.33536,9.9372
41.54448,25.35252,19.94576
51.5468,65.36316,29.96704
70.94288,15.36128,9.9702
41.5712,25.3698,19.97248
81.6186,35.39104,29.98076
71.03596,15.39532,9.98816
71.84932,55.39668,19.9964
68.37276,35.40416,60.01492
61.60724,45.4204,10.0228
41.60004,25.42976,20.02328
81.67936,35.43004,30.03176
77.1564,15.43704,40.04116
45.82916,25.45648,20.048
70.96928,35.44568,30.07048
91.63772,15.46328,10.078
53.42836,25.47156,20.07512
74.48064,35.50512,30.08348
61.68592,15.47884,10.09052
65.70212,25.49756,20.10428
51.67492,62.47612,30.11836
61.69824,15.53828,10.12532
41.7072,25.51588,50.12716
53.412,35.53192,30.13408
78.51408,15.53904,40.1448
71.78148,25.5728,20.15168
68.50716,35.5526,30.1732
61.74188,15.56492,10.18064
57.27504,55.57468,20.17756
111.81512,35.60716,30.18712
61.79492,15.58572,10.19416
41.78336,25.59956,20.20684
51.77864,35.60776,30.22072
91.82972,15.64044,10.22776
41.77996,55.63388,20.22948
58.521,35.63492,30.23776
91.8446,15.64104,10.24596
47.24956,25.67448,50.28836
68.59456,35.66692,30.27264
61.83316,15.66704,40.2732
71.82608,25.67556,20.28124
51.85336,35.70912,30.28964
61.88352,15.6998,10.29684
71.87232,25.68708,20.31488
51.86844,35.70988,30.3244
91.92004,15.74232,10.32356
41.8686,55.73556,20.33192
51.89264,35.73892,30.34052
71.3472,45.74428,10.34944
72.16224,25.77668,20.37072
71.81048,35.76884,60.37644
61.89876,15.75464,10.37448
71.92628,25.77748,20.38352
51.93848,35.811,30.39304
91.99876,15.80204,10.4004
41.97832,25.80224,50.41884
51.9662,61.93164,30.42704
67.2438,15.84428,40.42736
41.95388,25.83632,20.43544
62.50724,65.83804,30.44384
84.80208,15.84604,10.452
44.95928,25.87836,20.47328
82.19736,35.87084,30.47752
62.01144,45.87132,10.47792
42.01652,25.86584,20.4874
54.97108,35.91296,60.4968
75.062,15.90368,10.50288
72.11556,25.90436,20.51988
58.72412,35.91384,30.53048
86.08696,15.94632,10.52956
57.58696,25.93832,20.53804
82.07616,35.93844,30.54644
62.081,45.9472,10.5544
64.41844,25.96204,20.57672
52.27692,35.97284,30.5812
62.1072,45.97316,10.58048
42.10768,25.98,20.58972
82.13896,36.00052,30.59796
75.1542,16.00588,10.60644
72.20852,26.00616,50.62924
68.90856,36.01472,30.63304
62.14348,16.03236,40.63344
72.1512,26.04024,20.6406
52.16036,66.04192,30.64988
62.17136,42.17212,10.65812
42.20064,26.06808,20.67936
52.19112,36.07436,30.68376
62.18584,16.0738,10.68288
42.1918,26.08228,20.69332
82.26128,36.11588,30.7016
75.24236,16.0896,10.7088
45.19188,26.10796,20.72608
65.25248,36.11656,30.7354
62.24308,16.149,10.7356
63.20328,26.12588,20.74408
52.2322,36.14264,30.75248
62.25292,16.14948,10.76068
42.287,26.18344,20.78176
52.1358,36.16308,30.78724
62.13408,46.17684,40.79212
42.14404,26.18432,20.7958
52.14944,36.21748,30.80416
76.58304,16.19636,10.81136
72.1984,26.21016,20.82956
67.83688,36.2186,30.83892
62.17824,16.251,10.83824
57.8602,26.22552,20.85104
52.19596,36.24464,30.855
62.2112,16.25172,10.86416
72.24728,26.28524,20.88552
52.2248,66.27884,30.88984
62.30164,16.27744,10.88916
42.22752,56.28748,20.89836
52.24312,36.3198,30.90764
69.84312,43.8144,10.91508
42.28996,26.31508,20.9322
57.29196,36.32016,30.94152
82.30904,16.35272,10.94068
72.27664,26.34504,20.95008
64.21348,36.34856,30.96296
92.29816,16.35364,10.96656
72.5072,26.38716,20.98792
67.9752,36.37944,30.99236
92.32564,16.36528,40.9938
49.92928,26.38792,21.002
82.3322,36.4216,31.0104
62.34708,16.4124,11.01752
72.38428,26.41292,21.0346
52.36628,36.4254,31.04512
92.37496,16.4548,11.0444
42.36456,26.44688,21.05268
56.14828,36.44712,31.06548
79.85876,46.4424,11.069
45.508,26.48924,21.09156
72.22704,36.4816,61.0972
62.4218,16.4806,11.09516
66.59832,26.47616,51.10584
52.42332,36.52368,31.11384
62.43396,16.51448,41.1508
72.47436,26.51508,21.13928
52.453,36.5234,31.13976
62.44808,16.55652,11.14708
42.4576,26.54884,21.15628
52.467,36.5492,31.16456
70.08516,16.5574,11.1856
42.51708,26.5728,21.19016
55.56916,36.58336,31.19032
79.95884,16.58252,11.19852
48.79808,26.5908,21.20804
82.5214,36.61208,31.24508
62.52608,16.61664,11.23256
65.4754,26.61688,51.234
52.5756,36.6254,31.24328
92.55508,42.7966,41.25164
42.54864,26.6428,21.25884
56.33272,36.65104,31.28008
86.77856,16.65848,11.28396
53.49812,26.84396,21.28548
73.72196,36.68016,31.29408
92.5858,16.6834,11.302
46.36636,26.69156,21.31052
72.39932,36.72812,31.32776
62.6256,16.70844,11.33616
102.63768,26.71684,21.3366
52.66664,36.74236,31.34584
65.17032,16.74052,11.35292
42.63744,26.7458,21.36116
56.43612,66.75244,61.3892
85.5644,16.78364,11.38776
48.96468,54.27952,51.38944
112.69008,66.77716,31.39664
62.71888,16.78444,11.40364
102.69464,26.81804,21.41408
52.69336,36.81024,31.4314
62.69776,44.32104,11.4386
42.70992,26.81852,21.43904
52.72264,36.8524,31.44832
65.27324,16.84328,11.45652
42.74004,26.84472,21.46488
52.73636,36.85528,31.48608
70.34036,16.88528,11.49028
72.76624,26.87772,21.49068
82.771,66.87924,31.50448
79.03676,16.88936,41.50844
49.08844,56.9212,21.51664
72.5786,36.91192,31.53384
92.81308,16.9112,11.54084
49.0834,26.90724,21.54788
71.68768,36.9544,31.55184
62.82864,16.94528,11.55912
65.7852,26.94548,21.5674
52.87128,66.95552,31.58848
62.85728,16.98748,11.59384
42.8472,56.98104,21.59428
82.86804,36.98008,31.60264
73.53372,43.10708,41.61112
42.87556,27.0218,21.61904
56.69048,37.014,31.63748
77.8578,17.01312,11.64904
72.90624,27.02168,21.64596
69.11536,37.04152,31.65432
62.91724,17.04724,11.6614
65.3256,27.04752,21.67104
52.9748,67.05712,31.69228
62.94524,17.07392,11.69648
72.93956,57.08264,21.69688
52.94588,37.08204,31.70936
62.96036,43.20916,11.71416
42.97008,27.11032,21.7228
53.0082,37.11592,61.7412
92.98724,17.11484,11.75152
42.98256,27.12364,21.74848
52.98888,37.15712,31.75788
93.0138,17.1492,41.76616
73.01796,27.14948,21.77352
66.78308,37.1578,31.79472
63.06248,17.19024,41.80004
103.0414,27.16616,21.80036
53.03796,37.1838,31.8088
66.8282,47.19236,11.81684
43.05832,27.22436,21.82532
56.86044,37.2044,31.8424
85.45876,17.21692,11.85072
45.59248,27.22552,21.85204
68.03252,37.25916,31.86052
80.57996,17.23744,11.8676
46.75816,27.25144,21.8758
72.00084,37.2598,31.89828
93.14948,17.29216,11.90236
49.41556,27.26904,21.903
68.09112,67.27372,31.91144
93.13392,17.29304,11.91932
51.38756,57.32784,21.9288
72.9956,37.31888,31.94592
93.1754,47.32328,11.9532
60.67124,27.32732,21.95468
53.2074,37.36108,31.96392
63.18276,17.352,11.97104
43.1908,27.35548,21.97948
53.20244,37.36172,32.0008
93.221,17.39396,12.00488
43.24948,27.38644,22.00648
83.22596,37.37436,32.01484
71.48352,17.39488,12.02296
73.24852,27.42872,22.03124
70.72928,37.42092,62.0498
63.25756,17.40752,12.05672
62.22944,57.43272,22.0582
53.30308,37.463,32.06644
63.27996,47.45488,12.07364
43.27516,27.45428,22.08196
83.30228,37.46388,32.10432
73.97272,17.49616,12.1086
73.31688,27.48832,22.10892
68.29752,37.48844,32.11732
63.35344,17.49692,12.12528
62.6472,27.53048,22.13484
53.3384,37.52288,32.15224
63.34124,17.52192,12.15932
43.34952,27.51764,22.16068
53.36236,37.565,32.16908
74.09848,17.55588,12.17724
44.67992,53.67624,22.18556
69.58728,37.56764,32.20688
63.38928,17.5978,12.21096
65.7928,57.59156,22.21148
75.82624,37.59052,32.22088
72.82184,17.60184,42.2292
43.46012,27.6142,22.23724
83.42668,37.62432,32.25472
67.21268,17.62384,12.2616
43.43776,27.63208,22.2644
54.71948,37.65152,32.27268
78.4496,17.65784,12.27976
44.75044,27.65788,22.28832
57.25392,37.66652,32.3094
82.83316,43.83884,12.31452
45.30696,27.68424,22.31512
71.83472,37.69272,62.32448
63.50152,17.6996,12.33156
63.06632,27.74756,22.33996
53.53276,37.7176,32.35828
93.53132,17.72484,42.36672
43.52612,27.73312,22.36684
57.86264,37.7648,32.3752
84.70312,17.74984,12.382
46.08144,27.75816,22.39164
77.19308,37.78392,32.413
63.56152,17.76456,12.4172
62.89188,57.77184,22.4176
53.57436,37.79244,32.42592
63.59804,17.8248,12.43512
43.6288,27.81708,22.44332
53.61068,37.80516,62.46204
93.61856,17.82552,12.46808
43.61204,27.85924,52.46944
53.62576,37.8516,32.4788
74.36544,17.8548,12.48588
48.00816,27.86012,22.49444
68.62456,37.89336,32.5156
63.66844,17.88476,12.51964
73.6638,27.87152,22.52116
53.676,67.89892,32.52952
68.02168,17.92692,12.53676
73.71252,27.91888,22.54612
57.4724,37.91944,32.56328
86.0888,17.92768,42.57276
50.52404,55.8082,22.57296
83.71436,37.95656,32.58128
63.73044,47.95352,42.5896
43.7652,27.964,22.59672
53.74412,37.99564,32.61912
65.01412,17.98652,12.62332
43.74676,27.98708,22.62376
68.17492,37.98264,32.63228
87.42716,18.02884,12.63912
48.12272,28.02088,22.64956
77.44908,38.02152,62.66812
63.79432,18.01604,12.6784
43.795,28.06304,22.67464
53.80632,38.05536,32.68372
63.81356,45.747,12.69208
43.85276,28.06984,22.70056
58.15044,38.09744,32.726
78.26084,18.08816,12.72572
43.8392,28.089,22.7262
68.2674,38.09728,32.73572
93.86652,18.13068,12.74276
59.53928,28.12288,22.75228
53.8798,38.123,62.77072
63.87496,18.13036,12.78092
43.88352,28.14864,22.77808
53.89484,38.15724,32.78736
63.90404,18.15644,12.79456
43.94312,28.16476,22.80292
83.91564,38.186,32.82512
