CLIENT WRITE,SERVER NOTIFY
28.34388,42.22058
78.35878,42.22926
28.3614,42.2304
28.37158,42.24103
28.38394,42.24177
28.38617,42.28488
28.40691,92.25563
28.4096,42.26449
28.44451,42.26568
78.43301,42.27474
78.45371,42.27802
28.45534,42.32793
28.47667,42.28954
28.49307,42.29863
78.50002,42.30112
78.52045,42.31001
78.52271,42.31122
28.52451,42.35409
28.55318,42.32364
28.54811,42.33263
28.57496,92.33631
78.57128,92.34557
28.45203,42.34632
78.60223,42.39627
28.61438,42.35776
28.61661,42.36917
28.63812,42.37044
28.50101,42.37929
28.65011,42.3805
78.66306,92.42495
28.6647,42.39403
28.6863,42.40305
28.68831,42.40533
28.7233,42.41431
28.71754,42.41572
28.59274,42.46268
78.26131,42.42945
28.2639,42.43865
28.27413,92.4409
28.26846,42.44859
28.27175,42.45122
78.27321,42.49279
78.2949,42.46229
28.27771,42.47244
28.27999,42.4737
28.28329,42.48375
28.2854,42.4852
28.15532,42.53607
28.15018,42.49735
28.29175,42.5066
28.29385,42.50879
28.2972,92.51968
28.16708,42.52016
28.3007,42.56239
28.30296,42.532
28.33566,42.54283
28.3384,42.54388
28.34883,42.55325
28.36254,42.55526
28.24349,42.60528
28.38403,42.56777
28.38609,42.57699
28.41465,42.57955
28.40896,42.58867
28.41841,42.58957
78.43316,42.63192
28.45304,42.60197
28.46331,42.61103
28.47599,42.6122
28.47801,42.62192
28.49967,92.67904
28.29529,42.63475
28.51225,42.63619
28.52494,42.6461
28.52702,42.64756
28.54743,42.65762
28.55168,42.68795
28.58034,42.66996
78.57345,42.67123
28.45443,42.68041
28.59662,42.68273
28.61725,42.69273
28.62735,42.73491
28.63997,42.70413
28.6433,92.70803
78.66327,42.71675
28.66504,42.71783
28.6815,42.72698
78.68897,42.77798
28.57013,42.7392
78.71156,42.74056
28.71324,42.75
28.74196,42.7675
28.75563,42.77656
28.76399,42.81416
78.77895,42.77798
28.64142,42.78
78.80957,42.78764
28.80314,42.78859
28.80636,42.80505
28.82705,42.8314
28.83507,42.81297
28.85859,42.81447
78.87059,42.82788
78.87273,42.8292
28.8755,42.8319
28.89588,42.87346
28.43308,42.84554
28.42725,42.84654
28.43057,42.86344
28.29272,42.86507
28.43456,42.86768
28.44461,42.90063
28.43881,42.87827
28.4408,42.88032
28.45006,92.89083
28.44727,42.89063
28.45749,42.90009
28.45053,42.95186
28.45244,42.91322
28.45462,42.91436
78.47732,42.92355
28.31957,42.92589
28.32323,42.93487
28.32532,42.97027
78.49788,42.95839
28.50763,42.95985
28.50174,42.95993
28.52206,42.96127
28.52538,93.02401
28.53358,92.97608
78.55651,42.98945
78.56923,42.99103
28.43181,42.99444
28.57294,42.99682
28.59358,43.03418
28.62221,43.00783
28.62371,43.01755
28.62079,43.01895
28.64126,43.02799
78.66252,43.03028
28.66278,43.08969
28.68353,43.04168
28.69275,43.05127
28.68977,43.0542
78.7176,43.06435
28.71116,43.0658
28.73283,43.10865
28.73468,43.08799
28.75529,43.10039
28.76671,43.10148
28.38611,43.10282
78.78086,93.15357
78.80224,43.11193
28.80377,43.11435
28.83258,43.12429
28.82638,43.12571
28.84899,43.13352
78.71144,43.16263
28.73134,43.14606
28.8811,43.14727
28.89382,43.15644
28.89598,43.15792
28.91629,43.16759
28.91945,43.20959
28.94926,43.17915
28.80317,43.18133
28.9445,43.19051
28.96483,43.19163
28.98553,43.20186
28.9957,43.23723
29.00928,43.21455
29.0116,43.21563
29.01445,43.22476
28.89478,43.22786
29.04493,43.23736
29.05753,93.28107
28.58679,43.2518
28.58994,43.25193
28.9255,43.2658
28.46256,43.26742
78.59647,43.27318
28.59834,43.30295
28.60155,43.2836
78.62278,43.28595
28.46682,43.29629
28.60763,43.2974
28.60954,43.30692
28.61281,43.3502
28.62297,43.31977
28.47795,93.32289
28.61863,43.33042
28.62173,43.3324
28.62385,43.34332
28.6337,43.37745
28.62913,43.355
78.52203,43.35758
78.52478,43.36665
78.68962,43.36822
28.66837,43.37811
28.68906,43.41875
28.69728,43.39453
28.71254,43.3911
28.72273,43.39993
28.59591,43.4016
78.7372,43.41091
28.75821,43.44518
28.76668,43.42381
78.65003,43.42601
28.64443,43.43487
28.66461,43.43586
78.80684,43.44607
28.80857,43.4879
28.83731,43.45731
28.8384,43.45856
28.85898,43.46898
28.8561,43.47032
28.87528,43.47934
28.88533,43.51444
28.899,93.49406
28.9008,43.49435
28.92257,43.5038
78.94414,43.50554
28.94428,43.51606
28.94747,43.55806
28.968,43.5274
28.97115,43.53023
28.8594,43.54041
28.99349,43.54312
79.01448,43.56032
29.01632,43.58756
29.0181,43.56392
29.04799,43.56469
78.92083,43.57463
28.92309,43.57644
79.06435,43.58527
29.0855,43.6271
29.09569,43.59783
29.10816,43.59865
29.11234,43.60792
28.59206,93.61061
79.15797,43.61964
29.15422,43.65585
29.15638,43.63185
29.16049,43.63335
29.18109,43.64298
79.20897,43.6441
79.20293,43.65282
29.20546,43.696
29.22607,43.66629
28.75515,43.66748
28.76654,43.67665
78.76,43.67886
78.76218,43.68909
28.76484,93.72444
28.76676,43.70053
28.77695,43.70288
28.7714,43.71216
28.77459,43.7141
28.7767,43.72363
28.63804,43.76218
78.78862,43.73573
28.78337,43.73691
28.78557,93.74735
28.78872,93.74966
28.64923,43.75732
78.80022,93.79287
28.79475,43.7697
28.82738,43.77238
28.8296,43.78117
28.83859,43.78235
28.86239,43.79296
78.85573,43.83071
28.73679,43.80491
28.87788,43.80616
28.88001,43.81629
28.90973,43.81753
28.90515,43.82686
78.78584,93.86337
28.92652,93.84149
28.94688,43.84115
28.95721,43.85037
28.97097,43.853
28.97304,43.86289
28.99359,43.90073
28.99672,43.87428
79.02467,43.8766
79.01891,43.88567
29.03991,43.88676
29.04219,43.89614
29.06254,43.93112
29.07277,43.90846
29.07326,43.91065
29.08871,43.91974
79.10864,43.92242
28.97201,43.93154
29.12089,43.97327
29.13449,43.94361
29.13662,43.94579
29.15695,43.95501
29.15913,43.95624
29.18788,43.96646
29.18408,94.00274
79.20394,43.97894
29.06639,43.97989
79.22775,43.99048
79.22847,43.99124
29.24961,44.00156
29.25172,44.03964
29.27236,44.01395
79.2829,44.01515
29.1561,44.02447
29.29815,94.02703
29.31867,44.03577
29.32096,44.06962
29.34946,44.047
29.34479,44.04941
29.34668,44.05993
29.36726,44.06119
29.37574,44.06993
29.39921,44.11283
28.92059,44.08214
28.92134,44.08441
28.92438,44.09365
28.92653,44.09578
28.93649,44.10509
28.9318,44.13904
28.93393,44.1175
28.83656,44.11995
28.93755,44.12877
28.94765,44.13011
28.94294,44.13932
28.94509,44.18329
28.94726,44.15252
28.95036,44.15389
28.9604,44.16295
28.95459,44.16519
28.95641,44.17427
28.95859,44.20854
28.96698,44.1867
79.00243,44.18803
28.85702,44.19705
28.99827,44.19939
79.01923,44.20983
29.0219,94.25281
29.05054,94.2221
29.04453,44.22245
29.05287,44.23332
29.0684,44.23442
28.94951,44.2437
79.09867,44.27368
29.11177,44.25601
29.11397,44.25819
29.1344,44.2674
29.13656,44.27007
29.15298,94.33283
79.15988,44.28108
79.18044,44.29123
79.18336,44.29337
29.185,44.30271
29.21373,44.3038
29.2098,44.34175
29.08995,44.31619
29.23121,44.32535
29.25274,44.32653
29.26284,94.3372
29.27557,94.38796
29.27776,44.34928
29.29831,44.35042
29.30663,44.35986
29.32994,44.36163
29.18495,44.37082
29.3443,44.4019
29.34645,44.38331
29.3671,44.38561
29.37738,44.3948
29.37884,44.3959
29.39413,44.40745
79.41384,44.4492
79.43599,94.41979
29.43623,44.41975
29.4395,44.42977
29.45987,44.43219
29.46304,44.44123
29.49153,44.47527
28.92743,44.45363
29.34805,44.45476
79.50877,44.46402
29.51049,44.46515
29.53904,44.47531
29.5341,44.5173
29.55586,44.48807
29.55795,44.48994
29.08581,44.49913
29.09591,94.50181
29.09109,94.55563
29.09305,94.51422
29.0963,44.5229
79.12541,44.52406
28.95973,44.53332
79.1023,44.53552
29.10499,44.58254
29.1071,44.54777
29.11751,44.55721
29.11783,44.55926
78.97516,44.56841
28.97747,44.57069
79.13864,44.61275
29.12028,44.58306
29.1226,44.59214
29.12689,94.59482
79.15881,44.60264
79.16925,44.6047
29.16298,44.6549
29.18432,44.61637
29.0473,44.62555
29.18838,44.6286
29.21699,44.63782
29.21104,44.63905
29.23166,44.68189
29.23459,44.6514
29.25525,44.6617
29.26644,44.66269
29.13877,44.67307
29.28005,44.67403
29.30165,44.72405
29.30479,44.68682
79.33279,44.6967
29.18744,44.69796
79.34755,44.70698
29.35009,44.7084
29.37075,44.75236
29.38716,44.7218
29.39986,44.73095
29.39695,44.73206
29.04334,44.74214
79.43918,44.74349
29.43951,44.79333
29.44183,44.75486
29.46229,44.76539
29.46657,44.76626
29.49499,44.77672
29.3488,44.7785
29.50851,44.82069
29.51154,44.79009
29.5136,44.79925
29.54857,44.80236
29.41586,44.81156
29.41794,94.86665
79.55944,94.82433
29.58055,44.82548
29.59085,44.83538
29.60943,44.83671
29.17056,44.84597
29.4876,44.8768
29.62876,44.85813
29.65745,44.86045
29.65796,44.86961
79.67276,44.87181
79.67495,44.88094
29.69605,44.92286
29.70631,44.89232
29.71865,44.8948
29.24907,44.9041
79.25045,44.90485
29.58693,44.91403
79.26299,44.9501
79.25824,44.92745
29.26006,44.92862
29.26188,44.93884
29.27038,44.94009
29.13544,44.95022
29.26914,44.9921
29.27141,44.96282
29.27453,44.96415
29.27638,94.97533
29.28644,44.97544
29.28071,44.98539
29.28248,45.01927
29.28577,44.99673
29.2891,44.99798
79.32941,45.00901
29.32307,45.01038
29.32491,45.01934
29.34543,45.06158
79.34809,45.03233
79.37764,95.03457
29.37142,45.04235
29.39182,45.04356
29.39403,45.05406
29.41461,45.08876
29.42681,45.06602
79.43891,45.06725
29.44045,45.07734
29.46096,45.07867
29.46421,45.08892
29.28609,45.13217
79.48739,45.10152
29.48897,95.10384
29.5096,95.11299
29.51165,95.11535
29.5467,45.12407
29.53664,45.15803
29.4168,45.13557
79.55801,45.13763
29.57921,45.14788
29.58946,45.149
29.60179,45.1582
29.61014,45.20147
79.62491,45.17095
79.6478,45.1717
29.6481,45.18089
29.65021,45.18355
29.65885,95.23831
29.67935,45.19451
29.68508,45.20458
79.69702,45.20689
79.71766,45.21615
29.71928,45.21736
29.73994,45.26334
29.75095,45.23115
29.74627,45.23977
79.76609,45.24112
79.768,45.25026
79.79118,45.25285
29.79145,45.29546
29.81162,45.26482
29.81382,45.27393
29.8345,45.2763
29.84569,45.28533
29.85822,45.28767
29.86018,45.33754
29.88198,45.30029
29.74385,45.30922
29.42089,95.31187
29.41522,95.32131
29.41737,45.32215
29.42079,45.36363
29.28291,45.33313
79.433,45.34335
29.42667,45.34555
29.42887,45.35472
29.43187,45.35601
29.435,45.40698
29.30524,45.36823
29.29929,45.37841
29.44089,45.37973
29.44295,45.39019
29.44532,45.39142
29.46166,45.433
29.45074,45.40354
29.31369,45.41374
29.48485,45.41482
29.48808,45.424
29.50449,45.42514
29.49872,45.47756
29.5194,45.43896
