1024B,128B,12B
50.00106,28.56253,42.22058
50.03887,28.56203,42.22926
50.00715,28.55198,42.2304
89.95612,28.5654,42.24103
89.93983,28.58971,42.24177
50.03288,28.5855,42.28488
50.04284,74.78236,92.25563
50.07208,78.59107,42.26449
91.2243,28.61055,42.26568
88.72604,28.60769,42.27474
81.88319,28.61164,42.27802
49.87686,78.62226,42.32793
50.0864,28.62313,42.28954
50.08927,28.62958,42.29863
50.11951,28.63349,42.30112
131.9105,28.64566,42.31001
91.28079,28.65816,42.31122
77.75464,28.66056,42.35409
50.13539,28.65617,42.32364
50.1339,28.66934,42.33263
50.16112,28.66745,92.33631
50.13938,28.68114,92.34557
93.38525,28.51399,42.34632
75.14808,78.69563,42.39627
76.39717,28.70663,42.35776
73.98481,28.70782,42.36917
50.20181,28.69323,42.37044
50.18016,28.54894,42.37929
50.1987,28.73029,42.3805
132.02348,28.73288,92.42495
82.03447,28.73148,42.39403
83.33937,28.7446,42.40305
76.54142,28.57927,42.40533
50.22658,28.76574,42.41431
50.23682,28.75733,42.41572
50.23464,74.94764,42.46268
137.81828,28.78375,42.42945
90.19555,28.60125,42.43865
82.09542,28.76269,92.4409
75.27338,28.77561,42.44859
50.29136,28.78626,42.45122
50.28355,28.8084,42.49279
132.11963,28.62283,42.46229
92.17335,28.81304,42.47244
86.4898,28.82359,42.4737
50.33214,28.82273,42.48375
50.31058,28.80805,42.4852
50.3213,28.65022,42.53607
50.3321,28.83276,42.49735
50.33921,28.84159,42.5066
127.33106,75.03879,42.50879
92.27054,78.83654,92.51968
50.36563,28.69901,42.52016
50.3701,28.86722,42.56239
50.36888,28.86621,42.532
50.37931,28.87928,42.54283
83.50133,28.89184,42.54388
50.43238,28.72501,42.55325
50.39284,28.87647,42.55526
50.42092,28.88954,42.60528
84.80629,28.91351,42.56777
50.43231,28.90987,42.57699
50.435,28.74274,42.57955
139.84192,28.92385,42.58867
132.25105,78.92983,42.58957
84.83638,28.93261,42.63192
76.69912,28.9191,42.60197
50.46585,28.76509,42.61103
50.46776,28.9427,42.6122
50.50102,28.96874,42.62192
50.47539,28.96034,92.67904
88.05038,28.97333,42.63475
81.03755,28.81285,42.63619
50.51777,28.9945,42.6461
50.51637,28.97981,42.64756
50.54076,28.99918,42.65762
50.52329,29.00962,42.68795
50.53757,28.83394,42.66996
128.61782,28.99025,42.67123
78.63635,29.00257,42.68041
50.56302,29.0151,42.68273
50.59688,29.02377,42.69273
50.56459,28.85152,42.73491
50.57636,29.03565,42.70413
50.58709,29.05216,92.70803
91.22939,29.05138,42.71675
95.60897,29.03697,42.71783
90.01174,28.87909,42.72698
74.41361,29.07484,42.77798
75.60884,29.07039,42.7392
50.62479,76.70049,42.74056
50.63631,79.06615,42.75
50.63947,79.09908,42.7675
50.67284,29.1001,42.77656
50.64292,79.08563,42.81416
129.93975,29.09361,42.77798
81.20686,29.11742,42.78
78.76283,29.11574,42.78764
50.67898,29.12166,42.78859
50.71572,29.13486,42.80505
50.69111,29.14017,42.8314
50.69749,29.14461,42.81297
126.29773,29.128,42.81447
125.11277,29.14126,42.82788
136.91852,29.15158,42.8292
123.78106,29.1777,42.8319
78.81745,79.16052,42.87346
50.75112,29.17934,42.84554
50.74955,29.18979,42.84654
50.76421,29.19305,42.86344
50.76512,29.17843,42.86507
136.95067,29.19166,42.86768
86.95104,29.20004,42.90063
90.16595,29.21287,42.87827
90.17175,29.21177,42.88032
82.62578,79.22229,92.89083
50.81934,29.24128,42.89063
50.83004,79.24801,42.90009
50.84297,79.22839,42.95186
50.83679,29.23513,42.91322
137.00229,79.2655,42.91436
88.96544,79.26386,42.92355
