32 chunks,16 chunks,2 chunks
116.75729,61.54924,17.21088
114.57682,61.67164,18.13467
127.76119,61.05936,15.74878
112.43095,100.1884,17.13667
116.7151,63.48855,18.13857
116.71697,56.75077,15.7265
114.80371,59.22134,17.30874
126.50422,61.42822,18.12838
115.54446,90.37344,15.70706
143.77576,59.3803,17.22709
122.53985,62.66755,33.88128
114.75286,91.95339,15.69824
115.51849,59.01733,28.36379
114.81622,62.91395,18.20471
150.20305,60.79083,15.73491
158.38783,97.05854,17.23425
115.02658,114.59241,18.25438
110.09661,60.73764,15.73401
106.86082,61.70256,20.97279
130.24835,60.65582,18.1895
124.78479,59.45858,19.9499
112.50333,74.92719,17.26017
136.99035,57.95843,18.19075
149.8915,91.80971,30.41445
113.56009,62.96684,20.87918
116.77056,58.84807,29.40658
140.79405,62.59138,14.85154
111.08359,64.29653,17.08869
116.01286,62.73961,18.2032
114.66762,81.35534,19.96384
149.7334,61.41816,21.04128
124.47826,61.28138,18.05079
116.06549,59.4749,15.74198
113.14903,61.77088,24.18342
112.47092,68.87835,18.03823
175.52569,59.04806,15.75072
115.71642,90.90798,31.97225
111.9818,85.27059,22.68496
111.83664,63.03631,17.57584
116.37741,59.06479,17.16973
121.97782,61.44065,18.06305
115.09465,60.76391,15.80679
116.23969,70.44458,17.14093
111.26147,63.06406,18.06521
155.62833,58.97672,15.76424
109.75098,63.17395,17.25377
111.12099,61.89003,31.48585
154.86373,65.52868,18.72431
109.91378,62.02276,17.28585
111.85229,100.84124,18.07036
134.84528,59.60897,15.77413
111.13135,61.8587,29.47463
154.01107,59.06113,18.05316
109.84102,63.25224,15.77959
116.28927,62.0275,17.26229
107.13024,89.66274,18.17996
128.09265,61.95385,15.83398
112.78506,62.035,20.94261
111.03092,61.96886,18.19252
141.16872,61.49722,27.50961
144.58222,70.65458,17.29323
142.70016,59.61231,18.22769
109.69701,74.09924,32.18433
109.25392,60.65228,15.63408
116.52714,60.39752,20.89253
122.42702,61.56791,15.83219
169.43252,63.3901,17.27079
113.06185,62.0915,18.24261
123.82589,89.74696,15.80622
113.0819,62.04802,17.26927
122.46646,98.11332,18.19476
122.79631,62.0278,15.85398
111.30759,62.01875,31.7443
117.17566,101.73581,19.32424
112.48453,91.18146,15.79909
115.7051,59.66369,17.47637
110.31815,62.09016,18.19927
108.03082,60.99566,15.81517
110.45333,63.06233,17.3063
107.03713,64.68276,18.24681
120.4031,61.63572,15.82184
146.36139,59.17547,17.29713
148.66396,85.98292,18.2789
109.38243,69.95772,15.82018
122.83695,59.20101,17.32409
111.63888,86.37742,19.59766
148.58524,69.72719,15.82301
158.8985,60.64631,17.31491
106.93789,62.24543,18.10401
126.36338,63.47883,15.83102
116.94279,64.7827,17.31372
118.11706,62.2046,18.22171
132.60828,62.26798,15.83342
141.66935,59.87208,17.34043
113.84558,61.96676,18.22541
114.99018,59.78515,15.87048
113.83252,87.08615,17.32347
176.56182,63.36846,18.23509
113.92533,59.3088,25.98557
116.96448,99.15697,17.1814
144.47359,62.41191,18.13814
110.37868,60.57459,29.36772
116.43879,65.43785,20.97744
113.45673,61.8028,18.29639
116.45448,70.71758,15.84412
146.86902,62.33189,17.32795
115.16035,60.62212,21.89567
124.65918,59.9569,15.8509
143.7638,58.74135,17.32165
118.01922,68.61891,18.15507
115.77158,87.17536,15.83413
110.4124,62.37834,38.59605
110.95324,85.50805,21.90837
131.70667,59.53534,15.86786
111.72503,63.59485,31.2793
107.38962,97.09803,19.3593
145.67073,63.06471,15.86841
108.16886,64.28427,17.34337
158.01758,63.32697,18.1209
110.6787,62.39737,15.90091
112.68561,59.4503,17.35025
188.79017,86.59886,18.16841
113.29614,60.17374,15.8578
178.63361,93.99286,17.36118
107.00519,60.83492,22.18389
115.08667,61.17928,15.83908
117.69884,61.27925,17.33767
117.18993,59.5585,18.2936
137.0792,73.14758,15.8724
115.19742,59.98951,17.38268
118.08359,135.2897,18.29957
112.64483,61.45969,15.8543
112.62883,62.17767,17.36166
126.00166,60.02896,18.32313
114.69723,62.57824,15.87307
108.20842,59.53226,17.37663
111.75312,60.08396,18.27509
174.47852,94.09376,15.88863
109.68307,60.93605,17.36337
124.65844,61.39453,18.30801
115.22093,59.56324,30.63417
111.49154,60.05809,17.34444
114.60656,94.12617,18.3199
112.99813,87.77349,15.88296
123.47436,60.20448,17.36507
117.07527,59.04328,18.30521
114.11046,61.38007,15.88566
111.38145,59.57792,17.3639
136.59475,75.02637,18.357
195.4375,64.44549,15.8892
138.26679,63.82406,17.37474
112.59326,61.27651,18.3234
112.69091,62.54677,15.90717
118.07502,62.57766,32.15843
125.12034,61.69123,20.63117
112.97254,57.6963,15.89086
116.40253,91.58187,17.37248
117.09831,59.76792,18.33522
124.7156,63.84522,15.9067
113.54045,62.77971,17.39134
110.4557,62.10847,18.34297
117.11864,93.86429,15.91303
113.49326,69.22699,17.38621
123.42854,62.72071,18.33881
112.29178,61.17528,15.88713
155.91182,62.59531,17.39708
114.68151,60.9688,18.34876
109.36779,61.22177,15.92713
116.08232,62.58039,17.38784
116.41019,82.04596,18.35056
148.57745,60.37128,15.90189
113.27391,60.94373,17.40279
111.41012,60.91897,18.39889
136.41621,59.2556,15.88718
125.16598,61.10225,17.40562
143.20882,80.97218,18.36229
116.86208,59.12055,20.12971
113.52142,86.56451,21.16224
117.13551,86.08113,18.3439
119.34642,72.65429,31.24639
146.26092,65.65903,17.30622
115.20245,57.83771,18.34097
115.22172,86.08856,20.13352
115.62572,63.93096,17.40206
114.25357,58.97263,18.35878
126.54219,63.92548,15.92482
117.58345,59.80968,17.42106
118.50793,63.95851,18.37468
113.41641,69.6817,15.94354
115.23255,66.95517,17.4158
137.2336,65.63801,18.34637
160.64509,59.77957,20.15308
115.66459,87.53297,17.68625
114.24369,59.18596,18.35509
110.11118,61.52816,15.94519
128.21661,63.56482,24.38784
129.155,57.90974,18.21526
114.78992,92.34746,20.12858
116.66015,64.02982,24.37722
111.67024,59.79913,18.23625
115.42468,71.9032,15.925
181.10953,65.71069,17.41117
114.63977,61.65409,18.25356
110.36643,83.64593,15.91829
111.67474,61.73617,17.43813
110.89649,86.07739,18.2347
119.24537,61.12826,15.94261
127.12902,57.97654,17.46167
116.5899,62.87175,24.18006
114.29713,60.39501,15.90674
112.94625,62.91969,17.43586
137.22105,61.86556,18.37794
125.74309,60.56127,15.93268
114.33196,80.6773,17.46803
116.0642,60.3242,18.39012
111.36456,59.96515,15.93313
128.88924,97.45217,17.45361
120.88936,62.72216,18.2976
113.99776,61.46244,29.38619
113.47634,61.31446,17.43234
111.68234,61.66104,18.38747
120.61316,62.51836,27.66558
148.89862,60.00535,17.47604
111.21313,79.36466,18.26275
116.62508,61.84684,15.95985
117.26517,63.66797,17.48338
112.91508,101.85595,18.30955
155.43355,72.48611,15.9672
117.27993,59.74077,17.46498
114.9102,92.5626,18.4021
114.41488,64.37218,15.9849
116.14573,62.07029,31.46936
169.29204,61.75313,19.52438
118.31983,61.5775,15.96859
115.44455,92.71,19.70298
112.90039,88.97058,18.25021
118.51116,83.74752,15.98159
166.21965,64.43328,17.47333
129.4715,61.38133,18.27801
117.44449,90.12634,15.98842
113.81641,97.67528,17.46838
116.16523,61.55011,18.27789
135.54553,99.84704,20.20585
111.47996,64.45949,17.51803
140.552,63.75656,18.42048
117.40103,58.57466,15.99487
111.09979,92.80511,17.48992
120.75349,60.62829,16.18479
117.52295,61.86404,15.95462
116.62257,61.61131,17.47288
116.62894,63.28297,18.43537
117.10855,61.89693,15.99206
114.48155,61.62269,17.49558
122.97227,73.07056,18.42903
114.31668,60.26364,16.00863
117.48553,59.9337,24.45133
113.065,88.21306,18.28626
113.89322,73.36498,30.72078
128.00046,60.35913,17.48553
124.73762,59.91744,18.35442
113.46911,63.17106,30.07709
113.89399,62.21736,17.49619
113.91108,61.95915,18.34482
128.5842,63.42124,16.03484
