1024B,128B,12B
17.21088,10.18797,14.77468
18.13467,13.59917,10.84744
15.74878,11.21629,17.25378
17.13667,9.98333,10.84378
18.13857,13.56784,23.30759
15.7265,12.42543,10.95773
17.30874,10.19339,14.56449
18.12838,13.59548,10.94931
15.70706,11.22361,11.02116
17.22709,10.00327,13.60556
33.88128,13.57949,11.94432
15.69824,12.42319,15.80589
28.36379,10.20692,10.85537
18.20471,13.61402,15.84781
15.73491,11.30188,11.05862
17.23425,9.99919,19.63097
18.25438,13.57171,11.91123
15.73401,12.47087,15.06495
20.97279,10.23449,10.9165
18.1895,13.61949,15.78479
19.9499,11.31936,11.08613
17.26017,17.51882,13.64822
18.19075,9.83774,11.98294
30.41445,14.54521,11.00683
20.87918,10.02688,18.201
29.40658,13.62307,11.94208
14.85154,13.71922,11.07041
17.08869,9.87499,13.65198
18.2032,10.8185,18.01701
19.96384,9.95654,10.93075
21.04128,10.06239,11.71696
18.05079,13.60653,10.93755
15.74198,11.36798,11.10215
24.18342,10.02974,13.79024
18.03823,18.57883,12.0099
15.75072,12.45625,11.03978
31.97225,10.24144,13.67016
22.68496,13.64368,21.60587
17.57584,11.32767,11.10118
17.16973,12.88023,13.79564
18.06305,9.85621,12.05497
15.80679,10.84893,10.9272
17.14093,10.05558,13.65566
18.06521,13.64113,12.07593
15.76424,11.41098,11.13708
17.25377,10.04457,13.78106
31.48585,13.60672,12.08217
18.72431,22.46118,11.05056
17.28585,10.20015,13.67551
18.07036,13.61046,12.02797
15.77413,11.40796,18.45677
29.47463,10.05079,10.95953
18.05316,13.61419,14.67519
15.77959,24.9647,11.03269
17.26229,8.79609,13.57477
18.17996,13.63355,12.08952
15.83398,11.39003,11.15159
20.94261,10.03624,13.8416
18.19252,13.62583,12.13213
27.50961,12.62732,11.0547
17.29323,17.7606,13.82093
18.22769,9.91519,12.07732
32.18433,17.13472,11.17577
15.63408,10.00044,20.77923
20.89253,13.6405,12.05929
15.83219,12.59827,11.07369
17.27079,23.98986,13.69788
18.24261,9.92048,11.80599
15.80622,14.62215,11.17529
