"1024B","128B","12B"
87.81727,45.17011,64.21186
99.38741,46.48994,74.20299
107.83888,55.83442,74.30521
119.7647,65.37827,84.29618
127.8366,77.89533,94.30315
29.07695,84.81265,104.2742
47.79432,94.14179,114.2652
49.06222,106.4157,134.2326
57.88735,113.00358,34.27465
69.04679,125.74657,44.26965
77.84136,31.15984,54.27653
89.23644,39.6581,64.27955
97.85502,49.14111,74.27452
109.07409,59.78513,84.28146
117.8647,72.51164,94.26475
129.40675,78.60499,104.27153
37.87388,88.0841,114.24669
49.07724,97.7276,124.2577
57.85579,106.9934,124.97786
69.01917,119.4908,34.3027
77.83767,126.63809,54.29004
8.9448,34.66047,55.70092
97.77587,46.68812,64.29158
109.34671,53.83792,74.31047
107.93236,66.70695,84.32539
129.4085,75.52252,194.32094
27.90196,81.53173,104.32334
39.28516,12.37415,114.3303
47.90769,101.26881,124.32531
59.13058,110.7463,34.28816
69.35429,124.60877,44.31097
79.47569,135.265,55.71035
87.90705,36.50869,64.22152
99.13018,46.04208,64.69559
107.92073,59.76357,84.30296
119.11994,66.49493,84.40128
127.93445,75.25676,94.38023
29.20534,84.78734,114.32381
37.96355,94.93385,114.35441
49.18241,104.31975,124.37341
57.94548,113.54742,144.3327
69.16899,20.92541,44.36692
77.95109,30.78371,54.36178
89.18201,43.77885,64.37273
98.02259,49.74658,74.37569
109.13997,59.11979,84.38655
117.96648,70.88152,94.34198
129.17328,79.03543,104.33697
37.96372,88.66858,114.33199
49.17079,98.2206,124.34702
57.9218,108.58394,134.36568
69.5125,116.84475,34.39192
77.94328,126.54274,44.63841
89.16612,136.72919,54.40585
97.86165,47.07644,64.4008
109.12806,53.94449,74.59315
108.60147,62.34003,84.41075
119.54838,76.03254,94.42173
137.94041,81.64443,104.40871
139.21505,92.59916,114.37943
47.98943,101.70204,124.43457
59.23611,110.22773,34.37741
67.9951,120.04673,44.6319
79.22603,29.17153,54.38747
88.00076,38.36225,64.39041
99.20388,47.71335,64.48877
108.01838,56.44039,84.40036
119.22147,67.13278,84.48667
128.01616,75.29085,94.44189
139.17515,88.75258,105.97072
38.12597,94.23259,114.44376
49.29688,104.11428,124.44677
58.031,114.81928,34.47723
69.60514,25.39333,44.48011
78.03262,34.3741,54.47117
99.48734,44.22134,64.486
