1024B,128B,12B
11.38565,11.57801,12.59685
10.27205,9.0953,11.6972
11.30152,12.86236,14.32582
6.6796,15.4561,19.01028
7.00259,10.84895,15.15792
14.19881,7.01497,14.00594
11.0254,12.80103,13.4199
8.04966,15.6851,12.40524
12.44664,13.81116,14.70635
5.9091,10.57297,11.83201
6.32818,12.75309,9.06761
6.01516,12.96033,12.37916
10.817,13.68916,14.01865
6.49787,15.87349,15.39891
9.03177,14.0025,14.39121
6.14316,13.04717,7.54498
11.87047,13.7589,11.58899
8.2324,12.29328,22.6657
8.789,11.65523,11.76433
6.79184,10.93776,11.49271
6.71428,15.36667,11.70957
11.74992,6.11194,13.84648
7.37494,11.69407,11.78562
6.51465,10.8911,15.18843
12.43562,11.56696,14.73162
21.40321,11.30468,13.49731
8.39414,6.26379,11.73983
6.28238,11.28782,11.88439
8.79921,11.28569,12.44011
7.84392,13.27556,12.25386
7.92961,12.6271,14.76113
5.93075,9.08485,17.86105
14.64641,12.9614,11.49891
12.27282,23.78172,12.16635
8.7494,15.66847,12.60018
7.84114,13.01382,12.32066
9.25053,21.43865,15.96708
7.92255,10.9359,12.42832
12.39177,11.57605,13.81382
14.52598,11.85279,13.64238
14.53417,11.06548,11.85275
8.07274,15.72168,11.99819
6.7592,11.6519,22.09604
5.74789,7.86467,12.09128
9.28689,13.07122,10.98606
7.86274,12.1226,15.4549
9.2109,12.51152,12.04267
12.23897,11.32083,11.73091
7.50805,12.73244,11.67018
5.8915,11.42188,6.82397
13.2882,12.6512,11.84954
18.55094,11.54252,16.32283
14.33264,7.14793,14.8494
7.19542,21.02155,12.81312
8.25797,12.70268,11.61631
6.50817,12.91981,13.91241
10.91417,11.49721,16.42189
16.38923,8.01558,13.24786
7.83759,13.95194,13.76747
13.89563,11.30235,14.51567
8.82993,13.85728,15.67324
6.88201,11.2602,13.8704
6.84825,11.49073,11.80636
6.40625,16.81732,12.32427
7.12869,15.31814,16.46515
7.16936,13.8723,12.78851
8.01547,12.85128,10.5816
11.23895,13.7841,12.38958
8.60953,13.32679,12.84701
14.38031,13.47541,13.1101
13.54948,11.86075,13.53513
6.83622,14.63908,14.1326
6.912,12.46527,11.78836
8.44213,14.21933,12.94714
8.60868,11.71864,18.85363
8.4745,13.29041,8.5959
9.41457,14.03476,13.6447
9.0918,13.80973,14.04804
7.29169,15.07965,15.4832
8.89273,11.33662,13.43612
9.13447,14.61454,13.98006
13.93253,13.69132,11.91968
9.33362,6.53419,12.82225
15.31602,12.69276,9.64538
8.20931,14.00818,13.20545
15.00704,11.80887,14.94521
11.71068,15.3615,12.49517
10.40858,11.17372,14.12223
7.22578,11.51984,17.95078
19.17063,12.93004,16.23985
6.92917,13.4469,13.85859
7.92429,11.63677,16.35866
7.18573,13.28544,12.0509
15.45865,24.57323,13.83486
8.84659,12.13362,16.91661
11.0559,11.45539,11.7559
10.54854,13.0375,14.13974
10.51619,13.45887,12.40996
13.75897,11.20323,14.21055
9.22008,11.44838,17.60796
6.83356,11.53617,12.71933
8.2817,13.03991,13.21481
7.03304,18.51757,16.22603
7.98138,12.85605,13.01372
7.17039,13.38034,14.17865
9.98295,12.89327,16.38247
7.92849,15.84534,13.07026
7.70055,19.56659,13.39922
9.0975,11.48647,14.03126
7.87023,14.72494,13.85918
7.31982,22.87594,11.94755
10.6352,13.53685,7.23264
6.9978,12.75199,5.55426
11.12845,15.62741,2.87722
8.30225,12.36247,5.15234
12.06612,11.47312,2.37107
8.58675,13.46641,2.04341
6.31058,11.87762,4.17666
11.40595,13.01185,3.7853
7.56245,12.61548,5.0522
9.41648,14.14957,9.5591
6.40391,17.62689,3.04376
12.29277,12.32448,2.06123
6.79625,13.28266,4.22426
7.3188,11.36433,5.21339
8.95921,14.98222,9.27674
11.43801,13.42323,4.01261
6.32392,11.63199,6.52423
8.92023,12.57917,10.81028
8.80033,15.13524,4.85449
9.43883,14.74006,2.04187
6.22516,13.57707,1.85863
14.23843,14.40604,1.91469
8.6715,12.48795,10.04437
8.3879,13.10599,2.33992
7.77947,15.93476,7.6562
8.10951,14.24502,3.67278
7.51267,11.73093,4.12939
11.13779,11.4895,6.62479
8.69171,11.70989,3.91141
14.58241,13.6204,4.13305
13.0052,12.68036,3.89504
9.27506,11.89473,16.89931
8.60561,12.00272,4.5847
14.593,14.09656,5.28249
8.62468,15.04767,2.21282
7.08788,11.76491,2.81027
9.54361,13.28149,4.0045
7.15665,13.8802,3.66626
