"1024B","128B","12B"
73.12772,85.88575,85.44527
80.37011,98.75379,92.13653
87.38681,100.79737,100.81313
95.51591,106.60861,110.4973
101.8956,114.28348,117.74101
112.9698,121.38998,121.68642
116.73266,27.53033,29.71373
123.55609,33.45823,33.34907
29.74969,42.24321,142.5365
36.02387,47.72511,47.4716
42.71781,55.09151,58.56086
50.70939,61.72123,62.4216
58.81855,73.3324,69.59916
64.39293,80.06852,76.66388
13.19047,186.75155,83.27829
78.49333,90.66615,90.72666
87.66531,99.49723,97.85157
97.8172,107.86634,105.08942
101.79895,112.67562,112.24058
107.49613,119.35111,119.95897
114.73151,25.38892,25.10094
121.95697,32.08586,36.06106
41.65024,39.76294,38.61111
35.25777,46.58809,46.06845
41.19836,52.88964,53.01558
48.75668,60.2829,60.49632
55.99073,68.14732,68.75791
67.84492,74.66006,75.68459
70.09076,83.11545,82.88482
78.92562,89.17707,88.94788
84.24696,96.46265,96.70635
92.16596,103.51214,104.82297
102.8025,111.54944,112.46458
106.31356,117.69021,117.64737
113.7849,22.68825,128.45697
120.26888,33.80913,36.1037
25.02618,38.91089,38.34146
32.85286,44.5239,44.07938
40.22496,51.29726,51.68758
46.84818,58.65012,59.94157
54.81952,71.97248,66.54092
61.83836,73.07506,73.54501
68.54069,80.20273,80.62295
75.5288,87.72042,90.32986
84.12219,95.1221,95.47738
93.66371,107.93071,105.81848
96.9749,109.07388,110.6597
107.8141,117.61558,118.11623
113.47228,123.44058,124.22234
118.86757,28.15159,34.30579
126.04152,39.39444,35.45139
32.51433,43.29079,45.45148
38.85703,50.05757,50.46722
47.525,57.70221,57.39496
57.38065,64.30734,68.03185
59.64282,71.7028,76.17415
70.03237,80.0869,80.05335
77.16958,85.78773,88.33832
85.00284,93.54825,94.4555
88.38429,102.94463,100.44943
102.17068,110.36172,107.21933
103.64084,114.68089,116.53641
111.5365,121.95886,122.68457
117.16171,129.61684,26.90554
26.25102,34.00103,34.06569
29.19386,41.08581,41.06574
36.4355,52.02865,48.5002
43.71719,55.42352,55.84774
50.78445,63.39284,64.18649
57.94161,71.21745,69.82038
65.49582,80.00719,80.82826
77.95178,84.27643,85.39382
83.92575,91.48667,91.50304
88.30512,99.11887,98.88532
94.88939,105.78216,105.85066
110.432,113.59009,113.10177
110.35142,124.21064,120.80042
120.73698,128.84955,25.3676
123.46901,32.08437,15.06312
28.99182,43.48489,40.76532
34.78895,48.81814,49.14797
42.07533,54.63686,54.00426
49.06523,61.3799,66.23244
57.21852,69.02893,68.89616
64.37982,75.47381,75.50382
70.86474,83.8979,82.64056
79.0149,94.1097,91.17556
89.16766,102.08677,97.0781
93.29543,105.12389,104.37218
101.00079,112.41034,116.25673
107.42443,123.41688,119.61636
114.06908,126.05769,125.71183
121.25473,30.93884,32.05872
132.43908,37.93408,38.08951
34.09689,45.09492,46.73671
40.39701,52.24158,53.66999
48.92901,59.56692,59.82985
55.70127,66.76658,66.53475
61.99953,73.97688,75.14142
69.17065,81.06467,81.96457
77.15329,88.03319,88.75102
85.04178,95.47677,95.67669
90.85699,102.66815,106.53928
102.35963,109.93889,109.99322
105.36848,117.73359,117.58211
114.62144,21.91695,125.48859
122.53674,28.9485,29.39898
24.7186,36.18262,37.93393
31.72705,43.33292,43.73887
39.44412,52.22058,51.09288
46.02377,60.54686,58.85782
53.32344,65.33607,66.09081
62.39842,73.07263,81.31821
68.55762,79.46813,80.56945
75.64849,88.24424,87.45931
83.55093,94.11666,94.34209
90.21022,101.18291,101.17196
96.35518,108.15472,123.56121
103.65175,115.58693,115.38654
110.83645,122.6456,122.5988
118.76344,28.12946,30.35561
126.83848,35.5115,35.98118
34.54533,42.39085,42.16663
37.23432,53.18613,52.79074
45.18554,56.29337,57.17544
52.84982,67.70086,64.43468
59.6197,71.35895,70.88254
66.04282,77.97164,77.99455
73.99144,86.59573,86.32436
84.70897,93.04582,93.14059
87.73517,99.3914,100.2068
96.50019,106.83894,106.68592
105.7103,114.11947,114.05982
115.25437,123.14387,19.61235
116.51656,25.89862,25.92659
124.82007,33.36786,33.57006
131.42176,44.20333,40.27633
35.66947,49.53698,47.7116
43.54935,55.39343,55.68426
51.48033,61.85188,61.78817
58.15064,69.15672,68.99989
64.5503,76.65362,76.41146
72.76065,83.63279,83.97579
80.30084,92.2671,91.26368
86.32184,97.94876,101.76443
93.44792,105.13581,105.33296
100.89386,114.09459,113.09604
108.33692,16.99172,119.83878
115.16863,24.50437,24.60898
122.85172,35.44776,31.39567
129.73963,39.098,43.02109
