1024B,128B,12B
4.30237,12.66531,12.19175
7.94395,10.37334,15.5533
3.40163,5.51334,16.5467
7.72058,13.07457,4.67987
10.47519,12.15354,10.38609
3.85842,7.74555,6.64422
3.43676,13.00424,12.33151
8.04895,14.5676,15.00158
6.14237,13.95262,9.28866
5.5598,9.72092,17.53305
4.41936,10.70969,16.62937
11.60354,11.3628,14.58047
9.71835,6.52133,9.31349
7.53713,13.33642,10.59404
12.66688,14.18288,10.42629
5.21492,5.76295,4.90199
5.85998,5.5468,5.45085
12.18281,9.22479,10.47691
5.13349,7.41018,6.83926
4.96458,9.57332,16.18174
4.14805,7.98166,18.37482
9.73824,12.3169,15.84192
3.36224,5.40159,6.66044
6.75775,7.6339,5.27929
7.9911,11.41544,14.99421
4.77456,13.05915,5.53787
4.20177,13.51774,20.13866
8.18174,11.2129,12.35348
6.96793,10.98497,6.97066
5.16375,6.1722,10.68743
4.89921,15.9265,10.22635
3.16888,6.55751,19.27609
7.16092,6.9471,5.38493
7.9172,11.95781,13.95558
13.65686,13.45986,10.44161
3.24707,12.79252,5.25096
6.31617,5.89308,5.24158
7.99902,14.5047,13.10715
8.51832,6.46237,6.19255
3.30526,6.08709,15.22434
5.46847,17.48204,19.01399
10.51368,11.39748,11.43691
8.64746,6.41908,4.92386
6.79264,12.10319,11.38401
9.63659,14.359,15.4657
8.31994,7.02959,10.20242
3.6762,7.00796,19.29292
5.79529,10.97436,9.40352
8.56434,11.83142,5.1492
4.47951,5.4726,14.94439
5.73493,12.77552,5.57647
10.51307,5.40264,15.99295
5.08736,7.71696,5.13396
8.3015,15.21869,14.96911
12.98329,13.78794,16.98228
13.717,17.71736,15.07232
9.41032,7.47641,5.23668
3.27695,12.28995,10.88379
9.99601,11.9166,5.09873
3.86296,5.59938,11.64855
5.82444,11.70621,13.75897
12.65854,12.76324,6.81495
7.13511,5.56193,4.68745
4.39603,12.0032,4.99546
11.4972,13.98975,20.57331
3.68691,13.15282,16.58457
7.76111,6.31517,15.56967
5.29248,12.90237,12.86676
12.58988,13.41808,7.27999
3.49457,15.50884,12.52457
4.5422,12.31495,7.28494
9.44284,10.08244,14.92188
8.03592,8.56444,5.0038
4.70397,13.55613,15.21761
8.52172,11.97489,10.42239
6.20873,12.99151,6.21087
4.93582,7.68397,9.54897
7.8126,11.63249,6.21369
12.68449,6.10628,6.38169
11.76062,10.94673,10.27577
4.05957,8.78134,10.65229
8.59176,11.06937,11.74377
5.41437,8.04742,7.23476
3.18181,13.83287,13.81032
10.97443,13.97212,15.05478
3.60722,13.47298,5.1036
6.80787,10.35854,14.65559
5.68882,12.41046,5.14035
8.41545,13.68393,6.6497
6.14039,11.23625,23.82776
5.93074,11.47736,6.95048
9.80953,5.98148,7.95148
8.43649,13.30866,10.00904
7.61266,11.7517,13.0683
3.28665,15.46629,14.70364
8.4963,11.25875,4.98371
9.40444,11.39057,13.16173
8.06221,13.0901,7.7409
12.54964,8.08934,9.47477
3.40765,7.69726,13.74198
4.59932,12.80883,12.42932
8.67419,12.68136,18.30671
6.10816,10.38041,6.46863
3.32314,10.86801,7.4762
8.28486,13.43918,15.14383
8.39958,11.18698,10.00801
3.78002,6.03602,10.50297
3.32441,13.48962,10.39125
8.31872,10.81259,8.82213
4.67927,10.93805,19.73701
8.78201,13.34874,5.27111
8.83761,10.50671,18.37196
10.26073,10.39848,5.26721
3.39742,12.98089,12.3595
11.66938,18.11096,15.01548
7.02307,12.17606,7.66763
8.01858,6.48524,5.69306
7.68056,15.52098,9.46887
7.47259,14.48265,9.2662
3.47731,6.7543,15.85507
3.54516,13.90695,10.48207
10.63064,13.10306,12.85047
7.66306,5.85647,9.70809
5.23768,13.10865,5.18081
8.6039,15.31011,13.9287
5.41523,9.81114,9.21244
6.38954,8.19755,15.07392
5.26005,11.59582,17.80483
8.27382,13.17371,8.40039
3.56091,13.35824,14.2804
5.40327,12.60573,5.26393
12.37737,7.52239,15.85221
11.19057,10.45694,5.32191
4.71625,5.94458,18.07121
9.70989,7.66993,12.51903
8.60152,14.52872,10.27536
5.34475,6.09292,6.19353
6.87254,7.5688,15.84787
19.60938,5.9191,7.44117
15.3933,7.87923,15.21064
4.81299,5.89298,15.21313
11.44806,10.94017,17.03914
6.50513,10.1193,5.621
12.52039,6.32806,6.63286
10.75256,13.31151,12.89976
8.83777,6.2747,15.25488
5.0024,10.35275,10.91922
6.15994,11.09095,7.50013
10.70398,15.8842,5.83341
9.25897,7.89779,17.52247
3.73073,15.92012,5.40641
8.93159,10.34531,19.62248
10.6809,9.70856,9.27248
13.9994,12.23713,13.79239
11.1968,13.1321,20.14877
3.87153,14.05861,6.17822
8.2844,10.16649,7.12912
3.79206,19.75962,10.83035
24.17343,6.32283,7.75306
5.03089,10.70395,12.78012
14.01898,13.96593,12.69612
8.72579,11.2418,12.1401
6.0539,6.12002,7.11301
16.7448,11.36784,7.66443
8.67387,11.41709,13.31099
4.08963,12.93725,13.23777
6.01453,6.91012,11.18368
7.22344,14.85523,18.51731
16.31162,13.5784,5.39814
8.15404,18.4792,15.00076
5.29348,11.33255,5.6387
8.5696,13.4799,11.98227
8.58097,13.48296,7.48789
4.73678,19.2081,12.93378
12.04446,20.50546,16.85226
8.97866,11.4014,5.91319
9.85808,8.66181,5.5112
3.93852,17.28686,5.46052
5.41614,6.10325,8.59275
6.00219,7.22857,17.18854
7.78165,10.54714,12.77017
9.87462,14.60803,20.16236
8.66247,12.08026,17.34063
5.90611,18.21751,5.53371
15.27374,11.53335,11.90149
7.11736,10.51096,9.85755
7.51881,13.21876,17.00296
4.33839,7.69927,19.95193
14.09957,11.85567,7.32831
14.10368,8.05037,15.49907
6.20707,12.78735,15.7317
10.20073,8.22793,15.03481
4.06183,7.89792,6.88749
4.42941,12.23608,18.03512
10.20269,13.36973,10.34694
5.70666,13.16714,12.67589
4.2207,8.44687,9.69455
6.05893,15.74186,23.36623
9.41198,10.07816,9.94587
5.67131,12.31566,25.48653
3.72187,17.29531,17.99408
9.90411,23.56807,17.41552
4.16534,7.99618,8.72954
6.07933,13.69902,6.74062
8.5156,13.49883,17.62857
5.87476,11.48187,6.71162
5.59699,6.38999,13.93597
6.14694,16.357,10.87588
13.72011,12.67889,5.45756
3.9595,6.2975,11.11133
15.22451,13.45018,8.62942
8.84053,7.83431,15.30902
4.37922,7.26012,12.83878
5.38534,13.80176,14.73059
13.07989,14.32847,18.85478
7.16308,12.32955,6.23226
5.52391,8.49792,7.61697
3.77442,12.64172,15.56588
10.80697,8.03334,7.26662
3.97249,6.2207,13.01751
5.48815,17.29265,20.15171
5.94428,12.79297,11.91638
4.00485,8.27137,5.57496
3.95246,11.61837,5.62004
9.47323,14.15678,15.5573
5.59231,12.93346,13.81496
6.83694,8.35732,15.71726
7.87914,13.20612,15.76245
10.36125,11.70094,5.71634
4.76148,6.59303,12.84756
7.37902,12.43339,8.11426
11.51641,16.63705,16.69291
10.55937,10.97165,5.39968
4.29375,13.65387,11.19728
4.30953,11.83094,20.50731
4.12118,13.44006,7.4886
6.59501,13.64409,9.12281
4.3314,13.46481,9.74564
13.38303,6.38154,10.70264
15.91213,14.50988,17.92634
9.45085,17.07435,12.96046
9.07612,13.85356,16.22707
15.63516,10.82448,7.46624
11.72844,13.68918,5.85781
19.87935,13.48194,20.30561
10.55091,13.29363,6.02776
8.94751,13.713,18.91235
8.25794,14.14943,11.33924
11.5943,12.19171,9.0488
13.50017,8.65349,14.24266
7.79735,11.57427,7.85368
4.19031,8.25314,13.80533
6.28797,4.68296,9.63545
4.29119,11.7293,17.00636
11.04489,17.20953,18.30283
4.68837,12.36638,12.42393
4.37609,7.67283,6.06149
6.49634,17.62945,12.74739
13.75186,11.06183,10.88522
13.4795,6.74378,12.65041
6.32236,12.05825,16.99562
11.34726,13.95191,7.4472
3.95493,7.87407,10.20894
5.93195,15.1953,17.64794
9.87474,14.35093,7.04575
11.52749,12.12154,10.32163
5.28419,11.2887,8.28024
11.62054,16.21637,6.4426
11.04933,14.69283,10.21176
6.6343,10.66629,11.59598
6.09798,12.97114,5.92813
9.08187,7.25232,16.12961
9.01324,8.77067,16.01689
6.23727,13.21227,20.71432
15.20519,12.63441,18.38845
4.21185,13.86333,8.70387
6.72998,6.47037,5.81212
7.21347,13.01101,13.1409
9.00019,12.67543,10.2552
9.34501,7.53499,13.30375
8.60383,8.21757,11.24824
11.80716,13.81872,16.75043
10.17732,13.25843,7.9036
4.05184,12.55029,6.48284
9.04645,13.9587,11.46787
8.79339,7.51856,5.86099
6.1057,11.10756,13.59801
5.82444,13.97682,8.61812
10.18374,11.75235,6.03494
7.13978,6.90539,13.27081
9.02669,14.08091,10.41468
12.05547,6.56334,11.77512
4.21498,19.78488,6.08939
6.49309,13.10223,15.85897
13.57916,12.88945,17.14285
8.66703,13.43975,11.45082
4.3632,12.06655,6.81028
4.01569,13.34262,12.18538
12.70672,11.64335,5.88289
7.28205,7.95325,11.22759
3.96421,13.66778,12.17344
