"1024B","128B","12B"
12.05558,11.41426,12.00037
9.69026,12.15887,20.72994
7.24087,12.97285,14.26901
6.94344,10.81484,16.61743
11.73454,16.94049,12.88863
9.43815,12.35398,17.37343
8.6197,14.53887,15.02146
7.46378,11.60207,16.42875
10.60433,11.36252,14.96756
7.85375,13.70904,13.25188
8.27333,17.96106,15.01079
9.74164,12.46466,13.60737
8.55644,11.98446,11.38067
8.983,12.11176,14.49511
7.98386,10.48866,13.93856
9.38402,12.78974,13.3921
13.03053,18.99928,12.90607
7.50543,12.10902,12.77425
7.26863,11.64127,14.36531
10.90354,12.30047,13.37837
7.56882,12.53681,13.51247
8.09431,13.69501,11.21255
6.99996,16.1391,11.5128
7.53232,11.10982,13.37062
7.76725,12.4717,11.28161
8.96984,11.48096,13.35448
7.34214,15.6176,16.34455
9.20533,12.8515,11.34091
9.46272,12.3899,11.60693
7.82242,13.30516,13.99974
13.4048,12.15613,11.94026
20.27031,16.54657,13.62871
9.07862,14.96465,14.59609
7.5769,11.03996,11.90321
7.83105,11.23063,12.1375
8.92269,22.86693,14.42407
11.4362,13.54224,12.76651
9.89489,11.72444,17.72677
8.61887,11.59454,14.69832
9.37921,11.58356,14.30369
8.66084,14.6702,13.44832
7.90342,13.61186,15.11731
12.16735,13.04201,11.64103
9.4236,11.08932,13.49025
9.35468,10.8822,13.48745
8.65422,12.30039,12.23969
9.49961,13.0239,14.31825
7.21441,13.90793,14.4909
7.99925,13.54579,15.19721
11.84324,13.3486,14.59041
7.8275,11.72851,12.08128
10.77802,18.19686,13.04397
8.04138,14.94703,17.09728
7.14956,11.53824,13.6436
11.3787,14.69974,15.39249
7.3205,11.99596,12.24835
9.67827,15.1668,14.58874
7.63523,12.96518,15.41943
8.26578,10.79085,13.28793
11.51299,12.7709,14.25318
8.02993,11.99705,13.88677
11.92089,10.9404,11.68962
7.58917,13.60374,15.9695
7.33018,11.71161,11.9659
8.75772,16.04371,11.62558
7.94369,11.13067,12.38836
10.2284,12.95815,14.34543
7.54182,10.89078,13.27128
11.71228,11.67455,13.70435
8.42137,10.45395,17.044
8.31179,14.28049,12.03104
9.29773,11.33645,12.64586
9.07548,15.28277,13.63906
10.36007,16.34986,13.0394
7.3653,11.32231,26.02019
8.84069,12.26368,13.34093
13.8961,12.79532,11.41105
8.12071,11.91613,12.43006
9.73808,13.36553,13.49871
9.22918,10.98847,13.79705
8.93141,11.32475,14.10138
8.28683,11.27406,12.98076
7.37696,11.03193,11.71156
9.65145,12.0478,11.72196
14.37359,11.04915,12.55314
10.48554,12.54717,13.96948
7.77391,12.6277,12.89531
10.11773,10.75803,16.02537
7.12909,12.97635,13.24171
9.64924,11.79629,13.19317
10.90254,13.19833,15.79928
7.30844,13.38077,11.98834
7.36367,10.83194,12.52224
9.01358,21.25263,14.10064
13.08652,11.87089,12.55265
7.06931,19.4789,12.80289
12.77661,11.08927,12.44315
11.34022,13.31328,13.27928
7.2524,14.46619,12.51288
8.23638,10.80116,12.92095
8.54692,17.26525,13.50887
9.62069,11.65825,11.38064
8.48541,13.25902,14.56447
8.96669,12.64024,13.92944
7.87659,11.46191,14.91808
11.98897,13.47144,13.09449
9.2841,11.13282,11.73642
8.9242,10.94986,12.47808
9.04793,13.08226,14.73372
10.55834,11.03576,13.86795
7.98098,14.50406,12.21977
7.75437,11.08687,15.05463
8.60748,13.07871,13.00097
8.25013,11.53025,13.29811
12.51796,17.06872,15.4001
11.43805,13.53609,12.41464
11.47567,14.667,12.83366
10.51125,13.21061,12.25481
12.12695,11.6862,12.47246
9.71975,18.68076,12.69857
8.70539,15.31571,11.6838
9.9662,13.45769,12.05914
9.14372,12.76038,13.28893
8.71934,14.23152,13.38675
8.02395,12.17435,12.95241
8.74053,13.89853,11.86783
7.76008,12.07254,13.36836
13.19869,13.90424,14.11026
7.7948,11.01155,11.92192
10.04031,12.66101,13.14745
9.54313,12.92682,12.04948
9.0543,11.28524,14.11004
7.46647,12.25253,12.79078
14.00584,12.77757,16.51935
7.85356,14.82978,12.93126
11.0022,13.2375,13.88626
10.75323,12.59878,11.79828
14.43125,13.0697,14.44396
11.03974,11.58508,13.73044
14.25669,16.75259,16.58562
8.28398,10.86817,13.59172
8.89774,13.32877,13.77384
8.98021,11.27839,13.18336
11.22671,17.28077,17.12736
7.50573,15.17887,12.31291
8.31487,11.62608,12.11861
14.08325,12.77446,11.79097
7.97211,12.55347,14.05853
8.13784,12.3283,12.99004
8.65962,10.89971,11.93232
9.35024,11.68918,14.79856
8.52626,14.81885,11.75406
7.81634,11.09874,12.18381
8.7415,14.51495,13.59344
10.10723,11.40565,17.38729
9.1392,14.82272,12.81078
7.30075,11.72044,12.89769
12.23388,13.18053,13.93024
16.07116,12.04752,15.27086
8.42199,20.47589,11.84833
7.8719,12.5894,13.45708
8.84549,11.36883,14.24736
7.48943,15.1863,11.58214
8.86136,12.0024,14.03729
9.60015,12.8623,13.29131
9.53514,11.59319,11.8118
7.78679,11.88623,12.33783
11.06769,11.64884,14.42233
8.08967,12.87571,13.04989
7.76403,13.50584,13.84381
9.72162,14.27321,13.31934
