1024B-ACK,1024B-FaF,1024B-throughput-opt,128B-ACK,128B-FaF,12B-ACK,12B-FaF
54.06999,45.92472,53.31311,8.26512,8.96203,6.3055,2.71815
54.06958,45.92709,53.31269,8.26472,8.96171,6.30484,2.71763
54.06611,45.92679,53.31226,8.26431,8.96119,6.30468,2.71696
54.06883,45.92645,53.30884,8.26372,8.96082,6.30432,2.71684
54.06839,45.92303,53.31148,8.26348,8.9603,6.30387,2.71642
54.06791,45.92561,53.31106,8.26408,8.95994,6.30321,2.71595
54.06458,45.92516,53.31058,8.26367,8.95937,6.30305,2.71529
54.06709,45.92476,53.30708,8.26125,8.9588,6.30265,2.71517
54.07467,45.92138,53.30974,8.26085,8.95849,6.30223,2.71379
54.07425,45.92397,53.30931,8.26044,8.9581,6.30057,2.71328
54.07091,45.92342,53.3089,8.26003,8.95761,6.30042,2.71261
54.07325,45.92207,53.30848,8.25962,8.95728,6.30006,2.71248
54.07306,45.91852,53.31706,8.25921,8.95677,6.2996,2.71207
54.0726,45.92122,53.31668,8.25863,8.95641,6.29982,2.7116
54.06025,45.92078,53.31621,8.25839,8.95589,6.29859,2.71081
54.06276,45.92038,53.31279,8.25798,8.95553,6.29838,2.71063
54.06335,45.91695,53.31518,8.25857,8.95496,6.29797,2.71044
54.06193,45.91953,53.31396,8.25816,8.9544,6.29732,2.70893
54.0586,45.91904,53.30653,8.25775,8.95408,6.29716,2.70825
54.06118,45.91869,53.30311,8.25535,8.95377,6.29581,2.70813
54.06073,45.91526,53.30569,8.25494,8.95321,6.29535,2.70771
54.06027,45.91764,53.30533,8.25452,8.95288,6.29469,2.70725
54.05681,45.9174,53.30486,8.25411,8.95237,6.29454,2.70657
54.05944,45.917,53.30143,8.25353,8.95201,6.29512,2.70645
54.05903,45.91357,53.30406,8.2533,8.95149,6.29371,2.70609
54.05861,45.91616,53.3036,8.25289,8.95113,6.29306,2.70457
54.05527,45.91566,53.30318,8.25248,8.95057,6.2929,2.70389
54.05786,45.91531,53.29969,8.25207,8.95001,6.29255,2.70377
54.05742,45.91194,53.30234,8.25367,8.94969,6.29209,2.70336
54.05696,45.91452,53.30197,8.25225,8.9493,6.29043,2.70289
54.05362,45.91402,53.3015,8.24984,8.94882,6.29028,2.70222
54.05595,45.91361,53.29808,8.24943,8.9485,6.28986,2.70209
54.05571,45.91007,53.30066,8.24902,8.94799,6.28946,2.70173
54.0553,45.91277,53.30024,8.24844,8.94763,6.28867,2.70021
54.05196,45.91227,53.29983,8.2482,8.94712,6.28845,2.69942
54.05454,45.91193,53.29641,8.24779,8.94675,6.28829,2.69925
54.0541,45.9085,53.29879,8.24738,8.94619,6.28783,2.69901
54.05364,45.91114,53.29862,8.24697,8.94563,6.28717,2.69854
54.0503,45.91064,53.29815,8.24657,8.94533,6.28702,2.69787
54.05289,45.91023,53.29473,8.24716,8.94501,6.28561,2.69774
54.0604,45.90682,53.29731,8.24675,8.94445,6.2852,2.69737
54.05998,45.90919,53.29689,8.24634,8.94414,6.28454,2.69586
54.05652,45.9089,53.29647,8.24393,8.94363,6.28439,2.69519
54.05923,45.90855,53.29305,8.24334,8.94326,6.28503,2.69507
54.05879,45.90513,53.29568,8.24311,8.94275,6.28357,2.69465
54.05833,45.9077,53.29526,8.2427,8.94139,6.28291,2.69418
54.05499,45.90726,53.29479,8.24329,8.94083,6.28276,2.69351
54.0575,45.90686,53.2913,8.24188,8.94027,6.28336,2.6934
54.05709,45.90349,53.29395,8.24148,8.93996,6.28294,2.69303
54.04767,45.90607,53.29353,8.24107,8.93958,6.28229,2.69251
54.04433,45.90552,53.29311,8.24066,8.93909,6.28013,2.69084
54.04667,45.90517,53.2897,8.24125,8.93878,6.27977,2.69072
54.04648,45.90163,53.29228,8.24084,8.93827,6.27931,2.6903
54.04602,45.90433,53.29291,8.23825,8.9379,6.27853,2.68983
54.04268,45.90389,53.30044,8.23802,8.9374,6.27831,2.68904
54.04519,45.90348,53.29702,8.2376,8.93704,6.27809,2.68887
54.04478,45.90007,53.2994,8.23719,8.93648,6.27769,2.68868
54.04437,45.90264,53.29918,8.23679,8.93592,6.27704,2.68816
54.04103,45.90215,53.29877,8.23638,8.93561,6.27787,2.68649
54.04362,45.90179,53.29435,8.23597,8.9353,6.27652,2.68637
54.04318,45.89838,53.28993,8.23556,8.93474,6.27506,2.68595
54.04272,45.90076,53.28956,8.23515,8.93443,6.27441,2.68548
54.03925,45.90051,53.28909,8.23475,8.93392,6.27425,2.68481
54.04189,45.90011,53.28567,8.23516,8.93357,6.27384,2.68469
54.04147,45.89669,53.2883,8.23493,8.93306,6.27344,2.68432
54.04107,45.89927,53.28783,8.23251,8.93269,6.27278,2.68381
54.03773,45.89877,53.28741,8.2321,8.93213,6.27262,2.68214
54.04032,45.89842,53.28492,8.2317,8.93158,6.27227,2.68202
54.03988,45.89505,53.28657,8.23129,8.93127,6.27182,2.6816
54.03941,45.89762,53.28622,8.23088,8.93088,6.27115,2.68113
54.03607,45.89713,53.28575,8.23047,8.93041,6.27,2.68046
54.03842,45.89674,53.28233,8.23006,8.9301,6.26959,2.68034
54.03818,45.89318,53.28491,8.22965,8.92959,6.26919,2.67997
54.03777,45.89589,53.28549,8.22907,8.92923,6.2694,2.67946
54.03443,45.8954,53.28407,8.22884,8.92872,6.26817,2.67766
54.03701,45.89504,53.28066,8.22943,8.92836,6.26801,2.67749
54.03658,45.89162,53.28304,8.22901,8.92781,6.26756,2.67725
54.03612,45.89426,53.28287,8.2266,8.92725,6.2669,2.67678
54.03378,45.89375,53.2824,8.2262,8.92594,6.26674,2.6761
54.03536,45.89336,53.27898,8.22579,8.92564,6.26633,2.67599
54.03487,45.88994,53.28156,8.22538,8.92508,6.26493,2.67562
54.03447,45.89232,53.28115,8.22497,8.92477,6.26427,2.6751
54.031,45.89202,53.28173,8.22556,8.92427,6.26412,2.67443
54.03371,45.89167,53.27731,8.22497,8.9239,6.26476,2.67331
54.03327,45.88825,53.27994,8.22474,8.92339,6.2633,2.6729
54.03282,45.89083,53.27952,8.22333,8.92304,6.26264,2.67243
54.02948,45.89038,53.27906,8.22292,8.92248,6.26249,2.67176
54.03999,45.88999,53.27557,8.22351,8.92193,6.26208,2.67163
54.03958,45.88562,53.27823,8.2231,8.92162,6.26168,2.67126
54.03917,45.8882,53.27781,8.22169,8.92124,6.26102,2.67075
54.03583,45.88764,53.27739,8.22028,8.92076,6.25987,2.67008
