115200-DMA,115200-IRQ,115200-POLL,230400-DMA,230400-IRQ,230400-POLL,460800-DMA,460800-IRQ,460800-POLL,921600-DMA,921600-IRQ,921600-POLL,1843200-DMA,1843200-IRQ,1843200-POLL
7228,7448,9808,52584,6484,5824,31502,4072,5062,14961,3131,3161,14885.5,4915.5,4695.5
94728,8028,10618,51954,7134,6324,28742,4852,5822,7151,3571,3441,13615.5,5305.5,5005.5
94098,8818,2518,51314,3524,7164,28062,5502,4302,18371,2771,2681,12095.5,4985.5,4785.5
93538,9418,3338,11184,4174,3544,9652,4012,4872,16361,3201,3231,11095.5,4805.5,5025.5
10018,10138,4148,50934,4944,4074,29892,4662,5632,15481,3511,2471,14515.5,5145.5,4815.5
97488,10858,4698,50314,5604,4904,29342,5442,4112,6561,2841,2761,13865.5,5005.5,4625.5
96858,2928,5508,49784,6254,5414,28692,6092,4942,17671,3281,3071,12315.5,5325.5,4915.5
96218,3618,6058,9654,7024,6244,8012,4622,5442,16761,3591,2341,10805.5,5035.5,4675.5
12798,4318,6868,53794,7674,6814,30502,5262,3952,14751,2921,2861,14735.5,5385.5,5225.5
100288,4998,7418,53144,4074,7584,29852,5922,4712,6941,3361,3161,13575.5,5105.5,4995.5
99668,5688,8208,52514,4734,3964,27062,4452,5552,18191,2671,2641,12045.5,4925.5,4755.5
99008,6378,8748,8114,5374,4544,8672,5092,4022,16181,2991,2951,11025.5,5315.5,5045.5
6878,7078,9558,52234,6144,5304,31062,5762,4792,15251,3431,3221,14465.5,5045.5,4805.5
94358,7768,10368,51594,6804,6124,28282,4312,5362,7461,2741,2481,13815.5,4915.5,5095.5
93708,8358,10918,50944,7454,6704,27752,4982,3842,17571,3071,3001,12305.5,5225.5,4855.5
93168,9158,3088,10804,3854,7464,9202,5652,4342,16651,3501,3321,10765.5,4925.5,4625.5
9628,9738,3638,54924,4514,3844,29562,4202,5182,15741,2821,2791,14685.5,5285.5,4905.5
97128,10468,4448,50034,5274,4424,28922,4852,3652,6811,3151,3131,13425.5,5105.5,4935.5
