250k-SF128-1024B,250k-SF128-128B,250k-SF128-12B,64k5-SF2048-4o6-1024B,64k5-SF2048-4o6-128B,64k5-SF2048-4o6-12B
817.35708,109.05107,21.38849,40864.95994,5441.17867,1181.14005
817.35851,109.05246,21.38564,40864.45998,5441.18308,1181.1273
817.36246,109.0484,21.38778,40865.1208,5441.18815,1181.13129
817.35738,109.04959,21.38882,40864.62085,5441.17636,1181.13453
817.35809,109.04945,21.38664,40865.12108,5441.18165,1181.13854
817.35912,109.0505,21.38771,40864.62112,5441.1701,1181.12584
817.35528,109.04681,21.38988,40865.13912,5441.17517,1181.12983
817.36175,109.0514,21.38746,40864.63916,5441.17942,1181.13304
817.35751,109.04732,21.38527,40865.13985,5441.16881,1181.13553
817.35969,109.04851,21.38667,40864.6399,5441.17305,1181.12353
817.35948,109.04834,21.38879,40865.14188,5441.17813,1181.12648
817.35591,109.04906,21.38619,40864.64193,5441.16636,1181.12923
817.35414,109.0489,21.38799,40865.14247,5441.1714,1181.13318
817.35601,109.05035,21.38937,40864.64252,5441.17563,1181.13642
817.36156,109.05178,21.38731,40865.12814,5441.18098,1181.12437
817.35717,109.04938,21.38869,40864.62819,5441.16923,1181.12763
817.35944,109.05085,21.39054,40865.12889,5441.17435,1181.13164
817.35758,109.04722,21.38793,40864.62894,5441.1787,1181.13489
817.35822,109.04829,21.38588,40865.13064,5441.16791,1181.13891
817.35602,109.04817,21.38727,40864.63068,5441.17232,1181.12587
817.35949,109.04882,21.38908,40865.13156,5441.17755,1181.1299
817.35524,109.04636,21.38648,40864.63161,5441.16588,1181.13317
817.35827,109.04598,21.38865,40865.13339,5441.17105,1181.13722
817.35946,109.05158,21.38614,40864.63343,5441.17538,1181.12446
817.35768,109.04494,21.38827,40865.1345,5441.18087,1181.12853
817.35952,109.05005,21.38535,40864.63455,5441.16929,1181.13179
817.35863,109.04648,21.39146,40865.13628,5441.17449,1181.13585
817.35758,109.04742,21.38861,40864.63632,5441.17903,1181.1231
817.35707,109.04891,21.38677,40865.13752,5441.16835,1181.12714
817.35863,109.05036,21.38816,40864.63756,5441.1727,1181.13018
817.36261,109.04633,21.386,40865.13938,5441.17811,1181.13419
