CLIENT WRITE,SERVER NOTIFY
23.08628,2.1519
12.08818,21.15004
31.09404,10.16614
20.09896,29.16416
9.10174,18.16258
28.10712,7.17866
17.112,26.17678
6.11472,15.1754
25.11964,4.19128
14.12444,23.18952
3.12716,12.18762
22.13186,31.20348
11.137,20.20216
30.14248,9.201
19.14508,28.2159
8.1503,17.2153
27.15452,6.21368
16.1585,25.23312
5.16222,14.22734
24.1671,3.22696
13.17122,22.24156
2.1753,11.2407
21.17992,30.23896
10.1832,19.25852
29.18844,8.25354
18.19282,27.25144
7.19726,16.27094
26.20144,5.26626
15.20564,24.26408
4.2088,13.28018
23.21374,2.2788
12.2182,21.27722
31.22218,10.29698
20.22724,29.29106
9.23026,18.28964
28.2347,7.30586
17.23936,26.3037
6.24416,15.3027
25.24846,4.31856
14.25228,23.31706
3.257,12.31538
22.26112,31.33478
11.2654,20.32952
30.26978,9.32846
19.27426,28.34702
8.2781,17.3424
27.28318,6.34086
16.28732,25.36048
5.29102,14.35508
24.2957,3.35404
13.2994,22.3732
2.30344,11.36844
21.30862,30.36596
10.3114,19.38618
29.31636,8.38074
18.3207,27.37902
7.32452,16.39888
26.32922,5.39376
15.33374,24.39186
4.3367,13.41198
23.34298,2.40654
12.34596,21.40446
31.35052,10.4246
20.35512,29.41836
9.35972,18.41704
28.36324,7.43728
17.36766,26.43128
6.3724,15.43046
25.37572,4.45014
14.3802,23.44404
3.38516,12.4429
22.38874,31.46234
11.3932,20.45688
30.39786,9.45584
19.40188,28.47528
8.40636,17.46962
27.41064,6.46866
16.41442,25.48792
5.41874,14.48216
24.4237,3.48154
13.4277,22.50066
2.43184,11.49544
21.43658,30.51484
10.44094,19.51336
29.44512,8.50798
18.44834,27.52776
7.45358,16.52616
26.45736,5.521
15.46078,24.54042
4.46538,13.53924
23.46984,2.53358
12.47434,21.55336
31.48006,10.55184
20.48304,29.54568
9.48718,18.56618
28.49244,7.5651
17.49642,26.5583
6.49956,15.57908
25.50502,4.57764
14.50916,23.57136
3.5132,12.57004
22.51862,1.5903
11.5216,20.58388
30.52592,9.6048
19.53174,28.60216
8.53468,17.59708
27.53902,6.5958
16.54374,25.61542
5.54696,14.6096
24.55126,3.63034
13.5573,22.62792
2.56056,11.62284
21.56486,30.642
10.56908,19.6409
29.57464,8.63534
18.577,27.65508
7.58294,16.65394
26.5869,5.64804
15.58964,24.66786
4.59456,13.66648
23.5997,2.66096
12.6032,21.6807
1.60814,10.67904
20.61248,29.67326
9.61674,18.69346
28.62072,7.69196
17.62554,26.68606
6.62856,15.70634
25.63314,4.70494
14.63804,23.69864
3.64182,12.71862
22.64666,1.71798
11.65124,20.71148
30.65454,9.73166
19.6596,28.73022
8.66328,17.72452
27.66752,6.7447
16.67228,25.74288
5.67668,14.73678
24.6794,3.7579
13.6852,22.75522
2.68924,11.75012
21.69332,30.76952
10.6984,19.76834
29.70324,8.76286
18.70532,27.78224
7.71104,16.78134
26.71508,5.77598
15.7181,24.7953
4.72336,13.79444
23.72826,2.78862
12.73188,21.80816
1.73652,10.80696
20.74016,29.8005
9.74284,18.82086
28.74858,7.8198
17.7534,26.81344
6.75738,15.83368
25.76178,4.83248
14.76566,23.82634
3.76964,12.84646
22.775,1.84534
11.77966,20.83906
30.78346,9.86296
19.78712,28.857
8.79102,17.85184
27.79642,6.87198
16.80048,25.8702
5.8051,14.86424
24.80874,3.88488
13.81284,22.88278
2.8177,11.87762
21.82182,30.90042
10.82536,19.8957
29.8302,8.8903
18.83438,27.91344
7.83904,16.90832
26.84314,5.90342
15.84766,24.92588
4.8512,13.92124
23.85574,2.9156
12.8609,21.9388
1.86312,10.93386
20.8687,29.92808
9.87352,18.95182
28.87682,7.94712
17.8815,26.9444
6.8855,15.9646
25.89002,4.95976
14.89446,23.9536
3.89908,12.97348
22.90348,1.97252
11.90616,20.96994
30.9117,9.98658
19.91584,28.9842
8.91912,17.9833
27.9243,7.00306
16.92792,25.99746
5.9331,14.99166
24.93722,4.01214
13.94136,23.01018
2.94454,12.00866
21.94924,31.02794
10.95382,20.02292
29.95928,9.01756
18.96284,28.04108
7.96636,17.03566
26.97108,6.03448
15.9759,25.0497
4.98024,14.04894
23.98412,3.047
12.98792,22.06628
1.99246,11.0612
20.99672,30.05894
10.00228,19.07892
29.00576,8.07412
18.0101,27.07186
7.01452,16.09186
26.01828,5.08652
15.02238,24.08486
4.02714,13.1008
23.03092,2.0998
12.03452,21.09752
31.03938,10.1175
20.044,29.1116
9.04756,18.11046
28.05256,7.12994
17.05688,26.12438
6.06184,15.12302
25.0657,4.14304
14.06966,23.13722
3.07436,12.13574
22.07804,31.15128
11.08182,20.14998
30.0872,9.14852
19.09116,28.164
8.09558,17.16278
27.09992,6.1618
16.10524,25.17698
5.108,14.17616
24.1133,3.17422
13.11646,22.18978
2.1212,11.18858
21.12502,30.18676
10.12962,19.20242
29.13492,8.2015
18.1387,27.19928
7.14278,16.2152
26.14864,5.21414
15.15076,24.21248
4.15514,13.2281
23.1612,2.22706
12.16358,21.2249
31.16888,10.24086
20.174,29.23872
9.17698,18.2379
28.18164,7.25352
17.18606,26.2516
6.1897,15.25066
25.19358,4.26678
14.1987,23.2644
3.20254,12.26348
22.20684,31.2824
11.2119,20.2778
30.21648,9.27646
19.21996,28.29162
8.22392,17.2902
27.2294,6.28928
16.23264,25.30862
5.2373,14.30338
24.24256,3.30208
13.24614,22.31724
2.25038,11.3158
21.2549,30.3144
10.25918,19.33386
29.26278,8.32878
18.26726,27.3272
7.27124,16.34682
26.27634,5.34148
15.2794,24.33988
4.28356,13.35974
23.28832,2.35456
12.2929,21.35242
31.2968,10.36816
20.30164,29.36636
9.30642,18.36562
28.30994,7.38504
17.31486,26.37934
6.31872,15.37798
25.32214,4.39404
14.32692,23.39218
3.33146,12.39094
22.33572,31.40994
11.33976,20.40504
30.34428,9.40376
19.34766,28.4235
8.35314,17.41768
27.35678,6.41652
16.36082,25.43568
5.36484,14.43078
24.36968,3.42942
13.37356,22.44884
2.3782,11.4433
21.3829,30.4415
10.3864,19.46136
29.39172,8.4563
18.3954,27.454
7.39894,16.47464
26.40452,5.46884
15.40772,24.46736
4.41268,13.4875
23.4168,2.48168
12.42092,21.47988
31.42482,10.49992
20.42962,29.49364
9.434,18.493
28.43796,7.51268
17.44268,26.50682
6.44804,15.50562
25.45022,4.52574
14.45506,23.51944
3.45974,12.51854
22.46338,1.5384
11.46816,20.532
30.47286,9.5311
19.4772,28.5504
8.48034,17.54504
27.48582,6.54406
16.48924,25.5631
5.49362,14.55786
24.49822,3.55664
13.50212,22.57636
2.50712,11.57064
21.51052,30.59056
10.51542,19.58878
29.5195,8.58358
18.52356,27.60332
7.52696,16.60164
26.53226,5.5961
15.53636,24.61602
4.54056,13.61466
23.54536,2.60914
12.54968,21.62862
1.55294,10.62732
20.55826,29.62064
9.56218,18.64146
28.56716,7.6401
17.57102,26.634
6.57534,15.6545
25.58,4.6532
14.58358,23.6466
3.58788,12.66744
22.59308,1.66576
11.59542,20.6595
30.60076,9.67976
19.60608,28.6779
8.60902,17.6725
27.61304,6.6927
16.61852,25.69052
5.62164,14.68538
24.62654,3.68414
13.63102,22.70352
2.63514,11.69808
21.63886,30.7175
10.64466,19.71628
29.64898,8.71112
18.65134,27.73036
7.65694,16.72944
26.66188,5.7237
15.66474,24.74356
4.66942,13.74214
23.67428,2.7369
12.67818,21.75584
1.6824,10.75482
20.68704,29.74854
9.69018,18.7687
28.69584,7.76744
17.7002,26.76136
6.70308,15.78142
25.70808,4.78056
14.713,23.77406
3.71684,12.79466
22.72188,1.79338
11.72546,20.7871
30.7292,9.8076
19.73354,28.80564
8.73796,17.79966
27.7418,6.82042
16.74688,25.81796
5.75112,14.81242
24.75448,3.83292
13.75932,22.83106
2.7647,11.82528
21.76698,30.84524
10.77296,19.84342
29.77698,8.83862
18.78048,27.85776
7.78554,16.85658
26.78994,5.85078
15.79342,24.87064
4.79808,13.8692
23.8032,2.86372
12.80576,21.8828
1.8107,10.88238
20.8159,29.87566
9.8192,18.8963
28.82368,7.8949
17.82856,26.88906
6.83202,15.90908
25.83616,4.90782
14.84166,23.9012
3.8444,12.92188
22.84946,1.92064
11.8532,20.91426
30.8589,9.93476
19.8626,28.9327
8.8667,17.92694
27.87098,6.94762
16.87534,25.9452
5.87974,14.94016
24.88446,3.9601
13.88742,22.95804
