SWEPT-1024B,FIXED-1024B,SWEPT-128B,FIXED-128B,SWEPT-12B,FIXED-12B
28.08842,22.92326,27.36458,11.1349,13.40738,12.55068
18.0869,32.92612,17.36582,21.13834,3.40994,2.5707
38.09586,12.92878,7.36758,31.14254,23.41124,22.56488
28.10182,22.92978,27.3699,11.14482,13.41302,12.56378
18.0983,32.94032,17.37028,21.14758,3.41438,2.58382
8.10068,12.93666,7.3727,31.1525,23.4159,22.57784
28.1025,22.94328,27.37502,11.15462,13.41794,12.5765
18.10364,32.93914,17.3752,21.15972,3.42002,2.5971
8.09774,12.95066,7.37828,31.1635,23.42186,22.59062
28.10758,22.94618,27.3793,11.16532,13.42292,12.58948
18.10176,32.9571,17.38166,21.17038,3.42536,2.6097
38.11146,12.95756,7.38434,31.17408,23.42648,22.60374
28.11318,22.96352,27.38518,11.17606,13.37154,12.60232
18.10688,32.96126,17.38662,21.18054,2.37286,2.62324
8.11248,12.97232,7.38884,31.18346,21.37382,22.61666
28.10976,22.9669,27.3903,11.1871,10.376,12.61564
18.11128,32.9788,17.3922,21.18992,29.37852,2.63562
8.12092,12.98198,7.39344,31.19246,18.3798,22.63
28.11628,22.9779,27.39652,11.19628,7.38096,12.62824
18.1249,32.98068,17.39664,21.2,26.38362,2.64908
8.12566,12.9831,7.39888,31.20448,15.38486,22.6426
28.12908,22.99476,27.40118,11.20772,4.38674,12.64178
18.12936,32.99068,17.40152,21.21174,23.3881,2.66202
8.1242,13.0015,7.40296,31.21446,12.39092,22.65606
28.1254,23.0016,27.40504,11.21706,31.3917,12.6545
18.13114,33.005,17.40866,21.22194,20.39338,2.67478
37.3929,13.00446,7.40936,31.22478,8.797,22.669
26.39368,23.01522,27.41132,11.22762,26.80026,12.6675
15.3949,33.01896,17.41136,21.2318,14.80186,2.68764
34.39404,13.01606,7.41394,31.23466,2.80286,22.6817
23.39176,23.018,27.41614,11.23842,20.80462,12.68046
12.40104,33.02876,17.41734,21.24194,8.80704,2.70094
31.40186,13.03356,7.4188,31.24564,26.80886,22.6947
20.4039,23.03644,27.42256,11.24746,14.81094,12.69364
9.4042,33.04366,17.42292,21.25218,2.81216,2.71374
28.40752,13.03562,7.42432,31.2561,20.81392,22.70792
17.4058,23.0465,27.42708,11.25908,8.81494,12.70682
36.40938,33.04248,16.93998,21.26194,26.81834,2.72704
25.41262,13.05326,5.94208,31.26592,14.81862,22.72062
14.41006,23.05698,24.94264,11.26898,2.81992,12.71966
33.41596,33.05702,13.94602,21.27334,20.82248,2.7397
22.42074,13.06446,2.94806,31.27618,8.82424,22.73382
11.41918,23.06656,21.94944,11.2788,26.8261,12.73246
30.42218,33.0679,10.95052,21.28286,14.82802,2.75302
19.41588,13.07512,29.01646,31.28626,2.82876,22.74656
8.42468,23.0705,17.01848,11.2901,20.83242,12.74548
27.42658,33.07278,5.02094,21.29374,8.8329,2.76592
16.10586,13.08434,23.02246,31.29654,26.83452,22.76004
34.11952,23.08458,11.02474,11.29918,14.83708,12.75888
22.11626,33.08448,29.02666,21.30296,2.838,2.77898
10.10964,13.09548,17.02792,31.30672,20.83982,22.77278
28.1206,23.0977,5.02952,11.3101,8.49794,12.7716
16.12254,33.10242,23.03248,21.31462,25.49914,2.7917
34.1209,13.10526,10.21766,31.31686,12.50156,22.78608
22.12296,23.10812,27.2189,11.32016,29.50326,12.78452
10.12742,33.105,14.22104,21.32448,16.50546,2.80488
28.12868,13.11628,31.22242,31.3285,3.50716,22.79912
16.13188,23.11106,18.22462,11.3295,20.50884,12.79792
34.1334,33.12312,5.22626,21.33476,7.50916,2.81824
22.12786,13.12048,22.2272,31.33848,24.5122,22.8124
9.27308,23.12938,9.22912,11.34108,11.51326,12.81078
26.26668,33.12478,26.2311,21.34558,28.51618,2.83106
13.27278,13.13682,13.2323,31.34796,15.517,22.82464
30.274,23.13648,30.23476,11.35116,2.51884,12.82374
17.28026,33.14708,17.22992,21.35502,19.2017,2.84364
34.28266,13.14664,3.23136,31.35898,5.2026,22.83798
21.27908,23.15014,19.23382,11.36224,21.2059,12.83672
8.27692,33.1463,5.2359,21.36648,7.20688,2.85716
25.28332,13.15714,21.23694,31.36914,23.2075,22.85108
12.28882,23.15222,7.23918,11.3724,9.21044,12.84984
29.28232,33.16324,23.24068,21.37612,25.21184,2.86998
16.29136,13.16784,9.24246,31.37974,11.21436,22.86386
