1024B-ESPNOW,128B-ESPNOW,12B-ESPNOW,1024B-SPP,128B-SPP,12B-SPP,1024B-Bluedroid,128B-Bluedroid,12B-Bluedroid,1024B-TCP,128B-TCP,12B-TCP,1024B-Websockets,128B-Websockets,12B-Websockets,1024B-UDP,128B-UDP,12B-UDP,1024B-NimBLE,128B-NimBLE,12B-NimBLE
25.5686,5.73297,5.51889,17.21088,10.18797,14.77468,39.7532,25.71526,16.19095,11.38565,11.57801,12.59685,12.05558,11.41426,12.00037,4.30237,12.66531,12.19175,31.73985,30.19688,14.17747
26.27799,5.73431,5.5283,18.13467,13.59917,10.84744,31.05621,15.72401,21.13509,10.27205,9.0953,11.6972,9.69026,12.15887,20.72994,7.94395,10.37334,15.5533,21.76521,20.20278,4.1914
23.87301,5.73147,5.53458,15.74878,11.21629,17.25378,36.17973,20.72891,11.14706,11.30152,12.86236,14.32582,7.24087,12.97285,14.26901,3.40163,5.51334,16.5467,41.76191,40.22084,24.70401
28.43224,6.0082,5.54191,17.13667,9.98333,10.84378,51.98857,25.74177,16.19819,6.6796,15.4561,19.01028,6.94344,10.81484,16.61743,7.72058,13.07457,4.67987,31.78721,30.22692,14.21381
25.13452,5.73601,5.53821,18.13857,13.56784,23.30759,31.08452,15.74059,21.16682,7.00259,10.84895,15.15792,11.73454,16.94049,12.88863,10.47519,12.15354,10.38609,44.3195,20.24187,4.22068
25.28278,5.71733,5.54857,15.7265,12.42543,10.95773,36.20688,20.7554,11.16041,14.19881,7.01497,14.00594,9.43815,12.35398,17.37343,3.85842,7.74555,6.64422,71.81055,40.25008,54.23688
25.18004,5.73857,5.5359,17.30874,10.19339,14.56449,39.8117,25.76625,16.22388,11.0254,12.80103,13.4199,8.6197,14.53887,15.02146,3.43676,13.00424,12.33151,31.80507,30.26512,14.24169
25.20822,5.90707,5.58719,18.12838,13.59548,10.94931,31.11381,15.77498,21.19222,8.04966,15.6851,12.40524,7.46378,11.60207,16.42875,8.04895,14.5676,15.00158,21.83031,20.27714,4.26046
25.22459,5.85648,5.55055,15.70706,11.22361,11.02116,47.12002,20.77982,11.1981,12.44664,13.81116,14.70635,10.60433,11.36252,14.96756,6.14237,13.95262,9.28866,41.82715,40.28817,24.26489
25.19676,5.75543,5.55783,17.22709,10.00327,13.60556,39.83307,25.7927,16.24712,5.9091,10.57297,11.83201,7.85375,13.70904,13.25188,5.5598,9.72092,17.53305,31.85239,30.29522,44.28008
