ETHERNET-1024B,ETHERNET-128B,ETHERNET-12B,WiFi-1024B,WiFi-128B,WiFi-12B
2.62642,2.47476,2.09508,6.41554,5.93544,6.64785
2.50667,2.49761,2.26484,6.34031,5.92912,7.29835
2.3679,2.52117,2.1602,6.40832,6.17612,7.50813
2.33951,2.47175,2.1151,6.12823,6.07015,7.02801
2.28715,2.45726,2.18144,6.72043,5.74648,7.73375
2.27073,2.42625,2.15248,8.67023,5.77019,6.31857
2.29242,2.37751,2.11876,10.67992,7.34104,6.71229
2.36114,2.36001,2.17901,7.24396,6.1413,6.44063
2.46469,2.48878,2.17092,6.35074,6.33311,6.95064
2.32338,2.50994,2.22411,6.20531,6.02884,7.68299
2.52062,2.40701,2.56377,6.02076,5.82052,7.21722
2.38756,2.42566,2.64566,6.40347,6.17684,7.37737
2.25325,2.6648,2.59856,6.1536,9.11975,7.20933
2.48841,2.47912,2.56546,6.01399,6.41584,7.33204
2.4525,2.39724,2.55651,6.17247,6.66755,7.25131
2.40407,2.4241,2.5785,6.25555,6.14247,8.61775
2.30866,2.35851,2.59684,7.06506,5.99171,7.71331
2.28612,2.34632,2.57325,5.69754,5.85415,7.73113
2.29029,2.26173,2.49025,6.05648,6.08173,6.45766
2.30676,2.59315,2.5774,3.98455,5.61506,7.66656
2.37851,2.4189,2.54602,6.07393,6.16969,7.65652
2.43989,2.39719,2.63322,6.39599,6.08088,7.17152
2.30037,2.39619,2.58637,6.2091,6.5897,6.93816
2.32567,2.41056,2.52185,6.41642,5.94754,6.5962
2.28578,2.42588,2.66091,9.74911,5.75796,7.01165
2.35596,2.30656,2.67688,6.41891,5.98916,7.65628
2.2792,2.44885,2.55076,6.45575,6.03639,8.22059
2.28655,2.32515,2.49763,7.67706,8.25012,7.15515
2.30735,2.35897,2.47987,6.0265,5.79958,6.84588
2.28077,2.45511,2.52259,6.22228,5.84443,6.81109
2.37408,2.32618,2.54664,6.39391,6.07574,7.37469
2.39059,3.35192,2.99671,6.52831,5.80923,6.99324
2.30861,2.51727,2.58283,5.74482,6.34327,7.65753
2.37913,2.40656,2.56946,6.20703,7.53411,6.96506
2.32942,2.39145,2.53557,6.75516,5.74991,6.82824
2.29407,2.37262,2.58668,6.53626,5.78813,7.37903
2.26347,2.42106,2.51258,6.203,6.33517,7.93717
2.34151,2.39931,2.61683,6.65594,6.71656,7.3146
2.31686,2.38025,2.53217,10.29315,6.226,7.04506
2.49573,2.49887,2.60642,6.18027,5.7546,6.87966
2.54974,2.37135,2.68321,6.14647,5.84522,6.68637
2.33214,2.4123,2.54797,7.97166,5.81979,6.96153
2.49259,2.38285,2.32228,6.82073,5.75353,7.37252
2.56562,2.33437,2.41583,6.11256,6.08022,6.637
2.36134,11.91685,2.41326,3.02634,5.8997,7.10165
2.29507,2.17358,2.45937,6.0859,5.90056,7.10311
2.42591,1.90754,2.47268,6.4824,5.74994,8.59427
2.31257,1.84424,2.37403,6.401,7.10199,6.53988
2.47073,1.86815,2.29085,7.61881,6.07256,6.96103
2.38717,2.09435,2.4675,10.67704,5.8385,7.26929
2.47408,1.88798,2.34743,6.2059,5.95168,8.0325
2.34286,2.17141,2.53524,6.41593,5.73048,7.3564
2.41828,2.04343,2.37773,6.63826,5.83782,7.74212
2.93858,2.27196,2.45684,6.1034,6.23112,6.91826
2.41998,2.46444,2.48761,3.32249,5.93072,7.19719
2.45595,2.44218,2.62906,6.12834,11.4271,13.16153
2.40738,2.33847,2.38448,6.11096,5.95237,7.43667
2.35216,11.01362,2.33921,6.10817,5.83155,7.61402
2.45804,2.53602,2.4414,5.67384,5.7251,12.50218
2.34356,2.01288,2.30823,3.07887,5.75142,6.57454
2.39682,1.95378,2.37799,6.12945,6.00805,7.14682
2.34231,1.91556,2.56554,6.32705,5.70226,7.18405
2.2837,1.91567,2.37024,8.65654,6.10513,7.36867
2.27339,1.91063,2.31781,5.86865,5.77075,7.25187
2.34349,1.87368,2.49045,3.34213,84.01898,6.92803
2.27184,1.92592,2.48228,6.86668,13.81,7.05471
2.31202,2.27072,2.35008,6.22953,76.4701,7.57083
20.88069,2.37033,2.35904,7.26141,7.73476,8.26101
17.23529,2.33314,2.34733,6.27276,79.52431,7.10279
14.41271,2.46424,2.30186,4.61225,13.57657,6.74818
2.18002,2.35153,2.30931,8.98717,82.32657,6.92747
2.13018,2.38996,2.43751,6.19426,3.07872,7.12039
1.94151,2.41686,2.775,7.75941,121.22113,6.842
1.98687,2.41088,2.39089,6.42249,96.71335,7.07544
2.00773,2.44047,2.3092,6.48319,67.27943,6.98825
3.7565,2.49455,2.39135,5.71604,40.59996,7.14775
30.75508,2.36126,2.42463,6.38188,12.81765,7.30768
2.29494,2.41359,2.30775,6.51687,5.80304,6.8073
2.08149,2.3503,2.30947,6.10813,131.18323,9.74351
3.62769,2.45601,2.35896,5.17337,103.50763,12.46074
2.79181,2.35639,2.31997,6.43456,76.28599,6.87497
2.20983,2.41797,2.44223,6.36532,54.15795,7.15568
2.11532,2.36599,2.3408,6.12686,5.75342,6.81222
2.12304,2.4405,2.39842,6.14043,5.84301,8.77376
2.59286,2.26764,2.45409,3.23228,5.73468,6.56717
2.8208,2.45375,2.42964,5.62713,5.71098,6.49946
2.7277,2.36208,2.40916,6.17684,5.73193,34.75073
