"ll-115200-dma-debug","ll-115200-dma-minsize","ll-115200-dma-release","ll-115200-irq-debug","ll-115200-irq-minsize","ll-115200-irq-release","ll-115200-poll-debug","ll-115200-poll-minsize","ll-115200-poll-release"
1089680,1146170,1135250,1061540,1052160,1052000,1067110,1048460,1050290
1174550,1142760,1049730,1060540,1050880,1050640,1065700,1047190,1048950
1165360,1139330,1143890,1067580,1049540,1049420,1064470,1054540,1047700
1156400,1055610,1141240,1066300,1048240,1048040,1062770,1053420,1046320
1093160,1141000,1138630,1064960,1046900,1046700,1061980,1052100,1045050
1178060,1146150,1053230,1063660,1054320,1045460,1060660,1050600,1052380
1168830,1142740,1138650,1062380,1053000,1052740,1058890,1049260,1051130
1159610,1059010,1136060,1061180,1051620,1051500,1066440,1048110,1049820
1088010,1144420,1133360,1059700,1050320,1050160,1065100,1046550,1048450
1172440,1140880,1056560,1067040,1048980,1048820,1063950,1053920,1047110
1163640,1137470,1141990,1065720,1047680,1047440,1062460,1052670,1045870
1163120,1053750,1139430,1064400,1055080,1046200,1061130,1051260,1044450
1091210,1147710,1136850,1063100,1053780,1044860,1059980,1050230,1051850
1176140,1144290,1051350,1061780,1052460,1052280,1067350,1048890,1050580
1166820,1140880,1136790,1060460,1051140,1050900,1065820,1047290,1049290
1157990,1057170,1134190,1067800,1049780,1049560,1064540,1054640,1047970
1085990,1142560,1140230,1066520,1048460,1048320,1063470,1053370,1046630
1179600,1139010,1054700,1065180,1047140,1047020,1061910,1052270,1045290
1170320,1135530,1140120,1063860,1054540,1045660,1060620,1050790,1052460
1161460,1060510,1137540,1062620,1053220,1052960,1059540,1049690,1051310
1089450,1145940,1134960,1061400,1051900,1051620,1066990,1048070,1049820
1174330,1142380,1049450,1059920,1050600,1050360,1065670,1046820,1048650
1165120,1138980,1143530,1067320,1049280,1049040,1063810,1054400,1047340
1155920,1055240,1140930,1066020,1047920,1047700,1062880,1052820,1046020
1092830,1140650,1138380,1064700,1046580,1046380,1061440,1051530,1044680
1177690,1145820,1052840,1063380,1053960,1045040,1060240,1050260,1051900
1168450,1142400,1138260,1062000,1052620,1052440,1067600,1048830,1050800
1159300,1058670,1135680,1060680,1051320,1051100,1066060,1047800,1049410
1087750,1144080,1133100,1068020,1049980,1049880,1064740,1046320,1048170
1172230,1140560,1056230,1066720,1048660,1048500,1063710,1053590,1046850
1163190,1137150,1141660,1065460,1047360,1047160,1062110,1052260,1045350
1162750,1053440,1139070,1064240,1054760,1045920,1060890,1050960,1052790
1090790,1147420,1136500,1062760,1053460,1053180,1059760,1049720,1051360
1175670,1143890,1050970,1061440,1052080,1051960,1067160,1048310,1050040
1166770,1140470,1136400,1060140,1050760,1050580,1065700,1047280,1048970
1157430,1056880,1142490,1067480,1049400,1049240,1064460,1054410,1047530
1085870,1142120,1139930,1066180,1048100,1048000,1062760,1053280,1046260
1179210,1138700,1054410,1064840,1046780,1046660,1061950,1051940,1044990
1170050,1143900,1139830,1063520,1054180,1045320,1060650,1050360,1052340
1160870,1060310,1137230,1062220,1052840,1052740,1058910,1049170,1051020
1088890,1145560,1134640,1060900,1051520,1051380,1066400,1047990,1049680
1173850,1142030,1049110,1068260,1050220,1050020,1065060,1046680,1048340
1164620,1138610,1143290,1066940,1048900,1048700,1064000,1053860,1046860
1155900,1055040,1140700,1065620,1047600,1047460,1062420,1052760,1045710
1092310,1140330,1137980,1064300,1054980,1046080,1061080,1051230,1044440
1177310,1145490,1052610,1062980,1053680,1044740,1059960,1049890,1051580
1168310,1142090,1137930,1061680,1052300,1052140,1067310,1048580,1050430
1159100,1058390,1135340,1060400,1051000,1050800,1065800,1047310,1049120
1087050,1143780,1141390,1067700,1049660,1049440,1064540,1054660,1047800
1171970,1140240,1055970,1066380,1048360,1048220,1063430,1053510,1046460
1171520,1136740,1141410,1065140,1047040,1046860,1061910,1051930,1045000
1162350,1061720,1138830,1063820,1054380,1045540,1060590,1050870,1052520
1090820,1147130,1136110,1062500,1053080,1052940,1059490,1049380,1051030
1175310,1143590,1050710,1061180,1051740,1051640,1066390,1048210,1049850
1166230,1140200,1136140,1060040,1050460,1050280,1065070,1046660,1048590
1157440,1056460,1142160,1067140,1049120,1048940,1063920,1054030,1047320
1085560,1141860,1139510,1065900,1047820,1047600,1062310,1052790,1045950
1178750,1138300,1054100,1064700,1055220,1046380,1061610,1051470,1044590
1169620,1143600,1139480,1063200,1053900,1044980,1059730,1050330,1051990
1160840,1059910,1136890,1061900,1052540,1052400,1067100,1048990,1050480
1088900,1145320,1134310,1060560,1051200,1051020,1066310,1047410,1049340
1173410,1141710,1048800,1067920,1049900,1049700,1064990,1054760,1048090
1164390,1138320,1142970,1066600,1048560,1048460,1063200,1053700,1046700
1163960,1054590,1140370,1065300,1047260,1047060,1062460,1052170,1045390
1091970,1139990,1137650,1063960,1054620,1045740,1060450,1050870,1052740
1176920,1145170,1052240,1062680,1053300,1053100,1059330,1049770,1051400
1167700,1141760,1137630,1061340,1051980,1051800,1066800,1048460,1050050
1158800,1058070,1135110,1060200,1050660,1050460,1065390,1046950,1048780
1086840,1143340,1141140,1067380,1049340,1049140,1064190,1054230,1047300
1171740,1139900,1055610,1066040,1048040,1047900,1063170,1053180,1046150
1171280,1136480,1141050,1064760,1046680,1046540,1061720,1051860,1044790
1162080,1061470,1138440,1063420,1054060,1045180,1060500,1050570,1052260
1090490,1146730,1135880,1062120,1052740,1052580,1058780,1048990,1050700
1175020,1143330,1050350,1060780,1051420,1051220,1066340,1047940,1049390
1165840,1139900,1135760,1068140,1050120,1049980,1065120,1046600,1048290
1157010,1056180,1141910,1066820,1048800,1048620,1063330,1053730,1046920
1093810,1141590,1139190,1065680,1047480,1047300,1062490,1052390,1045630
1178320,1138040,1053730,1064180,1054840,1045940,1061120,1051090,1052980
1169460,1143190,1139150,1062860,1053520,1044680,1059980,1049730,1051480
1160240,1059600,1136570,1061560,1052200,1051980,1066710,1048650,1050300
1088250,1144960,1133980,1060240,1050900,1050760,1065960,1047190,1048840
1173160,1141410,1057100,1067600,1049560,1049400,1064700,1054540,1047520
1164260,1137920,1142620,1066260,1048240,1048040,1062980,1053400,1046420
1163740,1054340,1140050,1064980,1046940,1046820,1061510,1052060,1044900
1091690,1148340,1137340,1063700,1054340,1045500,1060290,1050480,1052450
1176610,1144790,1051930,1062500,1053040,1052760,1067730,1049470,1051070
1167470,1141390,1137380,1061060,1051700,1051460,1066180,1047850,1049750
1158310,1057670,1134770,1059700,1050400,1050100,1064860,1046600,1048290
1086470,1143100,1140720,1067040,1049040,1048900,1063790,1053980,1046980
1171300,1139550,1055300,1065720,1047720,1047520,1062830,1052880,1045660
1170830,1136130,1140760,1064420,1055060,1046200,1061370,1051370,1044560
1162020,1061130,1138180,1063080,1053720,1044960,1060170,1050020,1051700
1090030,1146510,1135470,1061780,1052420,1052220,1067520,1048730,1050600
1174900,1142990,1050000,1060460,1051100,1050980,1065990,1047580,1049290
1165680,1139580,1135520,1067820,1049800,1049600,1064680,1054910,1047740
1156490,1055830,1141560,1066500,1048460,1048300,1063080,1053330,1046570
1093300,1141220,1138860,1065200,1047160,1046940,1062230,1052110,1045110
1178160,1137680,1053450,1063880,1054560,1045640,1060890,1050960,1052460
1168910,1142980,1138870,1062560,1053220,1053000,1059140,1049640,1051260
1159930,1059260,1136230,1061220,1051880,1051680,1066610,1048380,1050000
1087940,1144650,1133620,1060080,1050560,1050340,1065230,1046800,1048700
1172890,1141090,1056850,1067260,1049240,1049140,1064030,1054390,1047390
1163750,1137700,1142250,1065940,1047920,1047780,1062430,1052810,1046050
1163320,1053970,1139650,1064640,1046620,1046420,1061730,1051500,1044680
1091330,1147950,1137070,1063300,1053960,1045100,1059870,1050250,1052160
1176230,1144550,1051560,1062000,1052640,1052520,1067240,1048830,1050820
1167330,1141000,1136980,1060680,1051320,1051180,1066500,1047780,1049420
1158090,1057430,1134400,1068040,1049980,1049820,1065110,1046460,1048170
1086190,1142690,1140420,1066720,1048660,1048480,1063350,1053670,1046760
1179490,1139280,1055040,1065400,1047360,1047260,1062500,1052330,1045450
1170630,1135730,1140360,1064140,1054740,1045900,1061130,1051180,1052680
1161420,1060870,1137780,1062940,1053420,1053300,1059320,1049650,1051480
1089810,1146130,1135160,1061460,1052100,1051920,1066790,1048570,1050290
1174240,1142620,1049650,1060120,1050780,1050580,1065350,1047070,1048880
1165420,1139240,1143820,1067480,1049480,1049340,1064180,1054440,1047660
1156200,1055530,1141250,1066160,1048100,1047980,1063170,1053290,1046230
1093050,1140930,1138540,1064860,1046800,1046620,1061740,1051950,1044950
1177930,1146070,1053140,1063540,1054180,1045400,1060590,1050370,1052280
1168750,1142660,1138570,1062340,1052840,1052660,1058850,1049150,1051010
1159560,1058960,1135980,1060900,1051520,1051440,1066410,1048000,1049670
1087700,1144230,1133310,1068240,1050220,1050060,1065070,1046680,1048310
1172540,1140830,1056530,1066940,1048920,1048720,1063920,1053860,1046870
1163340,1137270,1141960,1065620,1047620,1047480,1062320,1052760,1045690
1162920,1053690,1139390,1064380,1055020,1046120,1061000,1051230,1044450
1091380,1147660,1136680,1063160,1053640,1044800,1059870,1049890,1051820
1175890,1144170,1051280,1061680,1052320,1052120,1067270,1048580,1050270
1166710,1140770,1136730,1060360,1051000,1050900,1065790,1047310,1048980
1158010,1057020,1134110,1067720,1049660,1049500,1064610,1054660,1047760
1085960,1142400,1140160,1066380,1048340,1048180,1062920,1053510,1046490
1179170,1138890,1054630,1065080,1047040,1046820,1062100,1051930,1045130
1170360,1135480,1140040,1063820,1054400,1045620,1060760,1050880,1052570
1161090,1060450,1137500,1062500,1053100,1052920,1059020,1049400,1051160
1089510,1145860,1134810,1061180,1051780,1051580,1066510,1048220,1049890
1174010,1142310,1049420,1059880,1050480,1050260,1065120,1046660,1048630
1164850,1138910,1143470,1067160,1049140,1048920,1063980,1054040,1047330
1156040,1055180,1140880,1065840,1047820,1047700,1062400,1052800,1046010
1092760,1140570,1138290,1064600,1055240,1046340,1061020,1051480,1044670
1177560,1145740,1052760,1063380,1053920,1045020,1059920,1050330,1051970
1168370,1142330,1138190,1061900,1052620,1052420,1067390,1048990,1050490
1159550,1058590,1135600,1060580,1051300,1051060,1065860,1047410,1049340
1087590,1143990,1133020,1067920,1049940,1049700,1064620,1054760,1048100
1172040,1140450,1056160,1066600,1048600,1048480,1063540,1053710,1046540
1171900,1137030,1141590,1065280,1047300,1047100,1061990,1052180,1045350
1162720,1053290,1139000,1063980,1054700,1045780,1060670,1050880,1052790
1090680,1147410,1136420,1062660,1053360,1053160,1059600,1049760,1051450
1175610,1143880,1050890,1061340,1052060,1051800,1067040,1048250,1050070
1166410,1140390,1136320,1060100,1050740,1050480,1065630,1046890,1048770
1157570,1056830,1142480,1067380,1049440,1049140,1064440,1054470,1047460
1085570,1142080,1139760,1066060,1048060,1047940,1062710,1053150,1046230
1178860,1138660,1054360,1064800,1046700,1046560,1061380,1051860,1044790
1170060,1143820,1139790,1063660,1054100,1045220,1060180,1050570,1052260
1160820,1060220,1137210,1062280,1052780,1052580,1067520,1049020,1050950
1089030,1145500,1134550,1060800,1051460,1051260,1065960,1047630,1049610
1173860,1141950,1049030,1068140,1050140,1049920,1064670,1046620,1048240
1164630,1138560,1143220,1066840,1048820,1048680,1063600,1053780,1046980
1155500,1054840,1140520,1065500,1047500,1047320,1062040,1052660,1045590
1092340,1140270,1137930,1064200,1054920,1045960,1060730,1051030,1052970
1177290,1145340,1052430,1062880,1053600,1044720,1059600,1049810,1051630
1168100,1141960,1137860,1061560,1052240,1052000,1067050,1048520,1050310
1158910,1058230,1135260,1060240,1050900,1050800,1065730,1047370,1048970
1086950,1143640,1141320,1067580,1049600,1049460,1064460,1054490,1047770
1171860,1140090,1055810,1066280,1048280,1048100,1062770,1053210,1046460
1171400,1136700,1141350,1064960,1046960,1046760,1061980,1052110,1045090
1162440,1061720,1138680,1063660,1054320,1045420,1060640,1050600,1052480
1090480,1146980,1136100,1062380,1053000,1052820,1058880,1049260,1051070
1175420,1143550,1050570,1061180,1051680,1051500,1066400,1048110,1049760
1166210,1140030,1135990,1059700,1050360,1050160,1065060,1046560,1048420
1157030,1056450,1142150,1067060,1049040,1048840,1063890,1053940,1047170
1085450,1141720,1139430,1065720,1047720,1047500,1062290,1052690,1045790
1178670,1138310,1054020,1064400,1055140,1046280,1060950,1051280,1044540
1169480,1143490,1139420,1063100,1053820,1044920,1059940,1050250,1051920
1160610,1059910,1136860,1061780,1052480,1052320,1067290,1048930,1050390
1088620,1145150,1134280,1060460,1051140,1050960,1065790,1047330,1049260
1173550,1141650,1048760,1067800,1049820,1049620,1064490,1054680,1047970
1164580,1138230,1142800,1066520,1048500,1048380,1063460,1053400,1046630
1164160,1054510,1140210,1065180,1047200,1047000,1061930,1052300,1045130
1092110,1139920,1137660,1063880,1054540,1045680,1060620,1050770,1052470
1176930,1145060,1052140,1062620,1053220,1053040,1059510,1049650,1051390
