Time [s],Channel 0,Channel 1
2024-01-23T15:11:42.887782000+00:00,0,0
2024-01-23T15:11:42.970587230+00:00,1,0
2024-01-23T15:11:42.970637250+00:00,0,0
2024-01-23T15:11:43.023900340+00:00,0,1
2024-01-23T15:11:43.023900790+00:00,0,0
2024-01-23T15:11:43.170586420+00:00,1,0
2024-01-23T15:11:43.170636440+00:00,0,0
2024-01-23T15:11:43.223899110+00:00,0,1
2024-01-23T15:11:43.223899570+00:00,0,0
2024-01-23T15:11:43.370585620+00:00,1,0
2024-01-23T15:11:43.370635630+00:00,0,0
2024-01-23T15:11:43.423897880+00:00,0,1
2024-01-23T15:11:43.423898340+00:00,0,0
2024-01-23T15:11:43.570584810+00:00,1,0
2024-01-23T15:11:43.570634830+00:00,0,0
2024-01-23T15:11:43.623893650+00:00,0,1
2024-01-23T15:11:43.623894110+00:00,0,0
2024-01-23T15:11:43.770584000+00:00,1,0
2024-01-23T15:11:43.770634020+00:00,0,0
2024-01-23T15:11:43.823895480+00:00,0,1
2024-01-23T15:11:43.823895930+00:00,0,0
2024-01-23T15:11:43.970583190+00:00,1,0
2024-01-23T15:11:43.970633210+00:00,0,0
2024-01-23T15:11:44.023894250+00:00,0,1
2024-01-23T15:11:44.023894700+00:00,0,0
2024-01-23T15:11:44.170582390+00:00,1,0
2024-01-23T15:11:44.170632400+00:00,0,0
2024-01-23T15:11:44.223892970+00:00,0,1
2024-01-23T15:11:44.223893420+00:00,0,0
2024-01-23T15:11:44.370581580+00:00,1,0
2024-01-23T15:11:44.370631600+00:00,0,0
2024-01-23T15:11:44.423888660+00:00,0,1
2024-01-23T15:11:44.423889120+00:00,0,0
2024-01-23T15:11:44.570580770+00:00,1,0
2024-01-23T15:11:44.570630790+00:00,0,0
2024-01-23T15:11:44.623890510+00:00,0,1
2024-01-23T15:11:44.623890960+00:00,0,0
2024-01-23T15:11:44.770579970+00:00,1,0
2024-01-23T15:11:44.770629980+00:00,0,0
2024-01-23T15:11:44.823889280+00:00,0,1
2024-01-23T15:11:44.823889740+00:00,0,0
2024-01-23T15:11:44.970579160+00:00,1,0
2024-01-23T15:11:44.970629180+00:00,0,0
2024-01-23T15:11:45.023888060+00:00,0,1
2024-01-23T15:11:45.023888510+00:00,0,0
2024-01-23T15:11:45.170578350+00:00,1,0
2024-01-23T15:11:45.170628370+00:00,0,0
2024-01-23T15:11:45.223886830+00:00,0,1
2024-01-23T15:11:45.223887280+00:00,0,0
2024-01-23T15:11:45.370577540+00:00,1,0
2024-01-23T15:11:45.370627560+00:00,0,0
2024-01-23T15:11:45.423894600+00:00,0,1
2024-01-23T15:11:45.423895050+00:00,0,0
2024-01-23T15:11:45.570576740+00:00,1,0
2024-01-23T15:11:45.570626750+00:00,0,0
2024-01-23T15:11:45.623893420+00:00,0,1
2024-01-23T15:11:45.623893870+00:00,0,0
2024-01-23T15:11:45.770575930+00:00,1,0
2024-01-23T15:11:45.770625940+00:00,0,0
2024-01-23T15:11:45.823892140+00:00,0,1
2024-01-23T15:11:45.823892600+00:00,0,0
2024-01-23T15:11:45.970575120+00:00,1,0
2024-01-23T15:11:45.970625140+00:00,0,0
2024-01-23T15:11:46.023887910+00:00,0,1
2024-01-23T15:11:46.023888370+00:00,0,0
2024-01-23T15:11:46.170574310+00:00,1,0
2024-01-23T15:11:46.170624330+00:00,0,0
2024-01-23T15:11:46.223889490+00:00,0,1
