Time [s],Channel 0,Channel 1
2024-01-23T14:57:53.124650000+00:00,0,0
2024-01-23T14:57:53.175817280+00:00,1,0
2024-01-23T14:57:53.175867300+00:00,0,0
2024-01-23T14:57:53.182122780+00:00,0,1
2024-01-23T14:57:53.182123260+00:00,0,0
2024-01-23T14:57:53.375816500+00:00,1,0
2024-01-23T14:57:53.375866520+00:00,0,0
2024-01-23T14:57:53.382121340+00:00,0,1
2024-01-23T14:57:53.382121820+00:00,0,0
2024-01-23T14:57:53.575815720+00:00,1,0
2024-01-23T14:57:53.575865730+00:00,0,0
2024-01-23T14:57:53.582120400+00:00,0,1
2024-01-23T14:57:53.582120880+00:00,0,0
2024-01-23T14:57:53.775814940+00:00,1,0
2024-01-23T14:57:53.775864950+00:00,0,0
2024-01-23T14:57:53.782119260+00:00,0,1
2024-01-23T14:57:53.782119740+00:00,0,0
2024-01-23T14:57:53.975814150+00:00,1,0
2024-01-23T14:57:53.975864170+00:00,0,0
2024-01-23T14:57:53.982118020+00:00,0,1
2024-01-23T14:57:53.982118500+00:00,0,0
2024-01-23T14:57:54.175813370+00:00,1,0
2024-01-23T14:57:54.175863390+00:00,0,0
2024-01-23T14:57:54.182116580+00:00,0,1
2024-01-23T14:57:54.182117050+00:00,0,0
2024-01-23T14:57:54.375812590+00:00,1,0
2024-01-23T14:57:54.375862600+00:00,0,0
2024-01-23T14:57:54.382115640+00:00,0,1
2024-01-23T14:57:54.382116110+00:00,0,0
2024-01-23T14:57:54.575811800+00:00,1,0
2024-01-23T14:57:54.575861820+00:00,0,0
2024-01-23T14:57:54.582114450+00:00,0,1
2024-01-23T14:57:54.582114920+00:00,0,0
2024-01-23T14:57:54.775811020+00:00,1,0
2024-01-23T14:57:54.775861040+00:00,0,0
2024-01-23T14:57:54.782113250+00:00,0,1
2024-01-23T14:57:54.782113730+00:00,0,0
2024-01-23T14:57:54.975810240+00:00,1,0
2024-01-23T14:57:54.975860250+00:00,0,0
2024-01-23T14:57:54.982110810+00:00,0,1
2024-01-23T14:57:54.982111290+00:00,0,0
2024-01-23T14:57:55.175809450+00:00,1,0
2024-01-23T14:57:55.175859470+00:00,0,0
2024-01-23T14:57:55.182109870+00:00,0,1
2024-01-23T14:57:55.182110350+00:00,0,0
2024-01-23T14:57:55.375808670+00:00,1,0
2024-01-23T14:57:55.375858690+00:00,0,0
2024-01-23T14:57:55.382108730+00:00,0,1
2024-01-23T14:57:55.382109210+00:00,0,0
2024-01-23T14:57:55.575807890+00:00,1,0
2024-01-23T14:57:55.575857910+00:00,0,0
2024-01-23T14:57:55.582107490+00:00,0,1
2024-01-23T14:57:55.582107970+00:00,0,0
2024-01-23T14:57:55.775807110+00:00,1,0
2024-01-23T14:57:55.775857120+00:00,0,0
2024-01-23T14:57:55.782106930+00:00,0,1
2024-01-23T14:57:55.782107410+00:00,0,0
2024-01-23T14:57:55.975806320+00:00,1,0
2024-01-23T14:57:55.975856340+00:00,0,0
2024-01-23T14:57:55.982104910+00:00,0,1
2024-01-23T14:57:55.982105390+00:00,0,0
2024-01-23T14:57:56.175805540+00:00,1,0
2024-01-23T14:57:56.175855560+00:00,0,0
2024-01-23T14:57:56.182103920+00:00,0,1
2024-01-23T14:57:56.182104400+00:00,0,0
2024-01-23T14:57:56.375804760+00:00,1,0
2024-01-23T14:57:56.375854770+00:00,0,0
2024-01-23T14:57:56.382102730+00:00,0,1
2024-01-23T14:57:56.382103210+00:00,0,0
2024-01-23T14:57:56.575803970+00:00,1,0
2024-01-23T14:57:56.575853990+00:00,0,0
2024-01-23T14:57:56.582101290+00:00,0,1
2024-01-23T14:57:56.582101770+00:00,0,0
2024-01-23T14:57:56.775803190+00:00,1,0
2024-01-23T14:57:56.775853200+00:00,0,0
2024-01-23T14:57:56.782100350+00:00,0,1
2024-01-23T14:57:56.782100830+00:00,0,0
2024-01-23T14:57:56.975802400+00:00,1,0
2024-01-23T14:57:56.975852420+00:00,0,0
2024-01-23T14:57:56.982098210+00:00,0,1
2024-01-23T14:57:56.982098690+00:00,0,0
2024-01-23T14:57:57.175801620+00:00,1,0
2024-01-23T14:57:57.175851640+00:00,0,0
2024-01-23T14:57:57.182096970+00:00,0,1
2024-01-23T14:57:57.182097450+00:00,0,0
2024-01-23T14:57:57.375800840+00:00,1,0
2024-01-23T14:57:57.375850850+00:00,0,0
2024-01-23T14:57:57.382095530+00:00,0,1
2024-01-23T14:57:57.382096010+00:00,0,0
2024-01-23T14:57:57.575800050+00:00,1,0
2024-01-23T14:57:57.575850070+00:00,0,0
2024-01-23T14:57:57.582094590+00:00,0,1
2024-01-23T14:57:57.582095060+00:00,0,0
2024-01-23T14:57:57.775799270+00:00,1,0
2024-01-23T14:57:57.775849290+00:00,0,0
2024-01-23T14:57:57.782094390+00:00,0,1
2024-01-23T14:57:57.782094870+00:00,0,0
2024-01-23T14:57:57.975798490+00:00,1,0
2024-01-23T14:57:57.975848500+00:00,0,0
2024-01-23T14:57:57.982092200+00:00,0,1
2024-01-23T14:57:57.982092680+00:00,0,0
