Time [s],Channel 0,Channel 1
2024-01-23T15:49:56.710478000+00:00,0,0
2024-01-23T15:49:56.756947730+00:00,1,0
2024-01-23T15:49:56.756997750+00:00,0,0
2024-01-23T15:49:56.759665880+00:00,0,1
2024-01-23T15:49:56.759666360+00:00,0,0
2024-01-23T15:49:56.956946920+00:00,1,0
2024-01-23T15:49:56.956996930+00:00,0,0
2024-01-23T15:49:56.959664550+00:00,0,1
2024-01-23T15:49:56.959665020+00:00,0,0
2024-01-23T15:49:57.156946100+00:00,1,0
2024-01-23T15:49:57.156996120+00:00,0,0
2024-01-23T15:49:57.159663060+00:00,0,1
2024-01-23T15:49:57.159663540+00:00,0,0
2024-01-23T15:49:57.356945280+00:00,1,0
2024-01-23T15:49:57.356995300+00:00,0,0
2024-01-23T15:49:57.359662120+00:00,0,1
2024-01-23T15:49:57.359662600+00:00,0,0
2024-01-23T15:49:57.556944470+00:00,1,0
2024-01-23T15:49:57.556994480+00:00,0,0
2024-01-23T15:49:57.559660890+00:00,0,1
2024-01-23T15:49:57.559661370+00:00,0,0
2024-01-23T15:49:57.756943650+00:00,1,0
2024-01-23T15:49:57.756993660+00:00,0,0
2024-01-23T15:49:57.759659600+00:00,0,1
2024-01-23T15:49:57.759660080+00:00,0,0
2024-01-23T15:49:57.956942830+00:00,1,0
2024-01-23T15:49:57.956992850+00:00,0,0
2024-01-23T15:49:57.959658120+00:00,0,1
2024-01-23T15:49:57.959658590+00:00,0,0
2024-01-23T15:49:58.156942010+00:00,1,0
2024-01-23T15:49:58.156992030+00:00,0,0
2024-01-23T15:49:58.159657180+00:00,0,1
2024-01-23T15:49:58.159657660+00:00,0,0
2024-01-23T15:49:58.356941200+00:00,1,0
2024-01-23T15:49:58.356991210+00:00,0,0
2024-01-23T15:49:58.359654990+00:00,0,1
2024-01-23T15:49:58.359655470+00:00,0,0
2024-01-23T15:49:58.556940380+00:00,1,0
2024-01-23T15:49:58.556990400+00:00,0,0
2024-01-23T15:49:58.559653660+00:00,0,1
2024-01-23T15:49:58.559654140+00:00,0,0
2024-01-23T15:49:58.756939560+00:00,1,0
2024-01-23T15:49:58.756989580+00:00,0,0
2024-01-23T15:49:58.759652170+00:00,0,1
2024-01-23T15:49:58.759652650+00:00,0,0
2024-01-23T15:49:58.956938750+00:00,1,0
2024-01-23T15:49:58.956988760+00:00,0,0
2024-01-23T15:49:58.959651230+00:00,0,1
2024-01-23T15:49:58.959651710+00:00,0,0
2024-01-23T15:49:59.156937930+00:00,1,0
2024-01-23T15:49:59.156987940+00:00,0,0
2024-01-23T15:49:59.159650000+00:00,0,1
2024-01-23T15:49:59.159650480+00:00,0,0
2024-01-23T15:49:59.356937110+00:00,1,0
2024-01-23T15:49:59.356987130+00:00,0,0
2024-01-23T15:49:59.359648710+00:00,0,1
2024-01-23T15:49:59.359649190+00:00,0,0
2024-01-23T15:49:59.556936290+00:00,1,0
2024-01-23T15:49:59.556986310+00:00,0,0
2024-01-23T15:49:59.559647100+00:00,0,1
2024-01-23T15:49:59.559647580+00:00,0,0
2024-01-23T15:49:59.756935480+00:00,1,0
2024-01-23T15:49:59.756985490+00:00,0,0
2024-01-23T15:49:59.759646110+00:00,0,1
2024-01-23T15:49:59.759646590+00:00,0,0
2024-01-23T15:49:59.956934660+00:00,1,0
2024-01-23T15:49:59.956984680+00:00,0,0
2024-01-23T15:49:59.959645100+00:00,0,1
2024-01-23T15:49:59.959645580+00:00,0,0
2024-01-23T15:50:00.156933840+00:00,1,0
2024-01-23T15:50:00.156983860+00:00,0,0
2024-01-23T15:50:00.159642770+00:00,0,1
2024-01-23T15:50:00.159643240+00:00,0,0
2024-01-23T15:50:00.356933030+00:00,1,0
2024-01-23T15:50:00.356983040+00:00,0,0
2024-01-23T15:50:00.359641280+00:00,0,1
2024-01-23T15:50:00.359641760+00:00,0,0
2024-01-23T15:50:00.556932210+00:00,1,0
2024-01-23T15:50:00.556982230+00:00,0,0
2024-01-23T15:50:00.559640340+00:00,0,1
2024-01-23T15:50:00.559640820+00:00,0,0
2024-01-23T15:50:00.756931390+00:00,1,0
2024-01-23T15:50:00.756981410+00:00,0,0
2024-01-23T15:50:00.759639100+00:00,0,1
2024-01-23T15:50:00.759639580+00:00,0,0
2024-01-23T15:50:00.956930570+00:00,1,0
2024-01-23T15:50:00.956980590+00:00,0,0
2024-01-23T15:50:00.959637820+00:00,0,1
2024-01-23T15:50:00.959638300+00:00,0,0
2024-01-23T15:50:01.156929760+00:00,1,0
2024-01-23T15:50:01.156979770+00:00,0,0
2024-01-23T15:50:01.159636330+00:00,0,1
2024-01-23T15:50:01.159636810+00:00,0,0
2024-01-23T15:50:01.356928940+00:00,1,0
2024-01-23T15:50:01.356978960+00:00,0,0
