Time [s],Channel 0,Channel 1
2023-12-20T06:40:39.669580000+00:00,0,0
2023-12-20T06:40:39.812721150+00:00,1,0
2023-12-20T06:40:39.812771170+00:00,0,0
2023-12-20T06:40:39.824299160+00:00,0,1
2023-12-20T06:40:39.824299610+00:00,0,0
2023-12-20T06:40:40.112720270+00:00,1,0
2023-12-20T06:40:40.112770280+00:00,0,0
2023-12-20T06:40:40.121815570+00:00,0,1
2023-12-20T06:40:40.121816020+00:00,0,0
2023-12-20T06:40:40.412719380+00:00,1,0
2023-12-20T06:40:40.412769400+00:00,0,0
2023-12-20T06:40:40.425581740+00:00,0,1
2023-12-20T06:40:40.425582190+00:00,0,0
2023-12-20T06:40:40.712718500+00:00,1,0
2023-12-20T06:40:40.712768520+00:00,0,0
2023-12-20T06:40:40.728174600+00:00,0,1
2023-12-20T06:40:40.728175050+00:00,0,0
2023-12-20T06:40:41.012717620+00:00,1,0
2023-12-20T06:40:41.012767640+00:00,0,0
2023-12-20T06:40:41.023566570+00:00,0,1
2023-12-20T06:40:41.023567020+00:00,0,0
2023-12-20T06:40:41.312716740+00:00,1,0
2023-12-20T06:40:41.312766750+00:00,0,0
2023-12-20T06:40:41.319731710+00:00,0,1
2023-12-20T06:40:41.319732170+00:00,0,0
2023-12-20T06:40:41.612715860+00:00,1,0
2023-12-20T06:40:41.612765870+00:00,0,0
2023-12-20T06:40:41.625516890+00:00,0,1
2023-12-20T06:40:41.625517350+00:00,0,0
2023-12-20T06:40:41.912714970+00:00,1,0
2023-12-20T06:40:41.912764990+00:00,0,0
2023-12-20T06:40:41.928400070+00:00,0,1
2023-12-20T06:40:41.928400520+00:00,0,0
2023-12-20T06:40:42.212714090+00:00,1,0
2023-12-20T06:40:42.212764110+00:00,0,0
2023-12-20T06:40:42.226525250+00:00,0,1
2023-12-20T06:40:42.226533670+00:00,0,0
2023-12-20T06:40:42.512713210+00:00,1,0
2023-12-20T06:40:42.512763220+00:00,0,0
2023-12-20T06:40:42.523286180+00:00,0,1
2023-12-20T06:40:42.523286630+00:00,0,0
2023-12-20T06:40:42.812712330+00:00,1,0
2023-12-20T06:40:42.812762340+00:00,0,0
2023-12-20T06:40:42.825465420+00:00,0,1
2023-12-20T06:40:42.825465880+00:00,0,0
2023-12-20T06:40:43.112711440+00:00,1,0
2023-12-20T06:40:43.112761460+00:00,0,0
2023-12-20T06:40:43.125671770+00:00,0,1
2023-12-20T06:40:43.125672220+00:00,0,0
2023-12-20T06:40:43.412710560+00:00,1,0
2023-12-20T06:40:43.412760580+00:00,0,0
2023-12-20T06:40:43.426399720+00:00,0,1
2023-12-20T06:40:43.426400180+00:00,0,0
2023-12-20T06:40:43.712709680+00:00,1,0
2023-12-20T06:40:43.712759690+00:00,0,0
2023-12-20T06:40:43.728583170+00:00,0,1
2023-12-20T06:40:43.728583620+00:00,0,0
2023-12-20T06:40:44.012708790+00:00,1,0
2023-12-20T06:40:44.012758810+00:00,0,0
2023-12-20T06:40:44.026711290+00:00,0,1
2023-12-20T06:40:44.026711740+00:00,0,0
2023-12-20T06:40:44.312707910+00:00,1,0
2023-12-20T06:40:44.312757930+00:00,0,0
2023-12-20T06:40:44.325755080+00:00,0,1
2023-12-20T06:40:44.325755540+00:00,0,0
2023-12-20T06:40:44.612707030+00:00,1,0
2023-12-20T06:40:44.612757040+00:00,0,0
2023-12-20T06:40:44.626465930+00:00,0,1
2023-12-20T06:40:44.626466380+00:00,0,0
2023-12-20T06:40:44.912706140+00:00,1,0
2023-12-20T06:40:44.912756160+00:00,0,0
2023-12-20T06:40:44.924999420+00:00,0,1
2023-12-20T06:40:44.924999880+00:00,0,0
2023-12-20T06:40:45.212705260+00:00,1,0
2023-12-20T06:40:45.212755270+00:00,0,0
2023-12-20T06:40:45.224360490+00:00,0,1
2023-12-20T06:40:45.224360940+00:00,0,0
2023-12-20T06:40:45.512704370+00:00,1,0
2023-12-20T06:40:45.512754390+00:00,0,0
2023-12-20T06:40:45.523642130+00:00,0,1
2023-12-20T06:40:45.523642580+00:00,0,0
2023-12-20T06:40:45.812703490+00:00,1,0
2023-12-20T06:40:45.812753510+00:00,0,0
2023-12-20T06:40:45.828070160+00:00,0,1
2023-12-20T06:40:45.828070610+00:00,0,0
2023-12-20T06:40:46.112702610+00:00,1,0
2023-12-20T06:40:46.112752620+00:00,0,0
2023-12-20T06:40:46.118814550+00:00,0,1
2023-12-20T06:40:46.118815010+00:00,0,0
2023-12-20T06:40:46.412701720+00:00,1,0
2023-12-20T06:40:46.412751740+00:00,0,0
2023-12-20T06:40:46.424395790+00:00,0,1
2023-12-20T06:40:46.424396250+00:00,0,0
2023-12-20T06:40:46.712700840+00:00,1,0
2023-12-20T06:40:46.712750850+00:00,0,0
2023-12-20T06:40:46.723591940+00:00,0,1
2023-12-20T06:40:46.723592390+00:00,0,0
2023-12-20T06:40:47.012699950+00:00,1,0
2023-12-20T06:40:47.012749970+00:00,0,0
2023-12-20T06:40:47.024266910+00:00,0,1
2023-12-20T06:40:47.024267360+00:00,0,0
2023-12-20T06:40:47.312699070+00:00,1,0
2023-12-20T06:40:47.312749080+00:00,0,0
2023-12-20T06:40:47.324003750+00:00,0,1
2023-12-20T06:40:47.324004200+00:00,0,0
2023-12-20T06:40:47.612698180+00:00,1,0
2023-12-20T06:40:47.612748200+00:00,0,0
2023-12-20T06:40:47.618961970+00:00,0,1
2023-12-20T06:40:47.618962430+00:00,0,0
2023-12-20T06:40:47.912697290+00:00,1,0
2023-12-20T06:40:47.912747310+00:00,0,0
2023-12-20T06:40:47.923985110+00:00,0,1
2023-12-20T06:40:47.923985560+00:00,0,0
2023-12-20T06:40:48.212696410+00:00,1,0
2023-12-20T06:40:48.212746420+00:00,0,0
2023-12-20T06:40:48.223982100+00:00,0,1
2023-12-20T06:40:48.223982550+00:00,0,0
2023-12-20T06:40:48.512695520+00:00,1,0
2023-12-20T06:40:48.512745540+00:00,0,0
2023-12-20T06:40:48.525971080+00:00,0,1
2023-12-20T06:40:48.525971530+00:00,0,0
2023-12-20T06:40:48.812694640+00:00,1,0
2023-12-20T06:40:48.812744650+00:00,0,0
2023-12-20T06:40:48.825321740+00:00,0,1
2023-12-20T06:40:48.825322190+00:00,0,0
2023-12-20T06:40:49.112693750+00:00,1,0
2023-12-20T06:40:49.112743760+00:00,0,0
2023-12-20T06:40:49.121778600+00:00,0,1
2023-12-20T06:40:49.121779050+00:00,0,0
2023-12-20T06:40:49.412692860+00:00,1,0
2023-12-20T06:40:49.412742880+00:00,0,0
2023-12-20T06:40:49.425654260+00:00,0,1
2023-12-20T06:40:49.425654720+00:00,0,0
2023-12-20T06:40:49.712691980+00:00,1,0
2023-12-20T06:40:49.712741990+00:00,0,0
2023-12-20T06:40:49.736473700+00:00,0,1
2023-12-20T06:40:49.736474150+00:00,0,0
2023-12-20T06:40:50.012691090+00:00,1,0
2023-12-20T06:40:50.012741100+00:00,0,0
2023-12-20T06:40:50.028359560+00:00,0,1
2023-12-20T06:40:50.028360020+00:00,0,0
2023-12-20T06:40:50.312690200+00:00,1,0
2023-12-20T06:40:50.312740220+00:00,0,0
2023-12-20T06:40:50.325704020+00:00,0,1
2023-12-20T06:40:50.325704480+00:00,0,0
2023-12-20T06:40:50.612689310+00:00,1,0
2023-12-20T06:40:50.612739330+00:00,0,0
2023-12-20T06:40:50.634127960+00:00,0,1
2023-12-20T06:40:50.634128410+00:00,0,0
2023-12-20T06:40:50.912688430+00:00,1,0
2023-12-20T06:40:50.912738440+00:00,0,0
2023-12-20T06:40:50.923624330+00:00,0,1
2023-12-20T06:40:50.923624780+00:00,0,0
2023-12-20T06:40:51.212687540+00:00,1,0
2023-12-20T06:40:51.212737550+00:00,0,0
2023-12-20T06:40:51.224263590+00:00,0,1
2023-12-20T06:40:51.224264040+00:00,0,0
2023-12-20T06:40:51.512686650+00:00,1,0
2023-12-20T06:40:51.512736670+00:00,0,0
2023-12-20T06:40:51.524539440+00:00,0,1
2023-12-20T06:40:51.524539900+00:00,0,0
2023-12-20T06:40:51.812685760+00:00,1,0
2023-12-20T06:40:51.812735780+00:00,0,0
2023-12-20T06:40:51.823751240+00:00,0,1
2023-12-20T06:40:51.823751690+00:00,0,0
2023-12-20T06:40:52.112684870+00:00,1,0
2023-12-20T06:40:52.112734890+00:00,0,0
2023-12-20T06:40:52.128406550+00:00,0,1
2023-12-20T06:40:52.128407010+00:00,0,0
2023-12-20T06:40:52.412683990+00:00,1,0
2023-12-20T06:40:52.412734000+00:00,0,0
2023-12-20T06:40:52.424335890+00:00,0,1
2023-12-20T06:40:52.424336340+00:00,0,0
2023-12-20T06:40:52.712683100+00:00,1,0
2023-12-20T06:40:52.712733110+00:00,0,0
2023-12-20T06:40:52.720547770+00:00,0,1
2023-12-20T06:40:52.720548220+00:00,0,0
2023-12-20T06:40:53.012682210+00:00,1,0
2023-12-20T06:40:53.012732220+00:00,0,0
2023-12-20T06:40:53.025753430+00:00,0,1
2023-12-20T06:40:53.025753890+00:00,0,0
2023-12-20T06:40:53.312681320+00:00,1,0
2023-12-20T06:40:53.312731340+00:00,0,0
2023-12-20T06:40:53.324803920+00:00,0,1
2023-12-20T06:40:53.324804370+00:00,0,0
2023-12-20T06:40:53.612680430+00:00,1,0
2023-12-20T06:40:53.612730450+00:00,0,0
2023-12-20T06:40:53.625191950+00:00,0,1
2023-12-20T06:40:53.625192400+00:00,0,0
2023-12-20T06:40:53.912679540+00:00,1,0
2023-12-20T06:40:53.912729560+00:00,0,0
2023-12-20T06:40:53.924000370+00:00,0,1
2023-12-20T06:40:53.924000820+00:00,0,0
2023-12-20T06:40:54.212678650+00:00,1,0
2023-12-20T06:40:54.212728670+00:00,0,0
2023-12-20T06:40:54.225411090+00:00,0,1
2023-12-20T06:40:54.225411550+00:00,0,0
2023-12-20T06:40:54.512677760+00:00,1,0
2023-12-20T06:40:54.512727780+00:00,0,0
2023-12-20T06:40:54.524099640+00:00,0,1
2023-12-20T06:40:54.524100090+00:00,0,0
2023-12-20T06:40:54.812676870+00:00,1,0
2023-12-20T06:40:54.812726890+00:00,0,0
2023-12-20T06:40:54.825328070+00:00,0,1
2023-12-20T06:40:54.825328530+00:00,0,0
2023-12-20T06:40:55.112675980+00:00,1,0
2023-12-20T06:40:55.112726000+00:00,0,0
2023-12-20T06:40:55.124218500+00:00,0,1
2023-12-20T06:40:55.124218950+00:00,0,0
2023-12-20T06:40:55.412675090+00:00,1,0
2023-12-20T06:40:55.412725110+00:00,0,0
2023-12-20T06:40:55.419823020+00:00,0,1
2023-12-20T06:40:55.419823470+00:00,0,0
2023-12-20T06:40:55.712674200+00:00,1,0
2023-12-20T06:40:55.712724220+00:00,0,0
2023-12-20T06:40:55.733695750+00:00,0,1
2023-12-20T06:40:55.733696210+00:00,0,0
2023-12-20T06:40:56.012673310+00:00,1,0
2023-12-20T06:40:56.012723330+00:00,0,0
2023-12-20T06:40:56.025375990+00:00,0,1
2023-12-20T06:40:56.025376440+00:00,0,0
2023-12-20T06:40:56.312672420+00:00,1,0
2023-12-20T06:40:56.312722440+00:00,0,0
2023-12-20T06:40:56.325592230+00:00,0,1
2023-12-20T06:40:56.325592690+00:00,0,0
2023-12-20T06:40:56.612671530+00:00,1,0
2023-12-20T06:40:56.612721550+00:00,0,0
2023-12-20T06:40:56.624168740+00:00,0,1
2023-12-20T06:40:56.624169190+00:00,0,0
2023-12-20T06:40:56.912670640+00:00,1,0
2023-12-20T06:40:56.912720660+00:00,0,0
2023-12-20T06:40:56.920686220+00:00,0,1
2023-12-20T06:40:56.920686670+00:00,0,0
2023-12-20T06:40:57.212669750+00:00,1,0
2023-12-20T06:40:57.212719770+00:00,0,0
2023-12-20T06:40:57.226621690+00:00,0,1
2023-12-20T06:40:57.226630120+00:00,0,0
2023-12-20T06:40:57.512668860+00:00,1,0
2023-12-20T06:40:57.512718870+00:00,0,0
2023-12-20T06:40:57.523971210+00:00,0,1
2023-12-20T06:40:57.523971660+00:00,0,0
2023-12-20T06:40:57.812667970+00:00,1,0
2023-12-20T06:40:57.812717980+00:00,0,0
2023-12-20T06:40:57.826525250+00:00,0,1
2023-12-20T06:40:57.826525710+00:00,0,0
2023-12-20T06:40:58.112667080+00:00,1,0
2023-12-20T06:40:58.112717090+00:00,0,0
2023-12-20T06:40:58.123927280+00:00,0,1
2023-12-20T06:40:58.123927730+00:00,0,0
2023-12-20T06:40:58.412666180+00:00,1,0
2023-12-20T06:40:58.412716200+00:00,0,0
2023-12-20T06:40:58.424156910+00:00,0,1
2023-12-20T06:40:58.424157360+00:00,0,0
2023-12-20T06:40:58.712665290+00:00,1,0
2023-12-20T06:40:58.712715310+00:00,0,0
2023-12-20T06:40:58.729482610+00:00,0,1
2023-12-20T06:40:58.729483060+00:00,0,0
2023-12-20T06:40:59.012664400+00:00,1,0
2023-12-20T06:40:59.012714420+00:00,0,0
2023-12-20T06:40:59.027982540+00:00,0,1
2023-12-20T06:40:59.027983000+00:00,0,0
2023-12-20T06:40:59.312663510+00:00,1,0
2023-12-20T06:40:59.312713520+00:00,0,0
2023-12-20T06:40:59.326535810+00:00,0,1
2023-12-20T06:40:59.326536270+00:00,0,0
2023-12-20T06:40:59.612662620+00:00,1,0
2023-12-20T06:40:59.612712630+00:00,0,0
2023-12-20T06:40:59.625513900+00:00,0,1
2023-12-20T06:40:59.625514350+00:00,0,0
2023-12-20T06:40:59.912661720+00:00,1,0
2023-12-20T06:40:59.912711740+00:00,0,0
2023-12-20T06:40:59.926445820+00:00,0,1
2023-12-20T06:40:59.926446280+00:00,0,0
2023-12-20T06:41:00.212660830+00:00,1,0
2023-12-20T06:41:00.212710850+00:00,0,0
2023-12-20T06:41:00.225987620+00:00,0,1
2023-12-20T06:41:00.225988080+00:00,0,0
2023-12-20T06:41:00.512659940+00:00,1,0
2023-12-20T06:41:00.512709960+00:00,0,0
2023-12-20T06:41:00.526135350+00:00,0,1
2023-12-20T06:41:00.526135810+00:00,0,0
2023-12-20T06:41:00.812659050+00:00,1,0
2023-12-20T06:41:00.812709070+00:00,0,0
2023-12-20T06:41:00.824519800+00:00,0,1
2023-12-20T06:41:00.824520260+00:00,0,0
2023-12-20T06:41:01.112658160+00:00,1,0
2023-12-20T06:41:01.112708170+00:00,0,0
2023-12-20T06:41:01.127297240+00:00,0,1
2023-12-20T06:41:01.127297700+00:00,0,0
