Time [s],Channel 0,Channel 1
2023-12-20T01:16:09.026318000+00:00,0,0
2023-12-20T01:16:09.123298540+00:00,1,0
2023-12-20T01:16:09.123348550+00:00,0,0
2023-12-20T01:16:09.187510400+00:00,0,1
2023-12-20T01:16:09.187518810+00:00,0,0
2023-12-20T01:16:09.523297420+00:00,1,0
2023-12-20T01:16:09.523347430+00:00,0,0
2023-12-20T01:16:09.597500410+00:00,0,1
2023-12-20T01:16:09.597508820+00:00,0,0
2023-12-20T01:16:09.923296300+00:00,1,0
2023-12-20T01:16:09.923346320+00:00,0,0
2023-12-20T01:16:09.997601510+00:00,0,1
2023-12-20T01:16:09.997609920+00:00,0,0
2023-12-20T01:16:10.323295180+00:00,1,0
2023-12-20T01:16:10.323345200+00:00,0,0
2023-12-20T01:16:10.407591360+00:00,0,1
2023-12-20T01:16:10.407599760+00:00,0,0
2023-12-20T01:16:10.723294060+00:00,1,0
2023-12-20T01:16:10.723344080+00:00,0,0
2023-12-20T01:16:10.817597210+00:00,0,1
2023-12-20T01:16:10.817605610+00:00,0,0
2023-12-20T01:16:11.123292940+00:00,1,0
2023-12-20T01:16:11.123342960+00:00,0,0
2023-12-20T01:16:11.227567140+00:00,0,1
2023-12-20T01:16:11.227575550+00:00,0,0
2023-12-20T01:16:11.523291820+00:00,1,0
2023-12-20T01:16:11.523341840+00:00,0,0
2023-12-20T01:16:11.637557020+00:00,0,1
2023-12-20T01:16:11.637565420+00:00,0,0
2023-12-20T01:16:11.923290710+00:00,1,0
2023-12-20T01:16:11.923340720+00:00,0,0
2023-12-20T01:16:12.057523310+00:00,0,1
2023-12-20T01:16:12.057531710+00:00,0,0
2023-12-20T01:16:12.323289590+00:00,1,0
2023-12-20T01:16:12.323339600+00:00,0,0
2023-12-20T01:16:12.357564240+00:00,0,1
2023-12-20T01:16:12.357572640+00:00,0,0
2023-12-20T01:16:12.723288470+00:00,1,0
2023-12-20T01:16:12.723338480+00:00,0,0
2023-12-20T01:16:12.767558120+00:00,0,1
2023-12-20T01:16:12.767566530+00:00,0,0
