Time [s],Channel 0,Channel 1
2023-12-20T10:18:46.411287000+00:00,0,0
2023-12-20T10:18:46.543560430+00:00,1,0
2023-12-20T10:18:46.543610450+00:00,0,0
2023-12-20T10:18:46.547862800+00:00,0,1
2023-12-20T10:18:46.547863250+00:00,0,0
2023-12-20T10:18:46.843559540+00:00,1,0
2023-12-20T10:18:46.843609560+00:00,0,0
2023-12-20T10:18:46.851503490+00:00,0,1
2023-12-20T10:18:46.851503950+00:00,0,0
2023-12-20T10:18:47.143558650+00:00,1,0
2023-12-20T10:18:47.143608670+00:00,0,0
2023-12-20T10:18:47.146960280+00:00,0,1
2023-12-20T10:18:47.146960730+00:00,0,0
2023-12-20T10:18:47.443557760+00:00,1,0
2023-12-20T10:18:47.443607770+00:00,0,0
2023-12-20T10:18:47.451278340+00:00,0,1
2023-12-20T10:18:47.451278800+00:00,0,0
2023-12-20T10:18:47.743556860+00:00,1,0
2023-12-20T10:18:47.743606880+00:00,0,0
2023-12-20T10:18:47.754032050+00:00,0,1
2023-12-20T10:18:47.754032500+00:00,0,0
2023-12-20T10:18:48.043555970+00:00,1,0
2023-12-20T10:18:48.043605990+00:00,0,0
2023-12-20T10:18:48.047414390+00:00,0,1
2023-12-20T10:18:48.047414840+00:00,0,0
2023-12-20T10:18:48.343555080+00:00,1,0
2023-12-20T10:18:48.343605090+00:00,0,0
2023-12-20T10:18:48.346991840+00:00,0,1
2023-12-20T10:18:48.346992290+00:00,0,0
2023-12-20T10:18:48.643554190+00:00,1,0
2023-12-20T10:18:48.643604200+00:00,0,0
2023-12-20T10:18:48.651603140+00:00,0,1
2023-12-20T10:18:48.651603600+00:00,0,0
2023-12-20T10:18:48.943553300+00:00,1,0
2023-12-20T10:18:48.943603310+00:00,0,0
2023-12-20T10:18:48.949695670+00:00,0,1
2023-12-20T10:18:48.949696120+00:00,0,0
2023-12-20T10:18:49.243552400+00:00,1,0
2023-12-20T10:18:49.243602420+00:00,0,0
2023-12-20T10:18:49.249112200+00:00,0,1
2023-12-20T10:18:49.249112660+00:00,0,0
2023-12-20T10:18:49.543551510+00:00,1,0
2023-12-20T10:18:49.543601530+00:00,0,0
2023-12-20T10:18:49.547970870+00:00,0,1
2023-12-20T10:18:49.547971320+00:00,0,0
2023-12-20T10:18:49.843550620+00:00,1,0
2023-12-20T10:18:49.843600640+00:00,0,0
2023-12-20T10:18:49.855154160+00:00,0,1
2023-12-20T10:18:49.855154610+00:00,0,0
2023-12-20T10:18:50.143549730+00:00,1,0
2023-12-20T10:18:50.143599740+00:00,0,0
2023-12-20T10:18:50.153268080+00:00,0,1
2023-12-20T10:18:50.153268540+00:00,0,0
2023-12-20T10:18:50.443548840+00:00,1,0
2023-12-20T10:18:50.443598850+00:00,0,0
2023-12-20T10:18:50.451085970+00:00,0,1
2023-12-20T10:18:50.451086440+00:00,0,0
2023-12-20T10:18:50.743547940+00:00,1,0
2023-12-20T10:18:50.743597960+00:00,0,0
2023-12-20T10:18:50.756214820+00:00,0,1
2023-12-20T10:18:50.756215290+00:00,0,0
2023-12-20T10:18:51.043547050+00:00,1,0
2023-12-20T10:18:51.043597070+00:00,0,0
2023-12-20T10:18:51.048761970+00:00,0,1
2023-12-20T10:18:51.048762420+00:00,0,0
2023-12-20T10:18:51.343546160+00:00,1,0
2023-12-20T10:18:51.343596180+00:00,0,0
2023-12-20T10:18:51.349406140+00:00,0,1
2023-12-20T10:18:51.349406590+00:00,0,0
2023-12-20T10:18:51.643545270+00:00,1,0
2023-12-20T10:18:51.643595280+00:00,0,0
2023-12-20T10:18:51.655728080+00:00,0,1
2023-12-20T10:18:51.655728540+00:00,0,0
2023-12-20T10:18:51.943544380+00:00,1,0
2023-12-20T10:18:51.943594390+00:00,0,0
2023-12-20T10:18:51.948677870+00:00,0,1
2023-12-20T10:18:51.948678330+00:00,0,0
2023-12-20T10:18:52.243543480+00:00,1,0
2023-12-20T10:18:52.243593500+00:00,0,0
2023-12-20T10:18:52.248508060+00:00,0,1
2023-12-20T10:18:52.248508510+00:00,0,0
2023-12-20T10:18:52.543542590+00:00,1,0
2023-12-20T10:18:52.543592610+00:00,0,0
2023-12-20T10:18:52.547690640+00:00,0,1
2023-12-20T10:18:52.547691100+00:00,0,0
2023-12-20T10:18:52.843541700+00:00,1,0
2023-12-20T10:18:52.843591720+00:00,0,0
2023-12-20T10:18:52.853279940+00:00,0,1
2023-12-20T10:18:52.853280410+00:00,0,0
2023-12-20T10:18:53.143540810+00:00,1,0
2023-12-20T10:18:53.143590820+00:00,0,0
2023-12-20T10:18:53.146903050+00:00,0,1
2023-12-20T10:18:53.146903520+00:00,0,0
2023-12-20T10:18:53.443539910+00:00,1,0
2023-12-20T10:18:53.443589930+00:00,0,0
2023-12-20T10:18:53.450297660+00:00,0,1
2023-12-20T10:18:53.450298120+00:00,0,0
2023-12-20T10:18:53.743539020+00:00,1,0
2023-12-20T10:18:53.743589040+00:00,0,0
2023-12-20T10:18:53.751530120+00:00,0,1
2023-12-20T10:18:53.751530580+00:00,0,0
2023-12-20T10:18:54.043538130+00:00,1,0
2023-12-20T10:18:54.043588150+00:00,0,0
2023-12-20T10:18:54.048312690+00:00,0,1
2023-12-20T10:18:54.048313140+00:00,0,0
2023-12-20T10:18:54.343537240+00:00,1,0
2023-12-20T10:18:54.343587250+00:00,0,0
2023-12-20T10:18:54.347739010+00:00,0,1
2023-12-20T10:18:54.347739480+00:00,0,0
2023-12-20T10:18:54.643536340+00:00,1,0
2023-12-20T10:18:54.643586360+00:00,0,0
2023-12-20T10:18:54.651718080+00:00,0,1
2023-12-20T10:18:54.651718530+00:00,0,0
2023-12-20T10:18:54.943535450+00:00,1,0
2023-12-20T10:18:54.943585470+00:00,0,0
2023-12-20T10:18:54.950503380+00:00,0,1
2023-12-20T10:18:54.950503840+00:00,0,0
2023-12-20T10:18:55.243534560+00:00,1,0
2023-12-20T10:18:55.243584580+00:00,0,0
2023-12-20T10:18:55.248698310+00:00,0,1
2023-12-20T10:18:55.248698770+00:00,0,0
2023-12-20T10:18:55.543533670+00:00,1,0
2023-12-20T10:18:55.543583680+00:00,0,0
2023-12-20T10:18:55.548432880+00:00,0,1
2023-12-20T10:18:55.548433350+00:00,0,0
2023-12-20T10:18:55.843532770+00:00,1,0
2023-12-20T10:18:55.843582790+00:00,0,0
2023-12-20T10:18:55.846701650+00:00,0,1
2023-12-20T10:18:55.846702100+00:00,0,0
2023-12-20T10:18:56.143531880+00:00,1,0
2023-12-20T10:18:56.143581900+00:00,0,0
2023-12-20T10:18:56.150692800+00:00,0,1
2023-12-20T10:18:56.150693250+00:00,0,0
2023-12-20T10:18:56.443530990+00:00,1,0
2023-12-20T10:18:56.443581000+00:00,0,0
2023-12-20T10:18:56.451448190+00:00,0,1
2023-12-20T10:18:56.451448660+00:00,0,0
2023-12-20T10:18:56.743530090+00:00,1,0
2023-12-20T10:18:56.743580110+00:00,0,0
2023-12-20T10:18:56.757186950+00:00,0,1
2023-12-20T10:18:56.757187420+00:00,0,0
2023-12-20T10:18:57.043529200+00:00,1,0
2023-12-20T10:18:57.043579220+00:00,0,0
2023-12-20T10:18:57.046776270+00:00,0,1
2023-12-20T10:18:57.046776730+00:00,0,0
2023-12-20T10:18:57.343528310+00:00,1,0
2023-12-20T10:18:57.343578330+00:00,0,0
2023-12-20T10:18:57.349844480+00:00,0,1
