Time [s],Channel 0,Channel 1
2023-12-20T12:45:15.761315000+00:00,0,0
2023-12-20T12:45:15.901026030+00:00,1,0
2023-12-20T12:45:15.901076050+00:00,0,0
2023-12-20T12:45:15.974153750+00:00,0,1
2023-12-20T12:45:15.974154210+00:00,0,0
2023-12-20T12:45:16.201025180+00:00,1,0
2023-12-20T12:45:16.201075200+00:00,0,0
2023-12-20T12:45:16.281395290+00:00,0,1
2023-12-20T12:45:16.281395780+00:00,0,0
2023-12-20T12:45:16.501024330+00:00,1,0
2023-12-20T12:45:16.501074340+00:00,0,0
2023-12-20T12:45:16.588411140+00:00,0,1
2023-12-20T12:45:16.588411590+00:00,0,0
2023-12-20T12:45:16.801023480+00:00,1,0
2023-12-20T12:45:16.801073490+00:00,0,0
2023-12-20T12:45:16.896539390+00:00,0,1
2023-12-20T12:45:16.896539840+00:00,0,0
2023-12-20T12:45:17.101022620+00:00,1,0
2023-12-20T12:45:17.101072640+00:00,0,0
2023-12-20T12:45:17.202918220+00:00,0,1
2023-12-20T12:45:17.202918680+00:00,0,0
2023-12-20T12:45:17.401021770+00:00,1,0
2023-12-20T12:45:17.401071790+00:00,0,0
2023-12-20T12:45:17.513991570+00:00,0,1
2023-12-20T12:45:17.514003980+00:00,0,0
2023-12-20T12:45:17.701020920+00:00,1,0
2023-12-20T12:45:17.701070930+00:00,0,0
2023-12-20T12:45:17.817753580+00:00,0,1
2023-12-20T12:45:17.817754040+00:00,0,0
2023-12-20T12:45:18.001020070+00:00,1,0
2023-12-20T12:45:18.001070080+00:00,0,0
2023-12-20T12:45:18.124576160+00:00,0,1
2023-12-20T12:45:18.124576620+00:00,0,0
2023-12-20T12:45:18.301019210+00:00,1,0
2023-12-20T12:45:18.301069230+00:00,0,0
2023-12-20T12:45:18.330768900+00:00,0,1
2023-12-20T12:45:18.330769350+00:00,0,0
2023-12-20T12:45:18.601018360+00:00,1,0
2023-12-20T12:45:18.601068370+00:00,0,0
2023-12-20T12:45:18.637042230+00:00,0,1
2023-12-20T12:45:18.637042680+00:00,0,0
2023-12-20T12:45:18.901017510+00:00,1,0
2023-12-20T12:45:18.901067520+00:00,0,0
2023-12-20T12:45:18.943735320+00:00,0,1
2023-12-20T12:45:18.943735790+00:00,0,0
2023-12-20T12:45:19.201016650+00:00,1,0
2023-12-20T12:45:19.201066670+00:00,0,0
2023-12-20T12:45:19.251726040+00:00,0,1
2023-12-20T12:45:19.251726500+00:00,0,0
2023-12-20T12:45:19.501015800+00:00,1,0
2023-12-20T12:45:19.501065820+00:00,0,0
2023-12-20T12:45:19.559834350+00:00,0,1
2023-12-20T12:45:19.559834810+00:00,0,0
2023-12-20T12:45:19.801014950+00:00,1,0
2023-12-20T12:45:19.801064960+00:00,0,0
2023-12-20T12:45:19.865407880+00:00,0,1
2023-12-20T12:45:19.865408330+00:00,0,0
2023-12-20T12:45:20.101014100+00:00,1,0
2023-12-20T12:45:20.101064110+00:00,0,0
2023-12-20T12:45:20.114204570+00:00,0,1
2023-12-20T12:45:20.114205020+00:00,0,0
2023-12-20T12:45:20.401013240+00:00,1,0
2023-12-20T12:45:20.401063260+00:00,0,0
2023-12-20T12:45:20.479506570+00:00,0,1
2023-12-20T12:45:20.479507020+00:00,0,0
2023-12-20T12:45:20.701012390+00:00,1,0
2023-12-20T12:45:20.701062400+00:00,0,0
2023-12-20T12:45:20.788677700+00:00,0,1
2023-12-20T12:45:20.788678160+00:00,0,0
2023-12-20T12:45:21.001011540+00:00,1,0
2023-12-20T12:45:21.001061550+00:00,0,0
2023-12-20T12:45:21.098828740+00:00,0,1
2023-12-20T12:45:21.098829200+00:00,0,0
2023-12-20T12:45:21.301010680+00:00,1,0
2023-12-20T12:45:21.301060700+00:00,0,0
2023-12-20T12:45:21.402809630+00:00,0,1
2023-12-20T12:45:21.402810100+00:00,0,0
