Time [s],Channel 0,Channel 1
2024-02-03T06:05:13.519271000+00:00,0,0
2024-02-03T06:05:13.599848580+00:00,1,0
2024-02-03T06:05:13.599898580+00:00,0,0
2024-02-03T06:05:13.611848950+00:00,0,1
2024-02-03T06:05:13.611861320+00:00,0,0
2024-02-03T06:05:13.799847790+00:00,1,0
2024-02-03T06:05:13.799897800+00:00,0,0
2024-02-03T06:05:13.820577730+00:00,0,1
2024-02-03T06:05:13.820582140+00:00,0,0
2024-02-03T06:05:13.999847010+00:00,1,0
2024-02-03T06:05:13.999897020+00:00,0,0
2024-02-03T06:05:14.014116020+00:00,0,1
2024-02-03T06:05:14.014132380+00:00,0,0
2024-02-03T06:05:14.199846230+00:00,1,0
2024-02-03T06:05:14.199896240+00:00,0,0
2024-02-03T06:05:14.216463660+00:00,0,1
2024-02-03T06:05:14.216472060+00:00,0,0
2024-02-03T06:05:14.399845450+00:00,1,0
2024-02-03T06:05:14.399895460+00:00,0,0
2024-02-03T06:05:14.412734080+00:00,0,1
2024-02-03T06:05:14.412746450+00:00,0,0
2024-02-03T06:05:14.599844670+00:00,1,0
2024-02-03T06:05:14.599894680+00:00,0,0
2024-02-03T06:05:14.617218100+00:00,0,1
2024-02-03T06:05:14.617226460+00:00,0,0
2024-02-03T06:05:14.799843890+00:00,1,0
2024-02-03T06:05:14.799893890+00:00,0,0
2024-02-03T06:05:14.814865350+00:00,0,1
2024-02-03T06:05:14.814877720+00:00,0,0
2024-02-03T06:05:14.999843100+00:00,1,0
2024-02-03T06:05:14.999893110+00:00,0,0
2024-02-03T06:05:15.016271850+00:00,0,1
2024-02-03T06:05:15.016280220+00:00,0,0
2024-02-03T06:05:15.199842320+00:00,1,0
2024-02-03T06:05:15.199892330+00:00,0,0
2024-02-03T06:05:15.214809880+00:00,0,1
2024-02-03T06:05:15.214822250+00:00,0,0
2024-02-03T06:05:15.399841540+00:00,1,0
2024-02-03T06:05:15.399891550+00:00,0,0
2024-02-03T06:05:15.413093420+00:00,0,1
2024-02-03T06:05:15.413105780+00:00,0,0
2024-02-03T06:05:15.599840760+00:00,1,0
2024-02-03T06:05:15.599890770+00:00,0,0
2024-02-03T06:05:15.614851550+00:00,0,1
2024-02-03T06:05:15.614863910+00:00,0,0
2024-02-03T06:05:15.799839980+00:00,1,0
2024-02-03T06:05:15.799889990+00:00,0,0
2024-02-03T06:05:15.813447350+00:00,0,1
2024-02-03T06:05:15.813455730+00:00,0,0
2024-02-03T06:05:15.999839190+00:00,1,0
2024-02-03T06:05:15.999889200+00:00,0,0
2024-02-03T06:05:16.011219860+00:00,0,1
2024-02-03T06:05:16.011236230+00:00,0,0
2024-02-03T06:05:16.199838410+00:00,1,0
2024-02-03T06:05:16.199888420+00:00,0,0
2024-02-03T06:05:16.214333520+00:00,0,1
2024-02-03T06:05:16.214345890+00:00,0,0
2024-02-03T06:05:16.399837630+00:00,1,0
2024-02-03T06:05:16.399887640+00:00,0,0
2024-02-03T06:05:16.413776190+00:00,0,1
2024-02-03T06:05:16.413788560+00:00,0,0
2024-02-03T06:05:16.599836850+00:00,1,0
2024-02-03T06:05:16.599886860+00:00,0,0
2024-02-03T06:05:16.613228950+00:00,0,1
2024-02-03T06:05:16.613237310+00:00,0,0
2024-02-03T06:05:16.799836070+00:00,1,0
2024-02-03T06:05:16.799886080+00:00,0,0
2024-02-03T06:05:16.812742140+00:00,0,1
2024-02-03T06:05:16.812754510+00:00,0,0
2024-02-03T06:05:16.999835290+00:00,1,0
2024-02-03T06:05:16.999885290+00:00,0,0
2024-02-03T06:05:17.012609540+00:00,0,1
2024-02-03T06:05:17.012613940+00:00,0,0
2024-02-03T06:05:17.199834500+00:00,1,0
2024-02-03T06:05:17.199884510+00:00,0,0
2024-02-03T06:05:17.214199810+00:00,0,1
2024-02-03T06:05:17.214216180+00:00,0,0
2024-02-03T06:05:17.399833720+00:00,1,0
2024-02-03T06:05:17.399883730+00:00,0,0
2024-02-03T06:05:17.413212090+00:00,0,1
2024-02-03T06:05:17.413220460+00:00,0,0
2024-02-03T06:05:17.599832940+00:00,1,0
2024-02-03T06:05:17.599882950+00:00,0,0
2024-02-03T06:05:17.613345410+00:00,0,1
2024-02-03T06:05:17.613357770+00:00,0,0
2024-02-03T06:05:17.799832160+00:00,1,0
2024-02-03T06:05:17.799882170+00:00,0,0
2024-02-03T06:05:17.811044710+00:00,0,1
2024-02-03T06:05:17.811053070+00:00,0,0
2024-02-03T06:05:17.999831380+00:00,1,0
2024-02-03T06:05:17.999881380+00:00,0,0
2024-02-03T06:05:18.011344180+00:00,0,1
2024-02-03T06:05:18.011356690+00:00,0,0
2024-02-03T06:05:18.199830590+00:00,1,0
2024-02-03T06:05:18.199880600+00:00,0,0
2024-02-03T06:05:18.213201210+00:00,0,1
2024-02-03T06:05:18.213209570+00:00,0,0
2024-02-03T06:05:18.399829810+00:00,1,0
2024-02-03T06:05:18.399879820+00:00,0,0
2024-02-03T06:05:18.411111420+00:00,0,1
2024-02-03T06:05:18.411123790+00:00,0,0
2024-02-03T06:05:18.599829030+00:00,1,0
2024-02-03T06:05:18.599879040+00:00,0,0
2024-02-03T06:05:18.613183510+00:00,0,1
2024-02-03T06:05:18.613191880+00:00,0,0
2024-02-03T06:05:18.799828250+00:00,1,0
2024-02-03T06:05:18.799878260+00:00,0,0
2024-02-03T06:05:18.816172800+00:00,0,1
2024-02-03T06:05:18.816185170+00:00,0,0
2024-02-03T06:05:18.999827460+00:00,1,0
2024-02-03T06:05:18.999877470+00:00,0,0
2024-02-03T06:05:19.011168370+00:00,0,1
2024-02-03T06:05:19.011176740+00:00,0,0
2024-02-03T06:05:19.199826680+00:00,1,0
2024-02-03T06:05:19.199876690+00:00,0,0
2024-02-03T06:05:19.211433610+00:00,0,1
2024-02-03T06:05:19.211445980+00:00,0,0
2024-02-03T06:05:19.399825900+00:00,1,0
2024-02-03T06:05:19.399875910+00:00,0,0
2024-02-03T06:05:19.413825640+00:00,0,1
2024-02-03T06:05:19.413838000+00:00,0,0
2024-02-03T06:05:19.599825110+00:00,1,0
2024-02-03T06:05:19.599875120+00:00,0,0
2024-02-03T06:05:19.611765370+00:00,0,1
2024-02-03T06:05:19.611781730+00:00,0,0
2024-02-03T06:05:19.799824330+00:00,1,0
2024-02-03T06:05:19.799874340+00:00,0,0
2024-02-03T06:05:19.813453040+00:00,0,1
