Time [s],Channel 0,Channel 1
2024-02-03T05:53:34.721825000+00:00,0,0
2024-02-03T05:53:34.787132250+00:00,1,0
2024-02-03T05:53:34.787182260+00:00,0,0
2024-02-03T05:53:34.791625610+00:00,0,1
2024-02-03T05:53:34.791626140+00:00,0,0
2024-02-03T05:53:34.987131470+00:00,1,0
2024-02-03T05:53:34.987181480+00:00,0,0
2024-02-03T05:53:34.994872980+00:00,0,1
2024-02-03T05:53:34.994873510+00:00,0,0
2024-02-03T05:53:35.187130690+00:00,1,0
2024-02-03T05:53:35.187180700+00:00,0,0
2024-02-03T05:53:35.192552220+00:00,0,1
2024-02-03T05:53:35.192552750+00:00,0,0
2024-02-03T05:53:35.387129910+00:00,1,0
2024-02-03T05:53:35.387179920+00:00,0,0
2024-02-03T05:53:35.391049470+00:00,0,1
2024-02-03T05:53:35.391050000+00:00,0,0
2024-02-03T05:53:35.587129130+00:00,1,0
2024-02-03T05:53:35.587179140+00:00,0,0
2024-02-03T05:53:35.591782690+00:00,0,1
2024-02-03T05:53:35.591783220+00:00,0,0
2024-02-03T05:53:35.787128350+00:00,1,0
2024-02-03T05:53:35.787178360+00:00,0,0
2024-02-03T05:53:35.791981680+00:00,0,1
2024-02-03T05:53:35.791982210+00:00,0,0
2024-02-03T05:53:35.987127570+00:00,1,0
2024-02-03T05:53:35.987177580+00:00,0,0
2024-02-03T05:53:35.991085430+00:00,0,1
2024-02-03T05:53:35.991085960+00:00,0,0
2024-02-03T05:53:36.187126790+00:00,1,0
2024-02-03T05:53:36.187176800+00:00,0,0
2024-02-03T05:53:36.191139120+00:00,0,1
2024-02-03T05:53:36.191139650+00:00,0,0
2024-02-03T05:53:36.387126010+00:00,1,0
2024-02-03T05:53:36.387176020+00:00,0,0
2024-02-03T05:53:36.391022000+00:00,0,1
2024-02-03T05:53:36.391022520+00:00,0,0
2024-02-03T05:53:36.587125230+00:00,1,0
2024-02-03T05:53:36.587175240+00:00,0,0
2024-02-03T05:53:36.591192040+00:00,0,1
2024-02-03T05:53:36.591192570+00:00,0,0
2024-02-03T05:53:36.787124450+00:00,1,0
2024-02-03T05:53:36.787174460+00:00,0,0
2024-02-03T05:53:36.791238560+00:00,0,1
2024-02-03T05:53:36.791239090+00:00,0,0
2024-02-03T05:53:36.987123670+00:00,1,0
2024-02-03T05:53:36.987173680+00:00,0,0
2024-02-03T05:53:36.992725140+00:00,0,1
2024-02-03T05:53:36.992726420+00:00,0,0
2024-02-03T05:53:37.187122890+00:00,1,0
2024-02-03T05:53:37.187172900+00:00,0,0
2024-02-03T05:53:37.191323470+00:00,0,1
2024-02-03T05:53:37.191324000+00:00,0,0
2024-02-03T05:53:37.387122110+00:00,1,0
2024-02-03T05:53:37.387172120+00:00,0,0
2024-02-03T05:53:37.390780900+00:00,0,1
2024-02-03T05:53:37.390781420+00:00,0,0
2024-02-03T05:53:37.587121330+00:00,1,0
2024-02-03T05:53:37.587171340+00:00,0,0
2024-02-03T05:53:37.591645910+00:00,0,1
2024-02-03T05:53:37.591646440+00:00,0,0
2024-02-03T05:53:37.787120550+00:00,1,0
2024-02-03T05:53:37.787170560+00:00,0,0
