Time [s],Channel 0,Channel 1
2024-02-03T01:26:42.955590000+00:00,0,0
2024-02-03T01:26:43.128519980+00:00,1,0
2024-02-03T01:26:43.128569990+00:00,0,0
2024-02-03T01:26:43.197836560+00:00,0,1
2024-02-03T01:26:43.197837020+00:00,0,0
2024-02-03T01:26:43.628518430+00:00,1,0
2024-02-03T01:26:43.628568440+00:00,0,0
2024-02-03T01:26:43.691398660+00:00,0,1
2024-02-03T01:26:43.691399120+00:00,0,0
2024-02-03T01:26:44.128516870+00:00,1,0
2024-02-03T01:26:44.128566880+00:00,0,0
2024-02-03T01:26:44.191110150+00:00,0,1
2024-02-03T01:26:44.191110600+00:00,0,0
2024-02-03T01:26:44.628515310+00:00,1,0
2024-02-03T01:26:44.628565320+00:00,0,0
2024-02-03T01:26:44.695386810+00:00,0,1
2024-02-03T01:26:44.695387260+00:00,0,0
2024-02-03T01:26:45.128513760+00:00,1,0
2024-02-03T01:26:45.128563770+00:00,0,0
2024-02-03T01:26:45.194035430+00:00,0,1
2024-02-03T01:26:45.194035900+00:00,0,0
2024-02-03T01:26:45.628512200+00:00,1,0
2024-02-03T01:26:45.628562210+00:00,0,0
2024-02-03T01:26:45.693357900+00:00,0,1
2024-02-03T01:26:45.693358360+00:00,0,0
2024-02-03T01:26:46.128510650+00:00,1,0
2024-02-03T01:26:46.128560660+00:00,0,0
2024-02-03T01:26:46.191623180+00:00,0,1
2024-02-03T01:26:46.191623630+00:00,0,0
2024-02-03T01:26:46.628509090+00:00,1,0
2024-02-03T01:26:46.628559100+00:00,0,0
2024-02-03T01:26:46.690994930+00:00,0,1
2024-02-03T01:26:46.690995400+00:00,0,0
2024-02-03T01:26:47.128507530+00:00,1,0
2024-02-03T01:26:47.128557540+00:00,0,0
2024-02-03T01:26:47.194365100+00:00,0,1
2024-02-03T01:26:47.194365560+00:00,0,0
2024-02-03T01:26:47.628505980+00:00,1,0
2024-02-03T01:26:47.628555990+00:00,0,0
2024-02-03T01:26:47.694572220+00:00,0,1
2024-02-03T01:26:47.694572670+00:00,0,0
2024-02-03T01:26:48.128504420+00:00,1,0
2024-02-03T01:26:48.128554430+00:00,0,0
2024-02-03T01:26:48.197199650+00:00,0,1
2024-02-03T01:26:48.197200120+00:00,0,0
2024-02-03T01:26:48.628502860+00:00,1,0
2024-02-03T01:26:48.628552870+00:00,0,0
2024-02-03T01:26:48.693943850+00:00,0,1
2024-02-03T01:26:48.693944310+00:00,0,0
2024-02-03T01:26:49.128501300+00:00,1,0
2024-02-03T01:26:49.128551310+00:00,0,0
2024-02-03T01:26:49.197209180+00:00,0,1
2024-02-03T01:26:49.197209630+00:00,0,0
2024-02-03T01:26:49.628499750+00:00,1,0
2024-02-03T01:26:49.628549750+00:00,0,0
2024-02-03T01:26:49.690447040+00:00,0,1
2024-02-03T01:26:49.690447500+00:00,0,0
2024-02-03T01:26:50.128498190+00:00,1,0
2024-02-03T01:26:50.128548190+00:00,0,0
2024-02-03T01:26:50.190872870+00:00,0,1
