Time [s],Channel 0,Channel 1
2024-02-03T01:36:56.149677000+00:00,0,0
2024-02-03T01:36:56.280143350+00:00,1,0
2024-02-03T01:36:56.280193360+00:00,0,0
2024-02-03T01:36:56.411682320+00:00,0,1
2024-02-03T01:36:56.411682770+00:00,0,0
2024-02-03T01:36:56.780141670+00:00,1,0
2024-02-03T01:36:56.780191670+00:00,0,0
2024-02-03T01:36:56.911383650+00:00,0,1
2024-02-03T01:36:56.911384100+00:00,0,0
2024-02-03T01:36:57.280139980+00:00,1,0
2024-02-03T01:36:57.280189990+00:00,0,0
2024-02-03T01:36:57.416262330+00:00,0,1
2024-02-03T01:36:57.416262790+00:00,0,0
2024-02-03T01:36:57.780138290+00:00,1,0
2024-02-03T01:36:57.780188300+00:00,0,0
2024-02-03T01:36:57.914146960+00:00,0,1
2024-02-03T01:36:57.914147410+00:00,0,0
2024-02-03T01:36:58.280136600+00:00,1,0
2024-02-03T01:36:58.280186610+00:00,0,0
2024-02-03T01:36:58.415645640+00:00,0,1
2024-02-03T01:36:58.415646090+00:00,0,0
2024-02-03T01:36:58.780134910+00:00,1,0
2024-02-03T01:36:58.780184920+00:00,0,0
2024-02-03T01:36:58.918579810+00:00,0,1
2024-02-03T01:36:58.918580270+00:00,0,0
2024-02-03T01:36:59.280133220+00:00,1,0
2024-02-03T01:36:59.280183230+00:00,0,0
2024-02-03T01:36:59.414732460+00:00,0,1
2024-02-03T01:36:59.414732910+00:00,0,0
2024-02-03T01:36:59.780131530+00:00,1,0
2024-02-03T01:36:59.780181540+00:00,0,0
2024-02-03T01:36:59.916083710+00:00,0,1
2024-02-03T01:36:59.916084160+00:00,0,0
2024-02-03T01:37:00.280129840+00:00,1,0
2024-02-03T01:37:00.280179850+00:00,0,0
2024-02-03T01:37:00.421364680+00:00,0,1
2024-02-03T01:37:00.421365140+00:00,0,0
2024-02-03T01:37:00.780128150+00:00,1,0
2024-02-03T01:37:00.780178160+00:00,0,0
2024-02-03T01:37:00.915690020+00:00,0,1
2024-02-03T01:37:00.915690480+00:00,0,0
2024-02-03T01:37:01.280126460+00:00,1,0
2024-02-03T01:37:01.280176470+00:00,0,0
2024-02-03T01:37:01.418604340+00:00,0,1
2024-02-03T01:37:01.418604790+00:00,0,0
2024-02-03T01:37:01.780124770+00:00,1,0
2024-02-03T01:37:01.780174780+00:00,0,0
2024-02-03T01:37:01.914897460+00:00,0,1
2024-02-03T01:37:01.914897910+00:00,0,0
2024-02-03T01:37:02.280123080+00:00,1,0
2024-02-03T01:37:02.280173090+00:00,0,0
2024-02-03T01:37:02.415604060+00:00,0,1
2024-02-03T01:37:02.415604510+00:00,0,0
2024-02-03T01:37:02.780121390+00:00,1,0
2024-02-03T01:37:02.780171390+00:00,0,0
2024-02-03T01:37:02.918617870+00:00,0,1
2024-02-03T01:37:02.918618330+00:00,0,0
2024-02-03T01:37:03.280119690+00:00,1,0
2024-02-03T01:37:03.280169700+00:00,0,0
2024-02-03T01:37:03.413974040+00:00,0,1
2024-02-03T01:37:03.413974490+00:00,0,0
2024-02-03T01:37:03.780118000+00:00,1,0
2024-02-03T01:37:03.780168010+00:00,0,0
2024-02-03T01:37:03.912221940+00:00,0,1
2024-02-03T01:37:03.912222390+00:00,0,0
2024-02-03T01:37:04.280116310+00:00,1,0
2024-02-03T01:37:04.280166320+00:00,0,0
2024-02-03T01:37:04.419767430+00:00,0,1
2024-02-03T01:37:04.419767890+00:00,0,0
2024-02-03T01:37:04.780114610+00:00,1,0
2024-02-03T01:37:04.780164620+00:00,0,0
2024-02-03T01:37:04.921102860+00:00,0,1
2024-02-03T01:37:04.921103320+00:00,0,0
2024-02-03T01:37:05.280112920+00:00,1,0
2024-02-03T01:37:05.280162930+00:00,0,0
2024-02-03T01:37:05.414902940+00:00,0,1
2024-02-03T01:37:05.414903390+00:00,0,0
2024-02-03T01:37:05.780111220+00:00,1,0
2024-02-03T01:37:05.780161230+00:00,0,0
2024-02-03T01:37:05.915124270+00:00,0,1
2024-02-03T01:37:05.915124720+00:00,0,0
2024-02-03T01:37:06.280109530+00:00,1,0
2024-02-03T01:37:06.280159540+00:00,0,0
2024-02-03T01:37:06.412118280+00:00,0,1
2024-02-03T01:37:06.412118740+00:00,0,0
2024-02-03T01:37:06.780107830+00:00,1,0
2024-02-03T01:37:06.780157840+00:00,0,0
2024-02-03T01:37:06.914938880+00:00,0,1
2024-02-03T01:37:06.914939330+00:00,0,0
2024-02-03T01:37:07.280106140+00:00,1,0
2024-02-03T01:37:07.280156140+00:00,0,0
2024-02-03T01:37:07.416374460+00:00,0,1
2024-02-03T01:37:07.416374910+00:00,0,0
2024-02-03T01:37:07.780104440+00:00,1,0
2024-02-03T01:37:07.780154450+00:00,0,0
2024-02-03T01:37:07.914203290+00:00,0,1
2024-02-03T01:37:07.914203740+00:00,0,0
2024-02-03T01:37:08.280102740+00:00,1,0
2024-02-03T01:37:08.280152750+00:00,0,0
2024-02-03T01:37:08.412379460+00:00,0,1
2024-02-03T01:37:08.412379920+00:00,0,0
2024-02-03T01:37:08.780101040+00:00,1,0
2024-02-03T01:37:08.780151050+00:00,0,0
2024-02-03T01:37:08.920582810+00:00,0,1
2024-02-03T01:37:08.920583260+00:00,0,0
2024-02-03T01:37:09.280099350+00:00,1,0
2024-02-03T01:37:09.280149350+00:00,0,0
2024-02-03T01:37:09.413659500+00:00,0,1
2024-02-03T01:37:09.413659950+00:00,0,0
2024-02-03T01:37:09.780097650+00:00,1,0
2024-02-03T01:37:09.780147660+00:00,0,0
2024-02-03T01:37:09.912309620+00:00,0,1
2024-02-03T01:37:09.912310080+00:00,0,0
2024-02-03T01:37:10.280095950+00:00,1,0
2024-02-03T01:37:10.280145960+00:00,0,0
2024-02-03T01:37:10.416818750+00:00,0,1
2024-02-03T01:37:10.416819200+00:00,0,0
2024-02-03T01:37:10.780094250+00:00,1,0
2024-02-03T01:37:10.780144260+00:00,0,0
2024-02-03T01:37:10.914445450+00:00,0,1
2024-02-03T01:37:10.914445900+00:00,0,0
2024-02-03T01:37:11.280092550+00:00,1,0
2024-02-03T01:37:11.280142560+00:00,0,0
2024-02-03T01:37:11.414379950+00:00,0,1
2024-02-03T01:37:11.414380400+00:00,0,0
2024-02-03T01:37:11.780090850+00:00,1,0
2024-02-03T01:37:11.780140860+00:00,0,0
2024-02-03T01:37:11.916330790+00:00,0,1
2024-02-03T01:37:11.916331240+00:00,0,0
2024-02-03T01:37:12.280089150+00:00,1,0
2024-02-03T01:37:12.280139160+00:00,0,0
2024-02-03T01:37:12.415611730+00:00,0,1
2024-02-03T01:37:12.415612180+00:00,0,0
2024-02-03T01:37:12.780087450+00:00,1,0
2024-02-03T01:37:12.780137460+00:00,0,0
2024-02-03T01:37:12.919471280+00:00,0,1
2024-02-03T01:37:12.919471740+00:00,0,0
2024-02-03T01:37:13.280085750+00:00,1,0
2024-02-03T01:37:13.280135760+00:00,0,0
2024-02-03T01:37:13.412679810+00:00,0,1
2024-02-03T01:37:13.412680260+00:00,0,0
2024-02-03T01:37:13.780084050+00:00,1,0
2024-02-03T01:37:13.780134060+00:00,0,0
2024-02-03T01:37:13.912851120+00:00,0,1
2024-02-03T01:37:13.912851580+00:00,0,0
2024-02-03T01:37:14.280082350+00:00,1,0
2024-02-03T01:37:14.280132360+00:00,0,0
2024-02-03T01:37:14.415295140+00:00,0,1
2024-02-03T01:37:14.415295590+00:00,0,0
2024-02-03T01:37:14.780080640+00:00,1,0
2024-02-03T01:37:14.780130650+00:00,0,0
2024-02-03T01:37:14.915128860+00:00,0,1
2024-02-03T01:37:14.915129310+00:00,0,0
2024-02-03T01:37:15.280078940+00:00,1,0
2024-02-03T01:37:15.280128950+00:00,0,0
2024-02-03T01:37:15.415049420+00:00,0,1
2024-02-03T01:37:15.415049880+00:00,0,0
2024-02-03T01:37:15.780077240+00:00,1,0
2024-02-03T01:37:15.780127250+00:00,0,0
2024-02-03T01:37:15.914046180+00:00,0,1
2024-02-03T01:37:15.914046630+00:00,0,0
2024-02-03T01:37:16.280075540+00:00,1,0
2024-02-03T01:37:16.280125550+00:00,0,0
2024-02-03T01:37:16.414969950+00:00,0,1
2024-02-03T01:37:16.414970400+00:00,0,0
2024-02-03T01:37:16.780073830+00:00,1,0
2024-02-03T01:37:16.780123840+00:00,0,0
2024-02-03T01:37:16.912370100+00:00,0,1
2024-02-03T01:37:16.912370550+00:00,0,0
2024-02-03T01:37:17.280072130+00:00,1,0
2024-02-03T01:37:17.280122140+00:00,0,0
2024-02-03T01:37:17.412222200+00:00,0,1
2024-02-03T01:37:17.412222650+00:00,0,0
2024-02-03T01:37:17.780070430+00:00,1,0
2024-02-03T01:37:17.780120440+00:00,0,0
2024-02-03T01:37:17.911606410+00:00,0,1
2024-02-03T01:37:17.911606860+00:00,0,0
2024-02-03T01:37:18.280068720+00:00,1,0
2024-02-03T01:37:18.280118730+00:00,0,0
2024-02-03T01:37:18.412158510+00:00,0,1
2024-02-03T01:37:18.412158960+00:00,0,0
2024-02-03T01:37:18.780067020+00:00,1,0
2024-02-03T01:37:18.780117030+00:00,0,0
2024-02-03T01:37:18.914699210+00:00,0,1
2024-02-03T01:37:18.914699660+00:00,0,0
2024-02-03T01:37:19.280065320+00:00,1,0
2024-02-03T01:37:19.280115330+00:00,0,0
2024-02-03T01:37:19.414011680+00:00,0,1
2024-02-03T01:37:19.414012130+00:00,0,0
2024-02-03T01:37:19.780063610+00:00,1,0
2024-02-03T01:37:19.780113620+00:00,0,0
2024-02-03T01:37:19.913672640+00:00,0,1
2024-02-03T01:37:19.913673090+00:00,0,0
2024-02-03T01:37:20.280061910+00:00,1,0
2024-02-03T01:37:20.280111920+00:00,0,0
2024-02-03T01:37:20.414972940+00:00,0,1
2024-02-03T01:37:20.414973390+00:00,0,0
2024-02-03T01:37:20.780060200+00:00,1,0
2024-02-03T01:37:20.780110210+00:00,0,0
2024-02-03T01:37:20.916590730+00:00,0,1
2024-02-03T01:37:20.916591180+00:00,0,0
2024-02-03T01:37:21.280058500+00:00,1,0
2024-02-03T01:37:21.280108510+00:00,0,0
2024-02-03T01:37:21.413360420+00:00,0,1
2024-02-03T01:37:21.413360880+00:00,0,0
2024-02-03T01:37:21.780056790+00:00,1,0
2024-02-03T01:37:21.780106800+00:00,0,0
2024-02-03T01:37:21.915842790+00:00,0,1
2024-02-03T01:37:21.915843240+00:00,0,0
2024-02-03T01:37:22.280055090+00:00,1,0
2024-02-03T01:37:22.280105100+00:00,0,0
2024-02-03T01:37:22.414227900+00:00,0,1
2024-02-03T01:37:22.414228350+00:00,0,0
2024-02-03T01:37:22.780053380+00:00,1,0
2024-02-03T01:37:22.780103390+00:00,0,0
2024-02-03T01:37:22.915288670+00:00,0,1
2024-02-03T01:37:22.915289120+00:00,0,0
