Time [s],Channel 0,Channel 1
2023-12-06T08:43:30.537220000+00:00,0,0
2023-12-06T08:43:30.592829060+00:00,1,0
2023-12-06T08:43:30.592879080+00:00,0,0
2023-12-06T08:43:30.632582260+00:00,0,1
2023-12-06T08:43:30.632582730+00:00,0,0
2023-12-06T08:43:30.692828690+00:00,1,0
2023-12-06T08:43:30.692878710+00:00,0,0
2023-12-06T08:43:30.723884900+00:00,0,1
2023-12-06T08:43:30.723885370+00:00,0,0
2023-12-06T08:43:30.792828320+00:00,1,0
2023-12-06T08:43:30.792878340+00:00,0,0
2023-12-06T08:43:30.829008050+00:00,0,1
2023-12-06T08:43:30.829008520+00:00,0,0
2023-12-06T08:43:30.892827950+00:00,1,0
2023-12-06T08:43:30.892877960+00:00,0,0
2023-12-06T08:43:30.944816520+00:00,0,1
2023-12-06T08:43:30.944816980+00:00,0,0
2023-12-06T08:43:30.992827570+00:00,1,0
2023-12-06T08:43:30.992877590+00:00,0,0
2023-12-06T08:43:31.023912090+00:00,0,1
2023-12-06T08:43:31.023912550+00:00,0,0
2023-12-06T08:43:31.092827200+00:00,1,0
2023-12-06T08:43:31.092877220+00:00,0,0
2023-12-06T08:43:31.129034080+00:00,0,1
2023-12-06T08:43:31.129034540+00:00,0,0
2023-12-06T08:43:31.192826830+00:00,1,0
2023-12-06T08:43:31.192876850+00:00,0,0
2023-12-06T08:43:31.232638530+00:00,0,1
2023-12-06T08:43:31.232638990+00:00,0,0
2023-12-06T08:43:31.292826460+00:00,1,0
2023-12-06T08:43:31.292876480+00:00,0,0
2023-12-06T08:43:31.323940270+00:00,0,1
2023-12-06T08:43:31.323940720+00:00,0,0
2023-12-06T08:43:31.392826090+00:00,1,0
2023-12-06T08:43:31.392876110+00:00,0,0
2023-12-06T08:43:31.439946110+00:00,0,1
2023-12-06T08:43:31.439946580+00:00,0,0
2023-12-06T08:43:31.492825720+00:00,1,0
2023-12-06T08:43:31.492875730+00:00,0,0
2023-12-06T08:43:31.532658790+00:00,0,1
2023-12-06T08:43:31.532659260+00:00,0,0
2023-12-06T08:43:31.592825340+00:00,1,0
2023-12-06T08:43:31.592875360+00:00,0,0
2023-12-06T08:43:31.650114590+00:00,0,1
2023-12-06T08:43:31.650115060+00:00,0,0
2023-12-06T08:43:31.692824970+00:00,1,0
2023-12-06T08:43:31.692874990+00:00,0,0
2023-12-06T08:43:31.729071130+00:00,0,1
2023-12-06T08:43:31.729071590+00:00,0,0
2023-12-06T08:43:31.792824600+00:00,1,0
2023-12-06T08:43:31.792874620+00:00,0,0
2023-12-06T08:43:31.832660930+00:00,0,1
2023-12-06T08:43:31.832661390+00:00,0,0
2023-12-06T08:43:31.892824230+00:00,1,0
2023-12-06T08:43:31.892874250+00:00,0,0
2023-12-06T08:43:31.923979750+00:00,0,1
2023-12-06T08:43:31.923980200+00:00,0,0
2023-12-06T08:43:31.992823860+00:00,1,0
2023-12-06T08:43:31.992873870+00:00,0,0
2023-12-06T08:43:32.029078350+00:00,0,1
2023-12-06T08:43:32.029078820+00:00,0,0
2023-12-06T08:43:32.092823490+00:00,1,0
2023-12-06T08:43:32.092873500+00:00,0,0
2023-12-06T08:43:32.132684080+00:00,0,1
2023-12-06T08:43:32.132684550+00:00,0,0
2023-12-06T08:43:32.192823110+00:00,1,0
2023-12-06T08:43:32.192873130+00:00,0,0
2023-12-06T08:43:32.223999550+00:00,0,1
2023-12-06T08:43:32.224000000+00:00,0,0
2023-12-06T08:43:32.292822740+00:00,1,0
2023-12-06T08:43:32.292872760+00:00,0,0
2023-12-06T08:43:32.332893930+00:00,0,1
2023-12-06T08:43:32.332894390+00:00,0,0
2023-12-06T08:43:32.392822370+00:00,1,0
2023-12-06T08:43:32.392872390+00:00,0,0
2023-12-06T08:43:32.432696780+00:00,0,1
2023-12-06T08:43:32.432697250+00:00,0,0
2023-12-06T08:43:32.492822000+00:00,1,0
2023-12-06T08:43:32.492872020+00:00,0,0
2023-12-06T08:43:32.524019790+00:00,0,1
2023-12-06T08:43:32.524020240+00:00,0,0
2023-12-06T08:43:32.592821630+00:00,1,0
2023-12-06T08:43:32.592871650+00:00,0,0
2023-12-06T08:43:32.629121640+00:00,0,1
2023-12-06T08:43:32.629122110+00:00,0,0
2023-12-06T08:43:32.692821260+00:00,1,0
2023-12-06T08:43:32.692871270+00:00,0,0
2023-12-06T08:43:32.732733940+00:00,0,1
2023-12-06T08:43:32.732734410+00:00,0,0
2023-12-06T08:43:32.792820880+00:00,1,0
2023-12-06T08:43:32.792870900+00:00,0,0
2023-12-06T08:43:32.824039560+00:00,0,1
2023-12-06T08:43:32.824040020+00:00,0,0
2023-12-06T08:43:32.892820510+00:00,1,0
2023-12-06T08:43:32.892870530+00:00,0,0
2023-12-06T08:43:32.929141660+00:00,0,1
2023-12-06T08:43:32.929142120+00:00,0,0
2023-12-06T08:43:32.992820140+00:00,1,0
2023-12-06T08:43:32.992870160+00:00,0,0
2023-12-06T08:43:33.032754190+00:00,0,1
2023-12-06T08:43:33.032754660+00:00,0,0
2023-12-06T08:43:33.092819770+00:00,1,0
2023-12-06T08:43:33.092869790+00:00,0,0
2023-12-06T08:43:33.124041150+00:00,0,1
2023-12-06T08:43:33.124041600+00:00,0,0
2023-12-06T08:43:33.192819400+00:00,1,0
2023-12-06T08:43:33.192869420+00:00,0,0
2023-12-06T08:43:33.232954090+00:00,0,1
2023-12-06T08:43:33.232954540+00:00,0,0
2023-12-06T08:43:33.292819030+00:00,1,0
2023-12-06T08:43:33.292869040+00:00,0,0
2023-12-06T08:43:33.332766440+00:00,0,1
2023-12-06T08:43:33.332766910+00:00,0,0
2023-12-06T08:43:33.392818650+00:00,1,0
2023-12-06T08:43:33.392868670+00:00,0,0
2023-12-06T08:43:33.427956970+00:00,0,1
2023-12-06T08:43:33.427957420+00:00,0,0
2023-12-06T08:43:33.492818280+00:00,1,0
2023-12-06T08:43:33.492868300+00:00,0,0
2023-12-06T08:43:33.529188250+00:00,0,1
2023-12-06T08:43:33.529188710+00:00,0,0
2023-12-06T08:43:33.592817910+00:00,1,0
2023-12-06T08:43:33.592867930+00:00,0,0
2023-12-06T08:43:33.644996750+00:00,0,1
2023-12-06T08:43:33.644997220+00:00,0,0
2023-12-06T08:43:33.692817540+00:00,1,0
2023-12-06T08:43:33.692867560+00:00,0,0
2023-12-06T08:43:33.724084560+00:00,0,1
2023-12-06T08:43:33.724085030+00:00,0,0
2023-12-06T08:43:33.792817170+00:00,1,0
2023-12-06T08:43:33.792867190+00:00,0,0
2023-12-06T08:43:33.829202580+00:00,0,1
2023-12-06T08:43:33.829203050+00:00,0,0
2023-12-06T08:43:33.892816800+00:00,1,0
2023-12-06T08:43:33.892866810+00:00,0,0
2023-12-06T08:43:33.934088670+00:00,0,1
2023-12-06T08:43:33.934089130+00:00,0,0
2023-12-06T08:43:33.992816420+00:00,1,0
2023-12-06T08:43:33.992866440+00:00,0,0
2023-12-06T08:43:34.024099320+00:00,0,1
2023-12-06T08:43:34.024099780+00:00,0,0
2023-12-06T08:43:34.092816050+00:00,1,0
2023-12-06T08:43:34.092866070+00:00,0,0
2023-12-06T08:43:34.144102460+00:00,0,1
2023-12-06T08:43:34.144102930+00:00,0,0
2023-12-06T08:43:34.192815680+00:00,1,0
2023-12-06T08:43:34.192865700+00:00,0,0
2023-12-06T08:43:34.232691830+00:00,0,1
