Time [s],Channel 0,Channel 1
2023-12-06T07:43:08.528037000+00:00,0,0
2023-12-06T07:43:08.571461180+00:00,1,0
2023-12-06T07:43:08.571511190+00:00,0,0
2023-12-06T07:43:08.601626370+00:00,0,1
2023-12-06T07:43:08.601626820+00:00,0,0
2023-12-06T07:43:08.671460820+00:00,1,0
2023-12-06T07:43:08.671510840+00:00,0,0
2023-12-06T07:43:08.691637100+00:00,0,1
2023-12-06T07:43:08.691637550+00:00,0,0
2023-12-06T07:43:08.771460460+00:00,1,0
2023-12-06T07:43:08.771510480+00:00,0,0
2023-12-06T07:43:08.796640040+00:00,0,1
2023-12-06T07:43:08.796640500+00:00,0,0
2023-12-06T07:43:08.871460110+00:00,1,0
2023-12-06T07:43:08.871510130+00:00,0,0
2023-12-06T07:43:08.901656890+00:00,0,1
2023-12-06T07:43:08.901657340+00:00,0,0
2023-12-06T07:43:08.971459750+00:00,1,0
2023-12-06T07:43:08.971509770+00:00,0,0
2023-12-06T07:43:08.991659730+00:00,0,1
2023-12-06T07:43:08.991660180+00:00,0,0
2023-12-06T07:43:09.071459400+00:00,1,0
2023-12-06T07:43:09.071509410+00:00,0,0
2023-12-06T07:43:09.096670550+00:00,0,1
2023-12-06T07:43:09.096671000+00:00,0,0
2023-12-06T07:43:09.171459040+00:00,1,0
2023-12-06T07:43:09.171509060+00:00,0,0
2023-12-06T07:43:09.201677490+00:00,0,1
2023-12-06T07:43:09.201677950+00:00,0,0
2023-12-06T07:43:09.271458680+00:00,1,0
2023-12-06T07:43:09.271508700+00:00,0,0
2023-12-06T07:43:09.291690260+00:00,0,1
2023-12-06T07:43:09.291690710+00:00,0,0
2023-12-06T07:43:09.371458330+00:00,1,0
2023-12-06T07:43:09.371508340+00:00,0,0
2023-12-06T07:43:09.396695200+00:00,0,1
2023-12-06T07:43:09.396695660+00:00,0,0
2023-12-06T07:43:09.471457970+00:00,1,0
2023-12-06T07:43:09.471507990+00:00,0,0
2023-12-06T07:43:09.501708000+00:00,0,1
2023-12-06T07:43:09.501708450+00:00,0,0
2023-12-06T07:43:09.571457610+00:00,1,0
2023-12-06T07:43:09.571507630+00:00,0,0
2023-12-06T07:43:09.591710810+00:00,0,1
2023-12-06T07:43:09.591711270+00:00,0,0
2023-12-06T07:43:09.671457260+00:00,1,0
2023-12-06T07:43:09.671507270+00:00,0,0
2023-12-06T07:43:09.696725660+00:00,0,1
2023-12-06T07:43:09.696726110+00:00,0,0
2023-12-06T07:43:09.771456900+00:00,1,0
2023-12-06T07:43:09.771506920+00:00,0,0
2023-12-06T07:43:09.801728560+00:00,0,1
2023-12-06T07:43:09.801729020+00:00,0,0
2023-12-06T07:43:09.871456540+00:00,1,0
2023-12-06T07:43:09.871506560+00:00,0,0
2023-12-06T07:43:09.891741370+00:00,0,1
2023-12-06T07:43:09.891741820+00:00,0,0
2023-12-06T07:43:09.971456190+00:00,1,0
2023-12-06T07:43:09.971506200+00:00,0,0
2023-12-06T07:43:09.996746260+00:00,0,1
2023-12-06T07:43:09.996746720+00:00,0,0
2023-12-06T07:43:10.071455830+00:00,1,0
2023-12-06T07:43:10.071505850+00:00,0,0
2023-12-06T07:43:10.116761210+00:00,0,1
2023-12-06T07:43:10.116761660+00:00,0,0
2023-12-06T07:43:10.171455470+00:00,1,0
2023-12-06T07:43:10.171505490+00:00,0,0
2023-12-06T07:43:10.191761970+00:00,0,1
2023-12-06T07:43:10.191762430+00:00,0,0
2023-12-06T07:43:10.271455120+00:00,1,0
2023-12-06T07:43:10.271505140+00:00,0,0
2023-12-06T07:43:10.296776690+00:00,0,1
2023-12-06T07:43:10.296777150+00:00,0,0
2023-12-06T07:43:10.371454760+00:00,1,0
2023-12-06T07:43:10.371504780+00:00,0,0
2023-12-06T07:43:10.401779710+00:00,0,1
2023-12-06T07:43:10.401780170+00:00,0,0
2023-12-06T07:43:10.471454410+00:00,1,0
2023-12-06T07:43:10.471504420+00:00,0,0
2023-12-06T07:43:10.491792480+00:00,0,1
2023-12-06T07:43:10.491792930+00:00,0,0
2023-12-06T07:43:10.571454050+00:00,1,0
2023-12-06T07:43:10.571504070+00:00,0,0
2023-12-06T07:43:10.596797370+00:00,0,1
2023-12-06T07:43:10.596797830+00:00,0,0
2023-12-06T07:43:10.671453690+00:00,1,0
2023-12-06T07:43:10.671503710+00:00,0,0
2023-12-06T07:43:10.701814220+00:00,0,1
2023-12-06T07:43:10.701814670+00:00,0,0
2023-12-06T07:43:10.771453340+00:00,1,0
2023-12-06T07:43:10.771503350+00:00,0,0
2023-12-06T07:43:10.791813060+00:00,0,1
2023-12-06T07:43:10.791813510+00:00,0,0
2023-12-06T07:43:10.871452980+00:00,1,0
2023-12-06T07:43:10.871503000+00:00,0,0
2023-12-06T07:43:10.896827930+00:00,0,1
2023-12-06T07:43:10.896828380+00:00,0,0
2023-12-06T07:43:10.971452620+00:00,1,0
2023-12-06T07:43:10.971502640+00:00,0,0
2023-12-06T07:43:11.001834810+00:00,0,1
2023-12-06T07:43:11.001835260+00:00,0,0
2023-12-06T07:43:11.071452270+00:00,1,0
2023-12-06T07:43:11.071502280+00:00,0,0
2023-12-06T07:43:11.091847540+00:00,0,1
2023-12-06T07:43:11.091847990+00:00,0,0
2023-12-06T07:43:11.171451910+00:00,1,0
2023-12-06T07:43:11.171501930+00:00,0,0
2023-12-06T07:43:11.226854800+00:00,0,1
2023-12-06T07:43:11.226855260+00:00,0,0
2023-12-06T07:43:11.271451550+00:00,1,0
2023-12-06T07:43:11.271501570+00:00,0,0
2023-12-06T07:43:11.301865320+00:00,0,1
2023-12-06T07:43:11.301865770+00:00,0,0
2023-12-06T07:43:11.371451200+00:00,1,0
2023-12-06T07:43:11.371501210+00:00,0,0
2023-12-06T07:43:11.391868140+00:00,0,1
2023-12-06T07:43:11.391868600+00:00,0,0
2023-12-06T07:43:11.471450840+00:00,1,0
2023-12-06T07:43:11.471500860+00:00,0,0
2023-12-06T07:43:11.496882980+00:00,0,1
2023-12-06T07:43:11.496883430+00:00,0,0
2023-12-06T07:43:11.571450480+00:00,1,0
2023-12-06T07:43:11.571500500+00:00,0,0
2023-12-06T07:43:11.601891960+00:00,0,1
2023-12-06T07:43:11.601892410+00:00,0,0
2023-12-06T07:43:11.671450130+00:00,1,0
2023-12-06T07:43:11.671500140+00:00,0,0
2023-12-06T07:43:11.691894690+00:00,0,1
2023-12-06T07:43:11.691895140+00:00,0,0
2023-12-06T07:43:11.771449770+00:00,1,0
2023-12-06T07:43:11.771499790+00:00,0,0
2023-12-06T07:43:11.796903640+00:00,0,1
2023-12-06T07:43:11.796904100+00:00,0,0
2023-12-06T07:43:11.871449410+00:00,1,0
2023-12-06T07:43:11.871499430+00:00,0,0
2023-12-06T07:43:11.901906430+00:00,0,1
2023-12-06T07:43:11.901906880+00:00,0,0
2023-12-06T07:43:11.971449060+00:00,1,0
2023-12-06T07:43:11.971499070+00:00,0,0
2023-12-06T07:43:11.991925260+00:00,0,1
2023-12-06T07:43:11.991925710+00:00,0,0
2023-12-06T07:43:12.071448700+00:00,1,0
2023-12-06T07:43:12.071498720+00:00,0,0
2023-12-06T07:43:12.096934060+00:00,0,1
2023-12-06T07:43:12.096934520+00:00,0,0
2023-12-06T07:43:12.171448340+00:00,1,0
2023-12-06T07:43:12.171498360+00:00,0,0
2023-12-06T07:43:12.201937110+00:00,0,1
2023-12-06T07:43:12.201937560+00:00,0,0
2023-12-06T07:43:12.271447990+00:00,1,0
2023-12-06T07:43:12.271498000+00:00,0,0
2023-12-06T07:43:12.291939740+00:00,0,1
2023-12-06T07:43:12.291940190+00:00,0,0
2023-12-06T07:43:12.371447630+00:00,1,0
2023-12-06T07:43:12.371497650+00:00,0,0
2023-12-06T07:43:12.396942700+00:00,0,1
2023-12-06T07:43:12.396943160+00:00,0,0
2023-12-06T07:43:12.471447270+00:00,1,0
2023-12-06T07:43:12.471497290+00:00,0,0
2023-12-06T07:43:12.501955600+00:00,0,1
2023-12-06T07:43:12.501956050+00:00,0,0
2023-12-06T07:43:12.571446920+00:00,1,0
2023-12-06T07:43:12.571496930+00:00,0,0
2023-12-06T07:43:12.591960380+00:00,0,1
2023-12-06T07:43:12.591960830+00:00,0,0
2023-12-06T07:43:12.671446560+00:00,1,0
2023-12-06T07:43:12.671496580+00:00,0,0
2023-12-06T07:43:12.696975200+00:00,0,1
2023-12-06T07:43:12.696975650+00:00,0,0
2023-12-06T07:43:12.771446200+00:00,1,0
2023-12-06T07:43:12.771496220+00:00,0,0
2023-12-06T07:43:12.801980120+00:00,0,1
2023-12-06T07:43:12.801980570+00:00,0,0
2023-12-06T07:43:12.871445850+00:00,1,0
2023-12-06T07:43:12.871495860+00:00,0,0
2023-12-06T07:43:12.891990830+00:00,0,1
2023-12-06T07:43:12.891991290+00:00,0,0
2023-12-06T07:43:12.971445490+00:00,1,0
2023-12-06T07:43:12.971495510+00:00,0,0
2023-12-06T07:43:12.996995880+00:00,0,1
2023-12-06T07:43:12.996996330+00:00,0,0
2023-12-06T07:43:13.071445130+00:00,1,0
2023-12-06T07:43:13.071495150+00:00,0,0
2023-12-06T07:43:13.117012790+00:00,0,1
2023-12-06T07:43:13.117013240+00:00,0,0
2023-12-06T07:43:13.171444770+00:00,1,0
2023-12-06T07:43:13.171494790+00:00,0,0
2023-12-06T07:43:13.192015470+00:00,0,1
2023-12-06T07:43:13.192015930+00:00,0,0
2023-12-06T07:43:13.271444420+00:00,1,0
