Time [s],Channel 0,Channel 1
2024-01-04T06:07:36.143450000+00:00,0,0
2024-01-04T06:07:36.263173560+00:00,1,0
2024-01-04T06:07:36.263223580+00:00,0,0
2024-01-04T06:07:36.294913410+00:00,0,1
2024-01-04T06:07:36.294913860+00:00,0,0
2024-01-04T06:07:36.513172620+00:00,1,0
2024-01-04T06:07:36.513222630+00:00,0,0
2024-01-04T06:07:36.534937830+00:00,0,1
2024-01-04T06:07:36.534938290+00:00,0,0
2024-01-04T06:07:36.763171670+00:00,1,0
2024-01-04T06:07:36.763221680+00:00,0,0
2024-01-04T06:07:36.804933580+00:00,0,1
2024-01-04T06:07:36.804934040+00:00,0,0
2024-01-04T06:07:37.013170720+00:00,1,0
2024-01-04T06:07:37.013220740+00:00,0,0
2024-01-04T06:07:37.044957930+00:00,0,1
2024-01-04T06:07:37.044958400+00:00,0,0
2024-01-04T06:07:37.263169780+00:00,1,0
2024-01-04T06:07:37.263219790+00:00,0,0
2024-01-04T06:07:37.307489280+00:00,0,1
2024-01-04T06:07:37.307489740+00:00,0,0
2024-01-04T06:07:37.513168830+00:00,1,0
2024-01-04T06:07:37.513218850+00:00,0,0
2024-01-04T06:07:37.584979380+00:00,0,1
2024-01-04T06:07:37.584979850+00:00,0,0
2024-01-04T06:07:37.763167890+00:00,1,0
2024-01-04T06:07:37.763217900+00:00,0,0
2024-01-04T06:07:37.794972960+00:00,0,1
2024-01-04T06:07:37.794973420+00:00,0,0
2024-01-04T06:07:38.013166940+00:00,1,0
2024-01-04T06:07:38.013216950+00:00,0,0
2024-01-04T06:07:38.034997250+00:00,0,1
2024-01-04T06:07:38.034997710+00:00,0,0
2024-01-04T06:07:38.263165990+00:00,1,0
2024-01-04T06:07:38.263216010+00:00,0,0
2024-01-04T06:07:38.304993140+00:00,0,1
2024-01-04T06:07:38.304993590+00:00,0,0
2024-01-04T06:07:38.513165050+00:00,1,0
2024-01-04T06:07:38.513215060+00:00,0,0
2024-01-04T06:07:38.545017440+00:00,0,1
2024-01-04T06:07:38.545017910+00:00,0,0
2024-01-04T06:07:38.763164100+00:00,1,0
2024-01-04T06:07:38.763214120+00:00,0,0
2024-01-04T06:07:38.785018070+00:00,0,1
2024-01-04T06:07:38.785018540+00:00,0,0
2024-01-04T06:07:39.013163150+00:00,1,0
2024-01-04T06:07:39.013213170+00:00,0,0
2024-01-04T06:07:39.055040770+00:00,0,1
2024-01-04T06:07:39.055041240+00:00,0,0
2024-01-04T06:07:39.263162210+00:00,1,0
2024-01-04T06:07:39.263212220+00:00,0,0
2024-01-04T06:07:39.325033740+00:00,0,1
2024-01-04T06:07:39.325034200+00:00,0,0
2024-01-04T06:07:39.513161260+00:00,1,0
2024-01-04T06:07:39.513211280+00:00,0,0
2024-01-04T06:07:39.535049390+00:00,0,1
2024-01-04T06:07:39.535049860+00:00,0,0
2024-01-04T06:07:39.763160310+00:00,1,0
2024-01-04T06:07:39.763210330+00:00,0,0
2024-01-04T06:07:39.835053870+00:00,0,1
2024-01-04T06:07:39.835054340+00:00,0,0
2024-01-04T06:07:40.013159370+00:00,1,0
2024-01-04T06:07:40.013209380+00:00,0,0
2024-01-04T06:07:40.045069570+00:00,0,1
