Time [s],Channel 0,Channel 1
2023-12-19T08:02:45.743857000+00:00,0,0
2023-12-19T08:02:45.804482280+00:00,1,0
2023-12-19T08:02:45.804532320+00:00,0,0
2023-12-19T08:02:45.863828760+00:00,0,1
2023-12-19T08:02:45.863829240+00:00,0,0
2023-12-19T08:02:46.004481680+00:00,1,0
2023-12-19T08:02:46.004531680+00:00,0,0
2023-12-19T08:02:46.085828600+00:00,0,1
2023-12-19T08:02:46.085841040+00:00,0,0
2023-12-19T08:02:46.204481040+00:00,1,0
2023-12-19T08:02:46.204531080+00:00,0,0
2023-12-19T08:02:46.265805040+00:00,0,1
2023-12-19T08:02:46.265817440+00:00,0,0
2023-12-19T08:02:46.404480440+00:00,1,0
2023-12-19T08:02:46.404530440+00:00,0,0
2023-12-19T08:02:46.468054800+00:00,0,1
2023-12-19T08:02:46.468055280+00:00,0,0
2023-12-19T08:02:46.604479800+00:00,1,0
2023-12-19T08:02:46.604529840+00:00,0,0
2023-12-19T08:02:46.655818160+00:00,0,1
2023-12-19T08:02:46.655830560+00:00,0,0
2023-12-19T08:02:46.804479200+00:00,1,0
2023-12-19T08:02:46.804529200+00:00,0,0
2023-12-19T08:02:46.865822520+00:00,0,1
2023-12-19T08:02:46.865834920+00:00,0,0
2023-12-19T08:02:47.004478560+00:00,1,0
2023-12-19T08:02:47.004528600+00:00,0,0
2023-12-19T08:02:47.045834840+00:00,0,1
2023-12-19T08:02:47.045847240+00:00,0,0
2023-12-19T08:02:47.204477960+00:00,1,0
2023-12-19T08:02:47.204527960+00:00,0,0
2023-12-19T08:02:47.255860840+00:00,0,1
2023-12-19T08:02:47.255873240+00:00,0,0
2023-12-19T08:02:47.404477320+00:00,1,0
2023-12-19T08:02:47.404527360+00:00,0,0
2023-12-19T08:02:47.470006120+00:00,0,1
2023-12-19T08:02:47.470006600+00:00,0,0
2023-12-19T08:02:47.604476720+00:00,1,0
2023-12-19T08:02:47.604526720+00:00,0,0
2023-12-19T08:02:47.645844280+00:00,0,1
2023-12-19T08:02:47.645856680+00:00,0,0
2023-12-19T08:02:47.804476080+00:00,1,0
2023-12-19T08:02:47.804526080+00:00,0,0
2023-12-19T08:02:47.862525360+00:00,0,1
2023-12-19T08:02:47.862525800+00:00,0,0
2023-12-19T08:02:48.004475480+00:00,1,0
2023-12-19T08:02:48.004525480+00:00,0,0
2023-12-19T08:02:48.095869040+00:00,0,1
2023-12-19T08:02:48.095881480+00:00,0,0
2023-12-19T08:02:48.204474840+00:00,1,0
2023-12-19T08:02:48.204524840+00:00,0,0
2023-12-19T08:02:48.266880320+00:00,0,1
2023-12-19T08:02:48.266880800+00:00,0,0
2023-12-19T08:02:48.404474200+00:00,1,0
2023-12-19T08:02:48.404524240+00:00,0,0
2023-12-19T08:02:48.455883840+00:00,0,1
2023-12-19T08:02:48.455896280+00:00,0,0
2023-12-19T08:02:48.604473600+00:00,1,0
2023-12-19T08:02:48.604523600+00:00,0,0
2023-12-19T08:02:48.665886880+00:00,0,1
2023-12-19T08:02:48.665899280+00:00,0,0
2023-12-19T08:02:48.804472960+00:00,1,0
2023-12-19T08:02:48.804523000+00:00,0,0
2023-12-19T08:02:48.845887600+00:00,0,1
2023-12-19T08:02:48.845900040+00:00,0,0
2023-12-19T08:02:49.004472360+00:00,1,0
2023-12-19T08:02:49.004522360+00:00,0,0
2023-12-19T08:02:49.055890560+00:00,0,1
2023-12-19T08:02:49.055902960+00:00,0,0
2023-12-19T08:02:49.204471720+00:00,1,0
2023-12-19T08:02:49.204521760+00:00,0,0
2023-12-19T08:02:49.265886400+00:00,0,1
2023-12-19T08:02:49.265898840+00:00,0,0
2023-12-19T08:02:49.404471120+00:00,1,0
2023-12-19T08:02:49.404521120+00:00,0,0
2023-12-19T08:02:49.445908320+00:00,0,1
2023-12-19T08:02:49.445920760+00:00,0,0
2023-12-19T08:02:49.604470480+00:00,1,0
2023-12-19T08:02:49.604520520+00:00,0,0
2023-12-19T08:02:49.655942760+00:00,0,1
2023-12-19T08:02:49.655955160+00:00,0,0
2023-12-19T08:02:49.804469880+00:00,1,0
2023-12-19T08:02:49.804519880+00:00,0,0
2023-12-19T08:02:49.865927360+00:00,0,1
2023-12-19T08:02:49.865939800+00:00,0,0
2023-12-19T08:02:50.004469240+00:00,1,0
2023-12-19T08:02:50.004519240+00:00,0,0
2023-12-19T08:02:50.045926280+00:00,0,1
2023-12-19T08:02:50.045938680+00:00,0,0
2023-12-19T08:02:50.204468600+00:00,1,0
2023-12-19T08:02:50.204518640+00:00,0,0
2023-12-19T08:02:50.255929080+00:00,0,1
2023-12-19T08:02:50.255941480+00:00,0,0
2023-12-19T08:02:50.404468000+00:00,1,0
2023-12-19T08:02:50.404518000+00:00,0,0
2023-12-19T08:02:50.495974560+00:00,0,1
2023-12-19T08:02:50.495987000+00:00,0,0
2023-12-19T08:02:50.604467360+00:00,1,0
2023-12-19T08:02:50.604517400+00:00,0,0
2023-12-19T08:02:50.645947400+00:00,0,1
2023-12-19T08:02:50.645959840+00:00,0,0
2023-12-19T08:02:50.804466760+00:00,1,0
2023-12-19T08:02:50.804516760+00:00,0,0
2023-12-19T08:02:50.865384880+00:00,0,1
2023-12-19T08:02:50.865397280+00:00,0,0
2023-12-19T08:02:51.004466120+00:00,1,0
2023-12-19T08:02:51.004516160+00:00,0,0
2023-12-19T08:02:51.085156360+00:00,0,1
2023-12-19T08:02:51.085156800+00:00,0,0
2023-12-19T08:02:51.204465520+00:00,1,0
2023-12-19T08:02:51.204515520+00:00,0,0
