Time [s],Channel 0,Channel 1
2023-12-12T14:17:34.113584000+00:00,0,0
2023-12-12T14:17:34.265835720+00:00,1,0
2023-12-12T14:17:34.265885740+00:00,0,0
2023-12-12T14:17:34.292357940+00:00,0,1
2023-12-12T14:17:34.292358390+00:00,0,0
2023-12-12T14:17:34.465835030+00:00,1,0
2023-12-12T14:17:34.465885040+00:00,0,0
2023-12-12T14:17:34.492366800+00:00,0,1
2023-12-12T14:17:34.492367250+00:00,0,0
2023-12-12T14:17:34.665834330+00:00,1,0
2023-12-12T14:17:34.665884350+00:00,0,0
2023-12-12T14:17:34.692386510+00:00,0,1
2023-12-12T14:17:34.692386970+00:00,0,0
2023-12-12T14:17:34.865833640+00:00,1,0
2023-12-12T14:17:34.865883660+00:00,0,0
2023-12-12T14:17:34.892370570+00:00,0,1
2023-12-12T14:17:34.892371020+00:00,0,0
2023-12-12T14:17:35.065832950+00:00,1,0
2023-12-12T14:17:35.065882960+00:00,0,0
2023-12-12T14:17:35.092362950+00:00,0,1
2023-12-12T14:17:35.092363410+00:00,0,0
2023-12-12T14:17:35.265832250+00:00,1,0
2023-12-12T14:17:35.265882270+00:00,0,0
2023-12-12T14:17:35.292403960+00:00,0,1
2023-12-12T14:17:35.292404410+00:00,0,0
2023-12-12T14:17:35.465831560+00:00,1,0
2023-12-12T14:17:35.465881580+00:00,0,0
2023-12-12T14:17:35.542396880+00:00,0,1
2023-12-12T14:17:35.542397330+00:00,0,0
2023-12-12T14:17:35.665830870+00:00,1,0
2023-12-12T14:17:35.665880890+00:00,0,0
2023-12-12T14:17:35.692408050+00:00,0,1
2023-12-12T14:17:35.692408500+00:00,0,0
2023-12-12T14:17:35.865830180+00:00,1,0
2023-12-12T14:17:35.865880190+00:00,0,0
2023-12-12T14:17:35.892591930+00:00,0,1
2023-12-12T14:17:35.892592380+00:00,0,0
2023-12-12T14:17:36.065829480+00:00,1,0
2023-12-12T14:17:36.065879500+00:00,0,0
2023-12-12T14:17:36.092405380+00:00,0,1
2023-12-12T14:17:36.092405840+00:00,0,0
2023-12-12T14:17:36.265828790+00:00,1,0
2023-12-12T14:17:36.265878810+00:00,0,0
2023-12-12T14:17:36.292405530+00:00,0,1
2023-12-12T14:17:36.292405980+00:00,0,0
2023-12-12T14:17:36.465828100+00:00,1,0
2023-12-12T14:17:36.465878110+00:00,0,0
2023-12-12T14:17:36.492406510+00:00,0,1
