Time [s],Channel 0,Channel 1
2023-12-19T07:57:53.987933000+00:00,0,0
2023-12-19T07:57:54.005343920+00:00,1,0
2023-12-19T07:57:54.005393960+00:00,0,0
2023-12-19T07:57:54.030522080+00:00,0,1
2023-12-19T07:57:54.030530520+00:00,0,0
2023-12-19T07:57:54.205343320+00:00,1,0
2023-12-19T07:57:54.205393360+00:00,0,0
2023-12-19T07:57:54.240633920+00:00,0,1
2023-12-19T07:57:54.240715000+00:00,0,0
2023-12-19T07:57:54.405342720+00:00,1,0
2023-12-19T07:57:54.405392720+00:00,0,0
2023-12-19T07:57:54.450546760+00:00,0,1
2023-12-19T07:57:54.450555200+00:00,0,0
2023-12-19T07:57:54.605342120+00:00,1,0
2023-12-19T07:57:54.605392120+00:00,0,0
2023-12-19T07:57:54.630552520+00:00,0,1
2023-12-19T07:57:54.630560920+00:00,0,0
2023-12-19T07:57:54.805341480+00:00,1,0
2023-12-19T07:57:54.805391520+00:00,0,0
2023-12-19T07:57:54.840555080+00:00,0,1
2023-12-19T07:57:54.840563520+00:00,0,0
2023-12-19T07:57:55.005340880+00:00,1,0
2023-12-19T07:57:55.005390920+00:00,0,0
2023-12-19T07:57:55.077535480+00:00,0,1
2023-12-19T07:57:55.077543920+00:00,0,0
2023-12-19T07:57:55.205340280+00:00,1,0
2023-12-19T07:57:55.205390280+00:00,0,0
2023-12-19T07:57:55.230581880+00:00,0,1
2023-12-19T07:57:55.230590320+00:00,0,0
2023-12-19T07:57:55.405339680+00:00,1,0
2023-12-19T07:57:55.405389680+00:00,0,0
2023-12-19T07:57:55.470576240+00:00,0,1
2023-12-19T07:57:55.470584640+00:00,0,0
2023-12-19T07:57:55.605339040+00:00,1,0
2023-12-19T07:57:55.605389080+00:00,0,0
2023-12-19T07:57:55.650586320+00:00,0,1
2023-12-19T07:57:55.650594720+00:00,0,0
2023-12-19T07:57:55.805338440+00:00,1,0
2023-12-19T07:57:55.805388480+00:00,0,0
2023-12-19T07:57:55.830694680+00:00,0,1
2023-12-19T07:57:55.830776560+00:00,0,0
2023-12-19T07:57:56.005337840+00:00,1,0
2023-12-19T07:57:56.005387840+00:00,0,0
2023-12-19T07:57:56.040609400+00:00,0,1
2023-12-19T07:57:56.040617800+00:00,0,0
2023-12-19T07:57:56.205337240+00:00,1,0
2023-12-19T07:57:56.205387240+00:00,0,0
2023-12-19T07:57:56.250609200+00:00,0,1
2023-12-19T07:57:56.250617640+00:00,0,0
2023-12-19T07:57:56.405336600+00:00,1,0
2023-12-19T07:57:56.405386640+00:00,0,0
2023-12-19T07:57:56.460619960+00:00,0,1
2023-12-19T07:57:56.460628400+00:00,0,0
2023-12-19T07:57:56.605336000+00:00,1,0
2023-12-19T07:57:56.605386040+00:00,0,0
