Time [s],Channel 0,Channel 1
2023-12-12T14:43:16.301412000+00:00,0,0
2023-12-12T14:43:16.403078070+00:00,1,0
2023-12-12T14:43:16.403128090+00:00,0,0
2023-12-12T14:43:16.431640600+00:00,0,1
2023-12-12T14:43:16.431641060+00:00,0,0
2023-12-12T14:43:16.603077390+00:00,1,0
2023-12-12T14:43:16.603127400+00:00,0,0
2023-12-12T14:43:16.631639420+00:00,0,1
2023-12-12T14:43:16.631639880+00:00,0,0
2023-12-12T14:43:16.803076700+00:00,1,0
2023-12-12T14:43:16.803126710+00:00,0,0
2023-12-12T14:43:16.831628680+00:00,0,1
2023-12-12T14:43:16.831629140+00:00,0,0
2023-12-12T14:43:17.003076010+00:00,1,0
2023-12-12T14:43:17.003126030+00:00,0,0
2023-12-12T14:43:17.031641410+00:00,0,1
2023-12-12T14:43:17.031641860+00:00,0,0
2023-12-12T14:43:17.203075320+00:00,1,0
2023-12-12T14:43:17.203125340+00:00,0,0
2023-12-12T14:43:17.231665030+00:00,0,1
2023-12-12T14:43:17.231665490+00:00,0,0
2023-12-12T14:43:17.403074640+00:00,1,0
2023-12-12T14:43:17.403124650+00:00,0,0
2023-12-12T14:43:17.431660140+00:00,0,1
2023-12-12T14:43:17.431660600+00:00,0,0
2023-12-12T14:43:17.603073950+00:00,1,0
2023-12-12T14:43:17.603123960+00:00,0,0
2023-12-12T14:43:17.677856310+00:00,0,1
2023-12-12T14:43:17.677856760+00:00,0,0
2023-12-12T14:43:17.803073260+00:00,1,0
2023-12-12T14:43:17.803123280+00:00,0,0
2023-12-12T14:43:17.881664330+00:00,0,1
2023-12-12T14:43:17.881664790+00:00,0,0
2023-12-12T14:43:18.003072570+00:00,1,0
2023-12-12T14:43:18.003122590+00:00,0,0
2023-12-12T14:43:18.031683120+00:00,0,1
2023-12-12T14:43:18.031683570+00:00,0,0
2023-12-12T14:43:18.203071890+00:00,1,0
2023-12-12T14:43:18.203121900+00:00,0,0
2023-12-12T14:43:18.231679580+00:00,0,1
2023-12-12T14:43:18.231680030+00:00,0,0
2023-12-12T14:43:18.403071200+00:00,1,0
2023-12-12T14:43:18.403121210+00:00,0,0
2023-12-12T14:43:18.431682840+00:00,0,1
2023-12-12T14:43:18.431683290+00:00,0,0
2023-12-12T14:43:18.603070510+00:00,1,0
2023-12-12T14:43:18.603120530+00:00,0,0
2023-12-12T14:43:18.681692770+00:00,0,1
2023-12-12T14:43:18.681693220+00:00,0,0
2023-12-12T14:43:18.803069820+00:00,1,0
2023-12-12T14:43:18.803119840+00:00,0,0
2023-12-12T14:43:18.831692950+00:00,0,1
2023-12-12T14:43:18.831693400+00:00,0,0
2023-12-12T14:43:19.003069130+00:00,1,0
2023-12-12T14:43:19.003119150+00:00,0,0
2023-12-12T14:43:19.031698710+00:00,0,1
2023-12-12T14:43:19.031699160+00:00,0,0
2023-12-12T14:43:19.203068450+00:00,1,0
2023-12-12T14:43:19.203118460+00:00,0,0
2023-12-12T14:43:19.231701940+00:00,0,1
2023-12-12T14:43:19.231702400+00:00,0,0
2023-12-12T14:43:19.403067760+00:00,1,0
2023-12-12T14:43:19.403117770+00:00,0,0
2023-12-12T14:43:19.431713420+00:00,0,1
2023-12-12T14:43:19.431713870+00:00,0,0
2023-12-12T14:43:19.603067070+00:00,1,0
