Time [s],Channel 0,Channel 1
2024-01-04T06:24:09.858798000+00:00,0,0
2024-01-04T06:24:10.006981180+00:00,1,0
2024-01-04T06:24:10.007031190+00:00,0,0
2024-01-04T06:24:10.025439900+00:00,0,1
2024-01-04T06:24:10.025440360+00:00,0,0
2024-01-04T06:24:10.256980240+00:00,1,0
2024-01-04T06:24:10.257030260+00:00,0,0
2024-01-04T06:24:10.325528110+00:00,0,1
2024-01-04T06:24:10.325528570+00:00,0,0
2024-01-04T06:24:10.506979310+00:00,1,0
2024-01-04T06:24:10.507029320+00:00,0,0
2024-01-04T06:24:10.535535580+00:00,0,1
2024-01-04T06:24:10.535536030+00:00,0,0
2024-01-04T06:24:10.756978370+00:00,1,0
2024-01-04T06:24:10.757028380+00:00,0,0
2024-01-04T06:24:10.775552480+00:00,0,1
2024-01-04T06:24:10.775552930+00:00,0,0
2024-01-04T06:24:11.006977430+00:00,1,0
2024-01-04T06:24:11.007027450+00:00,0,0
2024-01-04T06:24:11.015584830+00:00,0,1
2024-01-04T06:24:11.015585280+00:00,0,0
2024-01-04T06:24:11.256976500+00:00,1,0
2024-01-04T06:24:11.257026510+00:00,0,0
2024-01-04T06:24:11.345588960+00:00,0,1
2024-01-04T06:24:11.345589410+00:00,0,0
2024-01-04T06:24:11.506975560+00:00,1,0
2024-01-04T06:24:11.507025570+00:00,0,0
2024-01-04T06:24:11.525585060+00:00,0,1
2024-01-04T06:24:11.525585520+00:00,0,0
2024-01-04T06:24:11.756974620+00:00,1,0
2024-01-04T06:24:11.757024640+00:00,0,0
2024-01-04T06:24:11.795607280+00:00,0,1
2024-01-04T06:24:11.795607730+00:00,0,0
2024-01-04T06:24:12.006973690+00:00,1,0
2024-01-04T06:24:12.007023700+00:00,0,0
2024-01-04T06:24:12.035663760+00:00,0,1
2024-01-04T06:24:12.035664220+00:00,0,0
2024-01-04T06:24:12.256972750+00:00,1,0
2024-01-04T06:24:12.257022770+00:00,0,0
2024-01-04T06:24:12.275551920+00:00,0,1
2024-01-04T06:24:12.275552380+00:00,0,0
2024-01-04T06:24:12.506971810+00:00,1,0
2024-01-04T06:24:12.507021830+00:00,0,0
2024-01-04T06:24:12.515636270+00:00,0,1
2024-01-04T06:24:12.515636730+00:00,0,0
2024-01-04T06:24:12.756970870+00:00,1,0
2024-01-04T06:24:12.757020890+00:00,0,0
2024-01-04T06:24:12.815650080+00:00,0,1
2024-01-04T06:24:12.815650540+00:00,0,0
2024-01-04T06:24:13.006969940+00:00,1,0
2024-01-04T06:24:13.007019950+00:00,0,0
2024-01-04T06:24:13.025657700+00:00,0,1
2024-01-04T06:24:13.025658150+00:00,0,0
2024-01-04T06:24:13.256969000+00:00,1,0
2024-01-04T06:24:13.257019020+00:00,0,0
2024-01-04T06:24:13.265701930+00:00,0,1
2024-01-04T06:24:13.265702390+00:00,0,0
2024-01-04T06:24:13.506968060+00:00,1,0
2024-01-04T06:24:13.507018080+00:00,0,0
2024-01-04T06:24:13.535679330+00:00,0,1
2024-01-04T06:24:13.535679790+00:00,0,0
2024-01-04T06:24:13.756967130+00:00,1,0
2024-01-04T06:24:13.757017140+00:00,0,0
2024-01-04T06:24:13.775708910+00:00,0,1
2024-01-04T06:24:13.775709360+00:00,0,0
2024-01-04T06:24:14.006966190+00:00,1,0
2024-01-04T06:24:14.007016210+00:00,0,0
2024-01-04T06:24:14.045718780+00:00,0,1
2024-01-04T06:24:14.045719230+00:00,0,0
2024-01-04T06:24:14.256965250+00:00,1,0
2024-01-04T06:24:14.257015270+00:00,0,0
2024-01-04T06:24:14.285760740+00:00,0,1
2024-01-04T06:24:14.285761190+00:00,0,0
2024-01-04T06:24:14.506964320+00:00,1,0
2024-01-04T06:24:14.507014330+00:00,0,0
2024-01-04T06:24:14.525739220+00:00,0,1
2024-01-04T06:24:14.525739670+00:00,0,0
2024-01-04T06:24:14.756963380+00:00,1,0
2024-01-04T06:24:14.757013390+00:00,0,0
2024-01-04T06:24:14.765748930+00:00,0,1
2024-01-04T06:24:14.765749380+00:00,0,0
2024-01-04T06:24:15.006962440+00:00,1,0
2024-01-04T06:24:15.007012460+00:00,0,0
2024-01-04T06:24:15.035765990+00:00,0,1
2024-01-04T06:24:15.035766440+00:00,0,0
2024-01-04T06:24:15.256961500+00:00,1,0
2024-01-04T06:24:15.257011520+00:00,0,0
2024-01-04T06:24:15.275770870+00:00,0,1
2024-01-04T06:24:15.275771330+00:00,0,0
2024-01-04T06:24:15.506960570+00:00,1,0
2024-01-04T06:24:15.507010580+00:00,0,0
2024-01-04T06:24:15.515814370+00:00,0,1
2024-01-04T06:24:15.515814830+00:00,0,0
2024-01-04T06:24:15.756959630+00:00,1,0
2024-01-04T06:24:15.757009640+00:00,0,0
2024-01-04T06:24:15.785798970+00:00,0,1
2024-01-04T06:24:15.785799420+00:00,0,0
2024-01-04T06:24:16.006958690+00:00,1,0
2024-01-04T06:24:16.007008710+00:00,0,0
2024-01-04T06:24:16.025743800+00:00,0,1
2024-01-04T06:24:16.025744260+00:00,0,0
2024-01-04T06:24:16.256957750+00:00,1,0
2024-01-04T06:24:16.257007770+00:00,0,0
2024-01-04T06:24:16.295398920+00:00,0,1
2024-01-04T06:24:16.295399380+00:00,0,0
2024-01-04T06:24:16.506956810+00:00,1,0
2024-01-04T06:24:16.507006830+00:00,0,0
2024-01-04T06:24:16.535865710+00:00,0,1
2024-01-04T06:24:16.535866160+00:00,0,0
2024-01-04T06:24:16.756955880+00:00,1,0
2024-01-04T06:24:16.757005890+00:00,0,0
2024-01-04T06:24:16.775858040+00:00,0,1
2024-01-04T06:24:16.775858490+00:00,0,0
2024-01-04T06:24:17.006954940+00:00,1,0
2024-01-04T06:24:17.007004950+00:00,0,0
2024-01-04T06:24:17.015429150+00:00,0,1
2024-01-04T06:24:17.015429610+00:00,0,0
2024-01-04T06:24:17.256954000+00:00,1,0
2024-01-04T06:24:17.257004010+00:00,0,0
2024-01-04T06:24:17.285873030+00:00,0,1
2024-01-04T06:24:17.285873480+00:00,0,0
2024-01-04T06:24:17.506953060+00:00,1,0
2024-01-04T06:24:17.507003070+00:00,0,0
2024-01-04T06:24:17.525806630+00:00,0,1
2024-01-04T06:24:17.525807080+00:00,0,0
2024-01-04T06:24:17.756952120+00:00,1,0
2024-01-04T06:24:17.757002140+00:00,0,0
2024-01-04T06:24:17.765919940+00:00,0,1
2024-01-04T06:24:17.765920390+00:00,0,0
2024-01-04T06:24:18.006951180+00:00,1,0
2024-01-04T06:24:18.007001200+00:00,0,0
2024-01-04T06:24:18.035908660+00:00,0,1
2024-01-04T06:24:18.035909110+00:00,0,0
2024-01-04T06:24:18.256950240+00:00,1,0
2024-01-04T06:24:18.257000260+00:00,0,0
2024-01-04T06:24:18.275921180+00:00,0,1
2024-01-04T06:24:18.275921640+00:00,0,0
2024-01-04T06:24:18.506949310+00:00,1,0
2024-01-04T06:24:18.506999320+00:00,0,0
2024-01-04T06:24:18.515940930+00:00,0,1
2024-01-04T06:24:18.515941380+00:00,0,0
2024-01-04T06:24:18.756948370+00:00,1,0
2024-01-04T06:24:18.756998380+00:00,0,0
2024-01-04T06:24:18.785902140+00:00,0,1
2024-01-04T06:24:18.785902590+00:00,0,0
2024-01-04T06:24:19.006947430+00:00,1,0
2024-01-04T06:24:19.006997440+00:00,0,0
2024-01-04T06:24:19.025962460+00:00,0,1
2024-01-04T06:24:19.025962920+00:00,0,0
2024-01-04T06:24:19.256946490+00:00,1,0
2024-01-04T06:24:19.256996500+00:00,0,0
2024-01-04T06:24:19.265973620+00:00,0,1
2024-01-04T06:24:19.265974070+00:00,0,0
2024-01-04T06:24:19.506945550+00:00,1,0
2024-01-04T06:24:19.506995570+00:00,0,0
2024-01-04T06:24:19.535984970+00:00,0,1
2024-01-04T06:24:19.535985420+00:00,0,0
2024-01-04T06:24:19.756944610+00:00,1,0
2024-01-04T06:24:19.756994620+00:00,0,0
