Time [s],Channel 0,Channel 1
2023-12-19T07:53:07.510460000+00:00,0,0
2023-12-19T07:53:07.558511320+00:00,1,0
2023-12-19T07:53:07.558561360+00:00,0,0
2023-12-19T07:53:07.568759320+00:00,0,1
2023-12-19T07:53:07.568759760+00:00,0,0
2023-12-19T07:53:07.758510720+00:00,1,0
2023-12-19T07:53:07.758560760+00:00,0,0
2023-12-19T07:53:07.778764120+00:00,0,1
2023-12-19T07:53:07.778764560+00:00,0,0
2023-12-19T07:53:07.958510160+00:00,1,0
2023-12-19T07:53:07.958560160+00:00,0,0
2023-12-19T07:53:07.988731800+00:00,0,1
2023-12-19T07:53:07.988732240+00:00,0,0
2023-12-19T07:53:08.158509560+00:00,1,0
2023-12-19T07:53:08.158559560+00:00,0,0
2023-12-19T07:53:08.168802720+00:00,0,1
2023-12-19T07:53:08.168803200+00:00,0,0
2023-12-19T07:53:08.358508960+00:00,1,0
2023-12-19T07:53:08.358558960+00:00,0,0
2023-12-19T07:53:08.378807480+00:00,0,1
2023-12-19T07:53:08.378807920+00:00,0,0
2023-12-19T07:53:08.558508360+00:00,1,0
2023-12-19T07:53:08.558558360+00:00,0,0
2023-12-19T07:53:08.618812720+00:00,0,1
2023-12-19T07:53:08.618813160+00:00,0,0
2023-12-19T07:53:08.758507760+00:00,1,0
2023-12-19T07:53:08.758557800+00:00,0,0
2023-12-19T07:53:08.768828480+00:00,0,1
2023-12-19T07:53:08.768828920+00:00,0,0
2023-12-19T07:53:08.958507160+00:00,1,0
2023-12-19T07:53:08.958557200+00:00,0,0
2023-12-19T07:53:08.978834360+00:00,0,1
2023-12-19T07:53:08.978834840+00:00,0,0
2023-12-19T07:53:09.158506600+00:00,1,0
2023-12-19T07:53:09.158556600+00:00,0,0
2023-12-19T07:53:09.188844280+00:00,0,1
2023-12-19T07:53:09.188844720+00:00,0,0
2023-12-19T07:53:09.358506000+00:00,1,0
2023-12-19T07:53:09.358556000+00:00,0,0
2023-12-19T07:53:09.368849640+00:00,0,1
2023-12-19T07:53:09.368850080+00:00,0,0
2023-12-19T07:53:09.558505400+00:00,1,0
2023-12-19T07:53:09.558555400+00:00,0,0
2023-12-19T07:53:09.578736560+00:00,0,1
2023-12-19T07:53:09.578737040+00:00,0,0
2023-12-19T07:53:09.758504800+00:00,1,0
2023-12-19T07:53:09.758554800+00:00,0,0
2023-12-19T07:53:09.788886240+00:00,0,1
2023-12-19T07:53:09.788886720+00:00,0,0
2023-12-19T07:53:09.958504200+00:00,1,0
2023-12-19T07:53:09.958554240+00:00,0,0
2023-12-19T07:53:09.968880920+00:00,0,1
2023-12-19T07:53:09.968881360+00:00,0,0
2023-12-19T07:53:10.158503600+00:00,1,0
2023-12-19T07:53:10.158553640+00:00,0,0
2023-12-19T07:53:10.178886640+00:00,0,1
2023-12-19T07:53:10.178887080+00:00,0,0
2023-12-19T07:53:10.358503000+00:00,1,0
2023-12-19T07:53:10.358553040+00:00,0,0
2023-12-19T07:53:10.388906000+00:00,0,1
