Time [s],Channel 0,Channel 1
2023-12-12T08:26:14.630846000+00:00,0,0
2023-12-12T08:26:14.822076780+00:00,1,0
2023-12-12T08:26:14.822126800+00:00,0,0
2023-12-12T08:26:14.850420660+00:00,0,1
2023-12-12T08:26:14.850421120+00:00,0,0
2023-12-12T08:26:15.072075970+00:00,1,0
2023-12-12T08:26:15.072125990+00:00,0,0
2023-12-12T08:26:15.150434750+00:00,0,1
2023-12-12T08:26:15.150435200+00:00,0,0
2023-12-12T08:26:15.322075150+00:00,1,0
2023-12-12T08:26:15.322125170+00:00,0,0
2023-12-12T08:26:15.350436550+00:00,0,1
2023-12-12T08:26:15.350437000+00:00,0,0
2023-12-12T08:26:15.572074340+00:00,1,0
2023-12-12T08:26:15.572124350+00:00,0,0
2023-12-12T08:26:15.600445920+00:00,0,1
2023-12-12T08:26:15.600446370+00:00,0,0
2023-12-12T08:26:15.822073520+00:00,1,0
2023-12-12T08:26:15.822123540+00:00,0,0
2023-12-12T08:26:15.850457460+00:00,0,1
2023-12-12T08:26:15.850457910+00:00,0,0
2023-12-12T08:26:16.072072710+00:00,1,0
2023-12-12T08:26:16.072122720+00:00,0,0
2023-12-12T08:26:16.100458880+00:00,0,1
2023-12-12T08:26:16.100459330+00:00,0,0
2023-12-12T08:26:16.322071890+00:00,1,0
2023-12-12T08:26:16.322121910+00:00,0,0
2023-12-12T08:26:16.350478800+00:00,0,1
2023-12-12T08:26:16.350479260+00:00,0,0
2023-12-12T08:26:16.572071070+00:00,1,0
2023-12-12T08:26:16.572121090+00:00,0,0
2023-12-12T08:26:16.600480670+00:00,0,1
2023-12-12T08:26:16.600481130+00:00,0,0
2023-12-12T08:26:16.822070260+00:00,1,0
2023-12-12T08:26:16.822120270+00:00,0,0
2023-12-12T08:26:16.850514770+00:00,0,1
2023-12-12T08:26:16.850515220+00:00,0,0
2023-12-12T08:26:17.072069440+00:00,1,0
2023-12-12T08:26:17.072119460+00:00,0,0
2023-12-12T08:26:17.150502450+00:00,0,1
2023-12-12T08:26:17.150502910+00:00,0,0
2023-12-12T08:26:17.322068620+00:00,1,0
2023-12-12T08:26:17.322118640+00:00,0,0
2023-12-12T08:26:17.400522330+00:00,0,1
2023-12-12T08:26:17.400522780+00:00,0,0
2023-12-12T08:26:17.572067810+00:00,1,0
2023-12-12T08:26:17.572117830+00:00,0,0
2023-12-12T08:26:17.600523150+00:00,0,1
2023-12-12T08:26:17.600523610+00:00,0,0
2023-12-12T08:26:17.822066990+00:00,1,0
2023-12-12T08:26:17.822117010+00:00,0,0
2023-12-12T08:26:17.850543660+00:00,0,1
2023-12-12T08:26:17.850544120+00:00,0,0
2023-12-12T08:26:18.072066180+00:00,1,0
2023-12-12T08:26:18.072116190+00:00,0,0
2023-12-12T08:26:18.100559250+00:00,0,1
2023-12-12T08:26:18.100559700+00:00,0,0
2023-12-12T08:26:18.322065360+00:00,1,0
2023-12-12T08:26:18.322115380+00:00,0,0
2023-12-12T08:26:18.400565380+00:00,0,1
2023-12-12T08:26:18.400565830+00:00,0,0
2023-12-12T08:26:18.572064540+00:00,1,0
2023-12-12T08:26:18.572114560+00:00,0,0
2023-12-12T08:26:18.650584990+00:00,0,1
2023-12-12T08:26:18.650585440+00:00,0,0
2023-12-12T08:26:18.822063730+00:00,1,0
2023-12-12T08:26:18.822113750+00:00,0,0
2023-12-12T08:26:18.900586440+00:00,0,1
2023-12-12T08:26:18.900586890+00:00,0,0
2023-12-12T08:26:19.072062910+00:00,1,0
2023-12-12T08:26:19.072112930+00:00,0,0
2023-12-12T08:26:19.100587420+00:00,0,1
2023-12-12T08:26:19.100587880+00:00,0,0
2023-12-12T08:26:19.322062100+00:00,1,0
2023-12-12T08:26:19.322112110+00:00,0,0
2023-12-12T08:26:19.350615280+00:00,0,1
2023-12-12T08:26:19.350615740+00:00,0,0
2023-12-12T08:26:19.572061280+00:00,1,0
2023-12-12T08:26:19.572111300+00:00,0,0
2023-12-12T08:26:19.600609390+00:00,0,1
2023-12-12T08:26:19.600609850+00:00,0,0
2023-12-12T08:26:19.822060460+00:00,1,0
2023-12-12T08:26:19.822110480+00:00,0,0
2023-12-12T08:26:19.850635420+00:00,0,1
2023-12-12T08:26:19.850635870+00:00,0,0
2023-12-12T08:26:20.072059650+00:00,1,0
2023-12-12T08:26:20.072109670+00:00,0,0
2023-12-12T08:26:20.150630930+00:00,0,1
2023-12-12T08:26:20.150631390+00:00,0,0
2023-12-12T08:26:20.322058830+00:00,1,0
2023-12-12T08:26:20.322108850+00:00,0,0
2023-12-12T08:26:20.350510860+00:00,0,1
2023-12-12T08:26:20.350511310+00:00,0,0
2023-12-12T08:26:20.572058010+00:00,1,0
2023-12-12T08:26:20.572108030+00:00,0,0
2023-12-12T08:26:20.650660240+00:00,0,1
2023-12-12T08:26:20.650660690+00:00,0,0
2023-12-12T08:26:20.822057200+00:00,1,0
2023-12-12T08:26:20.822107210+00:00,0,0
2023-12-12T08:26:20.850671580+00:00,0,1
2023-12-12T08:26:20.850672030+00:00,0,0
2023-12-12T08:26:21.072056380+00:00,1,0
2023-12-12T08:26:21.072106400+00:00,0,0
2023-12-12T08:26:21.100672990+00:00,0,1
2023-12-12T08:26:21.100673440+00:00,0,0
2023-12-12T08:26:21.322055560+00:00,1,0
2023-12-12T08:26:21.322105580+00:00,0,0
2023-12-12T08:26:21.350693680+00:00,0,1
2023-12-12T08:26:21.350694140+00:00,0,0
2023-12-12T08:26:21.572054740+00:00,1,0
2023-12-12T08:26:21.572104760+00:00,0,0
2023-12-12T08:26:21.600555750+00:00,0,1
2023-12-12T08:26:21.600556210+00:00,0,0
2023-12-12T08:26:21.822053930+00:00,1,0
2023-12-12T08:26:21.822103940+00:00,0,0
2023-12-12T08:26:21.850704040+00:00,0,1
2023-12-12T08:26:21.850704490+00:00,0,0
2023-12-12T08:26:22.072053110+00:00,1,0
2023-12-12T08:26:22.072103130+00:00,0,0
2023-12-12T08:26:22.150716170+00:00,0,1
2023-12-12T08:26:22.150716620+00:00,0,0
2023-12-12T08:26:22.322052290+00:00,1,0
2023-12-12T08:26:22.322102310+00:00,0,0
2023-12-12T08:26:22.350716990+00:00,0,1
2023-12-12T08:26:22.350717450+00:00,0,0
2023-12-12T08:26:22.572051480+00:00,1,0
2023-12-12T08:26:22.572101490+00:00,0,0
2023-12-12T08:26:22.600737780+00:00,0,1
2023-12-12T08:26:22.600738230+00:00,0,0
2023-12-12T08:26:22.822050660+00:00,1,0
2023-12-12T08:26:22.822100680+00:00,0,0
2023-12-12T08:26:22.850738970+00:00,0,1
2023-12-12T08:26:22.850739430+00:00,0,0
2023-12-12T08:26:23.072049840+00:00,1,0
2023-12-12T08:26:23.072099860+00:00,0,0
2023-12-12T08:26:23.100773140+00:00,0,1
2023-12-12T08:26:23.100773600+00:00,0,0
2023-12-12T08:26:23.322049020+00:00,1,0
2023-12-12T08:26:23.322099040+00:00,0,0
2023-12-12T08:26:23.350766560+00:00,0,1
2023-12-12T08:26:23.350767020+00:00,0,0
2023-12-12T08:26:23.572048210+00:00,1,0
2023-12-12T08:26:23.572098220+00:00,0,0
2023-12-12T08:26:23.600640950+00:00,0,1
2023-12-12T08:26:23.600641400+00:00,0,0
2023-12-12T08:26:23.822047390+00:00,1,0
2023-12-12T08:26:23.822097410+00:00,0,0
2023-12-12T08:26:23.900308700+00:00,0,1
2023-12-12T08:26:23.900309150+00:00,0,0
2023-12-12T08:26:24.072046570+00:00,1,0
2023-12-12T08:26:24.072096590+00:00,0,0
2023-12-12T08:26:24.100310470+00:00,0,1
2023-12-12T08:26:24.100310930+00:00,0,0
2023-12-12T08:26:24.322045750+00:00,1,0
2023-12-12T08:26:24.322095770+00:00,0,0
2023-12-12T08:26:24.350319880+00:00,0,1
2023-12-12T08:26:24.350320330+00:00,0,0
2023-12-12T08:26:24.572044940+00:00,1,0
2023-12-12T08:26:24.572094950+00:00,0,0
2023-12-12T08:26:24.600313400+00:00,0,1
2023-12-12T08:26:24.600313850+00:00,0,0
2023-12-12T08:26:24.822044120+00:00,1,0
2023-12-12T08:26:24.822094130+00:00,0,0
2023-12-12T08:26:24.850315870+00:00,0,1
2023-12-12T08:26:24.850316320+00:00,0,0
2023-12-12T08:26:25.072043300+00:00,1,0
2023-12-12T08:26:25.072093320+00:00,0,0
2023-12-12T08:26:25.150316510+00:00,0,1
2023-12-12T08:26:25.150316970+00:00,0,0
2023-12-12T08:26:25.322042480+00:00,1,0
2023-12-12T08:26:25.322092500+00:00,0,0
2023-12-12T08:26:25.400337380+00:00,0,1
2023-12-12T08:26:25.400337840+00:00,0,0
2023-12-12T08:26:25.572041660+00:00,1,0
2023-12-12T08:26:25.572091680+00:00,0,0
2023-12-12T08:26:25.600319370+00:00,0,1
2023-12-12T08:26:25.600319820+00:00,0,0
2023-12-12T08:26:25.822040850+00:00,1,0
2023-12-12T08:26:25.822090860+00:00,0,0
2023-12-12T08:26:25.850320840+00:00,0,1
2023-12-12T08:26:25.850321290+00:00,0,0
2023-12-12T08:26:26.072040030+00:00,1,0
2023-12-12T08:26:26.072090040+00:00,0,0
2023-12-12T08:26:26.100323320+00:00,0,1
2023-12-12T08:26:26.100323770+00:00,0,0
2023-12-12T08:26:26.322039210+00:00,1,0
2023-12-12T08:26:26.322089220+00:00,0,0
2023-12-12T08:26:26.350324610+00:00,0,1
2023-12-12T08:26:26.350325070+00:00,0,0
2023-12-12T08:26:26.572038390+00:00,1,0
2023-12-12T08:26:26.572088410+00:00,0,0
2023-12-12T08:26:26.600193710+00:00,0,1
2023-12-12T08:26:26.600194160+00:00,0,0
2023-12-12T08:26:26.822037570+00:00,1,0
2023-12-12T08:26:26.822087590+00:00,0,0
2023-12-12T08:26:26.850187750+00:00,0,1
2023-12-12T08:26:26.850188210+00:00,0,0
2023-12-12T08:26:27.072036750+00:00,1,0
2023-12-12T08:26:27.072086770+00:00,0,0
2023-12-12T08:26:27.100328500+00:00,0,1
2023-12-12T08:26:27.100328950+00:00,0,0
2023-12-12T08:26:27.322035930+00:00,1,0
2023-12-12T08:26:27.322085950+00:00,0,0
2023-12-12T08:26:27.350329780+00:00,0,1
2023-12-12T08:26:27.350330230+00:00,0,0
2023-12-12T08:26:27.572035120+00:00,1,0
2023-12-12T08:26:27.572085130+00:00,0,0
2023-12-12T08:26:27.600332320+00:00,0,1
2023-12-12T08:26:27.600332780+00:00,0,0
2023-12-12T08:26:27.822034300+00:00,1,0
2023-12-12T08:26:27.822084310+00:00,0,0
2023-12-12T08:26:27.850201380+00:00,0,1
2023-12-12T08:26:27.850201830+00:00,0,0
2023-12-12T08:26:28.072033480+00:00,1,0
2023-12-12T08:26:28.072083500+00:00,0,0
