Time [s],Channel 0,Channel 1
2023-12-12T15:03:32.753638000+00:00,0,0
2023-12-12T15:03:32.883986980+00:00,1,0
2023-12-12T15:03:32.884036990+00:00,0,0
2023-12-12T15:03:32.898717280+00:00,0,1
2023-12-12T15:03:32.898717740+00:00,0,0
2023-12-12T15:03:33.083986270+00:00,1,0
2023-12-12T15:03:33.084036290+00:00,0,0
2023-12-12T15:03:33.098726780+00:00,0,1
2023-12-12T15:03:33.098727230+00:00,0,0
2023-12-12T15:03:33.283985570+00:00,1,0
2023-12-12T15:03:33.284035590+00:00,0,0
2023-12-12T15:03:33.298727250+00:00,0,1
2023-12-12T15:03:33.298727710+00:00,0,0
2023-12-12T15:03:33.483984870+00:00,1,0
2023-12-12T15:03:33.484034890+00:00,0,0
2023-12-12T15:03:33.498748900+00:00,0,1
2023-12-12T15:03:33.498749350+00:00,0,0
2023-12-12T15:03:33.683984170+00:00,1,0
2023-12-12T15:03:33.684034190+00:00,0,0
2023-12-12T15:03:33.698745360+00:00,0,1
2023-12-12T15:03:33.698745820+00:00,0,0
2023-12-12T15:03:33.883983470+00:00,1,0
2023-12-12T15:03:33.884033490+00:00,0,0
2023-12-12T15:03:33.898755640+00:00,0,1
2023-12-12T15:03:33.898756100+00:00,0,0
2023-12-12T15:03:34.083982770+00:00,1,0
2023-12-12T15:03:34.084032780+00:00,0,0
2023-12-12T15:03:34.098756340+00:00,0,1
2023-12-12T15:03:34.098756790+00:00,0,0
2023-12-12T15:03:34.283982070+00:00,1,0
2023-12-12T15:03:34.284032080+00:00,0,0
2023-12-12T15:03:34.348776620+00:00,0,1
2023-12-12T15:03:34.348777070+00:00,0,0
2023-12-12T15:03:34.483981370+00:00,1,0
2023-12-12T15:03:34.484031380+00:00,0,0
2023-12-12T15:03:34.498777120+00:00,0,1
2023-12-12T15:03:34.498777570+00:00,0,0
2023-12-12T15:03:34.683980660+00:00,1,0
2023-12-12T15:03:34.684030680+00:00,0,0
2023-12-12T15:03:34.748798690+00:00,0,1
2023-12-12T15:03:34.748799140+00:00,0,0
2023-12-12T15:03:34.883979960+00:00,1,0
2023-12-12T15:03:34.884029980+00:00,0,0
2023-12-12T15:03:34.898795750+00:00,0,1
2023-12-12T15:03:34.898796210+00:00,0,0
2023-12-12T15:03:35.083979260+00:00,1,0
2023-12-12T15:03:35.084029280+00:00,0,0
2023-12-12T15:03:35.098796260+00:00,0,1
2023-12-12T15:03:35.098796710+00:00,0,0
2023-12-12T15:03:35.283978560+00:00,1,0
2023-12-12T15:03:35.284028570+00:00,0,0
2023-12-12T15:03:35.298815290+00:00,0,1
2023-12-12T15:03:35.298815740+00:00,0,0
2023-12-12T15:03:35.483977860+00:00,1,0
2023-12-12T15:03:35.484027870+00:00,0,0
2023-12-12T15:03:35.498823750+00:00,0,1
2023-12-12T15:03:35.498824210+00:00,0,0
2023-12-12T15:03:35.683977150+00:00,1,0
2023-12-12T15:03:35.684027170+00:00,0,0
2023-12-12T15:03:35.698824220+00:00,0,1
2023-12-12T15:03:35.698824670+00:00,0,0
2023-12-12T15:03:35.883976450+00:00,1,0
2023-12-12T15:03:35.884026470+00:00,0,0
2023-12-12T15:03:35.948852170+00:00,0,1
2023-12-12T15:03:35.948852620+00:00,0,0
2023-12-12T15:03:36.083975750+00:00,1,0
2023-12-12T15:03:36.084025770+00:00,0,0
2023-12-12T15:03:36.148849680+00:00,0,1
2023-12-12T15:03:36.148850140+00:00,0,0
2023-12-12T15:03:36.283975050+00:00,1,0
2023-12-12T15:03:36.284025060+00:00,0,0
2023-12-12T15:03:36.298862980+00:00,0,1
2023-12-12T15:03:36.298863440+00:00,0,0
2023-12-12T15:03:36.483974350+00:00,1,0
2023-12-12T15:03:36.484024360+00:00,0,0
2023-12-12T15:03:36.498875670+00:00,0,1
2023-12-12T15:03:36.498876130+00:00,0,0
2023-12-12T15:03:36.683973640+00:00,1,0
2023-12-12T15:03:36.684023660+00:00,0,0
2023-12-12T15:03:36.698877340+00:00,0,1
2023-12-12T15:03:36.698877790+00:00,0,0
2023-12-12T15:03:36.883972940+00:00,1,0
2023-12-12T15:03:36.884022960+00:00,0,0
2023-12-12T15:03:36.898877880+00:00,0,1
2023-12-12T15:03:36.898878330+00:00,0,0
2023-12-12T15:03:37.083972240+00:00,1,0
2023-12-12T15:03:37.084022260+00:00,0,0
2023-12-12T15:03:37.098905450+00:00,0,1
2023-12-12T15:03:37.098905900+00:00,0,0
2023-12-12T15:03:37.283971540+00:00,1,0
2023-12-12T15:03:37.284021550+00:00,0,0
2023-12-12T15:03:37.298895880+00:00,0,1
2023-12-12T15:03:37.298896330+00:00,0,0
2023-12-12T15:03:37.483970830+00:00,1,0
2023-12-12T15:03:37.484020850+00:00,0,0
2023-12-12T15:03:37.498914830+00:00,0,1
2023-12-12T15:03:37.498915280+00:00,0,0
2023-12-12T15:03:37.683970130+00:00,1,0
2023-12-12T15:03:37.684020150+00:00,0,0
2023-12-12T15:03:37.698924260+00:00,0,1
2023-12-12T15:03:37.698924710+00:00,0,0
2023-12-12T15:03:37.883969430+00:00,1,0
2023-12-12T15:03:37.884019440+00:00,0,0
2023-12-12T15:03:37.898925940+00:00,0,1
2023-12-12T15:03:37.898926390+00:00,0,0
2023-12-12T15:03:38.083968720+00:00,1,0
2023-12-12T15:03:38.084018740+00:00,0,0
2023-12-12T15:03:38.148937220+00:00,0,1
2023-12-12T15:03:38.148937670+00:00,0,0
2023-12-12T15:03:38.283968020+00:00,1,0
2023-12-12T15:03:38.284018040+00:00,0,0
2023-12-12T15:03:38.298939880+00:00,0,1
2023-12-12T15:03:38.298940330+00:00,0,0
2023-12-12T15:03:38.483967320+00:00,1,0
2023-12-12T15:03:38.484017340+00:00,0,0
2023-12-12T15:03:38.548952320+00:00,0,1
2023-12-12T15:03:38.548952780+00:00,0,0
2023-12-12T15:03:38.683966620+00:00,1,0
2023-12-12T15:03:38.684016630+00:00,0,0
2023-12-12T15:03:38.698961750+00:00,0,1
2023-12-12T15:03:38.698962200+00:00,0,0
2023-12-12T15:03:38.883965910+00:00,1,0
2023-12-12T15:03:38.884015930+00:00,0,0
2023-12-12T15:03:38.898961880+00:00,0,1
2023-12-12T15:03:38.898962330+00:00,0,0
2023-12-12T15:03:39.083965210+00:00,1,0
2023-12-12T15:03:39.084015230+00:00,0,0
2023-12-12T15:03:39.098971580+00:00,0,1
2023-12-12T15:03:39.098972030+00:00,0,0
2023-12-12T15:03:39.283964510+00:00,1,0
2023-12-12T15:03:39.284014520+00:00,0,0
2023-12-12T15:03:39.348988300+00:00,0,1
2023-12-12T15:03:39.348988750+00:00,0,0
2023-12-12T15:03:39.483963800+00:00,1,0
2023-12-12T15:03:39.484013820+00:00,0,0
2023-12-12T15:03:39.498998400+00:00,0,1
2023-12-12T15:03:39.498998850+00:00,0,0
2023-12-12T15:03:39.683963100+00:00,1,0
2023-12-12T15:03:39.684013120+00:00,0,0
2023-12-12T15:03:39.749006800+00:00,0,1
2023-12-12T15:03:39.749007260+00:00,0,0
2023-12-12T15:03:39.883962400+00:00,1,0
2023-12-12T15:03:39.884012410+00:00,0,0
2023-12-12T15:03:39.899003310+00:00,0,1
2023-12-12T15:03:39.899003770+00:00,0,0
2023-12-12T15:03:40.083961690+00:00,1,0
2023-12-12T15:03:40.084011710+00:00,0,0
2023-12-12T15:03:40.099014470+00:00,0,1
2023-12-12T15:03:40.099014920+00:00,0,0
2023-12-12T15:03:40.283960990+00:00,1,0
2023-12-12T15:03:40.284011010+00:00,0,0
2023-12-12T15:03:40.299030740+00:00,0,1
2023-12-12T15:03:40.299031200+00:00,0,0
2023-12-12T15:03:40.483960290+00:00,1,0
2023-12-12T15:03:40.484010300+00:00,0,0
2023-12-12T15:03:40.499045360+00:00,0,1
2023-12-12T15:03:40.499045810+00:00,0,0
2023-12-12T15:03:40.683959580+00:00,1,0
2023-12-12T15:03:40.684009600+00:00,0,0
2023-12-12T15:03:40.699041860+00:00,0,1
2023-12-12T15:03:40.699042310+00:00,0,0
2023-12-12T15:03:40.883958880+00:00,1,0
2023-12-12T15:03:40.884008900+00:00,0,0
2023-12-12T15:03:40.899061860+00:00,0,1
2023-12-12T15:03:40.899062320+00:00,0,0
2023-12-12T15:03:41.083958170+00:00,1,0
2023-12-12T15:03:41.084008190+00:00,0,0
2023-12-12T15:03:41.099062330+00:00,0,1
2023-12-12T15:03:41.099062780+00:00,0,0
2023-12-12T15:03:41.283957470+00:00,1,0
