Time [s],Channel 0,Channel 1
2023-12-12T13:45:25.184898000+00:00,0,0
2023-12-12T13:45:25.330131670+00:00,1,0
2023-12-12T13:45:25.330181690+00:00,0,0
2023-12-12T13:45:25.372352250+00:00,0,1
2023-12-12T13:45:25.372352710+00:00,0,0
2023-12-12T13:45:25.530130970+00:00,1,0
2023-12-12T13:45:25.530180990+00:00,0,0
2023-12-12T13:45:25.572360230+00:00,0,1
2023-12-12T13:45:25.572360690+00:00,0,0
2023-12-12T13:45:25.730130270+00:00,1,0
2023-12-12T13:45:25.730180290+00:00,0,0
2023-12-12T13:45:25.772360670+00:00,0,1
2023-12-12T13:45:25.772361120+00:00,0,0
2023-12-12T13:45:25.930129570+00:00,1,0
2023-12-12T13:45:25.930179590+00:00,0,0
2023-12-12T13:45:25.972370600+00:00,0,1
2023-12-12T13:45:25.972371050+00:00,0,0
2023-12-12T13:45:26.130128870+00:00,1,0
2023-12-12T13:45:26.130178890+00:00,0,0
2023-12-12T13:45:26.172370640+00:00,0,1
2023-12-12T13:45:26.172371090+00:00,0,0
2023-12-12T13:45:26.330128180+00:00,1,0
2023-12-12T13:45:26.330178190+00:00,0,0
2023-12-12T13:45:26.372413060+00:00,0,1
2023-12-12T13:45:26.372413600+00:00,0,0
2023-12-12T13:45:26.530127480+00:00,1,0
2023-12-12T13:45:26.530177490+00:00,0,0
2023-12-12T13:45:26.622383110+00:00,0,1
2023-12-12T13:45:26.622383560+00:00,0,0
2023-12-12T13:45:26.730126780+00:00,1,0
2023-12-12T13:45:26.730176790+00:00,0,0
2023-12-12T13:45:26.772391270+00:00,0,1
2023-12-12T13:45:26.772391720+00:00,0,0
2023-12-12T13:45:26.930126080+00:00,1,0
2023-12-12T13:45:26.930176100+00:00,0,0
2023-12-12T13:45:26.972391760+00:00,0,1
2023-12-12T13:45:26.972392210+00:00,0,0
2023-12-12T13:45:27.130125380+00:00,1,0
2023-12-12T13:45:27.130175400+00:00,0,0
2023-12-12T13:45:27.172400120+00:00,0,1
2023-12-12T13:45:27.172400570+00:00,0,0
2023-12-12T13:45:27.330124680+00:00,1,0
2023-12-12T13:45:27.330174700+00:00,0,0
2023-12-12T13:45:27.372402700+00:00,0,1
2023-12-12T13:45:27.372403150+00:00,0,0
2023-12-12T13:45:27.530123980+00:00,1,0
2023-12-12T13:45:27.530174000+00:00,0,0
2023-12-12T13:45:27.572451910+00:00,0,1
2023-12-12T13:45:27.572452450+00:00,0,0
2023-12-12T13:45:27.730123290+00:00,1,0
2023-12-12T13:45:27.730173300+00:00,0,0
2023-12-12T13:45:27.772412830+00:00,0,1
2023-12-12T13:45:27.772413280+00:00,0,0
2023-12-12T13:45:27.930122590+00:00,1,0
2023-12-12T13:45:27.930172600+00:00,0,0
2023-12-12T13:45:27.972421220+00:00,0,1
2023-12-12T13:45:27.972421670+00:00,0,0
2023-12-12T13:45:28.130121890+00:00,1,0
2023-12-12T13:45:28.130171910+00:00,0,0
2023-12-12T13:45:28.172423010+00:00,0,1
2023-12-12T13:45:28.172423460+00:00,0,0
2023-12-12T13:45:28.330121190+00:00,1,0
2023-12-12T13:45:28.330171210+00:00,0,0
2023-12-12T13:45:28.372431200+00:00,0,1
2023-12-12T13:45:28.372431650+00:00,0,0
2023-12-12T13:45:28.530120490+00:00,1,0
2023-12-12T13:45:28.530170510+00:00,0,0
2023-12-12T13:45:28.572431710+00:00,0,1
2023-12-12T13:45:28.572432160+00:00,0,0
2023-12-12T13:45:28.730119790+00:00,1,0
2023-12-12T13:45:28.730169810+00:00,0,0
2023-12-12T13:45:28.772473880+00:00,0,1
2023-12-12T13:45:28.772474420+00:00,0,0
2023-12-12T13:45:28.930119090+00:00,1,0
2023-12-12T13:45:28.930169110+00:00,0,0
2023-12-12T13:45:28.972442730+00:00,0,1
2023-12-12T13:45:28.972443180+00:00,0,0
2023-12-12T13:45:29.130118400+00:00,1,0
2023-12-12T13:45:29.130168410+00:00,0,0
2023-12-12T13:45:29.172451030+00:00,0,1
2023-12-12T13:45:29.172451480+00:00,0,0
2023-12-12T13:45:29.330117700+00:00,1,0
2023-12-12T13:45:29.330167710+00:00,0,0
2023-12-12T13:45:29.422454010+00:00,0,1
2023-12-12T13:45:29.422454460+00:00,0,0
2023-12-12T13:45:29.530117000+00:00,1,0
2023-12-12T13:45:29.530167010+00:00,0,0
2023-12-12T13:45:29.622462570+00:00,0,1
2023-12-12T13:45:29.622463030+00:00,0,0
2023-12-12T13:45:29.730116300+00:00,1,0
2023-12-12T13:45:29.730166310+00:00,0,0
2023-12-12T13:45:29.772462620+00:00,0,1
2023-12-12T13:45:29.772463080+00:00,0,0
2023-12-12T13:45:29.930115600+00:00,1,0
2023-12-12T13:45:29.930165610+00:00,0,0
2023-12-12T13:45:29.972511870+00:00,0,1
2023-12-12T13:45:29.972512420+00:00,0,0
2023-12-12T13:45:30.130114900+00:00,1,0
2023-12-12T13:45:30.130164920+00:00,0,0
2023-12-12T13:45:30.172472660+00:00,0,1
2023-12-12T13:45:30.172473120+00:00,0,0
2023-12-12T13:45:30.330114200+00:00,1,0
2023-12-12T13:45:30.330164220+00:00,0,0
2023-12-12T13:45:30.372483370+00:00,0,1
2023-12-12T13:45:30.372483820+00:00,0,0
2023-12-12T13:45:30.530113500+00:00,1,0
2023-12-12T13:45:30.530163520+00:00,0,0
2023-12-12T13:45:30.572483940+00:00,0,1
2023-12-12T13:45:30.572484400+00:00,0,0
2023-12-12T13:45:30.730112800+00:00,1,0
2023-12-12T13:45:30.730162820+00:00,0,0
2023-12-12T13:45:30.772492090+00:00,0,1
2023-12-12T13:45:30.772492550+00:00,0,0
2023-12-12T13:45:30.930112100+00:00,1,0
2023-12-12T13:45:30.930162120+00:00,0,0
2023-12-12T13:45:30.972492600+00:00,0,1
2023-12-12T13:45:30.972493050+00:00,0,0
2023-12-12T13:45:31.130111410+00:00,1,0
2023-12-12T13:45:31.130161420+00:00,0,0
2023-12-12T13:45:31.222536360+00:00,0,1
2023-12-12T13:45:31.222536910+00:00,0,0
2023-12-12T13:45:31.330110710+00:00,1,0
2023-12-12T13:45:31.330160720+00:00,0,0
2023-12-12T13:45:31.372504740+00:00,0,1
2023-12-12T13:45:31.372505190+00:00,0,0
2023-12-12T13:45:31.530110010+00:00,1,0
2023-12-12T13:45:31.530160020+00:00,0,0
2023-12-12T13:45:31.572513060+00:00,0,1
2023-12-12T13:45:31.572513520+00:00,0,0
2023-12-12T13:45:31.730109310+00:00,1,0
2023-12-12T13:45:31.730159320+00:00,0,0
2023-12-12T13:45:31.772514640+00:00,0,1
2023-12-12T13:45:31.772515090+00:00,0,0
2023-12-12T13:45:31.930108610+00:00,1,0
2023-12-12T13:45:31.930158620+00:00,0,0
2023-12-12T13:45:31.972522920+00:00,0,1
2023-12-12T13:45:31.972523370+00:00,0,0
2023-12-12T13:45:32.130107910+00:00,1,0
2023-12-12T13:45:32.130157920+00:00,0,0
2023-12-12T13:45:32.172523630+00:00,0,1
2023-12-12T13:45:32.172524080+00:00,0,0
2023-12-12T13:45:32.330107210+00:00,1,0
2023-12-12T13:45:32.330157230+00:00,0,0
2023-12-12T13:45:32.372569890+00:00,0,1
2023-12-12T13:45:32.372570440+00:00,0,0
2023-12-12T13:45:32.530106510+00:00,1,0
2023-12-12T13:45:32.530156530+00:00,0,0
2023-12-12T13:45:32.572535960+00:00,0,1
2023-12-12T13:45:32.572536410+00:00,0,0
2023-12-12T13:45:32.730105810+00:00,1,0
2023-12-12T13:45:32.730155830+00:00,0,0
