Time [s],Channel 0,Channel 1
2023-12-12T14:57:37.845064000+00:00,0,0
2023-12-12T14:57:37.921698800+00:00,1,0
2023-12-12T14:57:37.921748820+00:00,0,0
2023-12-12T14:57:37.964264090+00:00,0,1
2023-12-12T14:57:37.964264550+00:00,0,0
2023-12-12T14:57:38.121698100+00:00,1,0
2023-12-12T14:57:38.121748120+00:00,0,0
2023-12-12T14:57:38.164324580+00:00,0,1
2023-12-12T14:57:38.164325030+00:00,0,0
2023-12-12T14:57:38.321697400+00:00,1,0
2023-12-12T14:57:38.321747410+00:00,0,0
2023-12-12T14:57:38.364279470+00:00,0,1
2023-12-12T14:57:38.364279930+00:00,0,0
2023-12-12T14:57:38.521696690+00:00,1,0
2023-12-12T14:57:38.521746710+00:00,0,0
2023-12-12T14:57:38.564280150+00:00,0,1
2023-12-12T14:57:38.564280600+00:00,0,0
2023-12-12T14:57:38.721695990+00:00,1,0
2023-12-12T14:57:38.721746010+00:00,0,0
2023-12-12T14:57:38.764285340+00:00,0,1
2023-12-12T14:57:38.764285800+00:00,0,0
2023-12-12T14:57:38.921695290+00:00,1,0
2023-12-12T14:57:38.921745300+00:00,0,0
2023-12-12T14:57:38.964307000+00:00,0,1
2023-12-12T14:57:38.964307460+00:00,0,0
2023-12-12T14:57:39.121694580+00:00,1,0
2023-12-12T14:57:39.121744600+00:00,0,0
2023-12-12T14:57:39.164315180+00:00,0,1
2023-12-12T14:57:39.164315630+00:00,0,0
2023-12-12T14:57:39.321693880+00:00,1,0
2023-12-12T14:57:39.321743900+00:00,0,0
2023-12-12T14:57:39.364354710+00:00,0,1
2023-12-12T14:57:39.364355160+00:00,0,0
2023-12-12T14:57:39.521693180+00:00,1,0
2023-12-12T14:57:39.521743190+00:00,0,0
2023-12-12T14:57:39.564308880+00:00,0,1
2023-12-12T14:57:39.564309330+00:00,0,0
2023-12-12T14:57:39.721692480+00:00,1,0
2023-12-12T14:57:39.721742490+00:00,0,0
2023-12-12T14:57:39.764312590+00:00,0,1
2023-12-12T14:57:39.764313050+00:00,0,0
2023-12-12T14:57:39.921691770+00:00,1,0
2023-12-12T14:57:39.921741790+00:00,0,0
2023-12-12T14:57:39.964317910+00:00,0,1
2023-12-12T14:57:39.964318370+00:00,0,0
2023-12-12T14:57:40.121691070+00:00,1,0
2023-12-12T14:57:40.121741090+00:00,0,0
2023-12-12T14:57:40.164332220+00:00,0,1
2023-12-12T14:57:40.164332680+00:00,0,0
2023-12-12T14:57:40.321690370+00:00,1,0
2023-12-12T14:57:40.321740380+00:00,0,0
2023-12-12T14:57:40.414399630+00:00,0,1
2023-12-12T14:57:40.414400080+00:00,0,0
2023-12-12T14:57:40.521689660+00:00,1,0
2023-12-12T14:57:40.521739680+00:00,0,0
2023-12-12T14:57:40.564334720+00:00,0,1
2023-12-12T14:57:40.564335170+00:00,0,0
2023-12-12T14:57:40.721688960+00:00,1,0
2023-12-12T14:57:40.721738980+00:00,0,0
2023-12-12T14:57:40.764342900+00:00,0,1
2023-12-12T14:57:40.764343360+00:00,0,0
2023-12-12T14:57:40.921688260+00:00,1,0
2023-12-12T14:57:40.921738270+00:00,0,0
2023-12-12T14:57:40.964345460+00:00,0,1
2023-12-12T14:57:40.964345920+00:00,0,0
2023-12-12T14:57:41.121687550+00:00,1,0
2023-12-12T14:57:41.121737570+00:00,0,0
2023-12-12T14:57:41.164357200+00:00,0,1
2023-12-12T14:57:41.164357650+00:00,0,0
2023-12-12T14:57:41.321686850+00:00,1,0
2023-12-12T14:57:41.321736870+00:00,0,0
2023-12-12T14:57:41.364358760+00:00,0,1
2023-12-12T14:57:41.364359210+00:00,0,0
2023-12-12T14:57:41.521686150+00:00,1,0
2023-12-12T14:57:41.521736160+00:00,0,0
2023-12-12T14:57:41.564404590+00:00,0,1
2023-12-12T14:57:41.564405050+00:00,0,0
2023-12-12T14:57:41.721685450+00:00,1,0
2023-12-12T14:57:41.721735460+00:00,0,0
2023-12-12T14:57:41.764363700+00:00,0,1
2023-12-12T14:57:41.764364150+00:00,0,0
2023-12-12T14:57:41.921684740+00:00,1,0
2023-12-12T14:57:41.921734760+00:00,0,0
2023-12-12T14:57:41.964368120+00:00,0,1
2023-12-12T14:57:41.964368580+00:00,0,0
2023-12-12T14:57:42.121684040+00:00,1,0
2023-12-12T14:57:42.121734060+00:00,0,0
2023-12-12T14:57:42.164372840+00:00,0,1
2023-12-12T14:57:42.164373310+00:00,0,0
2023-12-12T14:57:42.321683340+00:00,1,0
2023-12-12T14:57:42.321733350+00:00,0,0
2023-12-12T14:57:42.364377190+00:00,0,1
2023-12-12T14:57:42.364377640+00:00,0,0
2023-12-12T14:57:42.521682630+00:00,1,0
2023-12-12T14:57:42.521732650+00:00,0,0
2023-12-12T14:57:42.564382850+00:00,0,1
2023-12-12T14:57:42.564383300+00:00,0,0
2023-12-12T14:57:42.721681930+00:00,1,0
2023-12-12T14:57:42.721731950+00:00,0,0
2023-12-12T14:57:42.764445400+00:00,0,1
2023-12-12T14:57:42.764445850+00:00,0,0
2023-12-12T14:57:42.921681230+00:00,1,0
2023-12-12T14:57:42.921731240+00:00,0,0
2023-12-12T14:57:42.964404110+00:00,0,1
2023-12-12T14:57:42.964404560+00:00,0,0
2023-12-12T14:57:43.121680520+00:00,1,0
2023-12-12T14:57:43.121730540+00:00,0,0
2023-12-12T14:57:43.214404200+00:00,0,1
2023-12-12T14:57:43.214404650+00:00,0,0
2023-12-12T14:57:43.321679820+00:00,1,0
2023-12-12T14:57:43.321729840+00:00,0,0
2023-12-12T14:57:43.414404670+00:00,0,1
2023-12-12T14:57:43.414405120+00:00,0,0
2023-12-12T14:57:43.521679120+00:00,1,0
2023-12-12T14:57:43.521729130+00:00,0,0
2023-12-12T14:57:43.564411770+00:00,0,1
2023-12-12T14:57:43.564412220+00:00,0,0
2023-12-12T14:57:43.721678410+00:00,1,0
2023-12-12T14:57:43.721728430+00:00,0,0
2023-12-12T14:57:43.764413450+00:00,0,1
2023-12-12T14:57:43.764413920+00:00,0,0
2023-12-12T14:57:43.921677710+00:00,1,0
2023-12-12T14:57:43.921727720+00:00,0,0
2023-12-12T14:57:43.964466070+00:00,0,1
2023-12-12T14:57:43.964466530+00:00,0,0
2023-12-12T14:57:44.121677000+00:00,1,0
2023-12-12T14:57:44.121727020+00:00,0,0
