Time [s],Channel 0,Channel 1
2023-12-04T10:40:32.319104000+00:00,0,0
2023-12-04T10:40:32.432677100+00:00,1,0
2023-12-04T10:40:32.432727110+00:00,0,0
2023-12-04T10:40:32.549434390+00:00,0,1
2023-12-04T10:40:32.549434850+00:00,0,0
2023-12-04T10:40:32.682676140+00:00,1,0
2023-12-04T10:40:32.682726150+00:00,0,0
2023-12-04T10:40:32.797252960+00:00,0,1
2023-12-04T10:40:32.797253410+00:00,0,0
2023-12-04T10:40:32.932675170+00:00,1,0
2023-12-04T10:40:32.932725190+00:00,0,0
2023-12-04T10:40:33.060436360+00:00,0,1
2023-12-04T10:40:33.060436830+00:00,0,0
2023-12-04T10:40:33.182674210+00:00,1,0
2023-12-04T10:40:33.182724230+00:00,0,0
2023-12-04T10:40:33.295105160+00:00,0,1
2023-12-04T10:40:33.295113580+00:00,0,0
2023-12-04T10:40:33.432673250+00:00,1,0
2023-12-04T10:40:33.432723270+00:00,0,0
2023-12-04T10:40:33.549388350+00:00,0,1
2023-12-04T10:40:33.549388800+00:00,0,0
2023-12-04T10:40:33.682672290+00:00,1,0
2023-12-04T10:40:33.682722310+00:00,0,0
2023-12-04T10:40:33.799389260+00:00,0,1
2023-12-04T10:40:33.799389730+00:00,0,0
2023-12-04T10:40:33.932671330+00:00,1,0
2023-12-04T10:40:33.932721350+00:00,0,0
2023-12-04T10:40:34.047475040+00:00,0,1
2023-12-04T10:40:34.047475510+00:00,0,0
2023-12-04T10:40:34.182670370+00:00,1,0
2023-12-04T10:40:34.182720380+00:00,0,0
2023-12-04T10:40:34.309174590+00:00,0,1
2023-12-04T10:40:34.309175050+00:00,0,0
2023-12-04T10:40:34.432669410+00:00,1,0
2023-12-04T10:40:34.432719420+00:00,0,0
2023-12-04T10:40:34.548213870+00:00,0,1
2023-12-04T10:40:34.548222300+00:00,0,0
2023-12-04T10:40:34.682668450+00:00,1,0
2023-12-04T10:40:34.682718460+00:00,0,0
2023-12-04T10:40:34.826444210+00:00,0,1
2023-12-04T10:40:34.826452640+00:00,0,0
2023-12-04T10:40:34.932667480+00:00,1,0
2023-12-04T10:40:34.932717500+00:00,0,0
2023-12-04T10:40:35.055207330+00:00,0,1
2023-12-04T10:40:35.055207790+00:00,0,0
2023-12-04T10:40:35.182666520+00:00,1,0
2023-12-04T10:40:35.182716540+00:00,0,0
2023-12-04T10:40:35.297419380+00:00,0,1
2023-12-04T10:40:35.297419840+00:00,0,0
2023-12-04T10:40:35.432665560+00:00,1,0
2023-12-04T10:40:35.432715580+00:00,0,0
2023-12-04T10:40:35.548184050+00:00,0,1
2023-12-04T10:40:35.548184500+00:00,0,0
2023-12-04T10:40:35.682664600+00:00,1,0
2023-12-04T10:40:35.682714620+00:00,0,0
2023-12-04T10:40:35.797480820+00:00,0,1
2023-12-04T10:40:35.797481290+00:00,0,0
2023-12-04T10:40:35.932663640+00:00,1,0
2023-12-04T10:40:35.932713660+00:00,0,0
2023-12-04T10:40:36.082866690+00:00,0,1
2023-12-04T10:40:36.082867140+00:00,0,0
2023-12-04T10:40:36.182662680+00:00,1,0
2023-12-04T10:40:36.182712690+00:00,0,0
2023-12-04T10:40:36.341050510+00:00,0,1
2023-12-04T10:40:36.341050980+00:00,0,0
2023-12-04T10:40:36.432661720+00:00,1,0
2023-12-04T10:40:36.432711730+00:00,0,0
2023-12-04T10:40:36.547688300+00:00,0,1
2023-12-04T10:40:36.547692720+00:00,0,0
2023-12-04T10:40:36.682660750+00:00,1,0
2023-12-04T10:40:36.682710770+00:00,0,0
2023-12-04T10:40:36.792757360+00:00,0,1
2023-12-04T10:40:36.792757820+00:00,0,0
2023-12-04T10:40:36.932659790+00:00,1,0
2023-12-04T10:40:36.932709810+00:00,0,0
2023-12-04T10:40:37.039520610+00:00,0,1
2023-12-04T10:40:37.039521060+00:00,0,0
2023-12-04T10:40:37.182658830+00:00,1,0
2023-12-04T10:40:37.182708850+00:00,0,0
2023-12-04T10:40:37.312907180+00:00,0,1
2023-12-04T10:40:37.312907640+00:00,0,0
2023-12-04T10:40:37.432657870+00:00,1,0
2023-12-04T10:40:37.432707890+00:00,0,0
2023-12-04T10:40:37.557442660+00:00,0,1
2023-12-04T10:40:37.557443130+00:00,0,0
2023-12-04T10:40:37.682656910+00:00,1,0
2023-12-04T10:40:37.682706930+00:00,0,0
2023-12-04T10:40:37.795160240+00:00,0,1
2023-12-04T10:40:37.795168670+00:00,0,0
2023-12-04T10:40:37.932655950+00:00,1,0
2023-12-04T10:40:37.932705960+00:00,0,0
2023-12-04T10:40:38.069646300+00:00,0,1
2023-12-04T10:40:38.069646770+00:00,0,0
2023-12-04T10:40:38.182654990+00:00,1,0
2023-12-04T10:40:38.182705000+00:00,0,0
2023-12-04T10:40:38.332546490+00:00,0,1
2023-12-04T10:40:38.332546960+00:00,0,0
2023-12-04T10:40:38.432654020+00:00,1,0
2023-12-04T10:40:38.432704040+00:00,0,0
2023-12-04T10:40:38.546214110+00:00,0,1
2023-12-04T10:40:38.546214570+00:00,0,0
2023-12-04T10:40:38.682653060+00:00,1,0
2023-12-04T10:40:38.682703080+00:00,0,0
2023-12-04T10:40:38.799423620+00:00,0,1
2023-12-04T10:40:38.799424090+00:00,0,0
2023-12-04T10:40:38.932652100+00:00,1,0
2023-12-04T10:40:38.932702120+00:00,0,0
2023-12-04T10:40:39.073446150+00:00,0,1
2023-12-04T10:40:39.073446620+00:00,0,0
2023-12-04T10:40:39.182651140+00:00,1,0
2023-12-04T10:40:39.182701160+00:00,0,0
2023-12-04T10:40:39.293734730+00:00,0,1
2023-12-04T10:40:39.293735200+00:00,0,0
2023-12-04T10:40:39.432650180+00:00,1,0
2023-12-04T10:40:39.432700200+00:00,0,0
2023-12-04T10:40:39.548663040+00:00,0,1
2023-12-04T10:40:39.548663500+00:00,0,0
2023-12-04T10:40:39.682649220+00:00,1,0
2023-12-04T10:40:39.682699230+00:00,0,0
2023-12-04T10:40:39.797316840+00:00,0,1
2023-12-04T10:40:39.797317290+00:00,0,0
2023-12-04T10:40:39.932648260+00:00,1,0
2023-12-04T10:40:39.932698270+00:00,0,0
2023-12-04T10:40:40.082381660+00:00,0,1
2023-12-04T10:40:40.082382110+00:00,0,0
2023-12-04T10:40:40.182647290+00:00,1,0
2023-12-04T10:40:40.182697310+00:00,0,0
2023-12-04T10:40:40.307125550+00:00,0,1
2023-12-04T10:40:40.307126010+00:00,0,0
2023-12-04T10:40:40.432646330+00:00,1,0
2023-12-04T10:40:40.432696350+00:00,0,0
2023-12-04T10:40:40.548711820+00:00,0,1
2023-12-04T10:40:40.548712290+00:00,0,0
2023-12-04T10:40:40.682645370+00:00,1,0
2023-12-04T10:40:40.682695390+00:00,0,0
2023-12-04T10:40:40.795794400+00:00,0,1
2023-12-04T10:40:40.795794850+00:00,0,0
2023-12-04T10:40:40.932644410+00:00,1,0
2023-12-04T10:40:40.932694420+00:00,0,0
2023-12-04T10:40:41.045115330+00:00,0,1
2023-12-04T10:40:41.045123760+00:00,0,0
2023-12-04T10:40:41.182643440+00:00,1,0
2023-12-04T10:40:41.182693460+00:00,0,0
2023-12-04T10:40:41.358169130+00:00,0,1
2023-12-04T10:40:41.358169580+00:00,0,0
2023-12-04T10:40:41.432642480+00:00,1,0
2023-12-04T10:40:41.432692500+00:00,0,0
2023-12-04T10:40:41.548358900+00:00,0,1
2023-12-04T10:40:41.548359350+00:00,0,0
2023-12-04T10:40:41.682641520+00:00,1,0
2023-12-04T10:40:41.682691540+00:00,0,0
2023-12-04T10:40:41.794623320+00:00,0,1
2023-12-04T10:40:41.794623770+00:00,0,0
2023-12-04T10:40:41.932640560+00:00,1,0
2023-12-04T10:40:41.932690570+00:00,0,0
2023-12-04T10:40:42.044477200+00:00,0,1
2023-12-04T10:40:42.044485630+00:00,0,0
2023-12-04T10:40:42.182639600+00:00,1,0
2023-12-04T10:40:42.182689610+00:00,0,0
2023-12-04T10:40:42.299017010+00:00,0,1
2023-12-04T10:40:42.299017470+00:00,0,0
2023-12-04T10:40:42.432638630+00:00,1,0
2023-12-04T10:40:42.432688650+00:00,0,0
2023-12-04T10:40:42.554616450+00:00,0,1
2023-12-04T10:40:42.554616900+00:00,0,0
2023-12-04T10:40:42.682637670+00:00,1,0
2023-12-04T10:40:42.682687690+00:00,0,0
2023-12-04T10:40:42.797732320+00:00,0,1
2023-12-04T10:40:42.797736730+00:00,0,0
2023-12-04T10:40:42.932636710+00:00,1,0
