Time [s],Channel 0,Channel 1
2023-12-04T07:39:31.345825000+00:00,0,0
2023-12-04T07:39:31.393360070+00:00,1,0
2023-12-04T07:39:31.393410260+00:00,0,0
2023-12-04T07:39:31.403548040+00:00,0,1
2023-12-04T07:39:31.403548490+00:00,0,0
2023-12-04T07:39:31.493359700+00:00,1,0
2023-12-04T07:39:31.493409890+00:00,0,0
2023-12-04T07:39:31.506958870+00:00,0,1
2023-12-04T07:39:31.506959700+00:00,0,0
2023-12-04T07:39:31.593359330+00:00,1,0
2023-12-04T07:39:31.593409520+00:00,0,0
2023-12-04T07:39:31.604575620+00:00,0,1
2023-12-04T07:39:31.604650490+00:00,0,0
2023-12-04T07:39:31.693358960+00:00,1,0
2023-12-04T07:39:31.693409150+00:00,0,0
2023-12-04T07:39:31.703342290+00:00,0,1
2023-12-04T07:39:31.703342740+00:00,0,0
2023-12-04T07:39:31.793358590+00:00,1,0
2023-12-04T07:39:31.793408790+00:00,0,0
2023-12-04T07:39:31.806926430+00:00,0,1
2023-12-04T07:39:31.806926890+00:00,0,0
2023-12-04T07:39:31.893358220+00:00,1,0
2023-12-04T07:39:31.893408420+00:00,0,0
2023-12-04T07:39:31.905783650+00:00,0,1
2023-12-04T07:39:31.905792000+00:00,0,0
2023-12-04T07:39:31.993357850+00:00,1,0
2023-12-04T07:39:31.993408050+00:00,0,0
2023-12-04T07:39:32.003551240+00:00,0,1
2023-12-04T07:39:32.003551690+00:00,0,0
2023-12-04T07:39:32.093357480+00:00,1,0
2023-12-04T07:39:32.093407680+00:00,0,0
2023-12-04T07:39:32.106952960+00:00,0,1
2023-12-04T07:39:32.106953410+00:00,0,0
2023-12-04T07:39:32.193357110+00:00,1,0
2023-12-04T07:39:32.193407310+00:00,0,0
2023-12-04T07:39:32.204580720+00:00,0,1
2023-12-04T07:39:32.204653670+00:00,0,0
2023-12-04T07:39:32.293356740+00:00,1,0
2023-12-04T07:39:32.293406940+00:00,0,0
2023-12-04T07:39:32.303360010+00:00,0,1
2023-12-04T07:39:32.303360460+00:00,0,0
2023-12-04T07:39:32.393356370+00:00,1,0
2023-12-04T07:39:32.393406570+00:00,0,0
2023-12-04T07:39:32.406935860+00:00,0,1
2023-12-04T07:39:32.406936310+00:00,0,0
2023-12-04T07:39:32.493356010+00:00,1,0
2023-12-04T07:39:32.493406200+00:00,0,0
2023-12-04T07:39:32.505779200+00:00,0,1
2023-12-04T07:39:32.505787550+00:00,0,0
2023-12-04T07:39:32.593355640+00:00,1,0
2023-12-04T07:39:32.593405830+00:00,0,0
2023-12-04T07:39:32.603562560+00:00,0,1
2023-12-04T07:39:32.603563020+00:00,0,0
2023-12-04T07:39:32.693355270+00:00,1,0
2023-12-04T07:39:32.693405460+00:00,0,0
2023-12-04T07:39:32.706969290+00:00,0,1
2023-12-04T07:39:32.706969410+00:00,0,0
2023-12-04T07:39:32.793354900+00:00,1,0
2023-12-04T07:39:32.793405090+00:00,0,0
2023-12-04T07:39:32.804656780+00:00,0,1
2023-12-04T07:39:32.804661320+00:00,0,0
2023-12-04T07:39:32.893354530+00:00,1,0
2023-12-04T07:39:32.893404730+00:00,0,0
2023-12-04T07:39:32.903353720+00:00,0,1
2023-12-04T07:39:32.903354200+00:00,0,0
2023-12-04T07:39:32.993354160+00:00,1,0
2023-12-04T07:39:32.993404360+00:00,0,0
2023-12-04T07:39:33.006925870+00:00,0,1
2023-12-04T07:39:33.006926320+00:00,0,0
2023-12-04T07:39:33.093353790+00:00,1,0
2023-12-04T07:39:33.093403990+00:00,0,0
2023-12-04T07:39:33.105824660+00:00,0,1
2023-12-04T07:39:33.105833020+00:00,0,0
2023-12-04T07:39:33.193353420+00:00,1,0
2023-12-04T07:39:33.193403620+00:00,0,0
2023-12-04T07:39:33.203587910+00:00,0,1
2023-12-04T07:39:33.203588370+00:00,0,0
2023-12-04T07:39:33.293353050+00:00,1,0
2023-12-04T07:39:33.293403250+00:00,0,0
2023-12-04T07:39:33.306972540+00:00,0,1
2023-12-04T07:39:33.306973250+00:00,0,0
