Time [s],Channel 0,Channel 1
2023-11-15T15:39:53.281555000+00:00,0,0
2023-11-15T15:39:53.290295520+00:00,0,1
2023-11-15T15:39:53.290295980+00:00,0,0
2023-11-15T15:39:53.364989970+00:00,1,0
2023-11-15T15:39:53.365039990+00:00,0,0
2023-11-15T15:39:53.390558570+00:00,0,1
2023-11-15T15:39:53.390559020+00:00,0,0
2023-11-15T15:39:53.464989650+00:00,1,0
2023-11-15T15:39:53.465039670+00:00,0,0
2023-11-15T15:39:53.491267640+00:00,0,1
2023-11-15T15:39:53.491268090+00:00,0,0
2023-11-15T15:39:53.564989330+00:00,1,0
2023-11-15T15:39:53.565039360+00:00,0,0
2023-11-15T15:39:53.588862340+00:00,0,1
2023-11-15T15:39:53.588862790+00:00,0,0
2023-11-15T15:39:53.664989020+00:00,1,0
2023-11-15T15:39:53.665039040+00:00,0,0
2023-11-15T15:39:53.693421260+00:00,0,1
2023-11-15T15:39:53.693421720+00:00,0,0
2023-11-15T15:39:53.764988700+00:00,1,0
2023-11-15T15:39:53.765038720+00:00,0,0
2023-11-15T15:39:53.790123220+00:00,0,1
2023-11-15T15:39:53.790123680+00:00,0,0
2023-11-15T15:39:53.864988380+00:00,1,0
2023-11-15T15:39:53.865038400+00:00,0,0
2023-11-15T15:39:53.890271160+00:00,0,1
2023-11-15T15:39:53.890271620+00:00,0,0
2023-11-15T15:39:53.964988060+00:00,1,0
2023-11-15T15:39:53.965038080+00:00,0,0
2023-11-15T15:39:53.990168100+00:00,0,1
2023-11-15T15:39:53.990168560+00:00,0,0
2023-11-15T15:39:54.064987740+00:00,1,0
2023-11-15T15:39:54.065037760+00:00,0,0
2023-11-15T15:39:54.090195960+00:00,0,1
2023-11-15T15:39:54.090196410+00:00,0,0
2023-11-15T15:39:54.164987420+00:00,1,0
2023-11-15T15:39:54.165037450+00:00,0,0
2023-11-15T15:39:54.190212010+00:00,0,1
2023-11-15T15:39:54.190212460+00:00,0,0
2023-11-15T15:39:54.264987110+00:00,1,0
2023-11-15T15:39:54.265037130+00:00,0,0
2023-11-15T15:39:54.290183870+00:00,0,1
2023-11-15T15:39:54.290184330+00:00,0,0
2023-11-15T15:39:54.364986790+00:00,1,0
2023-11-15T15:39:54.365036810+00:00,0,0
2023-11-15T15:39:54.388806190+00:00,0,1
2023-11-15T15:39:54.388806650+00:00,0,0
2023-11-15T15:39:54.464986470+00:00,1,0
2023-11-15T15:39:54.465036490+00:00,0,0
2023-11-15T15:39:54.488772000+00:00,0,1
2023-11-15T15:39:54.488772450+00:00,0,0
2023-11-15T15:39:54.564986150+00:00,1,0
2023-11-15T15:39:54.565036170+00:00,0,0
2023-11-15T15:39:54.588844650+00:00,0,1
2023-11-15T15:39:54.588845100+00:00,0,0
2023-11-15T15:39:54.664985830+00:00,1,0
2023-11-15T15:39:54.665035850+00:00,0,0
2023-11-15T15:39:54.688796620+00:00,0,1
2023-11-15T15:39:54.688797080+00:00,0,0
2023-11-15T15:39:54.764985520+00:00,1,0
2023-11-15T15:39:54.765035540+00:00,0,0
2023-11-15T15:39:54.789065530+00:00,0,1
2023-11-15T15:39:54.789065980+00:00,0,0
2023-11-15T15:39:54.864985200+00:00,1,0
2023-11-15T15:39:54.865035220+00:00,0,0
2023-11-15T15:39:54.889037340+00:00,0,1
2023-11-15T15:39:54.889037800+00:00,0,0
2023-11-15T15:39:54.964984880+00:00,1,0
2023-11-15T15:39:54.965034900+00:00,0,0
2023-11-15T15:39:54.988778020+00:00,0,1
2023-11-15T15:39:54.988778470+00:00,0,0
2023-11-15T15:39:55.064984560+00:00,1,0
2023-11-15T15:39:55.065034580+00:00,0,0
2023-11-15T15:39:55.088788150+00:00,0,1
2023-11-15T15:39:55.088788600+00:00,0,0
2023-11-15T15:39:55.164984240+00:00,1,0
2023-11-15T15:39:55.165034260+00:00,0,0
2023-11-15T15:39:55.188813890+00:00,0,1
2023-11-15T15:39:55.188814340+00:00,0,0
2023-11-15T15:39:55.264983920+00:00,1,0
2023-11-15T15:39:55.265033950+00:00,0,0
2023-11-15T15:39:55.288815060+00:00,0,1
2023-11-15T15:39:55.288815520+00:00,0,0
2023-11-15T15:39:55.364983610+00:00,1,0
2023-11-15T15:39:55.365033630+00:00,0,0
2023-11-15T15:39:55.388814880+00:00,0,1
2023-11-15T15:39:55.388815330+00:00,0,0
2023-11-15T15:39:55.464983290+00:00,1,0
2023-11-15T15:39:55.465033310+00:00,0,0
2023-11-15T15:39:55.488815620+00:00,0,1
2023-11-15T15:39:55.488816070+00:00,0,0
2023-11-15T15:39:55.564982970+00:00,1,0
2023-11-15T15:39:55.565032990+00:00,0,0
2023-11-15T15:39:55.588811760+00:00,0,1
2023-11-15T15:39:55.588812210+00:00,0,0
2023-11-15T15:39:55.664982650+00:00,1,0
2023-11-15T15:39:55.665032670+00:00,0,0
2023-11-15T15:39:55.688800620+00:00,0,1
2023-11-15T15:39:55.688801070+00:00,0,0
2023-11-15T15:39:55.764982330+00:00,1,0
2023-11-15T15:39:55.765032360+00:00,0,0
2023-11-15T15:39:55.788793750+00:00,0,1
2023-11-15T15:39:55.788794200+00:00,0,0
2023-11-15T15:39:55.864982020+00:00,1,0
