Time [s],Channel 0,Channel 1
2023-11-15T15:33:04.266861000+00:00,0,0
2023-11-15T15:33:04.330835380+00:00,1,0
2023-11-15T15:33:04.330885400+00:00,0,0
2023-11-15T15:33:04.335910900+00:00,0,1
2023-11-15T15:33:04.335911310+00:00,0,0
2023-11-15T15:33:04.430835060+00:00,1,0
2023-11-15T15:33:04.430885080+00:00,0,0
2023-11-15T15:33:04.436331980+00:00,0,1
2023-11-15T15:33:04.436332400+00:00,0,0
2023-11-15T15:33:04.530834740+00:00,1,0
2023-11-15T15:33:04.530884760+00:00,0,0
2023-11-15T15:33:04.538802940+00:00,0,1
2023-11-15T15:33:04.538803360+00:00,0,0
2023-11-15T15:33:04.630834420+00:00,1,0
2023-11-15T15:33:04.630884440+00:00,0,0
2023-11-15T15:33:04.641248210+00:00,0,1
2023-11-15T15:33:04.641248620+00:00,0,0
2023-11-15T15:33:04.730834100+00:00,1,0
2023-11-15T15:33:04.730884120+00:00,0,0
2023-11-15T15:33:04.735902170+00:00,0,1
2023-11-15T15:33:04.735902580+00:00,0,0
2023-11-15T15:33:04.830833780+00:00,1,0
2023-11-15T15:33:04.830883800+00:00,0,0
2023-11-15T15:33:04.835918180+00:00,0,1
2023-11-15T15:33:04.835918590+00:00,0,0
2023-11-15T15:33:04.930833450+00:00,1,0
2023-11-15T15:33:04.930883480+00:00,0,0
2023-11-15T15:33:04.935929160+00:00,0,1
2023-11-15T15:33:04.935929580+00:00,0,0
2023-11-15T15:33:05.030833130+00:00,1,0
2023-11-15T15:33:05.030883150+00:00,0,0
2023-11-15T15:33:05.035962220+00:00,0,1
2023-11-15T15:33:05.035962630+00:00,0,0
2023-11-15T15:33:05.130832810+00:00,1,0
2023-11-15T15:33:05.130882830+00:00,0,0
2023-11-15T15:33:05.135937160+00:00,0,1
2023-11-15T15:33:05.135937580+00:00,0,0
2023-11-15T15:33:05.230832490+00:00,1,0
2023-11-15T15:33:05.230882510+00:00,0,0
2023-11-15T15:33:05.235932170+00:00,0,1
2023-11-15T15:33:05.235932590+00:00,0,0
2023-11-15T15:33:05.330832170+00:00,1,0
2023-11-15T15:33:05.330882190+00:00,0,0
2023-11-15T15:33:05.335931140+00:00,0,1
2023-11-15T15:33:05.335931560+00:00,0,0
2023-11-15T15:33:05.430831850+00:00,1,0
2023-11-15T15:33:05.430881870+00:00,0,0
2023-11-15T15:33:05.435934150+00:00,0,1
2023-11-15T15:33:05.435934570+00:00,0,0
2023-11-15T15:33:05.530831530+00:00,1,0
2023-11-15T15:33:05.530881550+00:00,0,0
2023-11-15T15:33:05.535975200+00:00,0,1
2023-11-15T15:33:05.535975610+00:00,0,0
2023-11-15T15:33:05.630831210+00:00,1,0
2023-11-15T15:33:05.630881230+00:00,0,0
2023-11-15T15:33:05.636012240+00:00,0,1
2023-11-15T15:33:05.636012660+00:00,0,0
2023-11-15T15:33:05.730830890+00:00,1,0
2023-11-15T15:33:05.730880910+00:00,0,0
2023-11-15T15:33:05.735989230+00:00,0,1
2023-11-15T15:33:05.735989640+00:00,0,0
2023-11-15T15:33:05.830830570+00:00,1,0
2023-11-15T15:33:05.830880590+00:00,0,0
2023-11-15T15:33:05.835957290+00:00,0,1
2023-11-15T15:33:05.835957700+00:00,0,0
2023-11-15T15:33:05.930830250+00:00,1,0
2023-11-15T15:33:05.930880270+00:00,0,0
2023-11-15T15:33:05.935957230+00:00,0,1
2023-11-15T15:33:05.935957650+00:00,0,0
2023-11-15T15:33:06.030829930+00:00,1,0
2023-11-15T15:33:06.030879950+00:00,0,0
2023-11-15T15:33:06.038057290+00:00,0,1
2023-11-15T15:33:06.038057710+00:00,0,0
2023-11-15T15:33:06.130829610+00:00,1,0
2023-11-15T15:33:06.130879630+00:00,0,0
2023-11-15T15:33:06.145421360+00:00,0,1
2023-11-15T15:33:06.145421780+00:00,0,0
2023-11-15T15:33:06.230829290+00:00,1,0
2023-11-15T15:33:06.230879310+00:00,0,0
2023-11-15T15:33:06.235949100+00:00,0,1
2023-11-15T15:33:06.235949510+00:00,0,0
2023-11-15T15:33:06.330828970+00:00,1,0
2023-11-15T15:33:06.330878990+00:00,0,0
2023-11-15T15:33:06.335945270+00:00,0,1
2023-11-15T15:33:06.335945680+00:00,0,0
2023-11-15T15:33:06.430828650+00:00,1,0
2023-11-15T15:33:06.430878670+00:00,0,0
2023-11-15T15:33:06.435972290+00:00,0,1
2023-11-15T15:33:06.435972700+00:00,0,0
2023-11-15T15:33:06.530828330+00:00,1,0
2023-11-15T15:33:06.530878350+00:00,0,0
2023-11-15T15:33:06.535975300+00:00,0,1
2023-11-15T15:33:06.535975710+00:00,0,0
2023-11-15T15:33:06.630828000+00:00,1,0
2023-11-15T15:33:06.630878030+00:00,0,0
2023-11-15T15:33:06.636007300+00:00,0,1
2023-11-15T15:33:06.636007720+00:00,0,0
2023-11-15T15:33:06.730827680+00:00,1,0
2023-11-15T15:33:06.730877710+00:00,0,0
2023-11-15T15:33:06.735976300+00:00,0,1
2023-11-15T15:33:06.735976720+00:00,0,0
