Time [s],Channel 0,Channel 1
2023-11-26T13:51:09.890154000+00:00,0,0
2023-11-26T13:51:10.940899630+00:00,1,0
2023-11-26T13:51:10.940949640+00:00,0,0
2023-11-26T13:51:12.091876750+00:00,0,1
2023-11-26T13:51:12.091876810+00:00,0,0
2023-11-26T13:51:12.440896500+00:00,1,0
2023-11-26T13:51:12.440946510+00:00,0,0
2023-11-26T13:51:13.578742420+00:00,0,1
2023-11-26T13:51:13.578742490+00:00,0,0
2023-11-26T13:51:13.940893360+00:00,1,0
2023-11-26T13:51:13.940943370+00:00,0,0
2023-11-26T13:51:15.077684980+00:00,0,1
2023-11-26T13:51:15.077685050+00:00,0,0
2023-11-26T13:51:15.440890230+00:00,1,0
2023-11-26T13:51:15.440940240+00:00,0,0
2023-11-26T13:51:16.578834660+00:00,0,1
2023-11-26T13:51:16.578834730+00:00,0,0
2023-11-26T13:51:16.940887080+00:00,1,0
2023-11-26T13:51:16.940937090+00:00,0,0
2023-11-26T13:51:18.078825440+00:00,0,1
2023-11-26T13:51:18.078825510+00:00,0,0
2023-11-26T13:51:18.440883940+00:00,1,0
2023-11-26T13:51:18.440933950+00:00,0,0
2023-11-26T13:51:19.577768010+00:00,0,1
2023-11-26T13:51:19.577768070+00:00,0,0
2023-11-26T13:51:19.940880780+00:00,1,0
2023-11-26T13:51:19.940930790+00:00,0,0
2023-11-26T13:51:21.078806790+00:00,0,1
2023-11-26T13:51:21.078806850+00:00,0,0
2023-11-26T13:51:21.440877630+00:00,1,0
2023-11-26T13:51:21.440927630+00:00,0,0
2023-11-26T13:51:22.578484950+00:00,0,1
2023-11-26T13:51:22.578485020+00:00,0,0
2023-11-26T13:51:22.940874460+00:00,1,0
2023-11-26T13:51:22.940924470+00:00,0,0
2023-11-26T13:51:24.078058840+00:00,0,1
2023-11-26T13:51:24.078058910+00:00,0,0
2023-11-26T13:51:24.440871290+00:00,1,0
2023-11-26T13:51:24.440921300+00:00,0,0
2023-11-26T13:51:25.579520810+00:00,0,1
2023-11-26T13:51:25.579520870+00:00,0,0
2023-11-26T13:51:25.940868120+00:00,1,0
2023-11-26T13:51:25.940918130+00:00,0,0
2023-11-26T13:51:27.077831690+00:00,0,1
2023-11-26T13:51:27.077831750+00:00,0,0
2023-11-26T13:51:27.440864950+00:00,1,0
