Time [s],Channel 0,Channel 1
2023-11-22T10:55:43.594086220+00:00,0,0
2023-11-22T10:55:43.677345830+00:00,1,0
2023-11-22T10:55:43.677395850+00:00,0,0
2023-11-22T10:55:43.744328630+00:00,0,1
2023-11-22T10:55:43.744329460+00:00,0,0
2023-11-22T10:55:43.877345120+00:00,1,0
2023-11-22T10:55:43.877395140+00:00,0,0
2023-11-22T10:55:43.947039070+00:00,0,1
2023-11-22T10:55:43.947039900+00:00,0,0
2023-11-22T10:55:44.077344410+00:00,1,0
2023-11-22T10:55:44.077394430+00:00,0,0
2023-11-22T10:55:44.147041300+00:00,0,1
2023-11-22T10:55:44.147042120+00:00,0,0
2023-11-22T10:55:44.277343700+00:00,1,0
2023-11-22T10:55:44.277393720+00:00,0,0
2023-11-22T10:55:44.348397270+00:00,0,1
2023-11-22T10:55:44.348398090+00:00,0,0
2023-11-22T10:55:44.477342990+00:00,1,0
2023-11-22T10:55:44.477393010+00:00,0,0
2023-11-22T10:55:44.545677530+00:00,0,1
2023-11-22T10:55:44.545678350+00:00,0,0
2023-11-22T10:55:44.677342270+00:00,1,0
2023-11-22T10:55:44.677392300+00:00,0,0
2023-11-22T10:55:44.747015230+00:00,0,1
2023-11-22T10:55:44.747016060+00:00,0,0
2023-11-22T10:55:44.877341560+00:00,1,0
2023-11-22T10:55:44.877391590+00:00,0,0
2023-11-22T10:55:44.948426700+00:00,0,1
2023-11-22T10:55:44.948427530+00:00,0,0
2023-11-22T10:55:45.077340850+00:00,1,0
2023-11-22T10:55:45.077390870+00:00,0,0
2023-11-22T10:55:45.144282300+00:00,0,1
2023-11-22T10:55:45.144283120+00:00,0,0
2023-11-22T10:55:45.277340140+00:00,1,0
2023-11-22T10:55:45.277390160+00:00,0,0
2023-11-22T10:55:45.344308270+00:00,0,1
2023-11-22T10:55:45.344309090+00:00,0,0
2023-11-22T10:55:45.477339430+00:00,1,0
2023-11-22T10:55:45.477389450+00:00,0,0
2023-11-22T10:55:45.548425640+00:00,0,1
2023-11-22T10:55:45.548426460+00:00,0,0
2023-11-22T10:55:45.677338720+00:00,1,0
2023-11-22T10:55:45.677388740+00:00,0,0
2023-11-22T10:55:45.745677460+00:00,0,1
2023-11-22T10:55:45.745678290+00:00,0,0
2023-11-22T10:55:45.877338010+00:00,1,0
2023-11-22T10:55:45.877388030+00:00,0,0
2023-11-22T10:55:45.947039650+00:00,0,1
2023-11-22T10:55:45.947040470+00:00,0,0
2023-11-22T10:55:46.077337300+00:00,1,0
2023-11-22T10:55:46.077387320+00:00,0,0
2023-11-22T10:55:46.148417080+00:00,0,1
2023-11-22T10:55:46.148417900+00:00,0,0
2023-11-22T10:55:46.277336580+00:00,1,0
2023-11-22T10:55:46.277386610+00:00,0,0
2023-11-22T10:55:46.342929730+00:00,0,1
2023-11-22T10:55:46.342930550+00:00,0,0
2023-11-22T10:55:46.477335870+00:00,1,0
2023-11-22T10:55:46.477385890+00:00,0,0
2023-11-22T10:55:46.547028580+00:00,0,1
2023-11-22T10:55:46.547029400+00:00,0,0
2023-11-22T10:55:46.677335160+00:00,1,0
2023-11-22T10:55:46.677385180+00:00,0,0
2023-11-22T10:55:46.748405500+00:00,0,1
2023-11-22T10:55:46.748406320+00:00,0,0
