Time [s],Channel 0,Channel 1
2023-11-22T10:50:13.666075000+00:00,0,0
2023-11-22T10:50:13.694974740+00:00,1,0
2023-11-22T10:50:13.695024760+00:00,0,0
2023-11-22T10:50:13.702029090+00:00,0,1
2023-11-22T10:50:13.702029890+00:00,0,0
2023-11-22T10:50:13.744974560+00:00,1,0
2023-11-22T10:50:13.745024590+00:00,0,0
2023-11-22T10:50:13.752023880+00:00,0,1
2023-11-22T10:50:13.752024680+00:00,0,0
2023-11-22T10:50:13.794974380+00:00,1,0
2023-11-22T10:50:13.795024410+00:00,0,0
2023-11-22T10:50:13.802028690+00:00,0,1
2023-11-22T10:50:13.802029490+00:00,0,0
2023-11-22T10:50:13.844974210+00:00,1,0
2023-11-22T10:50:13.845024230+00:00,0,0
2023-11-22T10:50:13.852035990+00:00,0,1
2023-11-22T10:50:13.852036790+00:00,0,0
2023-11-22T10:50:13.894974030+00:00,1,0
2023-11-22T10:50:13.895024050+00:00,0,0
2023-11-22T10:50:13.902031560+00:00,0,1
2023-11-22T10:50:13.902032360+00:00,0,0
2023-11-22T10:50:13.944973850+00:00,1,0
2023-11-22T10:50:13.945023870+00:00,0,0
2023-11-22T10:50:13.952021330+00:00,0,1
2023-11-22T10:50:13.952022130+00:00,0,0
2023-11-22T10:50:13.994973670+00:00,1,0
2023-11-22T10:50:13.995023700+00:00,0,0
2023-11-22T10:50:14.003393590+00:00,0,1
2023-11-22T10:50:14.003394390+00:00,0,0
2023-11-22T10:50:14.044973490+00:00,1,0
2023-11-22T10:50:14.045023520+00:00,0,0
2023-11-22T10:50:14.053412650+00:00,0,1
2023-11-22T10:50:14.053413450+00:00,0,0
2023-11-22T10:50:14.094973320+00:00,1,0
2023-11-22T10:50:14.095023340+00:00,0,0
2023-11-22T10:50:14.102039260+00:00,0,1
2023-11-22T10:50:14.102040060+00:00,0,0
2023-11-22T10:50:14.144973140+00:00,1,0
2023-11-22T10:50:14.145023160+00:00,0,0
2023-11-22T10:50:14.152019550+00:00,0,1
2023-11-22T10:50:14.152020350+00:00,0,0
2023-11-22T10:50:14.194972960+00:00,1,0
2023-11-22T10:50:14.195022980+00:00,0,0
2023-11-22T10:50:14.202023050+00:00,0,1
2023-11-22T10:50:14.202023850+00:00,0,0
2023-11-22T10:50:14.244972780+00:00,1,0
2023-11-22T10:50:14.245022810+00:00,0,0
2023-11-22T10:50:14.252022850+00:00,0,1
2023-11-22T10:50:14.252023650+00:00,0,0
2023-11-22T10:50:14.294972600+00:00,1,0
2023-11-22T10:50:14.295022630+00:00,0,0
2023-11-22T10:50:14.302018650+00:00,0,1
2023-11-22T10:50:14.302019450+00:00,0,0
2023-11-22T10:50:14.344972430+00:00,1,0
2023-11-22T10:50:14.345022450+00:00,0,0
2023-11-22T10:50:14.353403710+00:00,0,1
2023-11-22T10:50:14.353404510+00:00,0,0
2023-11-22T10:50:14.394972250+00:00,1,0
2023-11-22T10:50:14.395022270+00:00,0,0
2023-11-22T10:50:14.402027250+00:00,0,1
2023-11-22T10:50:14.402028050+00:00,0,0
2023-11-22T10:50:14.444972070+00:00,1,0
2023-11-22T10:50:14.445022090+00:00,0,0
2023-11-22T10:50:14.453399540+00:00,0,1
2023-11-22T10:50:14.453400340+00:00,0,0
2023-11-22T10:50:14.494971890+00:00,1,0
2023-11-22T10:50:14.495021920+00:00,0,0
2023-11-22T10:50:14.503392330+00:00,0,1
2023-11-22T10:50:14.503393130+00:00,0,0
2023-11-22T10:50:14.544971710+00:00,1,0
2023-11-22T10:50:14.545021740+00:00,0,0
2023-11-22T10:50:14.553394890+00:00,0,1
2023-11-22T10:50:14.553395690+00:00,0,0
2023-11-22T10:50:14.594971540+00:00,1,0
2023-11-22T10:50:14.595021560+00:00,0,0
2023-11-22T10:50:14.602021990+00:00,0,1
2023-11-22T10:50:14.602022790+00:00,0,0
2023-11-22T10:50:14.644971360+00:00,1,0
2023-11-22T10:50:14.645021380+00:00,0,0
2023-11-22T10:50:14.652018500+00:00,0,1
2023-11-22T10:50:14.652019300+00:00,0,0
2023-11-22T10:50:14.694971180+00:00,1,0
2023-11-22T10:50:14.695021210+00:00,0,0
2023-11-22T10:50:14.703401990+00:00,0,1
