Time [s],Channel 0,Channel 1
2023-11-22T10:48:12.609840000+00:00,0,0
2023-11-22T10:48:12.648773500+00:00,1,0
2023-11-22T10:48:12.648823530+00:00,0,0
2023-11-22T10:48:12.650280980+00:00,0,1
2023-11-22T10:48:12.650284670+00:00,0,0
2023-11-22T10:48:12.698773330+00:00,1,0
2023-11-22T10:48:12.698823350+00:00,0,0
2023-11-22T10:48:12.700280860+00:00,0,1
2023-11-22T10:48:12.700284550+00:00,0,0
2023-11-22T10:48:12.748773150+00:00,1,0
2023-11-22T10:48:12.748823170+00:00,0,0
2023-11-22T10:48:12.750280530+00:00,0,1
2023-11-22T10:48:12.750284220+00:00,0,0
2023-11-22T10:48:12.798772970+00:00,1,0
2023-11-22T10:48:12.798822990+00:00,0,0
2023-11-22T10:48:12.800283690+00:00,0,1
2023-11-22T10:48:12.800287380+00:00,0,0
2023-11-22T10:48:12.848772790+00:00,1,0
2023-11-22T10:48:12.848822820+00:00,0,0
2023-11-22T10:48:12.850283860+00:00,0,1
2023-11-22T10:48:12.850287550+00:00,0,0
2023-11-22T10:48:12.898772620+00:00,1,0
2023-11-22T10:48:12.898822640+00:00,0,0
2023-11-22T10:48:12.900280310+00:00,0,1
2023-11-22T10:48:12.900284000+00:00,0,0
2023-11-22T10:48:12.948772440+00:00,1,0
2023-11-22T10:48:12.948822460+00:00,0,0
2023-11-22T10:48:12.950283470+00:00,0,1
2023-11-22T10:48:12.950287170+00:00,0,0
2023-11-22T10:48:12.998772260+00:00,1,0
2023-11-22T10:48:12.998822280+00:00,0,0
2023-11-22T10:48:13.000283350+00:00,0,1
2023-11-22T10:48:13.000287040+00:00,0,0
2023-11-22T10:48:13.048772090+00:00,1,0
2023-11-22T10:48:13.048822110+00:00,0,0
2023-11-22T10:48:13.050279800+00:00,0,1
2023-11-22T10:48:13.050283500+00:00,0,0
2023-11-22T10:48:13.098771910+00:00,1,0
2023-11-22T10:48:13.098821930+00:00,0,0
2023-11-22T10:48:13.100279470+00:00,0,1
2023-11-22T10:48:13.100283160+00:00,0,0
2023-11-22T10:48:13.148771730+00:00,1,0
2023-11-22T10:48:13.148821750+00:00,0,0
2023-11-22T10:48:13.150279120+00:00,0,1
2023-11-22T10:48:13.150282820+00:00,0,0
2023-11-22T10:48:13.198771550+00:00,1,0
2023-11-22T10:48:13.198821580+00:00,0,0
2023-11-22T10:48:13.200279060+00:00,0,1
2023-11-22T10:48:13.200282750+00:00,0,0
2023-11-22T10:48:13.248771370+00:00,1,0
2023-11-22T10:48:13.248821400+00:00,0,0
2023-11-22T10:48:13.250278940+00:00,0,1
2023-11-22T10:48:13.250282630+00:00,0,0
2023-11-22T10:48:13.298771200+00:00,1,0
2023-11-22T10:48:13.298821220+00:00,0,0
2023-11-22T10:48:13.300278890+00:00,0,1
2023-11-22T10:48:13.300282580+00:00,0,0
2023-11-22T10:48:13.348771020+00:00,1,0
2023-11-22T10:48:13.348821040+00:00,0,0
2023-11-22T10:48:13.350278550+00:00,0,1
2023-11-22T10:48:13.350282240+00:00,0,0
2023-11-22T10:48:13.398770840+00:00,1,0
2023-11-22T10:48:13.398820870+00:00,0,0
2023-11-22T10:48:13.400281930+00:00,0,1
2023-11-22T10:48:13.400285620+00:00,0,0
2023-11-22T10:48:13.448770670+00:00,1,0
2023-11-22T10:48:13.448820690+00:00,0,0
2023-11-22T10:48:13.450281590+00:00,0,1
2023-11-22T10:48:13.450285280+00:00,0,0
2023-11-22T10:48:13.498770490+00:00,1,0
2023-11-22T10:48:13.498820510+00:00,0,0
2023-11-22T10:48:13.500281770+00:00,0,1
2023-11-22T10:48:13.500285460+00:00,0,0
2023-11-22T10:48:13.548770310+00:00,1,0
2023-11-22T10:48:13.548820340+00:00,0,0
2023-11-22T10:48:13.550281930+00:00,0,1
2023-11-22T10:48:13.550285630+00:00,0,0
2023-11-22T10:48:13.598770130+00:00,1,0
2023-11-22T10:48:13.598820160+00:00,0,0
2023-11-22T10:48:13.600277100+00:00,0,1
2023-11-22T10:48:13.600280790+00:00,0,0
