Time [s],Channel 0,Channel 1
2023-11-22T07:29:14.271272910+00:00,0,0
2023-11-22T07:29:14.286077470+00:00,1,0
2023-11-22T07:29:14.286127490+00:00,0,0
2023-11-22T07:29:14.307738770+00:00,0,1
2023-11-22T07:29:14.307739590+00:00,0,0
2023-11-22T07:29:14.336077280+00:00,1,0
2023-11-22T07:29:14.336127310+00:00,0,0
2023-11-22T07:29:14.361218060+00:00,0,1
2023-11-22T07:29:14.361218890+00:00,0,0
2023-11-22T07:29:14.386077100+00:00,1,0
2023-11-22T07:29:14.386127130+00:00,0,0
2023-11-22T07:29:14.410058130+00:00,0,1
2023-11-22T07:29:14.410058950+00:00,0,0
2023-11-22T07:29:14.436076920+00:00,1,0
2023-11-22T07:29:14.436126940+00:00,0,0
2023-11-22T07:29:14.460059690+00:00,0,1
2023-11-22T07:29:14.460060510+00:00,0,0
2023-11-22T07:29:14.486076740+00:00,1,0
2023-11-22T07:29:14.486126760+00:00,0,0
2023-11-22T07:29:14.510059900+00:00,0,1
2023-11-22T07:29:14.510060730+00:00,0,0
2023-11-22T07:29:14.536076560+00:00,1,0
2023-11-22T07:29:14.536126580+00:00,0,0
2023-11-22T07:29:14.560056240+00:00,0,1
2023-11-22T07:29:14.560057060+00:00,0,0
2023-11-22T07:29:14.586076370+00:00,1,0
2023-11-22T07:29:14.586126400+00:00,0,0
2023-11-22T07:29:14.611218800+00:00,0,1
2023-11-22T07:29:14.611219620+00:00,0,0
2023-11-22T07:29:14.636076190+00:00,1,0
2023-11-22T07:29:14.636126210+00:00,0,0
2023-11-22T07:29:14.665857010+00:00,0,1
2023-11-22T07:29:14.665857830+00:00,0,0
2023-11-22T07:29:14.686076010+00:00,1,0
2023-11-22T07:29:14.686126030+00:00,0,0
2023-11-22T07:29:14.706581470+00:00,0,1
2023-11-22T07:29:14.706582300+00:00,0,0
2023-11-22T07:29:14.736075830+00:00,1,0
2023-11-22T07:29:14.736125850+00:00,0,0
2023-11-22T07:29:14.760059340+00:00,0,1
2023-11-22T07:29:14.760060160+00:00,0,0
2023-11-22T07:29:14.786075640+00:00,1,0
2023-11-22T07:29:14.786125670+00:00,0,0
2023-11-22T07:29:14.810057540+00:00,0,1
2023-11-22T07:29:14.810058370+00:00,0,0
2023-11-22T07:29:14.836075460+00:00,1,0
2023-11-22T07:29:14.836125480+00:00,0,0
2023-11-22T07:29:14.857736050+00:00,0,1
2023-11-22T07:29:14.857736870+00:00,0,0
2023-11-22T07:29:14.886075280+00:00,1,0
2023-11-22T07:29:14.886125300+00:00,0,0
2023-11-22T07:29:14.908895920+00:00,0,1
2023-11-22T07:29:14.908896740+00:00,0,0
