Time [s],Channel 0,Channel 1
2023-11-22T07:33:17.899080000+00:00,0,0
2023-11-22T07:33:17.934237940+00:00,1,0
2023-11-22T07:33:17.934287970+00:00,0,0
2023-11-22T07:33:17.934624790+00:00,0,1
2023-11-22T07:33:17.934628490+00:00,0,0
2023-11-22T07:33:17.984237760+00:00,1,0
2023-11-22T07:33:17.984287780+00:00,0,0
2023-11-22T07:33:17.984624520+00:00,0,1
2023-11-22T07:33:17.984628210+00:00,0,0
2023-11-22T07:33:18.034237580+00:00,1,0
2023-11-22T07:33:18.034287600+00:00,0,0
2023-11-22T07:33:18.034623880+00:00,0,1
2023-11-22T07:33:18.034627580+00:00,0,0
2023-11-22T07:33:18.084237400+00:00,1,0
2023-11-22T07:33:18.084287420+00:00,0,0
2023-11-22T07:33:18.084624180+00:00,0,1
2023-11-22T07:33:18.084627870+00:00,0,0
2023-11-22T07:33:18.134237210+00:00,1,0
2023-11-22T07:33:18.134287230+00:00,0,0
2023-11-22T07:33:18.134623550+00:00,0,1
2023-11-22T07:33:18.134627240+00:00,0,0
2023-11-22T07:33:18.184237030+00:00,1,0
2023-11-22T07:33:18.184287050+00:00,0,0
2023-11-22T07:33:18.184623760+00:00,0,1
2023-11-22T07:33:18.184627450+00:00,0,0
2023-11-22T07:33:18.234236850+00:00,1,0
2023-11-22T07:33:18.234286870+00:00,0,0
2023-11-22T07:33:18.234623620+00:00,0,1
2023-11-22T07:33:18.234627320+00:00,0,0
2023-11-22T07:33:18.284236670+00:00,1,0
2023-11-22T07:33:18.284286690+00:00,0,0
2023-11-22T07:33:18.284622980+00:00,0,1
2023-11-22T07:33:18.284626670+00:00,0,0
2023-11-22T07:33:18.334236480+00:00,1,0
2023-11-22T07:33:18.334286510+00:00,0,0
2023-11-22T07:33:18.334623200+00:00,0,1
2023-11-22T07:33:18.334626900+00:00,0,0
2023-11-22T07:33:18.384236300+00:00,1,0
2023-11-22T07:33:18.384286320+00:00,0,0
2023-11-22T07:33:18.384622770+00:00,0,1
2023-11-22T07:33:18.384626460+00:00,0,0
2023-11-22T07:33:18.434236120+00:00,1,0
2023-11-22T07:33:18.434286140+00:00,0,0
2023-11-22T07:33:18.434622710+00:00,0,1
2023-11-22T07:33:18.434626400+00:00,0,0
2023-11-22T07:33:18.484235930+00:00,1,0
2023-11-22T07:33:18.484285960+00:00,0,0
2023-11-22T07:33:18.484622560+00:00,0,1
2023-11-22T07:33:18.484626260+00:00,0,0
2023-11-22T07:33:18.534235750+00:00,1,0
2023-11-22T07:33:18.534285780+00:00,0,0
2023-11-22T07:33:18.534622650+00:00,0,1
2023-11-22T07:33:18.534626340+00:00,0,0
2023-11-22T07:33:18.584235570+00:00,1,0
2023-11-22T07:33:18.584285590+00:00,0,0
2023-11-22T07:33:18.584622220+00:00,0,1
2023-11-22T07:33:18.584625910+00:00,0,0
2023-11-22T07:33:18.634235390+00:00,1,0
2023-11-22T07:33:18.634285410+00:00,0,0
2023-11-22T07:33:18.634622430+00:00,0,1
2023-11-22T07:33:18.634626120+00:00,0,0
2023-11-22T07:33:18.684235200+00:00,1,0
2023-11-22T07:33:18.684285230+00:00,0,0
2023-11-22T07:33:18.684622220+00:00,0,1
2023-11-22T07:33:18.684625920+00:00,0,0
2023-11-22T07:33:18.734235020+00:00,1,0
2023-11-22T07:33:18.734285050+00:00,0,0
2023-11-22T07:33:18.734621460+00:00,0,1
2023-11-22T07:33:18.734625150+00:00,0,0
2023-11-22T07:33:18.784234840+00:00,1,0
2023-11-22T07:33:18.784284860+00:00,0,0
