Time [s],Channel 0,Channel 1
2024-02-06T14:37:31.200638000+00:00,0,0
2024-02-06T14:37:31.352907580+00:00,1,0
2024-02-06T14:37:31.352957600+00:00,0,0
2024-02-06T14:37:31.375830840+00:00,0,1
2024-02-06T14:37:31.375831920+00:00,0,0
2024-02-06T14:37:31.552906920+00:00,1,0
2024-02-06T14:37:31.552956920+00:00,0,0
2024-02-06T14:37:31.585833040+00:00,0,1
2024-02-06T14:37:31.585834140+00:00,0,0
2024-02-06T14:37:31.752906240+00:00,1,0
2024-02-06T14:37:31.752956240+00:00,0,0
2024-02-06T14:37:31.765835020+00:00,0,1
2024-02-06T14:37:31.765836100+00:00,0,0
2024-02-06T14:37:31.952905560+00:00,1,0
2024-02-06T14:37:31.952955580+00:00,0,0
2024-02-06T14:37:31.975835340+00:00,0,1
2024-02-06T14:37:31.975836440+00:00,0,0
2024-02-06T14:37:32.152904900+00:00,1,0
2024-02-06T14:37:32.152954900+00:00,0,0
2024-02-06T14:37:32.185845220+00:00,0,1
2024-02-06T14:37:32.185846320+00:00,0,0
2024-02-06T14:37:32.352904220+00:00,1,0
2024-02-06T14:37:32.352954220+00:00,0,0
2024-02-06T14:37:32.365840880+00:00,0,1
2024-02-06T14:37:32.365841980+00:00,0,0
2024-02-06T14:37:32.552903540+00:00,1,0
2024-02-06T14:37:32.552953560+00:00,0,0
2024-02-06T14:37:32.575846820+00:00,0,1
2024-02-06T14:37:32.575847920+00:00,0,0
2024-02-06T14:37:32.752902880+00:00,1,0
2024-02-06T14:37:32.752952880+00:00,0,0
2024-02-06T14:37:32.785842020+00:00,0,1
2024-02-06T14:37:32.785843100+00:00,0,0
2024-02-06T14:37:32.952902200+00:00,1,0
2024-02-06T14:37:32.952952200+00:00,0,0
2024-02-06T14:37:32.965852860+00:00,0,1
2024-02-06T14:37:32.965853960+00:00,0,0
2024-02-06T14:37:33.152901520+00:00,1,0
2024-02-06T14:37:33.152951540+00:00,0,0
2024-02-06T14:37:33.175847700+00:00,0,1
2024-02-06T14:37:33.175848800+00:00,0,0
2024-02-06T14:37:33.352900860+00:00,1,0
2024-02-06T14:37:33.352950860+00:00,0,0
2024-02-06T14:37:33.385857960+00:00,0,1
2024-02-06T14:37:33.385859060+00:00,0,0
2024-02-06T14:37:33.552900180+00:00,1,0
2024-02-06T14:37:33.552950180+00:00,0,0
2024-02-06T14:37:33.565857740+00:00,0,1
2024-02-06T14:37:33.565858840+00:00,0,0
2024-02-06T14:37:33.752899500+00:00,1,0
2024-02-06T14:37:33.752949520+00:00,0,0
2024-02-06T14:37:33.775863020+00:00,0,1
2024-02-06T14:37:33.775864100+00:00,0,0
2024-02-06T14:37:33.952898840+00:00,1,0
2024-02-06T14:37:33.952948840+00:00,0,0
2024-02-06T14:37:33.985860100+00:00,0,1
2024-02-06T14:37:33.985861200+00:00,0,0
2024-02-06T14:37:34.152898160+00:00,1,0
2024-02-06T14:37:34.152948160+00:00,0,0
2024-02-06T14:37:34.165870480+00:00,0,1
2024-02-06T14:37:34.165871580+00:00,0,0
2024-02-06T14:37:34.352897480+00:00,1,0
2024-02-06T14:37:34.352947480+00:00,0,0
2024-02-06T14:37:34.375864380+00:00,0,1
2024-02-06T14:37:34.375865480+00:00,0,0
2024-02-06T14:37:34.552896820+00:00,1,0
2024-02-06T14:37:34.552946820+00:00,0,0
2024-02-06T14:37:34.585875620+00:00,0,1
2024-02-06T14:37:34.585876700+00:00,0,0
2024-02-06T14:37:34.752896140+00:00,1,0
2024-02-06T14:37:34.752946140+00:00,0,0
2024-02-06T14:37:34.765878120+00:00,0,1
2024-02-06T14:37:34.765879220+00:00,0,0
2024-02-06T14:37:34.952895460+00:00,1,0
2024-02-06T14:37:34.952945460+00:00,0,0
2024-02-06T14:37:34.975873360+00:00,0,1
2024-02-06T14:37:34.975874460+00:00,0,0
2024-02-06T14:37:35.152894780+00:00,1,0
2024-02-06T14:37:35.152944800+00:00,0,0
2024-02-06T14:37:35.185875460+00:00,0,1
2024-02-06T14:37:35.185876560+00:00,0,0
2024-02-06T14:37:35.352894120+00:00,1,0
2024-02-06T14:37:35.352944120+00:00,0,0
2024-02-06T14:37:35.365877220+00:00,0,1
2024-02-06T14:37:35.365878300+00:00,0,0
2024-02-06T14:37:35.552893440+00:00,1,0
2024-02-06T14:37:35.552943440+00:00,0,0
2024-02-06T14:37:35.575888200+00:00,0,1
2024-02-06T14:37:35.575889280+00:00,0,0
2024-02-06T14:37:35.752892760+00:00,1,0
2024-02-06T14:37:35.752942780+00:00,0,0
2024-02-06T14:37:35.785883440+00:00,0,1
2024-02-06T14:37:35.785884520+00:00,0,0
2024-02-06T14:37:35.952892100+00:00,1,0
2024-02-06T14:37:35.952942100+00:00,0,0
2024-02-06T14:37:35.965893600+00:00,0,1
2024-02-06T14:37:35.965894700+00:00,0,0
2024-02-06T14:37:36.152891420+00:00,1,0
2024-02-06T14:37:36.152941420+00:00,0,0
2024-02-06T14:37:36.175893020+00:00,0,1
2024-02-06T14:37:36.175894100+00:00,0,0
2024-02-06T14:37:36.352890740+00:00,1,0
2024-02-06T14:37:36.352940740+00:00,0,0
2024-02-06T14:37:36.385895740+00:00,0,1
2024-02-06T14:37:36.385896820+00:00,0,0
2024-02-06T14:37:36.552890060+00:00,1,0
2024-02-06T14:37:36.552940080+00:00,0,0
2024-02-06T14:37:36.565894520+00:00,0,1
2024-02-06T14:37:36.565895620+00:00,0,0
2024-02-06T14:37:36.752889400+00:00,1,0
2024-02-06T14:37:36.752939400+00:00,0,0
2024-02-06T14:37:36.775904620+00:00,0,1
2024-02-06T14:37:36.775905700+00:00,0,0
2024-02-06T14:37:36.952888720+00:00,1,0
2024-02-06T14:37:36.952938720+00:00,0,0
2024-02-06T14:37:36.985907680+00:00,0,1
2024-02-06T14:37:36.985908760+00:00,0,0
2024-02-06T14:37:37.152888040+00:00,1,0
2024-02-06T14:37:37.152938040+00:00,0,0
2024-02-06T14:37:37.165904100+00:00,0,1
2024-02-06T14:37:37.165905200+00:00,0,0
2024-02-06T14:37:37.352887360+00:00,1,0
2024-02-06T14:37:37.352937380+00:00,0,0
2024-02-06T14:37:37.375905360+00:00,0,1
2024-02-06T14:37:37.375906460+00:00,0,0
2024-02-06T14:37:37.552886700+00:00,1,0
2024-02-06T14:37:37.552936700+00:00,0,0
2024-02-06T14:37:37.585915460+00:00,0,1
2024-02-06T14:37:37.585916560+00:00,0,0
2024-02-06T14:37:37.752886020+00:00,1,0
2024-02-06T14:37:37.752936020+00:00,0,0
2024-02-06T14:37:37.765919580+00:00,0,1
2024-02-06T14:37:37.765920680+00:00,0,0
2024-02-06T14:37:37.952885340+00:00,1,0
2024-02-06T14:37:37.952935340+00:00,0,0
2024-02-06T14:37:37.975921780+00:00,0,1
2024-02-06T14:37:37.975922880+00:00,0,0
2024-02-06T14:37:38.152884660+00:00,1,0
2024-02-06T14:37:38.152934680+00:00,0,0
2024-02-06T14:37:38.185928320+00:00,0,1
2024-02-06T14:37:38.185929420+00:00,0,0
2024-02-06T14:37:38.352884000+00:00,1,0
2024-02-06T14:37:38.352934000+00:00,0,0
2024-02-06T14:37:38.365919620+00:00,0,1
2024-02-06T14:37:38.365920700+00:00,0,0
2024-02-06T14:37:38.552883320+00:00,1,0
2024-02-06T14:37:38.552933320+00:00,0,0
2024-02-06T14:37:38.575929820+00:00,0,1
2024-02-06T14:37:38.575930900+00:00,0,0
2024-02-06T14:37:38.752882640+00:00,1,0
2024-02-06T14:37:38.752932640+00:00,0,0
2024-02-06T14:37:38.785925120+00:00,0,1
2024-02-06T14:37:38.785926220+00:00,0,0
2024-02-06T14:37:38.952881960+00:00,1,0
2024-02-06T14:37:38.952931980+00:00,0,0
2024-02-06T14:37:38.965935220+00:00,0,1
2024-02-06T14:37:38.965936320+00:00,0,0
2024-02-06T14:37:39.152881300+00:00,1,0
2024-02-06T14:37:39.152931300+00:00,0,0
2024-02-06T14:37:39.175938280+00:00,0,1
2024-02-06T14:37:39.175939360+00:00,0,0
2024-02-06T14:37:39.352880620+00:00,1,0
2024-02-06T14:37:39.352930620+00:00,0,0
2024-02-06T14:37:39.385937640+00:00,0,1
2024-02-06T14:37:39.385938720+00:00,0,0
2024-02-06T14:37:39.552879940+00:00,1,0
2024-02-06T14:37:39.552929940+00:00,0,0
2024-02-06T14:37:39.565944400+00:00,0,1
2024-02-06T14:37:39.565945500+00:00,0,0
2024-02-06T14:37:39.752879260+00:00,1,0
2024-02-06T14:37:39.752929280+00:00,0,0
2024-02-06T14:37:39.775945820+00:00,0,1
2024-02-06T14:37:39.775946920+00:00,0,0
2024-02-06T14:37:39.952878600+00:00,1,0
2024-02-06T14:37:39.952928600+00:00,0,0
2024-02-06T14:37:39.985946500+00:00,0,1
2024-02-06T14:37:39.985947600+00:00,0,0
2024-02-06T14:37:40.152877920+00:00,1,0
2024-02-06T14:37:40.152927920+00:00,0,0
2024-02-06T14:37:40.165953040+00:00,0,1
2024-02-06T14:37:40.165954140+00:00,0,0
2024-02-06T14:37:40.352877240+00:00,1,0
2024-02-06T14:37:40.352927240+00:00,0,0
2024-02-06T14:37:40.375947740+00:00,0,1
2024-02-06T14:37:40.375948820+00:00,0,0
2024-02-06T14:37:40.552876560+00:00,1,0
2024-02-06T14:37:40.552926560+00:00,0,0
2024-02-06T14:37:40.585949340+00:00,0,1
2024-02-06T14:37:40.585950420+00:00,0,0
2024-02-06T14:37:40.752875880+00:00,1,0
2024-02-06T14:37:40.752925900+00:00,0,0
2024-02-06T14:37:40.765960220+00:00,0,1
2024-02-06T14:37:40.765961320+00:00,0,0
