Time [s],Channel 0,Channel 1
2024-02-06T15:05:14.438216000+00:00,0,0
2024-02-06T15:05:14.467806200+00:00,1,0
2024-02-06T15:05:14.467856200+00:00,0,0
2024-02-06T15:05:14.495170780+00:00,0,1
2024-02-06T15:05:14.495171940+00:00,0,0
2024-02-06T15:05:14.567805860+00:00,1,0
2024-02-06T15:05:14.567855880+00:00,0,0
2024-02-06T15:05:14.585171680+00:00,0,1
2024-02-06T15:05:14.585172840+00:00,0,0
2024-02-06T15:05:14.667805520+00:00,1,0
2024-02-06T15:05:14.667855540+00:00,0,0
2024-02-06T15:05:14.675173100+00:00,0,1
2024-02-06T15:05:14.675174260+00:00,0,0
2024-02-06T15:05:14.767805200+00:00,1,0
2024-02-06T15:05:14.767855200+00:00,0,0
2024-02-06T15:05:14.795175100+00:00,0,1
2024-02-06T15:05:14.795176260+00:00,0,0
2024-02-06T15:05:14.867804860+00:00,1,0
2024-02-06T15:05:14.867854860+00:00,0,0
2024-02-06T15:05:14.885175140+00:00,0,1
2024-02-06T15:05:14.885176300+00:00,0,0
2024-02-06T15:05:14.967804520+00:00,1,0
2024-02-06T15:05:14.967854520+00:00,0,0
2024-02-06T15:05:14.975177220+00:00,0,1
2024-02-06T15:05:14.975178380+00:00,0,0
2024-02-06T15:05:15.067804180+00:00,1,0
2024-02-06T15:05:15.067854200+00:00,0,0
2024-02-06T15:05:15.095179200+00:00,0,1
2024-02-06T15:05:15.095180360+00:00,0,0
2024-02-06T15:05:15.167803860+00:00,1,0
2024-02-06T15:05:15.167853860+00:00,0,0
2024-02-06T15:05:15.185179060+00:00,0,1
2024-02-06T15:05:15.185180220+00:00,0,0
2024-02-06T15:05:15.267803520+00:00,1,0
2024-02-06T15:05:15.267853520+00:00,0,0
2024-02-06T15:05:15.275181800+00:00,0,1
2024-02-06T15:05:15.275182960+00:00,0,0
2024-02-06T15:05:15.367803180+00:00,1,0
2024-02-06T15:05:15.367853180+00:00,0,0
2024-02-06T15:05:15.395182480+00:00,0,1
2024-02-06T15:05:15.395183620+00:00,0,0
2024-02-06T15:05:15.467802840+00:00,1,0
2024-02-06T15:05:15.467852860+00:00,0,0
2024-02-06T15:05:15.485184500+00:00,0,1
2024-02-06T15:05:15.485185660+00:00,0,0
2024-02-06T15:05:15.567802520+00:00,1,0
2024-02-06T15:05:15.567852520+00:00,0,0
2024-02-06T15:05:15.575186860+00:00,0,1
2024-02-06T15:05:15.575188020+00:00,0,0
2024-02-06T15:05:15.667802180+00:00,1,0
2024-02-06T15:05:15.667852180+00:00,0,0
2024-02-06T15:05:15.695187360+00:00,0,1
2024-02-06T15:05:15.695188520+00:00,0,0
2024-02-06T15:05:15.767801840+00:00,1,0
2024-02-06T15:05:15.767851840+00:00,0,0
2024-02-06T15:05:15.785188460+00:00,0,1
2024-02-06T15:05:15.785189620+00:00,0,0
2024-02-06T15:05:15.867801500+00:00,1,0
2024-02-06T15:05:15.867851520+00:00,0,0
2024-02-06T15:05:15.875190340+00:00,0,1
2024-02-06T15:05:15.875191500+00:00,0,0
2024-02-06T15:05:15.967801180+00:00,1,0
2024-02-06T15:05:15.967851180+00:00,0,0
2024-02-06T15:05:15.995191480+00:00,0,1
2024-02-06T15:05:15.995192620+00:00,0,0
2024-02-06T15:05:16.067800840+00:00,1,0
2024-02-06T15:05:16.067850840+00:00,0,0
2024-02-06T15:05:16.085193040+00:00,0,1
2024-02-06T15:05:16.085194180+00:00,0,0
2024-02-06T15:05:16.167800500+00:00,1,0
2024-02-06T15:05:16.167850500+00:00,0,0
2024-02-06T15:05:16.175193940+00:00,0,1
2024-02-06T15:05:16.175195080+00:00,0,0
2024-02-06T15:05:16.267800160+00:00,1,0
2024-02-06T15:05:16.267850180+00:00,0,0
2024-02-06T15:05:16.295196680+00:00,0,1
2024-02-06T15:05:16.295197840+00:00,0,0
2024-02-06T15:05:16.367799820+00:00,1,0
2024-02-06T15:05:16.367849840+00:00,0,0
2024-02-06T15:05:16.385196460+00:00,0,1
2024-02-06T15:05:16.385197620+00:00,0,0
2024-02-06T15:05:16.467799500+00:00,1,0
2024-02-06T15:05:16.467849500+00:00,0,0
2024-02-06T15:05:16.475198380+00:00,0,1
2024-02-06T15:05:16.475199540+00:00,0,0
2024-02-06T15:05:16.567799160+00:00,1,0
2024-02-06T15:05:16.567849160+00:00,0,0
2024-02-06T15:05:16.595200340+00:00,0,1
2024-02-06T15:05:16.595201480+00:00,0,0
2024-02-06T15:05:16.667798820+00:00,1,0
2024-02-06T15:05:16.667848820+00:00,0,0
2024-02-06T15:05:16.685200340+00:00,0,1
2024-02-06T15:05:16.685201480+00:00,0,0
2024-02-06T15:05:16.767798480+00:00,1,0
2024-02-06T15:05:16.767848500+00:00,0,0
2024-02-06T15:05:16.775201440+00:00,0,1
2024-02-06T15:05:16.775202600+00:00,0,0
2024-02-06T15:05:16.867798160+00:00,1,0
2024-02-06T15:05:16.867848160+00:00,0,0
2024-02-06T15:05:16.895203200+00:00,0,1
2024-02-06T15:05:16.895204360+00:00,0,0
2024-02-06T15:05:16.967797820+00:00,1,0
2024-02-06T15:05:16.967847820+00:00,0,0
2024-02-06T15:05:16.985206480+00:00,0,1
2024-02-06T15:05:16.985207640+00:00,0,0
2024-02-06T15:05:17.067797480+00:00,1,0
2024-02-06T15:05:17.067847480+00:00,0,0
