Time [s],Channel 0,Channel 1
2024-02-06T13:58:49.770494000+00:00,0,0
2024-02-06T13:58:49.951403920+00:00,1,0
2024-02-06T13:58:49.951453940+00:00,0,0
2024-02-06T13:58:49.970690260+00:00,0,1
2024-02-06T13:58:49.970691360+00:00,0,0
2024-02-06T13:58:50.151403260+00:00,1,0
2024-02-06T13:58:50.151453260+00:00,0,0
2024-02-06T13:58:50.180693440+00:00,0,1
2024-02-06T13:58:50.180694540+00:00,0,0
2024-02-06T13:58:50.351402580+00:00,1,0
2024-02-06T13:58:50.351452580+00:00,0,0
2024-02-06T13:58:50.360696600+00:00,0,1
2024-02-06T13:58:50.360697680+00:00,0,0
2024-02-06T13:58:50.551401900+00:00,1,0
2024-02-06T13:58:50.551451900+00:00,0,0
2024-02-06T13:58:50.570699020+00:00,0,1
2024-02-06T13:58:50.570700120+00:00,0,0
2024-02-06T13:58:50.751401240+00:00,1,0
2024-02-06T13:58:50.751451240+00:00,0,0
2024-02-06T13:58:50.780702740+00:00,0,1
2024-02-06T13:58:50.780703840+00:00,0,0
2024-02-06T13:58:50.951400560+00:00,1,0
2024-02-06T13:58:50.951450560+00:00,0,0
2024-02-06T13:58:50.960703560+00:00,0,1
2024-02-06T13:58:50.960704660+00:00,0,0
2024-02-06T13:58:51.151399880+00:00,1,0
2024-02-06T13:58:51.151449880+00:00,0,0
2024-02-06T13:58:51.170706960+00:00,0,1
2024-02-06T13:58:51.170708060+00:00,0,0
2024-02-06T13:58:51.351399200+00:00,1,0
2024-02-06T13:58:51.351449220+00:00,0,0
2024-02-06T13:58:51.380710300+00:00,0,1
2024-02-06T13:58:51.380711400+00:00,0,0
2024-02-06T13:58:51.551398540+00:00,1,0
2024-02-06T13:58:51.551448540+00:00,0,0
2024-02-06T13:58:51.560712920+00:00,0,1
2024-02-06T13:58:51.560714020+00:00,0,0
2024-02-06T13:58:51.751397860+00:00,1,0
2024-02-06T13:58:51.751447860+00:00,0,0
2024-02-06T13:58:51.770716320+00:00,0,1
2024-02-06T13:58:51.770717420+00:00,0,0
2024-02-06T13:58:51.951397180+00:00,1,0
2024-02-06T13:58:51.951447200+00:00,0,0
2024-02-06T13:58:51.980718340+00:00,0,1
2024-02-06T13:58:51.980719440+00:00,0,0
2024-02-06T13:58:52.151396520+00:00,1,0
2024-02-06T13:58:52.151446520+00:00,0,0
2024-02-06T13:58:52.160720980+00:00,0,1
2024-02-06T13:58:52.160722080+00:00,0,0
