Time [s],Channel 0,Channel 1
2024-02-06T13:48:23.770685000+00:00,0,0
2024-02-06T13:48:23.902057500+00:00,1,0
2024-02-06T13:48:23.902107500+00:00,0,0
2024-02-06T13:48:23.932487300+00:00,0,1
2024-02-06T13:48:23.932488400+00:00,0,0
2024-02-06T13:48:24.153056700+00:00,1,0
2024-02-06T13:48:24.153106720+00:00,0,0
2024-02-06T13:48:24.172501760+00:00,0,1
2024-02-06T13:48:24.172502860+00:00,0,0
2024-02-06T13:48:24.404055920+00:00,1,0
2024-02-06T13:48:24.404105920+00:00,0,0
2024-02-06T13:48:24.412500260+00:00,0,1
2024-02-06T13:48:24.412501360+00:00,0,0
2024-02-06T13:48:24.655055140+00:00,1,0
2024-02-06T13:48:24.655105140+00:00,0,0
2024-02-06T13:48:24.682497560+00:00,0,1
2024-02-06T13:48:24.682498660+00:00,0,0
2024-02-06T13:48:24.906054340+00:00,1,0
2024-02-06T13:48:24.906104340+00:00,0,0
2024-02-06T13:48:24.922516360+00:00,0,1
2024-02-06T13:48:24.922517460+00:00,0,0
2024-02-06T13:48:25.157053560+00:00,1,0
2024-02-06T13:48:25.157103560+00:00,0,0
2024-02-06T13:48:25.162510500+00:00,0,1
2024-02-06T13:48:25.162511600+00:00,0,0
2024-02-06T13:48:25.408052760+00:00,1,0
2024-02-06T13:48:25.408102760+00:00,0,0
2024-02-06T13:48:25.432507940+00:00,0,1
2024-02-06T13:48:25.432509020+00:00,0,0
2024-02-06T13:48:25.659051980+00:00,1,0
2024-02-06T13:48:25.659101980+00:00,0,0
2024-02-06T13:48:25.672526880+00:00,0,1
2024-02-06T13:48:25.672527980+00:00,0,0
2024-02-06T13:48:25.910051180+00:00,1,0
2024-02-06T13:48:25.910101200+00:00,0,0
2024-02-06T13:48:25.912521320+00:00,0,1
2024-02-06T13:48:25.912522420+00:00,0,0
2024-02-06T13:48:26.161050400+00:00,1,0
2024-02-06T13:48:26.161100400+00:00,0,0
2024-02-06T13:48:26.182518420+00:00,0,1
2024-02-06T13:48:26.182519520+00:00,0,0
2024-02-06T13:48:26.412049600+00:00,1,0
2024-02-06T13:48:26.412099620+00:00,0,0
2024-02-06T13:48:26.422533440+00:00,0,1
2024-02-06T13:48:26.422534520+00:00,0,0
2024-02-06T13:48:26.663048820+00:00,1,0
2024-02-06T13:48:26.663098820+00:00,0,0
2024-02-06T13:48:26.692530740+00:00,0,1
2024-02-06T13:48:26.692531820+00:00,0,0
2024-02-06T13:48:26.914048020+00:00,1,0
2024-02-06T13:48:26.914098040+00:00,0,0
2024-02-06T13:48:26.932529000+00:00,0,1
2024-02-06T13:48:26.932530100+00:00,0,0
2024-02-06T13:48:27.165047240+00:00,1,0
2024-02-06T13:48:27.165097240+00:00,0,0
2024-02-06T13:48:27.172547940+00:00,0,1
2024-02-06T13:48:27.172549040+00:00,0,0
2024-02-06T13:48:27.416046440+00:00,1,0
2024-02-06T13:48:27.416096460+00:00,0,0
2024-02-06T13:48:27.442541440+00:00,0,1
2024-02-06T13:48:27.442542540+00:00,0,0
2024-02-06T13:48:27.667045660+00:00,1,0
2024-02-06T13:48:27.667095660+00:00,0,0
2024-02-06T13:48:27.682539060+00:00,0,1
2024-02-06T13:48:27.682540160+00:00,0,0
2024-02-06T13:48:27.918044860+00:00,1,0
2024-02-06T13:48:27.918094880+00:00,0,0
2024-02-06T13:48:27.922554060+00:00,0,1
2024-02-06T13:48:27.922555160+00:00,0,0
2024-02-06T13:48:28.169044080+00:00,1,0
2024-02-06T13:48:28.169094080+00:00,0,0
2024-02-06T13:48:28.192551420+00:00,0,1
2024-02-06T13:48:28.192552520+00:00,0,0
2024-02-06T13:48:28.420043280+00:00,1,0
2024-02-06T13:48:28.420093300+00:00,0,0
2024-02-06T13:48:28.432549620+00:00,0,1
2024-02-06T13:48:28.432550700+00:00,0,0
