Time [s],Channel 0,Channel 1
2024-02-06T02:20:01.573479000+00:00,0,0
2024-02-06T02:20:01.581770880+00:00,0,1
2024-02-06T02:20:01.581772100+00:00,0,0
2024-02-06T02:20:01.766157000+00:00,1,0
2024-02-06T02:20:01.766207000+00:00,0,0
2024-02-06T02:20:01.781773780+00:00,0,1
2024-02-06T02:20:01.781775000+00:00,0,0
2024-02-06T02:20:01.966156340+00:00,1,0
2024-02-06T02:20:01.966206360+00:00,0,0
2024-02-06T02:20:01.981777500+00:00,0,1
2024-02-06T02:20:01.981778720+00:00,0,0
2024-02-06T02:20:02.166155680+00:00,1,0
2024-02-06T02:20:02.166205700+00:00,0,0
2024-02-06T02:20:02.181785880+00:00,0,1
2024-02-06T02:20:02.181787100+00:00,0,0
2024-02-06T02:20:02.366155040+00:00,1,0
2024-02-06T02:20:02.366205040+00:00,0,0
2024-02-06T02:20:02.381782680+00:00,0,1
2024-02-06T02:20:02.381783900+00:00,0,0
2024-02-06T02:20:02.566154380+00:00,1,0
2024-02-06T02:20:02.566204400+00:00,0,0
2024-02-06T02:20:02.581785380+00:00,0,1
2024-02-06T02:20:02.581786600+00:00,0,0
2024-02-06T02:20:02.766153720+00:00,1,0
2024-02-06T02:20:02.766203740+00:00,0,0
2024-02-06T02:20:02.781787600+00:00,0,1
2024-02-06T02:20:02.781788820+00:00,0,0
2024-02-06T02:20:02.966153080+00:00,1,0
2024-02-06T02:20:02.966203080+00:00,0,0
2024-02-06T02:20:02.981791440+00:00,0,1
2024-02-06T02:20:02.981792660+00:00,0,0
2024-02-06T02:20:03.166152420+00:00,1,0
2024-02-06T02:20:03.166202420+00:00,0,0
2024-02-06T02:20:03.181792240+00:00,0,1
2024-02-06T02:20:03.181793460+00:00,0,0
2024-02-06T02:20:03.366151760+00:00,1,0
2024-02-06T02:20:03.366201780+00:00,0,0
2024-02-06T02:20:03.381796140+00:00,0,1
2024-02-06T02:20:03.381797360+00:00,0,0
2024-02-06T02:20:03.566151100+00:00,1,0
2024-02-06T02:20:03.566201120+00:00,0,0
2024-02-06T02:20:03.581805420+00:00,0,1
2024-02-06T02:20:03.581806640+00:00,0,0
2024-02-06T02:20:03.766150460+00:00,1,0
2024-02-06T02:20:03.766200460+00:00,0,0
2024-02-06T02:20:03.781801720+00:00,0,1
2024-02-06T02:20:03.781802940+00:00,0,0
2024-02-06T02:20:03.966149800+00:00,1,0
2024-02-06T02:20:03.966199800+00:00,0,0
2024-02-06T02:20:03.981804700+00:00,0,1
2024-02-06T02:20:03.981805920+00:00,0,0
2024-02-06T02:20:04.166149140+00:00,1,0
2024-02-06T02:20:04.166199160+00:00,0,0
2024-02-06T02:20:04.181805840+00:00,0,1
2024-02-06T02:20:04.181807060+00:00,0,0
2024-02-06T02:20:04.366148480+00:00,1,0
2024-02-06T02:20:04.366198500+00:00,0,0
2024-02-06T02:20:04.381819240+00:00,0,1
2024-02-06T02:20:04.381820460+00:00,0,0
2024-02-06T02:20:04.566147840+00:00,1,0
2024-02-06T02:20:04.566197840+00:00,0,0
2024-02-06T02:20:04.581812300+00:00,0,1
2024-02-06T02:20:04.581813520+00:00,0,0
2024-02-06T02:20:04.766147180+00:00,1,0
2024-02-06T02:20:04.766197180+00:00,0,0
2024-02-06T02:20:04.781815260+00:00,0,1
2024-02-06T02:20:04.781816480+00:00,0,0
2024-02-06T02:20:04.966146520+00:00,1,0
2024-02-06T02:20:04.966196540+00:00,0,0
2024-02-06T02:20:04.981827720+00:00,0,1
2024-02-06T02:20:04.981828960+00:00,0,0
2024-02-06T02:20:05.166145880+00:00,1,0
2024-02-06T02:20:05.166195880+00:00,0,0
2024-02-06T02:20:05.181820960+00:00,0,1
2024-02-06T02:20:05.181822180+00:00,0,0
2024-02-06T02:20:05.366145220+00:00,1,0
2024-02-06T02:20:05.366195220+00:00,0,0
2024-02-06T02:20:05.381824680+00:00,0,1
2024-02-06T02:20:05.381825900+00:00,0,0
2024-02-06T02:20:05.566144560+00:00,1,0
2024-02-06T02:20:05.566194580+00:00,0,0
2024-02-06T02:20:05.581826520+00:00,0,1
2024-02-06T02:20:05.581827740+00:00,0,0
2024-02-06T02:20:05.766143900+00:00,1,0
2024-02-06T02:20:05.766193920+00:00,0,0
2024-02-06T02:20:05.781829480+00:00,0,1
2024-02-06T02:20:05.781830700+00:00,0,0
2024-02-06T02:20:05.966143260+00:00,1,0
2024-02-06T02:20:05.966193260+00:00,0,0
2024-02-06T02:20:05.981833280+00:00,0,1
2024-02-06T02:20:05.981834500+00:00,0,0
2024-02-06T02:20:06.166142600+00:00,1,0
2024-02-06T02:20:06.166192600+00:00,0,0
2024-02-06T02:20:06.181835520+00:00,0,1
2024-02-06T02:20:06.181836760+00:00,0,0
2024-02-06T02:20:06.366141940+00:00,1,0
2024-02-06T02:20:06.366191940+00:00,0,0
2024-02-06T02:20:06.381837840+00:00,0,1
2024-02-06T02:20:06.381839060+00:00,0,0
2024-02-06T02:20:06.566141280+00:00,1,0
2024-02-06T02:20:06.566191300+00:00,0,0
2024-02-06T02:20:06.581839700+00:00,0,1
2024-02-06T02:20:06.581840920+00:00,0,0
2024-02-06T02:20:06.766140620+00:00,1,0
2024-02-06T02:20:06.766190640+00:00,0,0
2024-02-06T02:20:06.781852680+00:00,0,1
2024-02-06T02:20:06.781853900+00:00,0,0
2024-02-06T02:20:06.966139980+00:00,1,0
2024-02-06T02:20:06.966189980+00:00,0,0
2024-02-06T02:20:06.981846720+00:00,0,1
2024-02-06T02:20:06.981847940+00:00,0,0
2024-02-06T02:20:07.166139320+00:00,1,0
2024-02-06T02:20:07.166189320+00:00,0,0
2024-02-06T02:20:07.181848540+00:00,0,1
2024-02-06T02:20:07.181849760+00:00,0,0
2024-02-06T02:20:07.366138660+00:00,1,0
2024-02-06T02:20:07.366188680+00:00,0,0
2024-02-06T02:20:07.381852000+00:00,0,1
2024-02-06T02:20:07.381853220+00:00,0,0
2024-02-06T02:20:07.566138000+00:00,1,0
2024-02-06T02:20:07.566188020+00:00,0,0
2024-02-06T02:20:07.581854940+00:00,0,1
2024-02-06T02:20:07.581856180+00:00,0,0
2024-02-06T02:20:07.766137360+00:00,1,0
2024-02-06T02:20:07.766187360+00:00,0,0
2024-02-06T02:20:07.781857460+00:00,0,1
2024-02-06T02:20:07.781858680+00:00,0,0
2024-02-06T02:20:07.966136700+00:00,1,0
2024-02-06T02:20:07.966186700+00:00,0,0
2024-02-06T02:20:07.981859920+00:00,0,1
2024-02-06T02:20:07.981861140+00:00,0,0
2024-02-06T02:20:08.166136040+00:00,1,0
2024-02-06T02:20:08.166186040+00:00,0,0
2024-02-06T02:20:08.181863220+00:00,0,1
2024-02-06T02:20:08.181864440+00:00,0,0
2024-02-06T02:20:08.366135380+00:00,1,0
2024-02-06T02:20:08.366185400+00:00,0,0
2024-02-06T02:20:08.381866600+00:00,0,1
2024-02-06T02:20:08.381867820+00:00,0,0
2024-02-06T02:20:08.566134720+00:00,1,0
2024-02-06T02:20:08.566184740+00:00,0,0
2024-02-06T02:20:08.581868880+00:00,0,1
2024-02-06T02:20:08.581870120+00:00,0,0
2024-02-06T02:20:08.766134080+00:00,1,0
2024-02-06T02:20:08.766184080+00:00,0,0
2024-02-06T02:20:08.781872100+00:00,0,1
2024-02-06T02:20:08.781873340+00:00,0,0
2024-02-06T02:20:08.966133420+00:00,1,0
2024-02-06T02:20:08.966183420+00:00,0,0
2024-02-06T02:20:08.981875440+00:00,0,1
2024-02-06T02:20:08.981876660+00:00,0,0
2024-02-06T02:20:09.166132760+00:00,1,0
2024-02-06T02:20:09.166182760+00:00,0,0
2024-02-06T02:20:09.181876660+00:00,0,1
2024-02-06T02:20:09.181877880+00:00,0,0
2024-02-06T02:20:09.366132100+00:00,1,0
2024-02-06T02:20:09.366182120+00:00,0,0
2024-02-06T02:20:09.381879840+00:00,0,1
2024-02-06T02:20:09.381881080+00:00,0,0
2024-02-06T02:20:09.566131440+00:00,1,0
2024-02-06T02:20:09.566181460+00:00,0,0
2024-02-06T02:20:09.581883240+00:00,0,1
2024-02-06T02:20:09.581884480+00:00,0,0
2024-02-06T02:20:09.766130800+00:00,1,0
2024-02-06T02:20:09.766180800+00:00,0,0
2024-02-06T02:20:09.781884500+00:00,0,1
2024-02-06T02:20:09.781885720+00:00,0,0
2024-02-06T02:20:09.966130140+00:00,1,0
2024-02-06T02:20:09.966180140+00:00,0,0
2024-02-06T02:20:09.981897460+00:00,0,1
2024-02-06T02:20:09.981898680+00:00,0,0
2024-02-06T02:20:10.166129480+00:00,1,0
2024-02-06T02:20:10.166179480+00:00,0,0
2024-02-06T02:20:10.181891220+00:00,0,1
2024-02-06T02:20:10.181892440+00:00,0,0
2024-02-06T02:20:10.366128820+00:00,1,0
2024-02-06T02:20:10.366178840+00:00,0,0
2024-02-06T02:20:10.381894420+00:00,0,1
2024-02-06T02:20:10.381895640+00:00,0,0
2024-02-06T02:20:10.566128160+00:00,1,0
2024-02-06T02:20:10.566178180+00:00,0,0
2024-02-06T02:20:10.581903920+00:00,0,1
2024-02-06T02:20:10.581905140+00:00,0,0
2024-02-06T02:20:10.766127500+00:00,1,0
2024-02-06T02:20:10.766177520+00:00,0,0
2024-02-06T02:20:10.781899200+00:00,0,1
2024-02-06T02:20:10.781900420+00:00,0,0
2024-02-06T02:20:10.966126860+00:00,1,0
2024-02-06T02:20:10.966176860+00:00,0,0
2024-02-06T02:20:10.981910680+00:00,0,1
2024-02-06T02:20:10.981911900+00:00,0,0
2024-02-06T02:20:11.166126200+00:00,1,0
2024-02-06T02:20:11.166176200+00:00,0,0
2024-02-06T02:20:11.181904900+00:00,0,1
2024-02-06T02:20:11.181906120+00:00,0,0
2024-02-06T02:20:11.366125540+00:00,1,0
2024-02-06T02:20:11.366175540+00:00,0,0
2024-02-06T02:20:11.381908500+00:00,0,1
2024-02-06T02:20:11.381909740+00:00,0,0
2024-02-06T02:20:11.566124880+00:00,1,0
2024-02-06T02:20:11.566174900+00:00,0,0
2024-02-06T02:20:11.581910600+00:00,0,1
2024-02-06T02:20:11.581911820+00:00,0,0
2024-02-06T02:20:11.766124220+00:00,1,0
2024-02-06T02:20:11.766174240+00:00,0,0
2024-02-06T02:20:11.781913860+00:00,0,1
2024-02-06T02:20:11.781915080+00:00,0,0
2024-02-06T02:20:11.966123560+00:00,1,0
2024-02-06T02:20:11.966173580+00:00,0,0
2024-02-06T02:20:11.981924720+00:00,0,1
2024-02-06T02:20:11.981925940+00:00,0,0
2024-02-06T02:20:12.166122920+00:00,1,0
2024-02-06T02:20:12.166172920+00:00,0,0
2024-02-06T02:20:12.181919020+00:00,0,1
2024-02-06T02:20:12.181920240+00:00,0,0
2024-02-06T02:20:12.366122260+00:00,1,0
2024-02-06T02:20:12.366172260+00:00,0,0
2024-02-06T02:20:12.381921460+00:00,0,1
2024-02-06T02:20:12.381922700+00:00,0,0
2024-02-06T02:20:12.566121600+00:00,1,0
2024-02-06T02:20:12.566171600+00:00,0,0
2024-02-06T02:20:12.581923760+00:00,0,1
2024-02-06T02:20:12.581924980+00:00,0,0
2024-02-06T02:20:12.766120940+00:00,1,0
2024-02-06T02:20:12.766170960+00:00,0,0
2024-02-06T02:20:12.781935980+00:00,0,1
2024-02-06T02:20:12.781937220+00:00,0,0
2024-02-06T02:20:12.966120280+00:00,1,0
2024-02-06T02:20:12.966170300+00:00,0,0
2024-02-06T02:20:12.981937680+00:00,0,1
2024-02-06T02:20:12.981938900+00:00,0,0
2024-02-06T02:20:13.166119620+00:00,1,0
2024-02-06T02:20:13.166169640+00:00,0,0
2024-02-06T02:20:13.181932120+00:00,0,1
2024-02-06T02:20:13.181933340+00:00,0,0
2024-02-06T02:20:13.366118960+00:00,1,0
2024-02-06T02:20:13.366168980+00:00,0,0
2024-02-06T02:20:13.381944240+00:00,0,1
2024-02-06T02:20:13.381945480+00:00,0,0
2024-02-06T02:20:13.566118320+00:00,1,0
2024-02-06T02:20:13.566168320+00:00,0,0
2024-02-06T02:20:13.581938120+00:00,0,1
2024-02-06T02:20:13.581939340+00:00,0,0
2024-02-06T02:20:13.766117660+00:00,1,0
2024-02-06T02:20:13.766167660+00:00,0,0
2024-02-06T02:20:13.781950380+00:00,0,1
2024-02-06T02:20:13.781951600+00:00,0,0
2024-02-06T02:20:13.966117000+00:00,1,0
2024-02-06T02:20:13.966167000+00:00,0,0
2024-02-06T02:20:13.981944580+00:00,0,1
2024-02-06T02:20:13.981945820+00:00,0,0
