Time [s],Channel 0,Channel 1
2024-02-06T10:57:50.067528000+00:00,0,0
2024-02-06T10:57:50.278335940+00:00,1,0
2024-02-06T10:57:50.278385940+00:00,0,0
2024-02-06T10:57:50.281322200+00:00,0,1
2024-02-06T10:57:50.281323300+00:00,0,0
2024-02-06T10:57:50.529335140+00:00,1,0
2024-02-06T10:57:50.529385140+00:00,0,0
2024-02-06T10:57:50.531326840+00:00,0,1
2024-02-06T10:57:50.531327940+00:00,0,0
2024-02-06T10:57:50.780334320+00:00,1,0
2024-02-06T10:57:50.780384340+00:00,0,0
2024-02-06T10:57:50.831338160+00:00,0,1
2024-02-06T10:57:50.831339260+00:00,0,0
2024-02-06T10:57:51.031333520+00:00,1,0
2024-02-06T10:57:51.031383520+00:00,0,0
2024-02-06T10:57:51.081324920+00:00,0,1
2024-02-06T10:57:51.081326020+00:00,0,0
2024-02-06T10:57:51.282332720+00:00,1,0
2024-02-06T10:57:51.282382720+00:00,0,0
2024-02-06T10:57:51.331329260+00:00,0,1
2024-02-06T10:57:51.331330360+00:00,0,0
2024-02-06T10:57:51.533331900+00:00,1,0
2024-02-06T10:57:51.533381920+00:00,0,0
2024-02-06T10:57:51.581333980+00:00,0,1
2024-02-06T10:57:51.581335080+00:00,0,0
2024-02-06T10:57:51.784331100+00:00,1,0
2024-02-06T10:57:51.784381100+00:00,0,0
2024-02-06T10:57:51.831338800+00:00,0,1
2024-02-06T10:57:51.831339880+00:00,0,0
2024-02-06T10:57:52.035330280+00:00,1,0
2024-02-06T10:57:52.035380300+00:00,0,0
2024-02-06T10:57:52.081343220+00:00,0,1
2024-02-06T10:57:52.081344320+00:00,0,0
2024-02-06T10:57:52.286329480+00:00,1,0
2024-02-06T10:57:52.286379480+00:00,0,0
2024-02-06T10:57:52.331347560+00:00,0,1
2024-02-06T10:57:52.331348660+00:00,0,0
2024-02-06T10:57:52.537328680+00:00,1,0
2024-02-06T10:57:52.537378680+00:00,0,0
2024-02-06T10:57:52.581351780+00:00,0,1
2024-02-06T10:57:52.581352880+00:00,0,0
2024-02-06T10:57:52.788327860+00:00,1,0
2024-02-06T10:57:52.788377880+00:00,0,0
2024-02-06T10:57:52.831356480+00:00,0,1
2024-02-06T10:57:52.831357580+00:00,0,0
2024-02-06T10:57:53.039327060+00:00,1,0
2024-02-06T10:57:53.039377060+00:00,0,0
2024-02-06T10:57:53.081360860+00:00,0,1
2024-02-06T10:57:53.081361960+00:00,0,0
2024-02-06T10:57:53.290326240+00:00,1,0
2024-02-06T10:57:53.290376260+00:00,0,0
2024-02-06T10:57:53.331365960+00:00,0,1
2024-02-06T10:57:53.331367060+00:00,0,0
2024-02-06T10:57:53.541325440+00:00,1,0
2024-02-06T10:57:53.541375440+00:00,0,0
2024-02-06T10:57:53.581370120+00:00,0,1
2024-02-06T10:57:53.581371220+00:00,0,0
2024-02-06T10:57:53.792324640+00:00,1,0
2024-02-06T10:57:53.792374640+00:00,0,0
2024-02-06T10:57:53.831374940+00:00,0,1
2024-02-06T10:57:53.831376040+00:00,0,0
2024-02-06T10:57:54.043323820+00:00,1,0
2024-02-06T10:57:54.043373840+00:00,0,0
2024-02-06T10:57:54.081374780+00:00,0,1
2024-02-06T10:57:54.081375880+00:00,0,0
2024-02-06T10:57:54.294323020+00:00,1,0
2024-02-06T10:57:54.294373020+00:00,0,0
2024-02-06T10:57:54.331379640+00:00,0,1
2024-02-06T10:57:54.331380740+00:00,0,0
2024-02-06T10:57:54.545322200+00:00,1,0
2024-02-06T10:57:54.545372220+00:00,0,0
2024-02-06T10:57:54.581383980+00:00,0,1
2024-02-06T10:57:54.581385080+00:00,0,0
2024-02-06T10:57:54.796321400+00:00,1,0
2024-02-06T10:57:54.796371400+00:00,0,0
2024-02-06T10:57:54.831367280+00:00,0,1
2024-02-06T10:57:54.831368380+00:00,0,0
2024-02-06T10:57:55.047320600+00:00,1,0
2024-02-06T10:57:55.047370600+00:00,0,0
2024-02-06T10:57:55.081371500+00:00,0,1
2024-02-06T10:57:55.081372600+00:00,0,0
2024-02-06T10:57:55.298319780+00:00,1,0
2024-02-06T10:57:55.298369780+00:00,0,0
2024-02-06T10:57:55.331376260+00:00,0,1
2024-02-06T10:57:55.331377360+00:00,0,0
2024-02-06T10:57:55.549318980+00:00,1,0
2024-02-06T10:57:55.549368980+00:00,0,0
2024-02-06T10:57:55.581380780+00:00,0,1
2024-02-06T10:57:55.581381880+00:00,0,0
2024-02-06T10:57:55.800318160+00:00,1,0
2024-02-06T10:57:55.800368180+00:00,0,0
2024-02-06T10:57:55.831385000+00:00,0,1
2024-02-06T10:57:55.831386100+00:00,0,0
2024-02-06T10:57:56.051317360+00:00,1,0
2024-02-06T10:57:56.051367360+00:00,0,0
2024-02-06T10:57:56.081389700+00:00,0,1
2024-02-06T10:57:56.081390800+00:00,0,0
2024-02-06T10:57:56.302316540+00:00,1,0
2024-02-06T10:57:56.302366560+00:00,0,0
2024-02-06T10:57:56.331390060+00:00,0,1
2024-02-06T10:57:56.331391140+00:00,0,0
2024-02-06T10:57:56.553315740+00:00,1,0
2024-02-06T10:57:56.553365740+00:00,0,0
2024-02-06T10:57:56.581394200+00:00,0,1
2024-02-06T10:57:56.581395300+00:00,0,0
2024-02-06T10:57:56.804314920+00:00,1,0
2024-02-06T10:57:56.804364940+00:00,0,0
2024-02-06T10:57:56.831399420+00:00,0,1
2024-02-06T10:57:56.831400520+00:00,0,0
2024-02-06T10:57:57.055314120+00:00,1,0
2024-02-06T10:57:57.055364120+00:00,0,0
2024-02-06T10:57:57.081403820+00:00,0,1
2024-02-06T10:57:57.081404920+00:00,0,0
2024-02-06T10:57:57.306313300+00:00,1,0
2024-02-06T10:57:57.306363320+00:00,0,0
2024-02-06T10:57:57.331408660+00:00,0,1
2024-02-06T10:57:57.331409760+00:00,0,0
2024-02-06T10:57:57.557312500+00:00,1,0
2024-02-06T10:57:57.557362500+00:00,0,0
2024-02-06T10:57:57.581413120+00:00,0,1
2024-02-06T10:57:57.581414220+00:00,0,0
2024-02-06T10:57:57.808311680+00:00,1,0
2024-02-06T10:57:57.808361700+00:00,0,0
2024-02-06T10:57:57.831417620+00:00,0,1
2024-02-06T10:57:57.831418720+00:00,0,0
2024-02-06T10:57:58.059310880+00:00,1,0
2024-02-06T10:57:58.059360880+00:00,0,0
2024-02-06T10:57:58.081421960+00:00,0,1
2024-02-06T10:57:58.081423060+00:00,0,0
2024-02-06T10:57:58.310310060+00:00,1,0
2024-02-06T10:57:58.310360080+00:00,0,0
2024-02-06T10:57:58.331426720+00:00,0,1
2024-02-06T10:57:58.331427800+00:00,0,0
2024-02-06T10:57:58.561309260+00:00,1,0
2024-02-06T10:57:58.561359260+00:00,0,0
2024-02-06T10:57:58.581430840+00:00,0,1
2024-02-06T10:57:58.581431920+00:00,0,0
2024-02-06T10:57:58.812308440+00:00,1,0
2024-02-06T10:57:58.812358460+00:00,0,0
2024-02-06T10:57:58.831435880+00:00,0,1
2024-02-06T10:57:58.831436980+00:00,0,0
2024-02-06T10:57:59.063307640+00:00,1,0
2024-02-06T10:57:59.063357640+00:00,0,0
2024-02-06T10:57:59.081440300+00:00,0,1
2024-02-06T10:57:59.081441400+00:00,0,0
2024-02-06T10:57:59.314306820+00:00,1,0
2024-02-06T10:57:59.314356820+00:00,0,0
2024-02-06T10:57:59.331444840+00:00,0,1
2024-02-06T10:57:59.331445940+00:00,0,0
2024-02-06T10:57:59.565306020+00:00,1,0
2024-02-06T10:57:59.565356020+00:00,0,0
2024-02-06T10:57:59.581449120+00:00,0,1
2024-02-06T10:57:59.581450220+00:00,0,0
2024-02-06T10:57:59.816305200+00:00,1,0
2024-02-06T10:57:59.816355200+00:00,0,0
2024-02-06T10:57:59.831454040+00:00,0,1
2024-02-06T10:57:59.831455140+00:00,0,0
2024-02-06T10:58:00.067304380+00:00,1,0
2024-02-06T10:58:00.067354400+00:00,0,0
